! Date:	06-Dec-25
!Time:	17:18
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
06-Dec-25	17:23:45	79.9890	79.9890	-0.000030	3.428560	0.000000	3.428560	84.0000	90.0000	9.997685E-2	7.596100E-6	4.334203E-8	1.171083E-11	-1.000495E-1	6.503949E-6	-4.675928E-8	2.363175E-11	2.220016E+6	4.627447E-4	
06-Dec-25	17:25:25	79.9720	79.9720	-0.000030	3.428570	0.000000	3.428570	84.0000	90.0000	9.997528E-2	6.363235E-6	4.330585E-8	1.834441E-11	-1.000478E-1	8.559148E-6	-4.660801E-8	1.378732E-11	2.224608E+6	4.319646E-4	
06-Dec-25	17:27:12	79.9700	79.9700	-0.000030	3.200010	0.000000	3.200010	84.0000	90.0000	9.998051E-2	4.283098E-6	4.281781E-8	2.590493E-11	-1.000480E-1	6.553631E-6	-4.605075E-8	1.702080E-11	2.250836E+6	5.372008E-4	
06-Dec-25	17:29:00	79.9840	79.9840	-0.000030	2.971520	0.000000	2.971520	84.0000	90.0000	9.997494E-2	7.441937E-6	4.227116E-8	3.116670E-11	-1.000533E-1	7.175180E-6	-4.545145E-8	1.934614E-11	2.280236E+6	6.488999E-4	
06-Dec-25	17:30:48	79.9960	79.9960	-0.000030	2.742930	0.000000	2.742930	84.0000	90.0000	9.997695E-2	6.309550E-6	4.174154E-8	1.795622E-11	-1.000464E-1	6.769914E-6	-4.492936E-8	2.604980E-11	2.307849E+6	5.731266E-4	
06-Dec-25	17:32:35	80.0020	80.0020	-0.000030	2.514390	0.000000	2.514390	84.0000	90.0000	9.997903E-2	5.108518E-6	4.119924E-8	2.337933E-11	-1.000492E-1	5.253389E-6	-4.428040E-8	1.691961E-11	2.340069E+6	5.232470E-4	
06-Dec-25	17:34:23	80.0020	80.0020	-0.000030	2.285810	0.000000	2.285810	84.0000	90.0000	9.997843E-2	4.822024E-6	4.058345E-8	1.678677E-11	-1.000481E-1	6.805540E-6	-4.360041E-8	1.560316E-11	2.376067E+6	4.428823E-4	
06-Dec-25	17:36:11	79.9990	79.9990	-0.000030	2.057210	0.000000	2.057210	84.0000	90.0000	9.997560E-2	7.232983E-6	3.988635E-8	1.533192E-11	-1.000506E-1	6.161331E-6	-4.283898E-8	1.440498E-11	2.417955E+6	4.264283E-4	
06-Dec-25	17:37:59	79.9970	79.9970	-0.000030	1.828590	0.000000	1.828590	84.0000	90.0000	9.997382E-2	3.783329E-6	3.910798E-8	1.955051E-11	-1.000486E-1	4.847622E-6	-4.182895E-8	1.100864E-11	2.471337E+6	4.207174E-4	
06-Dec-25	17:39:46	79.9960	79.9960	-0.000030	1.599980	0.000000	1.599980	84.0000	90.0000	9.997400E-2	4.574160E-6	3.775129E-8	2.819446E-11	-1.000445E-1	3.535310E-6	-4.058523E-8	1.532721E-11	2.553324E+6	5.961169E-4	
