Voltage (V)	Current (A)
9.999644E-1	6.871202E-8
9.959411E-1	6.746960E-8
9.919506E-1	6.613194E-8
9.879638E-1	6.501400E-8
9.839036E-1	6.376723E-8
9.799173E-1	6.265075E-8
9.758939E-1	6.161485E-8
9.719063E-1	6.040914E-8
9.678820E-1	5.916964E-8
9.638949E-1	5.805827E-8
9.598374E-1	5.701676E-8
9.558475E-1	5.597773E-8
9.518639E-1	5.486025E-8
9.478340E-1	5.377880E-8
9.438493E-1	5.277628E-8
9.398613E-1	5.185602E-8
9.358051E-1	5.070612E-8
9.318146E-1	4.975719E-8
9.277961E-1	4.884336E-8
9.238033E-1	4.788512E-8
9.198176E-1	4.703552E-8
9.157916E-1	4.599151E-8
9.117393E-1	4.513585E-8
9.077497E-1	4.421064E-8
9.037605E-1	4.349192E-8
8.997406E-1	4.254323E-8
8.957510E-1	4.170612E-8
8.917632E-1	4.083012E-8
8.877386E-1	4.003492E-8
8.837203E-1	3.920680E-8
8.796949E-1	3.832533E-8
8.757071E-1	3.760658E-8
8.717195E-1	3.682230E-8
8.676963E-1	3.603985E-8
8.637088E-1	3.535465E-8
8.596532E-1	3.460993E-8
8.556658E-1	3.381168E-8
8.516396E-1	3.313633E-8
8.476529E-1	3.237790E-8
8.436620E-1	3.182085E-8
8.396412E-1	3.105933E-8
8.356186E-1	3.045532E-8
8.315992E-1	2.972462E-8
8.276067E-1	2.910614E-8
8.236199E-1	2.854606E-8
8.195965E-1	2.784602E-8
8.156080E-1	2.727504E-8
8.115503E-1	2.661219E-8
8.075646E-1	2.605806E-8
8.035445E-1	2.544654E-8
7.995545E-1	2.489638E-8
7.955664E-1	2.433313E-8
7.915403E-1	2.371400E-8
7.875558E-1	2.316223E-8
7.834977E-1	2.264924E-8
7.795102E-1	2.209178E-8
7.755216E-1	2.156480E-8
7.715003E-1	2.110376E-8
7.675092E-1	2.053482E-8
7.635239E-1	2.009377E-8
7.594661E-1	1.958495E-8
7.554456E-1	1.911041E-8
7.514554E-1	1.870546E-8
7.474679E-1	1.826240E-8
7.434470E-1	1.779891E-8
7.394564E-1	1.734974E-8
7.354013E-1	1.691964E-8
7.314116E-1	1.651957E-8
7.274262E-1	1.611728E-8
7.234005E-1	1.572385E-8
7.194142E-1	1.531954E-8
7.154225E-1	1.494615E-8
7.113690E-1	1.455075E-8
7.073457E-1	1.419199E-8
7.033575E-1	1.385349E-8
6.993676E-1	1.349553E-8
6.953456E-1	1.315304E-8
6.913571E-1	1.282835E-8
6.873679E-1	1.252304E-8
6.833127E-1	1.217756E-8
6.793209E-1	1.187954E-8
6.753016E-1	1.157918E-8
6.713113E-1	1.128077E-8
6.673251E-1	1.097467E-8
6.633022E-1	1.069472E-8
6.592483E-1	1.043055E-8
6.552571E-1	1.016631E-8
6.512691E-1	9.921996E-9
6.472465E-1	9.650337E-9
6.432574E-1	9.376061E-9
6.392713E-1	9.110818E-9
6.352128E-1	8.889008E-9
6.312245E-1	8.635443E-9
6.272015E-1	8.395578E-9
6.232155E-1	8.176963E-9
6.192259E-1	7.958803E-9
6.152034E-1	7.737452E-9
6.111454E-1	7.509491E-9
6.071610E-1	7.319911E-9
6.031714E-1	7.132539E-9
5.991495E-1	6.911107E-9
5.951609E-1	6.721100E-9
5.911751E-1	6.534410E-9
5.871495E-1	6.344147E-9
5.831264E-1	6.179075E-9
5.791050E-1	5.992376E-9
5.751156E-1	5.826879E-9
5.711277E-1	5.673870E-9
5.671039E-1	5.510047E-9
5.631172E-1	5.360058E-9
5.590609E-1	5.205205E-9
