Voltage (V)	Current (A)
-1.000061E+0	-1.036491E-7
-9.960724E-1	-1.019548E-7
-9.920458E-1	-1.004835E-7
-9.880603E-1	-9.859091E-8
-9.840018E-1	-9.703166E-8
-9.800140E-1	-9.542952E-8
-9.760219E-1	-9.382449E-8
-9.720030E-1	-9.222052E-8
-9.680125E-1	-9.067823E-8
-9.640230E-1	-8.909288E-8
-9.599656E-1	-8.763290E-8
-9.559768E-1	-8.598267E-8
-9.519541E-1	-8.470550E-8
-9.479619E-1	-8.318102E-8
-9.439757E-1	-8.185736E-8
-9.399531E-1	-8.048091E-8
-9.359300E-1	-7.908260E-8
-9.319049E-1	-7.769921E-8
-9.279205E-1	-7.632975E-8
-9.239277E-1	-7.500172E-8
-9.199067E-1	-7.362183E-8
-9.159152E-1	-7.244955E-8
-9.118605E-1	-7.114182E-8
-9.078708E-1	-6.986685E-8
-9.038501E-1	-6.868098E-8
-8.998601E-1	-6.739995E-8
-8.958701E-1	-6.618087E-8
-8.918480E-1	-6.509178E-8
-8.878576E-1	-6.384350E-8
-8.838039E-1	-6.271288E-8
-8.798118E-1	-6.161414E-8
-8.758254E-1	-6.055377E-8
-8.718038E-1	-5.935492E-8
-8.678142E-1	-5.833142E-8
-8.638237E-1	-5.718126E-8
-8.597687E-1	-5.615587E-8
-8.557770E-1	-5.524205E-8
-8.517562E-1	-5.420776E-8
-8.477646E-1	-5.332896E-8
-8.437750E-1	-5.235594E-8
-8.397547E-1	-5.136756E-8
-8.357306E-1	-5.044596E-8
-8.317082E-1	-4.950143E-8
-8.277178E-1	-4.854575E-8
-8.237303E-1	-4.761740E-8
-8.197057E-1	-4.680840E-8
-8.157161E-1	-4.588825E-8
-8.116600E-1	-4.499484E-8
-8.076726E-1	-4.414650E-8
-8.036509E-1	-4.330625E-8
-7.996632E-1	-4.253093E-8
-7.956723E-1	-4.178665E-8
-7.916859E-1	-4.099266E-8
-7.876604E-1	-4.017344E-8
-7.836016E-1	-3.948366E-8
-7.796143E-1	-3.871759E-8
-7.756234E-1	-3.795951E-8
-7.716036E-1	-3.728638E-8
-7.676125E-1	-3.655237E-8
-7.636242E-1	-3.582596E-8
-7.595671E-1	-3.521166E-8
-7.555767E-1	-3.451212E-8
-7.515543E-1	-3.384039E-8
-7.475686E-1	-3.316426E-8
-7.435771E-1	-3.254521E-8
-7.395566E-1	-3.193154E-8
-7.355343E-1	-3.139895E-8
-7.315093E-1	-3.071068E-8
-7.275224E-1	-3.011057E-8
-7.235317E-1	-2.953678E-8
-7.195094E-1	-2.894124E-8
-7.155179E-1	-2.836793E-8
-7.114640E-1	-2.779504E-8
-7.074702E-1	-2.734393E-8
-7.034839E-1	-2.669413E-8
-6.994595E-1	-2.618365E-8
-6.954723E-1	-2.566837E-8
-6.914803E-1	-2.515309E-8
-6.874589E-1	-2.465105E-8
-6.834015E-1	-2.416596E-8
-6.794106E-1	-2.366186E-8
-6.754252E-1	-2.317431E-8
-6.713998E-1	-2.268627E-8
-6.674110E-1	-2.228229E-8
-6.634238E-1	-2.178831E-8
-6.593683E-1	-2.130787E-8
-6.553777E-1	-2.088412E-8
-6.513531E-1	-2.045213E-8
-6.473635E-1	-2.002214E-8
-6.433769E-1	-1.963974E-8
-6.393506E-1	-1.924027E-8
-6.353305E-1	-1.881716E-8
-6.313067E-1	-1.839341E-8
-6.273168E-1	-1.798229E-8
-6.233288E-1	-1.759569E-8
-6.193032E-1	-1.717966E-8
-6.153154E-1	-1.688574E-8
-6.112595E-1	-1.642784E-8
-6.072726E-1	-1.609038E-8
-6.032825E-1	-1.573252E-8
-5.992589E-1	-1.536581E-8
-5.952709E-1	-1.501587E-8
-5.912836E-1	-1.467954E-8
-5.872582E-1	-1.433261E-8
-5.832031E-1	-1.405934E-8
-5.792099E-1	-1.368796E-8
-5.752255E-1	-1.337742E-8
-5.712002E-1	-1.306487E-8
-5.672106E-1	-1.274333E-8
-5.632221E-1	-1.246953E-8
-5.591633E-1	-1.219299E-8
-5.551767E-1	-1.188382E-8
-5.511513E-1	-1.158403E-8
-5.471624E-1	-1.133239E-8
-5.431734E-1	-1.107362E-8
-5.391510E-1	-1.078600E-8
-5.351272E-1	-1.055351E-8
-5.311072E-1	-1.027229E-8
-5.271170E-1	-1.004563E-8
-5.231279E-1	-9.804720E-9
-5.191042E-1	-9.552249E-9
-5.151145E-1	-9.313557E-9
-5.110583E-1	-9.091042E-9
-5.070689E-1	-8.871711E-9
-5.030830E-1	-8.632314E-9
-4.990576E-1	-8.424504E-9
-4.950707E-1	-8.227137E-9
-4.910781E-1	-8.010609E-9
-4.870582E-1	-7.811056E-9
-4.829966E-1	-7.622193E-9
-4.790100E-1	-7.424025E-9
-4.750206E-1	-7.213123E-9
-4.710332E-1	-7.044535E-9
-4.670095E-1	-6.848136E-9
-4.630185E-1	-6.692750E-9
-4.589636E-1	-6.510335E-9
-4.549755E-1	-6.345777E-9
-4.509537E-1	-6.164792E-9
-4.469627E-1	-5.998636E-9
-4.429740E-1	-5.852721E-9
-4.389478E-1	-5.672033E-9
-4.349269E-1	-5.519957E-9
-4.309016E-1	-5.365917E-9
-4.269151E-1	-5.239368E-9
-4.229233E-1	-5.099279E-9
-4.189038E-1	-4.939420E-9
-4.149110E-1	-4.797901E-9
-4.108550E-1	-4.655300E-9
-4.068638E-1	-4.534316E-9
-4.028745E-1	-4.392553E-9
-3.988543E-1	-4.275097E-9
-3.948637E-1	-4.118208E-9
-3.908767E-1	-3.995170E-9
-3.868526E-1	-3.866441E-9
-3.827974E-1	-3.747811E-9
-3.788071E-1	-3.638772E-9
-3.748186E-1	-3.517709E-9
-3.708270E-1	-3.421161E-9
-3.668066E-1	-3.314347E-9
-3.628136E-1	-3.205143E-9
-3.587578E-1	-3.105370E-9
-3.547670E-1	-3.004631E-9
-3.507462E-1	-2.896222E-9
-3.467583E-1	-2.796530E-9
-3.427660E-1	-2.712216E-9
-3.387430E-1	-2.631886E-9
-3.347195E-1	-2.541456E-9
-3.307000E-1	-2.452954E-9
-3.267091E-1	-2.367218E-9
-3.227216E-1	-2.289358E-9
-3.186979E-1	-2.220299E-9
-3.147103E-1	-2.124586E-9
-3.106512E-1	-2.053265E-9
-3.066632E-1	-1.988354E-9
-3.026716E-1	-1.915776E-9
-2.986480E-1	-1.850197E-9
-2.946596E-1	-1.779251E-9
-2.906702E-1	-1.701686E-9
-2.866474E-1	-1.647879E-9
-2.826238E-1	-1.586742E-9
