Voltage (V)	Current (A)
-1.000055E+0	-4.136061E-8
-9.960717E-1	-4.059875E-8
-9.920435E-1	-3.989922E-8
-9.880588E-1	-3.923814E-8
-9.839977E-1	-3.853060E-8
-9.800116E-1	-3.784440E-8
-9.760191E-1	-3.720016E-8
-9.719997E-1	-3.659034E-8
-9.680104E-1	-3.597205E-8
-9.640229E-1	-3.530695E-8
-9.599632E-1	-3.465386E-8
-9.559757E-1	-3.404262E-8
-9.519521E-1	-3.343868E-8
-9.479606E-1	-3.285890E-8
-9.439738E-1	-3.227603E-8
-9.399516E-1	-3.168889E-8
-9.359296E-1	-3.114600E-8
-9.319053E-1	-3.056353E-8
-9.279188E-1	-3.005945E-8
-9.239248E-1	-2.951695E-8
-9.199048E-1	-2.895702E-8
-9.159130E-1	-2.842402E-8
-9.118588E-1	-2.788061E-8
-9.078680E-1	-2.736550E-8
-9.038484E-1	-2.686726E-8
-8.998591E-1	-2.633971E-8
-8.958678E-1	-2.584239E-8
-8.918452E-1	-2.537244E-8
-8.878566E-1	-2.488022E-8
-8.838021E-1	-2.441532E-8
-8.798099E-1	-2.393870E-8
-8.758239E-1	-2.346385E-8
-8.718009E-1	-2.303069E-8
-8.678126E-1	-2.259505E-8
-8.638216E-1	-2.218151E-8
-8.597673E-1	-2.169028E-8
-8.557745E-1	-2.127446E-8
-8.517547E-1	-2.086785E-8
-8.477641E-1	-2.044366E-8
-8.437734E-1	-2.008923E-8
-8.397534E-1	-1.969189E-8
-8.357283E-1	-1.930238E-8
-8.317074E-1	-1.890219E-8
-8.277153E-1	-1.853079E-8
-8.237273E-1	-1.818087E-8
-8.197041E-1	-1.782377E-8
-8.157146E-1	-1.747437E-8
-8.116572E-1	-1.711046E-8
-8.076715E-1	-1.676257E-8
-8.036490E-1	-1.642961E-8
-7.996606E-1	-1.609318E-8
-7.956704E-1	-1.579508E-8
-7.916835E-1	-1.547304E-8
-7.876587E-1	-1.514280E-8
-7.836019E-1	-1.484258E-8
-7.796118E-1	-1.454644E-8
-7.756220E-1	-1.425037E-8
-7.716027E-1	-1.395810E-8
-7.676111E-1	-1.369368E-8
-7.636241E-1	-1.337566E-8
-7.595657E-1	-1.309366E-8
-7.555760E-1	-1.285122E-8
-7.515544E-1	-1.257278E-8
-7.475672E-1	-1.228744E-8
-7.435769E-1	-1.204343E-8
-7.395560E-1	-1.176133E-8
-7.355326E-1	-1.150697E-8
-7.315085E-1	-1.128827E-8
-7.275221E-1	-1.103350E-8
-7.235308E-1	-1.081336E-8
-7.195094E-1	-1.056692E-8
-7.155169E-1	-1.033239E-8
-7.114612E-1	-1.011850E-8
-7.074714E-1	-9.912209E-9
-7.034848E-1	-9.691372E-9
-6.994597E-1	-9.479243E-9
-6.954712E-1	-9.258787E-9
-6.914805E-1	-9.063419E-9
-6.874567E-1	-8.868654E-9
-6.833999E-1	-8.691519E-9
-6.794098E-1	-8.480618E-9
-6.754245E-1	-8.309223E-9
-6.713977E-1	-8.109708E-9
-6.674113E-1	-7.916537E-9
-6.634226E-1	-7.753189E-9
-6.593684E-1	-7.578022E-9
-6.553770E-1	-7.411369E-9
-6.513551E-1	-7.237975E-9
-6.473618E-1	-7.069850E-9
-6.433756E-1	-6.914046E-9
-6.393520E-1	-6.762523E-9
-6.353308E-1	-6.594013E-9
-6.313053E-1	-6.447393E-9
-6.273168E-1	-6.293524E-9
-6.233297E-1	-6.156618E-9
-6.193026E-1	-6.024578E-9
-6.153170E-1	-5.877994E-9
-6.112604E-1	-5.739242E-9
-6.072730E-1	-5.609638E-9
-6.032823E-1	-5.475878E-9
-5.992603E-1	-5.359263E-9
-5.952713E-1	-5.246828E-9
-5.912848E-1	-5.104978E-9
-5.872593E-1	-4.968787E-9
-5.832030E-1	-4.849814E-9
-5.792117E-1	-4.728085E-9
-5.752239E-1	-4.645238E-9
-5.712001E-1	-4.552925E-9
-5.672092E-1	-4.432447E-9
-5.632216E-1	-4.310754E-9
-5.591632E-1	-4.219698E-9
-5.551770E-1	-4.092850E-9
-5.511512E-1	-4.009210E-9
-5.471623E-1	-3.934493E-9
-5.431719E-1	-3.822271E-9
-5.391509E-1	-3.745626E-9
-5.351262E-1	-3.659092E-9
-5.311054E-1	-3.587231E-9
-5.271177E-1	-3.498854E-9
-5.231299E-1	-3.411102E-9
-5.191040E-1	-3.336933E-9
-5.151133E-1	-3.247046E-9
-5.110585E-1	-3.152427E-9
-5.070681E-1	-3.087723E-9
-5.030814E-1	-3.023781E-9
-4.990565E-1	-2.956688E-9
-4.950685E-1	-2.880965E-9
-4.910772E-1	-2.804238E-9
-4.870577E-1	-2.735809E-9
-4.829970E-1	-2.681628E-9
-4.790083E-1	-2.608880E-9
-4.750182E-1	-2.561192E-9
-4.710305E-1	-2.458150E-9
-4.670079E-1	-2.417462E-9
-4.630178E-1	-2.350578E-9
-4.589638E-1	-2.303312E-9
-4.549745E-1	-2.261237E-9
-4.509533E-1	-2.182080E-9
-4.469618E-1	-2.121065E-9
-4.429747E-1	-2.075056E-9
-4.389479E-1	-2.050500E-9
-4.349267E-1	-1.987685E-9
-4.309027E-1	-1.920720E-9
-4.269132E-1	-1.873368E-9
-4.229236E-1	-1.830247E-9
-4.189029E-1	-1.803345E-9
-4.149103E-1	-1.767559E-9
-4.108543E-1	-1.724564E-9
-4.068629E-1	-1.680314E-9
-4.028733E-1	-1.634931E-9
-3.988528E-1	-1.590095E-9
-3.948625E-1	-1.553761E-9
-3.908758E-1	-1.521201E-9
-3.868523E-1	-1.494340E-9
-3.827974E-1	-1.445060E-9
-3.788044E-1	-1.411829E-9
-3.748168E-1	-1.388069E-9
-3.708262E-1	-1.365860E-9
-3.668065E-1	-1.332042E-9
-3.628118E-1	-1.284984E-9
-3.587590E-1	-1.261685E-9
-3.547660E-1	-1.212573E-9
-3.507449E-1	-1.204234E-9
-3.467585E-1	-1.180096E-9
-3.427672E-1	-1.152481E-9
-3.387426E-1	-1.100730E-9
-3.347195E-1	-1.084009E-9
-3.307002E-1	-1.063014E-9
-3.267060E-1	-1.033345E-9
-3.227219E-1	-1.004559E-9
-3.186961E-1	-9.872941E-10
-3.147091E-1	-9.518408E-10
-3.106506E-1	-9.229689E-10
-3.066634E-1	-9.050757E-10
-3.026704E-1	-8.953949E-10
-2.986477E-1	-8.605308E-10
-2.946588E-1	-8.325390E-10
-2.906696E-1	-8.011103E-10
-2.866477E-1	-7.829649E-10
-2.826224E-1	-7.774341E-10
-2.786018E-1	-7.496516E-10
-2.746093E-1	-7.240898E-10
-2.706200E-1	-6.927443E-10
-2.665948E-1	-6.631174E-10
-2.626100E-1	-6.500016E-10
-2.585498E-1	-6.381847E-10
-2.545646E-1	-6.095641E-10
-2.505401E-1	-5.982498E-10
-2.465495E-1	-5.815296E-10
-2.425640E-1	-5.461625E-10
-2.385728E-1	-5.284779E-10
-2.345166E-1	-5.201810E-10
-2.304917E-1	-4.996060E-10
-2.265033E-1	-4.778156E-10
-2.225147E-1	-4.643225E-10
-2.184911E-1	-4.419451E-10
-2.145009E-1	-4.313012E-10
-2.104472E-1	-4.128630E-10
-2.064532E-1	-3.912823E-10
-2.024652E-1	-3.692404E-10
-1.984386E-1	-3.669776E-10
-1.944527E-1	-3.578007E-10
-1.904640E-1	-3.385661E-10
-1.864053E-1	-3.299337E-10
-1.824189E-1	-3.114116E-10
-1.783942E-1	-3.110349E-10
-1.744087E-1	-2.885739E-10
-1.704158E-1	-2.890766E-10
-1.663927E-1	-2.823299E-10
-1.623995E-1	-2.631377E-10
-1.583448E-1	-2.310806E-10
-1.543553E-1	-2.341397E-10
-1.503333E-1	-2.270578E-10
-1.463432E-1	-2.173360E-10
-1.423564E-1	-2.012863E-10
-1.383625E-1	-1.879188E-10
-1.343041E-1	-1.724141E-10
-1.302799E-1	-1.708635E-10
-1.262895E-1	-1.667150E-10
-1.223043E-1	-1.629435E-10
-1.182791E-1	-1.479836E-10
-1.142927E-1	-1.296293E-10
-1.102303E-1	-1.240979E-10
-1.062479E-1	-1.194465E-10
-1.022559E-1	-1.202426E-10
-9.823297E-2	-1.089703E-10
-9.423817E-2	-1.000865E-10
-9.025271E-2	-8.914938E-11
-8.619523E-2	-8.961032E-11
-8.220313E-2	-8.705413E-11
-7.818309E-2	-8.956842E-11
-7.419441E-2	-8.495891E-11
-7.020305E-2	-6.765345E-11
-6.617844E-2	-5.768180E-11
-6.218941E-2	-6.212296E-11
-5.813139E-2	-5.818458E-11
-5.414431E-2	-6.689929E-11
-5.015226E-2	-5.667627E-11
-4.613393E-2	-4.523821E-11
-4.214299E-2	-4.741689E-11
-3.815833E-2	-5.671816E-11
-3.409681E-2	-4.590856E-11
-3.007245E-2	-5.546123E-11
-2.607935E-2	-2.935897E-11
-2.209064E-2	-3.103491E-11
-1.807189E-2	-3.212427E-11
-1.408096E-2	-4.984694E-11
-1.002470E-2	-4.959557E-11
-6.033502E-3	-3.367447E-11
-2.041051E-3	-4.326903E-11
1.972076E-3	-7.320804E-12
5.955433E-3	-4.720742E-11
9.949843E-3	-4.674654E-11
1.400453E-2	-5.583832E-11
1.803287E-2	-2.382848E-11
2.201856E-2	-3.870218E-11
2.600563E-2	-3.669106E-11
3.002935E-2	-4.892518E-11
3.402000E-2	-5.931580E-11
3.800654E-2	-3.526653E-11
4.205899E-2	-3.987533E-11
4.605365E-2	-2.525298E-11
5.007407E-2	-3.907924E-11
5.406388E-2	-4.276623E-11
5.805085E-2	-3.761282E-11
6.207229E-2	-2.202689E-11
6.612644E-2	-1.972257E-11
7.012141E-2	-1.871697E-11
7.410593E-2	-2.240397E-11
7.813328E-2	-2.114702E-11
8.212072E-2	-1.151058E-11
8.610953E-2	7.091994E-12
