Voltage (V)	Current (A)
-1.000059E+0	-5.426375E-8
-9.960715E-1	-5.323582E-8
-9.920462E-1	-5.239607E-8
-9.880565E-1	-5.148804E-8
-9.839984E-1	-5.061014E-8
-9.800116E-1	-4.972658E-8
-9.760205E-1	-4.885407E-8
-9.719995E-1	-4.802476E-8
-9.680104E-1	-4.719934E-8
-9.640218E-1	-4.641713E-8
-9.599646E-1	-4.565437E-8
-9.559764E-1	-4.485446E-8
-9.519528E-1	-4.404506E-8
-9.479616E-1	-4.327245E-8
-9.439750E-1	-4.242517E-8
-9.399525E-1	-4.164488E-8
-9.359294E-1	-4.101797E-8
-9.319044E-1	-4.026491E-8
-9.279175E-1	-3.943888E-8
-9.239256E-1	-3.874637E-8
-9.199052E-1	-3.806702E-8
-9.159129E-1	-3.743575E-8
-9.118595E-1	-3.673528E-8
-9.078684E-1	-3.611031E-8
-9.038494E-1	-3.544821E-8
-8.998591E-1	-3.476181E-8
-8.958686E-1	-3.416931E-8
-8.918465E-1	-3.358900E-8
-8.878568E-1	-3.296571E-8
-8.838023E-1	-3.232363E-8
-8.798108E-1	-3.172082E-8
-8.758246E-1	-3.112350E-8
-8.718017E-1	-3.053279E-8
-8.678137E-1	-2.995304E-8
-8.638226E-1	-2.942030E-8
-8.597680E-1	-2.885305E-8
-8.557760E-1	-2.828605E-8
-8.517559E-1	-2.781119E-8
-8.477643E-1	-2.727468E-8
-8.437749E-1	-2.672880E-8
-8.397549E-1	-2.624348E-8
-8.357291E-1	-2.575814E-8
-8.317087E-1	-2.524233E-8
-8.277161E-1	-2.475823E-8
-8.237290E-1	-2.431153E-8
-8.197058E-1	-2.382763E-8
-8.157160E-1	-2.337961E-8
-8.116577E-1	-2.296319E-8
-8.076710E-1	-2.246937E-8
-8.036499E-1	-2.208384E-8
-7.996610E-1	-2.165959E-8
-7.956704E-1	-2.126649E-8
-7.916842E-1	-2.083817E-8
-7.876598E-1	-2.044641E-8
-7.836006E-1	-1.999092E-8
-7.796120E-1	-1.963301E-8
-7.756225E-1	-1.926883E-8
-7.716019E-1	-1.887632E-8
-7.676113E-1	-1.847696E-8
-7.636246E-1	-1.806938E-8
-7.595652E-1	-1.769422E-8
-7.555770E-1	-1.735481E-8
-7.515542E-1	-1.704889E-8
-7.475670E-1	-1.666243E-8
-7.435775E-1	-1.632192E-8
-7.395576E-1	-1.595780E-8
-7.355329E-1	-1.563557E-8
-7.315078E-1	-1.532321E-8
-7.275214E-1	-1.498840E-8
-7.235308E-1	-1.467889E-8
-7.195083E-1	-1.432102E-8
-7.155176E-1	-1.404269E-8
-7.114632E-1	-1.374482E-8
-7.074704E-1	-1.345431E-8
-7.034843E-1	-1.315952E-8
-6.994592E-1	-1.285901E-8
-6.954712E-1	-1.256916E-8
-6.914797E-1	-1.229384E-8
-6.874580E-1	-1.202654E-8
-6.834003E-1	-1.176262E-8
-6.794115E-1	-1.149425E-8
