Voltage (V)	Current (A)
-1.000061E+0	-1.123299E-7
-9.960763E-1	-1.099285E-7
-9.920503E-1	-1.080839E-7
-9.880610E-1	-1.065511E-7
-9.840037E-1	-1.045981E-7
-9.800154E-1	-1.028132E-7
-9.760239E-1	-1.011336E-7
-9.720051E-1	-9.944196E-8
-9.680125E-1	-9.777433E-8
-9.640273E-1	-9.631769E-8
-9.599679E-1	-9.462226E-8
-9.559798E-1	-9.308171E-8
-9.519568E-1	-9.154269E-8
-9.479635E-1	-8.994346E-8
-9.439774E-1	-8.845372E-8
-9.399561E-1	-8.691060E-8
-9.359329E-1	-8.538629E-8
-9.319084E-1	-8.396188E-8
-9.279235E-1	-8.239920E-8
-9.239290E-1	-8.121517E-8
-9.199083E-1	-7.985896E-8
-9.159178E-1	-7.834141E-8
-9.118621E-1	-7.699927E-8
-9.078718E-1	-7.581090E-8
-9.038519E-1	-7.445266E-8
-8.998612E-1	-7.311559E-8
-8.958718E-1	-7.178573E-8
-8.918490E-1	-7.046938E-8
-8.878596E-1	-6.940611E-8
-8.838030E-1	-6.828824E-8
-8.798142E-1	-6.691292E-8
-8.758271E-1	-6.583113E-8
-8.718038E-1	-6.467209E-8
-8.678149E-1	-6.347562E-8
-8.638257E-1	-6.231259E-8
-8.597712E-1	-6.121974E-8
-8.557786E-1	-6.010163E-8
-8.517584E-1	-5.906519E-8
-8.477672E-1	-5.800942E-8
-8.437768E-1	-5.688387E-8
-8.397557E-1	-5.588111E-8
-8.357311E-1	-5.489455E-8
-8.317114E-1	-5.389508E-8
-8.277190E-1	-5.286162E-8
-8.237315E-1	-5.190560E-8
-8.197083E-1	-5.077470E-8
-8.157194E-1	-4.988377E-8
-8.116619E-1	-4.895153E-8
-8.076755E-1	-4.806158E-8
-8.036527E-1	-4.710942E-8
-7.996637E-1	-4.623456E-8
-7.956732E-1	-4.538287E-8
-7.916865E-1	-4.463753E-8
-7.876629E-1	-4.378270E-8
-7.836046E-1	-4.294371E-8
-7.796157E-1	-4.215006E-8
-7.756261E-1	-4.130964E-8
-7.716042E-1	-4.057776E-8
-7.676151E-1	-3.976725E-8
-7.636272E-1	-3.901812E-8
-7.595682E-1	-3.825154E-8
-7.555788E-1	-3.752918E-8
-7.515563E-1	-3.681674E-8
-7.475698E-1	-3.610954E-8
-7.435795E-1	-3.537832E-8
-7.395589E-1	-3.472079E-8
-7.355356E-1	-3.403503E-8
-7.315107E-1	-3.336292E-8
-7.275249E-1	-3.269583E-8
-7.235328E-1	-3.208831E-8
-7.195119E-1	-3.144748E-8
-7.155202E-1	-3.085528E-8
-7.114663E-1	-3.020299E-8
-7.074737E-1	-2.961883E-8
