Voltage (V)	Current (A)
9.999757E-1	4.194314E-7
9.959553E-1	4.145988E-7
9.919633E-1	4.099380E-7
9.879767E-1	4.051809E-7
9.839170E-1	4.007471E-7
9.799309E-1	3.959090E-7
9.759037E-1	3.912763E-7
9.719213E-1	3.868713E-7
9.678973E-1	3.823933E-7
9.639045E-1	3.778671E-7
9.598504E-1	3.731779E-7
9.558567E-1	3.688486E-7
9.518755E-1	3.646114E-7
9.478475E-1	3.601370E-7
9.438610E-1	3.556404E-7
9.398742E-1	3.514777E-7
9.358174E-1	3.471500E-7
9.318286E-1	3.429399E-7
9.278063E-1	3.386362E-7
9.238157E-1	3.342308E-7
9.198288E-1	3.303858E-7
9.158038E-1	3.264628E-7
9.117494E-1	3.223776E-7
9.077602E-1	3.182910E-7
9.037712E-1	3.142348E-7
8.997497E-1	3.102721E-7
8.957579E-1	3.063666E-7
8.917712E-1	3.024742E-7
8.877498E-1	2.986084E-7
8.837282E-1	2.948680E-7
8.797038E-1	2.911567E-7
8.757169E-1	2.871961E-7
8.717281E-1	2.835959E-7
8.677074E-1	2.798806E-7
8.637172E-1	2.761689E-7
8.596632E-1	2.724781E-7
8.556733E-1	2.689642E-7
8.516490E-1	2.653139E-7
8.476615E-1	2.617930E-7
8.436695E-1	2.582260E-7
8.396490E-1	2.546829E-7
8.356267E-1	2.511788E-7
8.316070E-1	2.477566E-7
8.276148E-1	2.443971E-7
8.236277E-1	2.411071E-7
8.196037E-1	2.377563E-7
8.156168E-1	2.344770E-7
8.115609E-1	2.310858E-7
8.075726E-1	2.279373E-7
8.035509E-1	2.246429E-7
7.995619E-1	2.216296E-7
7.955736E-1	2.184051E-7
7.915494E-1	2.152021E-7
7.875627E-1	2.122587E-7
7.835009E-1	2.090537E-7
7.795147E-1	2.060247E-7
7.755280E-1	2.030825E-7
7.715054E-1	2.000058E-7
7.675157E-1	1.971156E-7
7.635278E-1	1.942356E-7
7.594705E-1	1.912554E-7
7.554488E-1	1.883323E-7
7.514598E-1	1.856165E-7
7.474711E-1	1.827972E-7
7.434504E-1	1.801004E-7
7.394611E-1	1.772111E-7
7.354082E-1	1.744856E-7
7.314165E-1	1.719094E-7
7.274320E-1	1.691119E-7
7.234057E-1	1.664619E-7
7.194167E-1	1.637513E-7
7.154279E-1	1.612670E-7
7.113711E-1	1.586095E-7
7.073499E-1	1.559440E-7
7.033629E-1	1.534742E-7
6.993731E-1	1.510331E-7
6.953519E-1	1.484507E-7
6.913624E-1	1.460450E-7
6.873713E-1	1.436370E-7
6.833171E-1	1.411380E-7
6.793244E-1	1.388351E-7
6.753052E-1	1.363127E-7
6.713130E-1	1.340212E-7
6.673310E-1	1.318145E-7
6.633055E-1	1.294226E-7
6.592504E-1	1.271695E-7
6.552603E-1	1.249667E-7
6.512731E-1	1.226565E-7
6.472489E-1	1.204918E-7
6.432624E-1	1.183330E-7
6.392733E-1	1.161894E-7
6.352159E-1	1.140334E-7
6.312279E-1	1.120193E-7
6.272046E-1	1.098697E-7
6.232172E-1	1.078475E-7
6.192276E-1	1.058485E-7
6.152046E-1	1.038582E-7
6.111485E-1	1.018582E-7
6.071609E-1	9.989204E-8
6.031718E-1	9.796917E-8
5.991529E-1	9.616751E-8
5.951632E-1	9.425089E-8
5.911767E-1	9.240792E-8
5.871513E-1	9.057965E-8
5.831270E-1	8.871751E-8
5.791080E-1	8.700342E-8
5.751161E-1	8.526275E-8
5.711290E-1	8.355709E-8
5.671051E-1	8.181033E-8
5.631199E-1	8.015748E-8
5.590618E-1	7.849810E-8
5.550731E-1	7.693392E-8
5.510483E-1	7.527427E-8
5.470607E-1	7.369260E-8
5.430717E-1	7.218023E-8
5.390515E-1	7.062901E-8
5.350258E-1	6.921246E-8
5.310079E-1	6.769109E-8
5.270180E-1	6.624751E-8
5.230299E-1	6.482901E-8
5.190092E-1	6.348143E-8
5.150192E-1	6.211287E-8
5.109634E-1	6.074624E-8
5.069734E-1	5.941660E-8
5.029524E-1	5.814709E-8
4.989620E-1	5.690581E-8
4.949754E-1	5.565845E-8
4.909514E-1	5.445215E-8
4.869657E-1	5.328370E-8
4.829066E-1	5.211988E-8
4.789163E-1	5.098389E-8
4.749280E-1	4.985593E-8
4.709071E-1	4.880008E-8
4.669223E-1	4.775145E-8
4.629323E-1	4.670788E-8
4.588770E-1	4.567955E-8
4.548524E-1	4.465796E-8
4.508677E-1	4.368244E-8
4.468737E-1	4.272477E-8
4.428528E-1	4.181844E-8
4.388646E-1	4.089460E-8
4.348105E-1	3.997935E-8
4.308177E-1	3.910463E-8
4.268320E-1	3.826227E-8
4.228078E-1	3.740701E-8
4.188192E-1	3.659648E-8
4.148298E-1	3.579469E-8
4.107729E-1	3.502709E-8
4.067507E-1	3.426782E-8
4.027621E-1	3.350364E-8
3.987761E-1	3.276713E-8
3.947513E-1	3.205998E-8
3.907653E-1	3.135431E-8
3.867739E-1	3.065511E-8
3.827225E-1	2.998189E-8
3.787305E-1	2.930598E-8
3.747088E-1	2.865088E-8
3.707191E-1	2.800495E-8
3.667296E-1	2.737519E-8
3.627084E-1	2.674918E-8
3.586523E-1	2.613740E-8
3.546648E-1	2.554840E-8
3.506756E-1	2.494568E-8
3.466553E-1	2.434891E-8
3.426634E-1	2.377135E-8
3.386739E-1	2.321490E-8
3.346193E-1	2.263529E-8
3.306329E-1	2.211364E-8
3.266080E-1	2.154482E-8
3.226223E-1	2.101416E-8
3.186306E-1	2.048262E-8
3.146126E-1	1.992430E-8
3.105542E-1	1.939858E-8
3.065642E-1	1.887458E-8
3.025764E-1	1.838125E-8
2.985503E-1	1.787714E-8
2.945654E-1	1.738285E-8
2.905756E-1	1.688709E-8
2.865558E-1	1.641068E-8
2.825295E-1	1.590526E-8
2.785104E-1	1.544933E-8
2.745178E-1	1.495511E-8
2.705293E-1	1.451860E-8
2.665062E-1	1.406487E-8
2.625207E-1	1.361090E-8
2.584626E-1	1.317110E-8
2.544732E-1	1.271827E-8
2.504532E-1	1.228496E-8
2.464654E-1	1.185584E-8
2.424801E-1	1.141916E-8
2.384557E-1	1.099489E-8
2.344338E-1	1.060784E-8
2.304058E-1	1.018716E-8
2.264220E-1	9.807168E-9
2.224316E-1	9.414388E-9
2.184126E-1	9.035424E-9
2.144200E-1	8.625779E-9
2.103667E-1	8.227837E-9
2.063747E-1	7.876197E-9
2.023501E-1	7.493502E-9
1.983615E-1	7.144911E-9
1.943752E-1	6.799301E-9
1.903549E-1	6.423557E-9
1.863309E-1	6.072209E-9
1.823117E-1	5.746161E-9
1.783242E-1	5.402387E-9
1.743334E-1	5.064393E-9
1.703105E-1	4.750165E-9
1.663207E-1	4.416658E-9
1.623290E-1	4.120026E-9
1.582780E-1	3.804284E-9
1.542519E-1	3.517657E-9
1.502650E-1	3.229234E-9
1.462759E-1	2.982375E-9
1.422498E-1	2.697429E-9
1.382640E-1	2.451068E-9
1.342052E-1	2.258088E-9
1.302171E-1	2.056519E-9
1.262258E-1	1.893035E-9
1.222066E-1	1.721546E-9
1.182158E-1	1.545534E-9
1.142309E-1	1.430567E-9
1.101721E-1	1.314301E-9
1.061518E-1	1.192503E-9
1.021608E-1	1.092619E-9
9.817262E-2	9.921487E-10
9.414525E-2	9.018167E-10
9.016115E-2	8.176445E-10
8.610713E-2	7.389195E-10
8.211665E-2	6.562547E-10
7.813029E-2	5.696104E-10
7.410312E-2	4.888734E-10
7.011922E-2	4.409422E-10
6.612455E-2	3.823279E-10
6.210393E-2	3.286570E-10
5.804740E-2	2.838684E-10
5.406211E-2	2.368592E-10
5.007246E-2	1.893471E-10
4.605106E-2	1.550747E-10
4.205873E-2	1.242380E-10
3.807167E-2	1.009847E-10
3.401718E-2	6.620979E-11
3.002625E-2	4.249555E-11
2.600355E-2	2.900455E-11
2.201541E-2	9.145039E-12
1.803079E-2	-2.376807E-12
1.400373E-2	-1.875878E-11
9.948357E-3	-2.910755E-11
5.954943E-3	-4.808721E-11
1.970737E-3	-5.060109E-11
-2.044486E-3	-8.772463E-11
-6.035525E-3	-6.601942E-11
-1.002656E-2	-6.907796E-11
-1.408298E-2	-8.265415E-11
-1.807443E-2	-1.003380E-10
-2.209459E-2	-1.150465E-10
-2.608146E-2	-1.399799E-10
-3.007675E-2	-1.569094E-10
-3.409953E-2	-1.781551E-10
-3.809354E-2	-2.117207E-10
-4.214631E-2	-2.419341E-10
-4.613752E-2	-2.864370E-10
-5.015452E-2	-3.185361E-10
-5.414776E-2	-3.711682E-10
-5.813471E-2	-4.141626E-10
-6.212286E-2	-4.774809E-10
-6.618395E-2	-5.315798E-10
-7.020482E-2	-5.886542E-10
-7.419811E-2	-6.498346E-10
