Voltage (V)	Current (A)
9.999714E-1	3.504364E-7
9.959508E-1	3.459553E-7
9.919609E-1	3.418926E-7
9.879723E-1	3.376166E-7
9.839121E-1	3.332592E-7
9.799274E-1	3.292729E-7
9.759028E-1	3.252153E-7
9.719148E-1	3.211187E-7
9.678907E-1	3.170807E-7
9.639022E-1	3.130955E-7
9.598488E-1	3.092702E-7
9.558551E-1	3.053613E-7
9.518709E-1	3.014243E-7
9.478440E-1	2.975041E-7
9.438556E-1	2.935079E-7
9.398707E-1	2.898970E-7
9.358122E-1	2.859592E-7
9.318231E-1	2.823813E-7
9.278039E-1	2.787879E-7
9.238133E-1	2.751933E-7
9.198254E-1	2.716449E-7
9.158011E-1	2.680094E-7
9.117476E-1	2.643522E-7
9.077571E-1	2.608018E-7
9.037673E-1	2.573995E-7
8.997470E-1	2.539896E-7
8.957558E-1	2.503506E-7
8.917683E-1	2.469079E-7
8.877454E-1	2.435181E-7
8.837261E-1	2.401943E-7
8.796999E-1	2.368946E-7
8.757129E-1	2.335257E-7
8.717250E-1	2.303668E-7
8.677045E-1	2.272444E-7
8.637160E-1	2.238877E-7
8.596605E-1	2.207485E-7
8.556728E-1	2.175219E-7
8.516449E-1	2.144524E-7
8.476588E-1	2.113587E-7
8.436686E-1	2.081854E-7
8.396490E-1	2.051762E-7
8.356240E-1	2.022568E-7
8.316019E-1	1.992561E-7
8.276119E-1	1.962741E-7
8.236244E-1	1.934485E-7
8.196014E-1	1.906318E-7
8.156160E-1	1.877239E-7
8.115566E-1	1.847491E-7
8.075691E-1	1.820081E-7
8.035480E-1	1.794296E-7
7.995577E-1	1.765611E-7
7.955721E-1	1.738137E-7
7.915467E-1	1.711776E-7
7.875600E-1	1.685519E-7
7.835012E-1	1.657309E-7
7.795141E-1	1.631610E-7
7.755249E-1	1.605694E-7
7.715028E-1	1.580159E-7
7.675126E-1	1.555080E-7
7.635282E-1	1.530365E-7
7.594690E-1	1.505265E-7
7.554481E-1	1.479524E-7
7.514592E-1	1.455902E-7
7.474712E-1	1.431449E-7
7.434502E-1	1.408084E-7
7.394597E-1	1.384120E-7
7.354055E-1	1.360599E-7
7.314162E-1	1.337802E-7
7.274294E-1	1.314269E-7
7.234049E-1	1.292181E-7
7.194163E-1	1.270091E-7
7.154261E-1	1.248835E-7
7.113714E-1	1.226547E-7
7.073489E-1	1.204611E-7
7.033622E-1	1.183712E-7
6.993690E-1	1.162981E-7
6.953502E-1	1.142088E-7
6.913622E-1	1.121602E-7
6.873696E-1	1.100744E-7
6.833147E-1	1.080325E-7
6.793237E-1	1.060594E-7
6.753049E-1	1.041033E-7
6.713145E-1	1.021815E-7
6.673273E-1	1.003583E-7
6.633030E-1	9.844244E-8
6.592492E-1	9.649357E-8
6.552580E-1	9.466046E-8
6.512709E-1	9.283475E-8
6.472470E-1	9.111560E-8
6.432620E-1	8.936775E-8
6.392723E-1	8.765580E-8
6.352126E-1	8.590550E-8
6.312279E-1	8.426463E-8
6.272035E-1	8.255645E-8
6.232157E-1	8.096500E-8
6.192268E-1	7.933175E-8
6.152037E-1	7.776395E-8
6.111478E-1	7.616718E-8
6.071606E-1	7.464811E-8
6.031709E-1	7.311831E-8
5.991509E-1	7.160613E-8
5.951616E-1	7.017208E-8
5.911752E-1	6.873067E-8
5.871507E-1	6.729499E-8
5.831267E-1	6.587650E-8
5.791052E-1	6.454272E-8
5.751153E-1	6.318560E-8
5.711294E-1	6.190760E-8
5.671049E-1	6.059316E-8
5.631178E-1	5.930348E-8
5.590613E-1	5.804880E-8
5.550733E-1	5.680538E-8
