Voltage (V)	Current (A)
9.999640E-1	1.851471E-7
9.959455E-1	1.824005E-7
9.919522E-1	1.798372E-7
9.879650E-1	1.772598E-7
9.839100E-1	1.746995E-7
9.799210E-1	1.719852E-7
9.758953E-1	1.694108E-7
9.719114E-1	1.669427E-7
9.678878E-1	1.644621E-7
9.638952E-1	1.619705E-7
9.598424E-1	1.594941E-7
9.558509E-1	1.570436E-7
9.518653E-1	1.546562E-7
9.478384E-1	1.522179E-7
9.438519E-1	1.498824E-7
9.398633E-1	1.475819E-7
9.358067E-1	1.452119E-7
9.318185E-1	1.429395E-7
9.277975E-1	1.407561E-7
9.238066E-1	1.383847E-7
9.198208E-1	1.361689E-7
9.157961E-1	1.340038E-7
9.117427E-1	1.317432E-7
9.077532E-1	1.296024E-7
9.037622E-1	1.275390E-7
8.997415E-1	1.253966E-7
8.957511E-1	1.232521E-7
8.917641E-1	1.211637E-7
8.877407E-1	1.190815E-7
8.837216E-1	1.170431E-7
8.796948E-1	1.149817E-7
8.757094E-1	1.130443E-7
8.717211E-1	1.110647E-7
8.677006E-1	1.091125E-7
8.637105E-1	1.072264E-7
8.596556E-1	1.053050E-7
8.556656E-1	1.034395E-7
8.516423E-1	1.015360E-7
8.476536E-1	9.973093E-8
8.436643E-1	9.794594E-8
8.396443E-1	9.611120E-8
8.356203E-1	9.431189E-8
8.315998E-1	9.250775E-8
8.276083E-1	9.078059E-8
8.236190E-1	8.916302E-8
8.195963E-1	8.738539E-8
8.156111E-1	8.570829E-8
8.115531E-1	8.405731E-8
8.075670E-1	8.240572E-8
8.035441E-1	8.082678E-8
7.995548E-1	7.928259E-8
7.955699E-1	7.772277E-8
7.915424E-1	7.621921E-8
7.875561E-1	7.472360E-8
7.834987E-1	7.324171E-8
7.795125E-1	7.177664E-8
7.755232E-1	7.035274E-8
7.715009E-1	6.895090E-8
7.675104E-1	6.754831E-8
7.635252E-1	6.622096E-8
7.594669E-1	6.488280E-8
7.554450E-1	6.351591E-8
7.514569E-1	6.227540E-8
7.474669E-1	6.098151E-8
7.434464E-1	5.970139E-8
7.394567E-1	5.851281E-8
7.354046E-1	5.728041E-8
7.314122E-1	5.612692E-8
7.274278E-1	5.493884E-8
7.234030E-1	5.381936E-8
7.194141E-1	5.267808E-8
7.154223E-1	5.158537E-8
7.113686E-1	5.046980E-8
7.073462E-1	4.943204E-8
7.033584E-1	4.842119E-8
6.993681E-1	4.737289E-8
6.953485E-1	4.637166E-8
6.913609E-1	4.539071E-8
6.873671E-1	4.444281E-8
6.833131E-1	4.344110E-8
6.793213E-1	4.252654E-8
6.753035E-1	4.161928E-8
6.713127E-1	4.068204E-8
6.673283E-1	3.984097E-8
6.633023E-1	3.895414E-8
6.592478E-1	3.812070E-8
6.552580E-1	3.728242E-8
6.512696E-1	3.645910E-8
6.472475E-1	3.565003E-8
6.432605E-1	3.485082E-8
6.392717E-1	3.410440E-8
6.352108E-1	3.332390E-8
6.312250E-1	3.259557E-8
6.272026E-1	3.187223E-8
6.232167E-1	3.117752E-8
6.192238E-1	3.047618E-8
6.152042E-1	2.980682E-8
6.111468E-1	2.910737E-8
6.071613E-1	2.848054E-8
6.031706E-1	2.781966E-8
5.991523E-1	2.721477E-8
5.951612E-1	2.658725E-8
5.911737E-1	2.598851E-8
5.871506E-1	2.541001E-8
5.831264E-1	2.483610E-8
5.791056E-1	2.426179E-8
5.751161E-1	2.372243E-8
5.711287E-1	2.316524E-8
5.671054E-1	2.264434E-8
5.631188E-1	2.215316E-8
5.590616E-1	2.164491E-8
5.550730E-1	2.115911E-8
5.510473E-1	2.066839E-8
5.470597E-1	2.021446E-8
5.430698E-1	1.973729E-8
5.390495E-1	1.932384E-8
5.350285E-1	1.887553E-8
5.310074E-1	1.847455E-8
5.270174E-1	1.802428E-8
5.230281E-1	1.765720E-8
5.190082E-1	1.725851E-8
5.150153E-1	1.687300E-8
5.109631E-1	1.652006E-8
5.069734E-1	1.615862E-8
5.029532E-1	1.579616E-8
4.989609E-1	1.542945E-8
4.949736E-1	1.512500E-8
4.909506E-1	1.482601E-8
4.869642E-1	1.448304E-8
4.829052E-1	1.418154E-8
4.789177E-1	1.388370E-8
4.749266E-1	1.363281E-8
4.709063E-1	1.336554E-8
4.669200E-1	1.307657E-8
4.629302E-1	1.281936E-8
4.588764E-1	1.254548E-8
4.548518E-1	1.230117E-8
4.508664E-1	1.207358E-8
4.468739E-1	1.184692E-8
4.428530E-1	1.160159E-8
4.388621E-1	1.138026E-8
4.348086E-1	1.116926E-8
4.308197E-1	1.097210E-8
4.268312E-1	1.075510E-8
4.228067E-1	1.055710E-8
4.188170E-1	1.039919E-8
