Voltage (V)	Current (A)
9.999655E-1	2.032724E-7
9.959484E-1	2.003350E-7
9.919553E-1	1.974664E-7
9.879674E-1	1.946324E-7
9.839072E-1	1.918055E-7
9.799253E-1	1.890733E-7
9.758981E-1	1.861748E-7
9.719117E-1	1.835697E-7
9.678876E-1	1.808543E-7
9.638980E-1	1.781516E-7
9.598435E-1	1.755791E-7
9.558495E-1	1.730174E-7
9.518678E-1	1.703671E-7
9.478405E-1	1.676107E-7
9.438542E-1	1.652156E-7
9.398662E-1	1.626912E-7
9.358106E-1	1.601696E-7
9.318195E-1	1.576186E-7
9.278002E-1	1.551730E-7
9.238088E-1	1.527623E-7
9.198220E-1	1.503161E-7
9.157988E-1	1.480038E-7
9.117431E-1	1.455343E-7
9.077528E-1	1.432563E-7
9.037644E-1	1.409406E-7
8.997443E-1	1.386035E-7
8.957529E-1	1.363723E-7
8.917683E-1	1.341385E-7
8.877433E-1	1.319580E-7
8.837255E-1	1.297038E-7
8.796970E-1	1.274140E-7
8.757123E-1	1.253408E-7
8.717232E-1	1.231787E-7
8.677009E-1	1.210895E-7
8.637131E-1	1.189377E-7
8.596589E-1	1.168864E-7
8.556683E-1	1.148076E-7
8.516423E-1	1.128038E-7
8.476562E-1	1.108314E-7
8.436682E-1	1.088388E-7
8.396443E-1	1.068605E-7
8.356221E-1	1.049614E-7
8.316012E-1	1.030011E-7
8.276092E-1	1.011683E-7
8.236204E-1	9.927804E-8
8.195972E-1	9.747284E-8
8.156129E-1	9.566588E-8
8.115564E-1	9.388545E-8
8.075682E-1	9.207744E-8
8.035452E-1	9.036508E-8
7.995573E-1	8.869084E-8
7.955698E-1	8.701013E-8
7.915454E-1	8.532525E-8
7.875571E-1	8.373240E-8
7.835004E-1	8.211032E-8
7.795123E-1	8.047142E-8
7.755239E-1	7.894643E-8
7.715038E-1	7.740885E-8
7.675128E-1	7.592329E-8
7.635255E-1	7.439426E-8
7.594676E-1	7.290175E-8
7.554454E-1	7.144864E-8
7.514581E-1	7.000627E-8
7.474684E-1	6.862010E-8
7.434466E-1	6.722842E-8
7.394579E-1	6.585199E-8
7.354034E-1	6.449149E-8
7.314153E-1	6.317857E-8
7.274283E-1	6.186001E-8
7.234055E-1	6.057358E-8
7.194164E-1	5.931753E-8
7.154238E-1	5.806955E-8
7.113698E-1	5.686072E-8
7.073469E-1	5.565407E-8
7.033600E-1	5.444897E-8
6.993703E-1	5.330531E-8
6.953501E-1	5.218574E-8
6.913598E-1	5.106023E-8
6.873685E-1	4.996000E-8
6.833144E-1	4.891192E-8
6.793231E-1	4.781626E-8
6.753017E-1	4.677737E-8
6.713137E-1	4.573552E-8
6.673283E-1	4.471055E-8
6.633034E-1	4.375847E-8
6.592498E-1	4.276140E-8
6.552590E-1	4.181582E-8
6.512711E-1	4.088929E-8
6.472462E-1	4.000762E-8
6.432596E-1	3.911894E-8
6.392722E-1	3.825170E-8
6.352143E-1	3.736262E-8
6.312270E-1	3.652789E-8
6.272023E-1	3.567804E-8
6.232163E-1	3.488014E-8
6.192248E-1	3.408644E-8
6.152035E-1	3.332287E-8
6.111465E-1	3.255699E-8
6.071600E-1	3.182662E-8
6.031711E-1	3.105051E-8
5.991501E-1	3.036975E-8
5.951608E-1	2.969401E-8
5.911745E-1	2.898090E-8
5.871505E-1	2.831406E-8
5.831244E-1	2.766595E-8
5.791058E-1	2.701435E-8
5.751143E-1	2.639549E-8
5.711299E-1	2.581894E-8
5.671040E-1	2.518940E-8
5.631175E-1	2.461855E-8
5.590606E-1	2.404790E-8
5.550727E-1	2.349825E-8
5.510496E-1	2.296599E-8
5.470607E-1	2.241715E-8
5.430700E-1	2.192823E-8
5.390497E-1	2.142590E-8
5.350264E-1	2.091934E-8
5.310063E-1	2.044206E-8
5.270178E-1	1.997163E-8
5.230276E-1	1.952498E-8
5.190096E-1	1.909452E-8
5.150177E-1	1.863102E-8
5.109632E-1	1.822698E-8
5.069736E-1	1.782812E-8
5.029533E-1	1.740730E-8
4.989605E-1	1.701004E-8
4.949739E-1	1.664261E-8
4.909512E-1	1.628497E-8
4.869643E-1	1.592729E-8
4.829052E-1	1.558377E-8
4.789181E-1	1.522384E-8
4.749279E-1	1.488430E-8
4.709071E-1	1.456679E-8
4.669214E-1	1.425692E-8
4.629303E-1	1.394892E-8
4.588759E-1	1.364332E-8
4.548536E-1	1.335089E-8
4.508668E-1	1.308764E-8
4.468732E-1	1.280042E-8
4.428545E-1	1.256358E-8
4.388637E-1	1.230444E-8
4.348102E-1	1.208042E-8
4.308207E-1	1.181316E-8
4.268314E-1	1.155703E-8
4.228064E-1	1.132818E-8
4.188194E-1	1.110994E-8
4.148316E-1	1.087983E-8
4.107730E-1	1.065850E-8
4.067497E-1	1.045277E-8
4.027626E-1	1.023018E-8
3.987742E-1	1.002918E-8
3.947508E-1	9.829961E-9
3.907633E-1	9.647200E-9
3.867747E-1	9.427838E-9
3.827221E-1	9.248846E-9
3.787307E-1	9.057918E-9
3.747109E-1	8.874284E-9
3.707178E-1	8.701444E-9
3.667290E-1	8.532902E-9
3.627107E-1	8.338534E-9
3.586529E-1	8.145518E-9
3.546664E-1	8.004522E-9
3.506750E-1	7.832704E-9
3.466561E-1	7.691765E-9
3.426641E-1	7.507949E-9
3.386756E-1	7.361439E-9
3.346183E-1	7.212196E-9
3.306339E-1	7.027225E-9
3.266095E-1	6.887197E-9
3.226217E-1	6.741522E-9
3.186320E-1	6.604476E-9
3.146140E-1	6.415140E-9
3.105538E-1	6.325056E-9
3.065645E-1	6.164166E-9
3.025764E-1	6.038721E-9
2.985514E-1	5.883373E-9
2.945652E-1	5.741084E-9
2.905760E-1	5.595199E-9
2.865551E-1	5.471979E-9
2.825305E-1	5.328435E-9
2.785096E-1	5.224527E-9
2.745190E-1	5.069257E-9
2.705320E-1	4.950060E-9
2.665048E-1	4.823100E-9
2.625206E-1	4.705417E-9
2.584641E-1	4.585460E-9
2.544739E-1	4.448160E-9
2.504537E-1	4.323313E-9
2.464664E-1	4.195265E-9
2.424798E-1	4.065760E-9
2.384556E-1	3.952597E-9
2.344339E-1	3.827698E-9
2.304051E-1	3.725135E-9
2.264228E-1	3.612264E-9
2.224327E-1	3.498597E-9
2.184122E-1	3.366242E-9
2.144227E-1	3.258897E-9
2.103667E-1	3.152014E-9
2.063753E-1	3.035833E-9
2.023485E-1	2.926016E-9
1.983624E-1	2.827269E-9
1.943763E-1	2.708448E-9
1.903569E-1	2.592683E-9
1.863309E-1	2.507253E-9
1.823123E-1	2.392496E-9
1.783240E-1	2.285992E-9
1.743353E-1	2.184557E-9
1.703099E-1	2.088401E-9
1.663208E-1	1.996478E-9
1.623296E-1	1.902166E-9
1.582785E-1	1.809363E-9
1.542532E-1	1.699801E-9
1.502669E-1	1.613031E-9
1.462751E-1	1.523286E-9
1.422504E-1	1.436726E-9
1.382656E-1	1.337428E-9
1.342053E-1	1.245254E-9
1.302173E-1	1.150062E-9
1.262266E-1	1.068697E-9
1.222068E-1	9.912695E-10
1.182166E-1	9.037028E-10
1.142318E-1	8.327702E-10
1.101745E-1	7.577738E-10
1.061534E-1	6.891442E-10
1.021629E-1	6.257951E-10
9.817488E-2	5.653793E-10
9.414919E-2	5.117499E-10
9.016223E-2	4.562355E-10
8.610924E-2	4.023548E-10
8.211955E-2	3.488516E-10
7.813216E-2	3.146631E-10
7.410544E-2	2.718856E-10
7.012114E-2	2.407136E-10
6.612698E-2	2.017488E-10
6.210624E-2	1.792496E-10
5.804944E-2	1.428405E-10
5.406350E-2	1.212632E-10
5.007381E-2	9.490973E-11
4.605343E-2	6.960349E-11
4.205897E-2	4.991145E-11
3.807317E-2	3.947890E-11
3.401805E-2	2.674199E-11
3.002744E-2	1.308344E-11
2.600563E-2	1.991270E-11
2.201799E-2	-1.025364E-11
1.803111E-2	-2.106323E-11
1.400566E-2	-2.734780E-11
9.949529E-3	-3.359060E-11
5.956362E-3	-4.255674E-11
1.970820E-3	-4.590856E-11
-2.043313E-3	-8.948463E-11
-6.034180E-3	-6.317039E-11
-1.002655E-2	-6.974833E-11
-1.408062E-2	-8.160653E-11
-1.807309E-2	-8.223511E-11
-2.209175E-2	-9.623129E-11
-2.607943E-2	-1.163875E-10
-3.007315E-2	-1.163875E-10
-3.409687E-2	-1.362085E-10
-3.809007E-2	-1.494085E-10
-4.214245E-2	-1.600103E-10
-4.613513E-2	-1.838121E-10
-5.015301E-2	-2.065665E-10
-5.414718E-2	-2.281057E-10
-5.813269E-2	-2.606236E-10
-6.212171E-2	-2.898314E-10
-6.617961E-2	-3.320294E-10
-7.020476E-2	-3.398235E-10
-7.419484E-2	-4.026386E-10
-7.818182E-2	-4.221668E-10
-8.220281E-2	-4.608867E-10
-8.619456E-2	-5.022461E-10
-9.025374E-2	-5.633436E-10
-9.423842E-2	-6.250694E-10
-9.823301E-2	-6.833167E-10
-1.022570E-1	-7.424448E-10
-1.062476E-1	-8.027039E-10
-1.102332E-1	-8.871414E-10
-1.142919E-1	-9.735907E-10
-1.182810E-1	-1.055054E-9
-1.223036E-1	-1.126878E-9
-1.262885E-1	-1.232898E-9
-1.302808E-1	-1.310170E-9
-1.343059E-1	-1.409483E-9
-1.382939E-1	-1.518729E-9
-1.423565E-1	-1.620894E-9
-1.463432E-1	-1.733366E-9
-1.503333E-1	-1.839930E-9
-1.543561E-1	-1.957305E-9
-1.583455E-1	-2.086036E-9
-1.623333E-1	-2.209488E-9
-1.663939E-1	-2.327239E-9
-1.704178E-1	-2.448053E-9
-1.744097E-1	-2.572425E-9
-1.783968E-1	-2.708240E-9
-1.824175E-1	-2.839441E-9
-1.864082E-1	-2.982381E-9
-1.904648E-1	-3.133823E-9
-1.944531E-1	-3.269217E-9
-1.984397E-1	-3.412114E-9
-2.024658E-1	-3.551069E-9
-2.064544E-1	-3.734066E-9
-2.104473E-1	-3.863636E-9
-2.145028E-1	-4.072658E-9
-2.184913E-1	-4.179009E-9
-2.225145E-1	-4.361630E-9
-2.265032E-1	-4.500506E-9
-2.304929E-1	-4.665481E-9
-2.345174E-1	-4.827405E-9
-2.385055E-1	-4.982953E-9
-2.425633E-1	-5.171865E-9
-2.465500E-1	-5.325280E-9
-2.505405E-1	-5.533207E-9
-2.545654E-1	-5.690217E-9
-2.585514E-1	-5.846816E-9
-2.625436E-1	-6.030066E-9
-2.665963E-1	-6.211345E-9
-2.706197E-1	-6.395397E-9
-2.746093E-1	-6.568791E-9
-2.786027E-1	-6.748279E-9
-2.826235E-1	-6.946957E-9
-2.866131E-1	-7.116492E-9
-2.906692E-1	-7.286999E-9
-2.946591E-1	-7.490200E-9
-2.986466E-1	-7.671018E-9
-3.026707E-1	-7.838302E-9
-3.066638E-1	-8.062493E-9
-3.106506E-1	-8.234134E-9
-3.147096E-1	-8.439889E-9
-3.186974E-1	-8.635324E-9
-3.227217E-1	-8.857467E-9
-3.267059E-1	-9.058904E-9
-3.307007E-1	-9.256611E-9
-3.347205E-1	-9.432520E-9
-3.387417E-1	-9.645694E-9
-3.427658E-1	-9.851783E-9
-3.467568E-1	-1.010647E-8
-3.507456E-1	-1.032569E-8
-3.547682E-1	-1.054268E-8
-3.587594E-1	-1.075585E-8
-3.627477E-1	-1.097781E-8
-3.668049E-1	-1.122106E-8
-3.708268E-1	-1.147584E-8
-3.748175E-1	-1.169374E-8
-3.788061E-1	-1.193197E-8
-3.827977E-1	-1.216312E-8
-3.868200E-1	-1.241543E-8
-3.908761E-1	-1.267948E-8
-3.948624E-1	-1.295311E-8
-3.988549E-1	-1.320601E-8
-4.028738E-1	-1.348354E-8
-4.068643E-1	-1.376640E-8
-4.108556E-1	-1.406300E-8
-4.149110E-1	-1.432328E-8
-4.189024E-1	-1.460701E-8
-4.229229E-1	-1.489775E-8
-4.269141E-1	-1.520990E-8
-4.309033E-1	-1.548407E-8
-4.349293E-1	-1.579786E-8
-4.389496E-1	-1.610326E-8
-4.429735E-1	-1.645254E-8
-4.469631E-1	-1.675719E-8
-4.509543E-1	-1.710020E-8
-4.549749E-1	-1.741459E-8
-4.589629E-1	-1.774983E-8
