Voltage (V)	Current (A)
-1.000065E+0	-1.973865E-7
-9.960781E-1	-1.949056E-7
-9.920490E-1	-1.925247E-7
-9.880642E-1	-1.900423E-7
-9.840048E-1	-1.875749E-7
-9.800192E-1	-1.850337E-7
-9.760286E-1	-1.827012E-7
-9.720067E-1	-1.803344E-7
-9.680148E-1	-1.779441E-7
-9.640283E-1	-1.757205E-7
-9.599708E-1	-1.734446E-7
-9.559817E-1	-1.712049E-7
-9.519587E-1	-1.688292E-7
-9.479657E-1	-1.665956E-7
-9.439785E-1	-1.643295E-7
-9.399570E-1	-1.621956E-7
-9.359358E-1	-1.599770E-7
-9.319107E-1	-1.577810E-7
-9.279248E-1	-1.556244E-7
-9.239313E-1	-1.535182E-7
-9.199103E-1	-1.514124E-7
-9.159188E-1	-1.493039E-7
-9.118642E-1	-1.471699E-7
-9.078733E-1	-1.452648E-7
-9.038544E-1	-1.432148E-7
-8.998653E-1	-1.411663E-7
-8.958741E-1	-1.392550E-7
-8.918506E-1	-1.372136E-7
-8.878627E-1	-1.352348E-7
-8.838058E-1	-1.333143E-7
-8.798161E-1	-1.313816E-7
-8.758295E-1	-1.295507E-7
-8.718065E-1	-1.276794E-7
-8.678191E-1	-1.258203E-7
-8.638269E-1	-1.240135E-7
-8.597726E-1	-1.221914E-7
-8.557810E-1	-1.204305E-7
-8.517593E-1	-1.186060E-7
-8.477682E-1	-1.168926E-7
-8.437786E-1	-1.151303E-7
-8.397583E-1	-1.134121E-7
-8.357336E-1	-1.117434E-7
-8.317114E-1	-1.100503E-7
-8.277208E-1	-1.083660E-7
-8.237328E-1	-1.066858E-7
-8.197100E-1	-1.050853E-7
-8.157214E-1	-1.035606E-7
-8.116644E-1	-1.019432E-7
-8.076766E-1	-1.003586E-7
-8.036541E-1	-9.881992E-8
-7.996663E-1	-9.728024E-8
-7.956750E-1	-9.578828E-8
-7.916887E-1	-9.432831E-8
-7.876636E-1	-9.282694E-8
-7.836052E-1	-9.132498E-8
-7.796165E-1	-8.985486E-8
-7.756262E-1	-8.845078E-8
-7.716054E-1	-8.702109E-8
-7.676154E-1	-8.563069E-8
-7.636280E-1	-8.423856E-8
-7.595691E-1	-8.297405E-8
-7.555797E-1	-8.159102E-8
-7.515576E-1	-8.024541E-8
-7.475698E-1	-7.887354E-8
-7.435789E-1	-7.762595E-8
-7.395593E-1	-7.631215E-8
-7.355345E-1	-7.502930E-8
-7.315117E-1	-7.374616E-8
-7.275241E-1	-7.250573E-8
-7.235332E-1	-7.132033E-8
-7.195110E-1	-7.009712E-8
-7.155197E-1	-6.887210E-8
-7.114654E-1	-6.771531E-8
-7.074737E-1	-6.647128E-8
-7.034864E-1	-6.533031E-8
-6.994631E-1	-6.424870E-8
-6.954760E-1	-6.311152E-8
-6.914832E-1	-6.201824E-8
-6.874616E-1	-6.087333E-8
-6.834033E-1	-5.979210E-8
-6.794142E-1	-5.873006E-8
-6.754273E-1	-5.767448E-8
-6.714016E-1	-5.663537E-8
-6.674139E-1	-5.559210E-8
-6.634246E-1	-5.460268E-8
-6.593689E-1	-5.358436E-8
-6.553797E-1	-5.262683E-8
-6.513560E-1	-5.164623E-8
-6.473640E-1	-5.071204E-8
-6.433786E-1	-4.976488E-8
-6.393532E-1	-4.880423E-8
-6.353316E-1	-4.790408E-8
-6.313078E-1	-4.701112E-8
-6.273201E-1	-4.610581E-8
-6.233305E-1	-4.526198E-8
-6.193044E-1	-4.436610E-8
-6.153181E-1	-4.350688E-8
-6.112598E-1	-4.262833E-8
-6.072750E-1	-4.181873E-8
-6.032838E-1	-4.102321E-8
-5.992612E-1	-4.022683E-8
-5.952716E-1	-3.941201E-8
-5.912845E-1	-3.867790E-8
-5.872605E-1	-3.785730E-8
-5.832050E-1	-3.714650E-8
-5.792127E-1	-3.637164E-8
-5.752272E-1	-3.566918E-8
-5.712026E-1	-3.497107E-8
-5.672106E-1	-3.424393E-8
-5.632228E-1	-3.357995E-8
-5.591649E-1	-3.286848E-8
-5.551785E-1	-3.221104E-8
-5.511522E-1	-3.153294E-8
-5.471646E-1	-3.091656E-8
-5.431731E-1	-3.027963E-8
-5.391535E-1	-2.961756E-8
-5.351287E-1	-2.897887E-8
-5.311067E-1	-2.840905E-8
-5.271187E-1	-2.782545E-8
-5.231317E-1	-2.722591E-8
-5.191061E-1	-2.664276E-8
-5.151157E-1	-2.608324E-8
-5.110592E-1	-2.553728E-8
-5.070704E-1	-2.498977E-8
-5.030819E-1	-2.445910E-8
-4.990576E-1	-2.393931E-8
-4.950697E-1	-2.342481E-8
-4.910778E-1	-2.295443E-8
-4.870571E-1	-2.243997E-8
-4.829982E-1	-2.197057E-8
-4.790108E-1	-2.148739E-8
-4.750200E-1	-2.105274E-8
-4.710334E-1	-2.061168E-8
-4.670098E-1	-2.021170E-8
-4.630191E-1	-1.977316E-8
-4.589651E-1	-1.935536E-8
-4.549758E-1	-1.894521E-8
-4.509545E-1	-1.854531E-8
-4.469631E-1	-1.814701E-8
-4.429750E-1	-1.779055E-8
-4.389509E-1	-1.739414E-8
-4.349284E-1	-1.700477E-8
-4.309047E-1	-1.668473E-8
-4.269156E-1	-1.631689E-8
-4.229248E-1	-1.598334E-8
-4.189037E-1	-1.565236E-8
-4.149101E-1	-1.529131E-8
-4.108550E-1	-1.499313E-8
-4.068657E-1	-1.465378E-8
-4.028755E-1	-1.435717E-8
-3.988561E-1	-1.405514E-8
-3.948647E-1	-1.374223E-8
-3.908772E-1	-1.345753E-8
-3.868535E-1	-1.317487E-8
-3.827997E-1	-1.288893E-8
-3.788065E-1	-1.261767E-8
-3.748193E-1	-1.235686E-8
-3.708268E-1	-1.207994E-8
-3.668067E-1	-1.182002E-8
-3.628147E-1	-1.155991E-8
-3.587598E-1	-1.132502E-8
-3.547681E-1	-1.107393E-8
-3.507477E-1	-1.086036E-8
-3.467593E-1	-1.058126E-8
-3.427665E-1	-1.035779E-8
-3.387435E-1	-1.009873E-8
-3.347206E-1	-9.870853E-9
-3.307010E-1	-9.671470E-9
-3.267096E-1	-9.446728E-9
-3.227217E-1	-9.241194E-9
-3.186986E-1	-9.031123E-9
-3.147111E-1	-8.820509E-9
-3.106513E-1	-8.602727E-9
-3.066641E-1	-8.399651E-9
-3.026706E-1	-8.189250E-9
-2.986484E-1	-7.987816E-9
-2.946599E-1	-7.769826E-9
-2.906709E-1	-7.572751E-9
-2.866480E-1	-7.380119E-9
-2.826239E-1	-7.200388E-9
-2.786031E-1	-6.991405E-9
-2.746114E-1	-6.811216E-9
-2.706212E-1	-6.624826E-9
-2.665968E-1	-6.424230E-9
-2.626111E-1	-6.244663E-9
-2.585511E-1	-6.083282E-9
-2.545658E-1	-5.885670E-9
-2.505416E-1	-5.717295E-9
-2.465515E-1	-5.544478E-9
-2.425654E-1	-5.374761E-9
-2.385746E-1	-5.170346E-9
-2.345174E-1	-5.001104E-9
-2.304929E-1	-4.836330E-9
-2.265043E-1	-4.680317E-9
-2.225157E-1	-4.510726E-9
-2.184925E-1	-4.357651E-9
-2.145031E-1	-4.182239E-9
-2.104474E-1	-4.020441E-9
-2.064546E-1	-3.875241E-9
-2.024668E-1	-3.720530E-9
-1.984399E-1	-3.553711E-9
-1.944553E-1	-3.412823E-9
-1.904648E-1	-3.282876E-9
-1.864080E-1	-3.137806E-9
-1.824177E-1	-3.001948E-9
-1.783959E-1	-2.856582E-9
-1.744113E-1	-2.720351E-9
-1.704186E-1	-2.583028E-9
-1.663951E-1	-2.447673E-9
-1.624020E-1	-2.323008E-9
-1.583451E-1	-2.212589E-9
-1.543568E-1	-2.097100E-9
-1.503357E-1	-1.967655E-9
-1.463449E-1	-1.864654E-9
-1.423576E-1	-1.759348E-9
-1.383639E-1	-1.639038E-9
-1.343051E-1	-1.536037E-9
-1.302819E-1	-1.419668E-9
-1.262911E-1	-1.330495E-9
-1.223052E-1	-1.231935E-9
-1.182808E-1	-1.136307E-9
-1.142927E-1	-1.048433E-9
-1.102329E-1	-9.680178E-10
-1.062488E-1	-8.850466E-10
-1.022570E-1	-8.228177E-10
-9.823327E-2	-7.437853E-10
-9.423949E-2	-6.719182E-10
-9.025493E-2	-6.054575E-10
-8.619478E-2	-5.533282E-10
-8.220430E-2	-4.977628E-10
-7.818426E-2	-4.649093E-10
-7.419485E-2	-4.183114E-10
