Voltage (V)	Current (A)
-1.000068E+0	-2.467653E-7
-9.960819E-1	-2.439230E-7
-9.920549E-1	-2.410585E-7
-9.880696E-1	-2.380151E-7
-9.840094E-1	-2.349523E-7
-9.800223E-1	-2.322230E-7
-9.760333E-1	-2.291647E-7
-9.720135E-1	-2.263149E-7
-9.680205E-1	-2.234720E-7
-9.640315E-1	-2.206733E-7
-9.599736E-1	-2.179346E-7
-9.559855E-1	-2.151928E-7
-9.519636E-1	-2.124540E-7
-9.479690E-1	-2.098406E-7
-9.439834E-1	-2.072200E-7
-9.399614E-1	-2.044871E-7
-9.359383E-1	-2.017512E-7
-9.319136E-1	-1.990288E-7
-9.279273E-1	-1.964794E-7
-9.239346E-1	-1.939712E-7
-9.199148E-1	-1.915132E-7
-9.159244E-1	-1.889716E-7
-9.118679E-1	-1.864872E-7
-9.078777E-1	-1.838958E-7
-9.038588E-1	-1.815535E-7
-8.998688E-1	-1.790703E-7
-8.958771E-1	-1.766708E-7
-8.918549E-1	-1.742910E-7
-8.878663E-1	-1.719425E-7
-8.838113E-1	-1.695787E-7
-8.798198E-1	-1.671380E-7
-8.758336E-1	-1.648497E-7
-8.718110E-1	-1.625427E-7
-8.678197E-1	-1.604018E-7
-8.638312E-1	-1.582103E-7
-8.597760E-1	-1.559666E-7
-8.557838E-1	-1.537078E-7
-8.517632E-1	-1.514761E-7
-8.477729E-1	-1.494161E-7
-8.437818E-1	-1.472825E-7
-8.397613E-1	-1.453059E-7
-8.357344E-1	-1.429953E-7
-8.317160E-1	-1.410547E-7
-8.277246E-1	-1.389955E-7
-8.237345E-1	-1.369850E-7
-8.197127E-1	-1.350277E-7
-8.157232E-1	-1.330314E-7
-8.116658E-1	-1.310480E-7
-8.076785E-1	-1.291754E-7
-8.036558E-1	-1.271225E-7
-7.996688E-1	-1.253024E-7
-7.956778E-1	-1.233699E-7
-7.916906E-1	-1.216002E-7
-7.876660E-1	-1.196665E-7
-7.836080E-1	-1.178809E-7
-7.796196E-1	-1.160487E-7
-7.756291E-1	-1.142223E-7
-7.716083E-1	-1.125502E-7
-7.676181E-1	-1.108338E-7
-7.636311E-1	-1.089453E-7
-7.595708E-1	-1.073551E-7
-7.555827E-1	-1.056377E-7
-7.515610E-1	-1.040522E-7
-7.475727E-1	-1.023895E-7
-7.435849E-1	-1.006868E-7
-7.395625E-1	-9.918741E-8
-7.355389E-1	-9.750026E-8
-7.315145E-1	-9.598377E-8
-7.275284E-1	-9.444143E-8
-7.235376E-1	-9.276882E-8
-7.195141E-1	-9.131921E-8
-7.155231E-1	-8.978284E-8
-7.114698E-1	-8.824661E-8
-7.074774E-1	-8.679702E-8
-7.034903E-1	-8.543991E-8
-6.994652E-1	-8.401368E-8
-6.954780E-1	-8.262095E-8
-6.914851E-1	-8.120070E-8
-6.874632E-1	-7.987717E-8
-6.834062E-1	-7.837513E-8
-6.794183E-1	-7.707575E-8
-6.754299E-1	-7.567044E-8
-6.714045E-1	-7.435494E-8
-6.674165E-1	-7.296778E-8
-6.634277E-1	-7.180186E-8
-6.593727E-1	-7.053254E-8
-6.553832E-1	-6.930316E-8
-6.513602E-1	-6.804787E-8
-6.473686E-1	-6.677073E-8
-6.433817E-1	-6.596168E-8
-6.393566E-1	-6.445927E-8
-6.353359E-1	-6.322017E-8
-6.313115E-1	-6.210358E-8
-6.273230E-1	-6.092912E-8
-6.233346E-1	-5.983640E-8
-6.193084E-1	-5.858460E-8
-6.153213E-1	-5.762040E-8
-6.112636E-1	-5.647187E-8
-6.072780E-1	-5.542735E-8
-6.032879E-1	-5.438961E-8
-5.992650E-1	-5.339119E-8
-5.952761E-1	-5.230713E-8
-5.912882E-1	-5.126549E-8
