Voltage (V)	Current (A)
9.999743E-1	4.279171E-7
9.959559E-1	4.228664E-7
9.919621E-1	4.179957E-7
9.879757E-1	4.132934E-7
9.839150E-1	4.084584E-7
9.799311E-1	4.038435E-7
9.759049E-1	3.994128E-7
9.719200E-1	3.946331E-7
9.678957E-1	3.900257E-7
9.639082E-1	3.854620E-7
9.598525E-1	3.810536E-7
9.558603E-1	3.763314E-7
9.518744E-1	3.716453E-7
9.478483E-1	3.675003E-7
9.438612E-1	3.630744E-7
9.398729E-1	3.586047E-7
9.358190E-1	3.543811E-7
9.318271E-1	3.498878E-7
9.278071E-1	3.460128E-7
9.238171E-1	3.414559E-7
9.198287E-1	3.374679E-7
9.158026E-1	3.333144E-7
9.117516E-1	3.290149E-7
9.077624E-1	3.250231E-7
9.037718E-1	3.211032E-7
8.997511E-1	3.168662E-7
8.957608E-1	3.129280E-7
8.917738E-1	3.090320E-7
8.877506E-1	3.049646E-7
8.837314E-1	3.011148E-7
8.797040E-1	2.970931E-7
8.757170E-1	2.932722E-7
8.717290E-1	2.895951E-7
8.677084E-1	2.857363E-7
8.637180E-1	2.820199E-7
8.596626E-1	2.783769E-7
8.556753E-1	2.745637E-7
8.516495E-1	2.710324E-7
8.476616E-1	2.675150E-7
8.436729E-1	2.638755E-7
8.396518E-1	2.604695E-7
8.356263E-1	2.569329E-7
8.316081E-1	2.534861E-7
8.276145E-1	2.499300E-7
8.236269E-1	2.465638E-7
8.196041E-1	2.431615E-7
8.156166E-1	2.397588E-7
8.115608E-1	2.362892E-7
8.075749E-1	2.329192E-7
8.035509E-1	2.296347E-7
7.995617E-1	2.263859E-7
7.955760E-1	2.232420E-7
7.915496E-1	2.201226E-7
7.875620E-1	2.169771E-7
7.835050E-1	2.136672E-7
7.795184E-1	2.106832E-7
7.755295E-1	2.077313E-7
7.715061E-1	2.046109E-7
7.675176E-1	2.016485E-7
7.635309E-1	1.987355E-7
7.594715E-1	1.956493E-7
7.554502E-1	1.925667E-7
7.514623E-1	1.896613E-7
7.474732E-1	1.868578E-7
7.434533E-1	1.839518E-7
7.394634E-1	1.812090E-7
7.354088E-1	1.784949E-7
7.314205E-1	1.755782E-7
7.274327E-1	1.728767E-7
7.234076E-1	1.701840E-7
7.194200E-1	1.675718E-7
7.154275E-1	1.648483E-7
