Voltage (V)	Current (A)
9.999719E-1	3.810381E-7
9.959537E-1	3.764000E-7
9.919610E-1	3.720781E-7
9.879758E-1	3.676873E-7
9.839151E-1	3.633131E-7
9.799333E-1	3.588513E-7
9.759059E-1	3.545366E-7
9.719189E-1	3.503322E-7
9.678951E-1	3.460236E-7
9.639060E-1	3.418636E-7
9.598512E-1	3.377492E-7
9.558611E-1	3.336063E-7
9.518749E-1	3.293819E-7
9.478471E-1	3.251924E-7
9.438609E-1	3.209098E-7
9.398720E-1	3.170723E-7
9.358178E-1	3.132918E-7
9.318249E-1	3.092350E-7
9.278064E-1	3.055294E-7
9.238157E-1	3.015184E-7
9.198278E-1	2.976206E-7
9.158033E-1	2.939508E-7
9.117517E-1	2.898367E-7
9.077602E-1	2.860943E-7
9.037685E-1	2.823906E-7
8.997504E-1	2.786756E-7
8.957581E-1	2.751125E-7
8.917720E-1	2.715603E-7
8.877492E-1	2.679572E-7
8.837295E-1	2.644543E-7
8.797035E-1	2.607857E-7
8.757154E-1	2.573617E-7
8.717279E-1	2.539826E-7
8.677068E-1	2.505319E-7
8.637174E-1	2.471338E-7
8.596634E-1	2.437473E-7
8.556734E-1	2.404791E-7
8.516484E-1	2.369277E-7
8.476613E-1	2.337016E-7
8.436701E-1	2.304340E-7
8.396521E-1	2.272150E-7
8.356258E-1	2.241246E-7
8.316080E-1	2.208477E-7
8.276133E-1	2.176670E-7
8.236273E-1	2.146225E-7
8.196034E-1	2.115372E-7
8.156168E-1	2.084991E-7
8.115588E-1	2.054429E-7
8.075725E-1	2.024778E-7
8.035519E-1	1.995064E-7
7.995591E-1	1.965147E-7
7.955740E-1	1.936539E-7
7.915496E-1	1.907149E-7
7.875609E-1	1.880437E-7
7.835045E-1	1.851220E-7
7.795168E-1	1.821739E-7
7.755266E-1	1.794732E-7
7.715069E-1	1.766531E-7
7.675161E-1	1.740001E-7
7.635310E-1	1.712812E-7
7.594705E-1	1.686396E-7
7.554486E-1	1.659336E-7
7.514607E-1	1.633371E-7
7.474737E-1	1.608472E-7
7.434510E-1	1.582377E-7
7.394608E-1	1.557626E-7
7.354073E-1	1.532220E-7
7.314178E-1	1.506197E-7
7.274319E-1	1.482549E-7
7.234063E-1	1.458248E-7
7.194192E-1	1.433288E-7
7.154275E-1	1.409684E-7
7.113739E-1	1.384823E-7
7.073510E-1	1.361216E-7
7.033637E-1	1.339173E-7
6.993728E-1	1.316876E-7
6.953540E-1	1.292726E-7
6.913622E-1	1.271186E-7
6.873710E-1	1.248540E-7
6.833162E-1	1.226645E-7
6.793249E-1	1.204967E-7
6.753065E-1	1.183684E-7
6.713176E-1	1.162814E-7
6.673315E-1	1.141796E-7
6.633056E-1	1.121209E-7
6.592512E-1	1.099754E-7
6.552613E-1	1.080147E-7
6.512745E-1	1.060179E-7
6.472515E-1	1.040936E-7
6.432638E-1	1.021353E-7
6.392757E-1	1.002272E-7
6.352177E-1	9.828013E-8
6.312294E-1	9.649170E-8
6.272053E-1	9.461523E-8
6.232194E-1	9.274959E-8
6.192281E-1	9.095044E-8
6.152078E-1	8.920600E-8
6.111493E-1	8.743383E-8
6.071646E-1	8.575194E-8
6.031740E-1	8.407238E-8
5.991532E-1	8.243680E-8
5.951633E-1	8.080399E-8
5.911776E-1	7.918955E-8
5.871530E-1	7.759520E-8
5.831292E-1	7.601975E-8
5.791068E-1	7.443266E-8
5.751163E-1	7.299615E-8
5.711315E-1	7.143634E-8
5.671072E-1	6.994531E-8
5.631205E-1	6.850594E-8
5.590643E-1	6.706821E-8
5.550747E-1	6.567310E-8
5.510498E-1	6.425106E-8
5.470611E-1	6.291329E-8
5.430729E-1	6.159451E-8
5.390529E-1	6.031051E-8
5.350285E-1	5.900017E-8
5.310093E-1	5.774953E-8
5.270192E-1	5.655270E-8
5.230322E-1	5.534977E-8
5.190117E-1	5.418315E-8
5.150211E-1	5.304151E-8
5.109653E-1	5.186674E-8
5.069767E-1	5.079083E-8
5.029559E-1	4.969632E-8
4.989629E-1	4.863914E-8
4.949764E-1	4.760501E-8
4.909532E-1	4.660556E-8
4.869678E-1	4.564837E-8
4.829088E-1	4.469387E-8
4.789201E-1	4.376310E-8
4.749300E-1	4.285711E-8
4.709104E-1	4.199612E-8
4.669224E-1	4.107979E-8
4.629332E-1	4.024729E-8
4.588792E-1	3.940772E-8
4.548548E-1	3.857888E-8
4.508673E-1	3.778018E-8
4.468761E-1	3.700939E-8
4.428570E-1	3.624062E-8
4.388649E-1	3.549354E-8
4.348112E-1	3.475123E-8
4.308197E-1	3.402659E-8
4.268350E-1	3.333419E-8
4.228094E-1	3.261120E-8
4.188207E-1	3.193047E-8
4.148313E-1	3.125803E-8
4.107729E-1	3.057899E-8
4.067526E-1	2.991674E-8
4.027649E-1	2.925520E-8
3.987783E-1	2.866723E-8
3.947544E-1	2.808511E-8
3.907664E-1	2.745066E-8
3.867756E-1	2.682473E-8
3.827253E-1	2.625830E-8
3.787316E-1	2.565233E-8
3.747130E-1	2.508189E-8
3.707202E-1	2.451049E-8
3.667315E-1	2.396322E-8
3.627126E-1	2.341064E-8
3.586526E-1	2.286117E-8
3.546669E-1	2.229855E-8
3.506767E-1	2.177424E-8
3.466565E-1	2.125902E-8
3.426659E-1	2.078411E-8
3.386771E-1	2.022946E-8
3.346200E-1	1.973994E-8
3.306349E-1	1.924502E-8
3.266101E-1	1.871134E-8
3.226239E-1	1.820254E-8
3.186344E-1	1.771671E-8
3.146147E-1	1.722134E-8
3.105566E-1	1.674548E-8
3.065654E-1	1.627838E-8
3.025780E-1	1.580624E-8
2.985509E-1	1.534310E-8
2.945678E-1	1.487980E-8
2.905766E-1	1.448651E-8
2.865566E-1	1.400767E-8
2.825313E-1	1.357938E-8
2.785111E-1	1.315384E-8
2.745198E-1	1.274562E-8
2.705323E-1	1.232049E-8
2.665075E-1	1.192430E-8
2.625223E-1	1.151794E-8
2.584638E-1	1.110340E-8
2.544751E-1	1.071450E-8
2.504543E-1	1.032577E-8
2.464684E-1	9.962609E-9
2.424807E-1	9.593239E-9
2.384561E-1	9.211427E-9
2.344357E-1	8.829915E-9
2.304060E-1	8.474146E-9
2.264241E-1	8.102397E-9
2.224334E-1	7.769269E-9
2.184130E-1	7.419253E-9
2.144224E-1	7.101962E-9
