Voltage (V)	Current (A)
9.999654E-1	1.774196E-7
9.959494E-1	1.748363E-7
9.919544E-1	1.721943E-7
9.879696E-1	1.697555E-7
9.839094E-1	1.672854E-7
9.799243E-1	1.647714E-7
9.758976E-1	1.623716E-7
9.719114E-1	1.600325E-7
9.678872E-1	1.574193E-7
9.638999E-1	1.550410E-7
9.598441E-1	1.525484E-7
9.558538E-1	1.502527E-7
9.518663E-1	1.479308E-7
9.478401E-1	1.456783E-7
9.438526E-1	1.434186E-7
9.398642E-1	1.411732E-7
9.358098E-1	1.388656E-7
9.318185E-1	1.366888E-7
9.278024E-1	1.344695E-7
9.238080E-1	1.323206E-7
9.198222E-1	1.301161E-7
9.157966E-1	1.279540E-7
9.117431E-1	1.258764E-7
9.077539E-1	1.237239E-7
9.037641E-1	1.217290E-7
8.997431E-1	1.196187E-7
8.957527E-1	1.176100E-7
8.917654E-1	1.156164E-7
8.877413E-1	1.136124E-7
8.837248E-1	1.116421E-7
8.796982E-1	1.096195E-7
8.757103E-1	1.078044E-7
8.717223E-1	1.058815E-7
8.677004E-1	1.039473E-7
8.637112E-1	1.020998E-7
8.596559E-1	1.002949E-7
8.556678E-1	9.847264E-8
8.516431E-1	9.665710E-8
8.476551E-1	9.491101E-8
8.436664E-1	9.315736E-8
8.396469E-1	9.138888E-8
8.356218E-1	8.964950E-8
8.316020E-1	8.798167E-8
8.276109E-1	8.627239E-8
8.236229E-1	8.467811E-8
8.195995E-1	8.302175E-8
8.156141E-1	8.142289E-8
8.115557E-1	7.985782E-8
8.075677E-1	7.831247E-8
8.035465E-1	7.674884E-8
7.995559E-1	7.528672E-8
7.955707E-1	7.373415E-8
7.915451E-1	7.223536E-8
7.875588E-1	7.083641E-8
7.835008E-1	6.941521E-8
7.795129E-1	6.806486E-8
7.755252E-1	6.668538E-8
7.715044E-1	6.535462E-8
7.675129E-1	6.404048E-8
7.635243E-1	6.269688E-8
7.594681E-1	6.136775E-8
7.554463E-1	6.014147E-8
7.514587E-1	5.891940E-8
7.474688E-1	5.766886E-8
7.434493E-1	5.646188E-8
7.394593E-1	5.530458E-8
7.354057E-1	5.409741E-8
7.314147E-1	5.295423E-8
7.274296E-1	5.187990E-8
7.234040E-1	5.077301E-8
7.194164E-1	4.970857E-8
7.154248E-1	4.865981E-8
7.113710E-1	4.759329E-8
7.073482E-1	4.657584E-8
7.033609E-1	4.560139E-8
6.993714E-1	4.464914E-8
6.953505E-1	4.368741E-8
6.913613E-1	4.276311E-8
6.873708E-1	4.185566E-8
6.833146E-1	4.094728E-8
6.793231E-1	4.005930E-8
6.753056E-1	3.920261E-8
6.713154E-1	3.834559E-8
6.673284E-1	3.751568E-8
6.633042E-1	3.670016E-8
6.592500E-1	3.594029E-8
6.552595E-1	3.511844E-8
6.512712E-1	3.432447E-8
6.472479E-1	3.358852E-8
6.432624E-1	3.283705E-8
6.392735E-1	3.213218E-8
6.352152E-1	3.139047E-8
6.312273E-1	3.071764E-8
6.272042E-1	2.998469E-8
6.232173E-1	2.936175E-8
6.192270E-1	2.870680E-8
6.152069E-1	2.808716E-8
6.111491E-1	2.741806E-8
6.071630E-1	2.679374E-8
6.031719E-1	2.619927E-8
5.991523E-1	2.560633E-8
5.951629E-1	2.505237E-8
5.911745E-1	2.445677E-8
5.871504E-1	2.389228E-8
5.831284E-1	2.337642E-8
5.791072E-1	2.283793E-8
5.751171E-1	2.233566E-8
5.711306E-1	2.181971E-8
5.671056E-1	2.130280E-8
5.631194E-1	2.084135E-8
5.590620E-1	2.035877E-8
5.550741E-1	1.993028E-8
5.510485E-1	1.945583E-8
5.470613E-1	1.899734E-8
5.430714E-1	1.856600E-8
5.390525E-1	1.818592E-8
5.350295E-1	1.775484E-8
5.310079E-1	1.736344E-8
5.270197E-1	1.694961E-8
5.230306E-1	1.660645E-8
5.190105E-1	1.622179E-8
5.150203E-1	1.588016E-8
5.109643E-1	1.552745E-8
5.069743E-1	1.516303E-8
5.029535E-1	1.485894E-8
4.989628E-1	1.456452E-8
4.949756E-1	1.422675E-8
4.909529E-1	1.393649E-8
4.869656E-1	1.366108E-8
4.829071E-1	1.337341E-8
4.789187E-1	1.312701E-8
4.749291E-1	1.283692E-8
4.709087E-1	1.256798E-8
4.669222E-1	1.230059E-8
4.629332E-1	1.206897E-8
4.588782E-1	1.183833E-8
