Voltage (V)	Current (A)
-1.000063E+0	-1.649362E-7
-9.960765E-1	-1.627421E-7
-9.920497E-1	-1.606095E-7
-9.880642E-1	-1.584693E-7
-9.840033E-1	-1.563731E-7
-9.800171E-1	-1.542532E-7
-9.760264E-1	-1.522362E-7
-9.720059E-1	-1.501883E-7
-9.680141E-1	-1.480923E-7
-9.640266E-1	-1.460916E-7
-9.599697E-1	-1.440734E-7
-9.559801E-1	-1.421745E-7
-9.519571E-1	-1.401008E-7
-9.479651E-1	-1.382538E-7
-9.439784E-1	-1.363823E-7
-9.399555E-1	-1.344488E-7
-9.359328E-1	-1.325757E-7
-9.319083E-1	-1.307552E-7
-9.279240E-1	-1.288952E-7
-9.239300E-1	-1.270574E-7
-9.199087E-1	-1.252908E-7
-9.159167E-1	-1.235521E-7
-9.118623E-1	-1.217456E-7
-9.078720E-1	-1.199567E-7
-9.038523E-1	-1.181634E-7
-8.998625E-1	-1.164940E-7
-8.958710E-1	-1.148146E-7
-8.918495E-1	-1.131162E-7
-8.878600E-1	-1.114479E-7
-8.838043E-1	-1.098181E-7
-8.798146E-1	-1.081552E-7
-8.758268E-1	-1.065871E-7
-8.718049E-1	-1.049658E-7
-8.678156E-1	-1.033836E-7
-8.638247E-1	-1.017857E-7
-8.597710E-1	-1.002629E-7
-8.557790E-1	-9.876547E-8
-8.517576E-1	-9.725531E-8
-8.477682E-1	-9.575470E-8
-8.437777E-1	-9.428062E-8
-8.397564E-1	-9.280457E-8
-8.357313E-1	-9.134261E-8
-8.317123E-1	-8.994402E-8
-8.277186E-1	-8.853443E-8
-8.237302E-1	-8.713082E-8
-8.197077E-1	-8.577418E-8
-8.157189E-1	-8.443785E-8
-8.116611E-1	-8.307372E-8
-8.076745E-1	-8.175009E-8
-8.036513E-1	-8.046411E-8
-7.996645E-1	-7.914588E-8
-7.956724E-1	-7.787146E-8
-7.916866E-1	-7.665822E-8
-7.876624E-1	-7.537538E-8
-7.836039E-1	-7.412974E-8
-7.796153E-1	-7.292847E-8
-7.756259E-1	-7.169736E-8
-7.716049E-1	-7.053013E-8
-7.676138E-1	-6.936727E-8
-7.636263E-1	-6.819261E-8
-7.595667E-1	-6.708142E-8
-7.555788E-1	-6.595242E-8
-7.515560E-1	-6.480762E-8
-7.475680E-1	-6.370299E-8
-7.435789E-1	-6.265532E-8
-7.395595E-1	-6.157946E-8
-7.355345E-1	-6.050697E-8
-7.315106E-1	-5.946557E-8
-7.275235E-1	-5.844430E-8
-7.235334E-1	-5.743165E-8
-7.195100E-1	-5.645630E-8
-7.155187E-1	-5.546868E-8
-7.114644E-1	-5.447756E-8
-7.074733E-1	-5.353013E-8
-7.034851E-1	-5.260090E-8
-6.994606E-1	-5.167121E-8
-6.954733E-1	-5.071910E-8
-6.914816E-1	-4.978936E-8
-6.874605E-1	-4.896956E-8
-6.834020E-1	-4.803873E-8
-6.794118E-1	-4.717057E-8
-6.754254E-1	-4.632489E-8
-6.714005E-1	-4.545970E-8
-6.674132E-1	-4.462278E-8
-6.634237E-1	-4.385232E-8
-6.593694E-1	-4.301627E-8
-6.553787E-1	-4.225467E-8
-6.513554E-1	-4.145782E-8
-6.473637E-1	-4.069637E-8
-6.433778E-1	-3.993361E-8
-6.393506E-1	-3.919723E-8
-6.353311E-1	-3.849551E-8
-6.313078E-1	-3.774867E-8
-6.273183E-1	-3.702291E-8
-6.233294E-1	-3.634139E-8
-6.193045E-1	-3.568549E-8
-6.153163E-1	-3.503214E-8
-6.112599E-1	-3.436893E-8
-6.072738E-1	-3.372339E-8
-6.032832E-1	-3.308186E-8
-5.992619E-1	-3.246148E-8
-5.952724E-1	-3.185560E-8
-5.912845E-1	-3.127392E-8
-5.872598E-1	-3.069365E-8
-5.832043E-1	-3.009183E-8
-5.792104E-1	-2.953193E-8
-5.752261E-1	-2.897739E-8
-5.712009E-1	-2.843067E-8
-5.672114E-1	-2.790343E-8
-5.632232E-1	-2.736594E-8
-5.591643E-1	-2.687292E-8
-5.551784E-1	-2.633955E-8
-5.511512E-1	-2.587698E-8
