Voltage (V)	Current (A)
-1.000072E+0	-3.719324E-7
-9.960865E-1	-3.681619E-7
-9.920588E-1	-3.637361E-7
-9.880766E-1	-3.600377E-7
-9.840146E-1	-3.556669E-7
-9.800245E-1	-3.515371E-7
-9.760315E-1	-3.481104E-7
-9.720147E-1	-3.438989E-7
-9.680229E-1	-3.399615E-7
-9.640357E-1	-3.361086E-7
-9.599780E-1	-3.322402E-7
-9.559910E-1	-3.281418E-7
-9.519646E-1	-3.241812E-7
-9.479728E-1	-3.209714E-7
-9.439871E-1	-3.169287E-7
-9.399657E-1	-3.135259E-7
-9.359410E-1	-3.098398E-7
-9.319159E-1	-3.060930E-7
-9.279295E-1	-3.021188E-7
-9.239388E-1	-2.988361E-7
-9.199153E-1	-2.953317E-7
-9.159252E-1	-2.918097E-7
-9.118707E-1	-2.880807E-7
-9.078805E-1	-2.840308E-7
-9.038593E-1	-2.810437E-7
-8.998680E-1	-2.772310E-7
-8.958790E-1	-2.745453E-7
-8.918566E-1	-2.709455E-7
-8.878669E-1	-2.674241E-7
-8.838134E-1	-2.642705E-7
-8.798218E-1	-2.611395E-7
-8.758336E-1	-2.578880E-7
-8.718120E-1	-2.540535E-7
-8.678216E-1	-2.515300E-7
-8.638318E-1	-2.483115E-7
-8.597761E-1	-2.448192E-7
-8.557846E-1	-2.414597E-7
-8.517645E-1	-2.383109E-7
-8.477729E-1	-2.356030E-7
-8.437829E-1	-2.321687E-7
-8.397622E-1	-2.292324E-7
-8.357374E-1	-2.269139E-7
-8.317170E-1	-2.238981E-7
-8.277248E-1	-2.203793E-7
-8.237369E-1	-2.179486E-7
-8.197148E-1	-2.146225E-7
-8.157257E-1	-2.118827E-7
-8.116677E-1	-2.095394E-7
-8.076803E-1	-2.067159E-7
-8.036582E-1	-2.039322E-7
-7.996701E-1	-2.012427E-7
-7.956802E-1	-1.981706E-7
-7.916927E-1	-1.951410E-7
-7.876679E-1	-1.924718E-7
-7.836092E-1	-1.904685E-7
-7.796216E-1	-1.878740E-7
-7.756306E-1	-1.853053E-7
-7.716104E-1	-1.822943E-7
-7.676208E-1	-1.798341E-7
-7.636334E-1	-1.775534E-7
-7.595735E-1	-1.753144E-7
-7.555835E-1	-1.721292E-7
-7.515615E-1	-1.700516E-7
-7.475748E-1	-1.679922E-7
-7.435837E-1	-1.655625E-7
-7.395640E-1	-1.633476E-7
-7.355399E-1	-1.601456E-7
-7.315152E-1	-1.578419E-7
-7.275279E-1	-1.561991E-7
-7.235384E-1	-1.539765E-7
-7.195160E-1	-1.516882E-7
-7.155228E-1	-1.491542E-7
-7.114698E-1	-1.472571E-7
-7.074766E-1	-1.452086E-7
-7.034906E-1	-1.430638E-7
-6.994652E-1	-1.409607E-7
-6.954783E-1	-1.383161E-7
-6.914873E-1	-1.360535E-7
-6.874648E-1	-1.346934E-7
-6.834052E-1	-1.326474E-7
-6.794162E-1	-1.299280E-7
-6.754280E-1	-1.286058E-7
-6.714050E-1	-1.266358E-7
-6.674178E-1	-1.246449E-7
-6.634275E-1	-1.218372E-7
-6.593732E-1	-1.206196E-7
-6.553821E-1	-1.187706E-7
-6.513599E-1	-1.169980E-7
-6.473676E-1	-1.144531E-7
-6.433811E-1	-1.131755E-7
-6.393558E-1	-1.114784E-7
-6.353350E-1	-1.090849E-7
-6.313109E-1	-1.077937E-7
-6.273218E-1	-1.054354E-7
-6.233324E-1	-1.042523E-7
-6.193077E-1	-1.018333E-7
-6.153200E-1	-1.008994E-7
-6.112621E-1	-9.922817E-8
-6.072776E-1	-9.728803E-8
-6.032859E-1	-9.561678E-8
-5.992635E-1	-9.464506E-8
-5.952751E-1	-9.311756E-8
-5.912864E-1	-9.138880E-8
-5.872617E-1	-8.936888E-8
-5.832071E-1	-8.838869E-8
-5.792144E-1	-8.685983E-8
-5.752267E-1	-8.538196E-8
-5.712029E-1	-8.330878E-8
-5.672135E-1	-8.182921E-8
-5.632246E-1	-8.046297E-8
-5.591672E-1	-7.899630E-8
-5.551798E-1	-7.771127E-8
-5.511535E-1	-7.682688E-8
-5.471664E-1	-7.532466E-8
-5.431730E-1	-7.407336E-8
-5.391536E-1	-7.217727E-8
-5.351305E-1	-7.141556E-8
-5.311086E-1	-6.957361E-8
-5.271192E-1	-6.828756E-8
-5.231329E-1	-6.698479E-8
-5.191091E-1	-6.576189E-8
-5.151174E-1	-6.451072E-8
-5.110611E-1	-6.344894E-8
-5.070721E-1	-6.210538E-8
-5.030845E-1	-6.140345E-8
-4.990594E-1	-5.977034E-8
-4.950719E-1	-5.857916E-8
-4.910796E-1	-5.746571E-8
-4.870596E-1	-5.632820E-8
-4.829999E-1	-5.516997E-8
-4.790136E-1	-5.410508E-8
-4.750210E-1	-5.300237E-8
-4.710354E-1	-5.193392E-8
-4.670109E-1	-5.130456E-8
-4.630209E-1	-5.012245E-8
-4.589674E-1	-4.878463E-8
-4.549786E-1	-4.786132E-8
-4.509549E-1	-4.677133E-8
-4.469651E-1	-4.579791E-8
-4.429779E-1	-4.501674E-8
-4.389514E-1	-4.418655E-8
-4.349292E-1	-4.292501E-8
-4.309057E-1	-4.193423E-8
-4.269168E-1	-4.116770E-8
-4.229269E-1	-4.017307E-8
-4.189042E-1	-3.951551E-8
-4.149128E-1	-3.852090E-8
-4.108583E-1	-3.750900E-8
-4.068667E-1	-3.654098E-8
-4.028763E-1	-3.565659E-8
-3.988562E-1	-3.497880E-8
-3.948658E-1	-3.395263E-8
-3.908785E-1	-3.339556E-8
-3.868548E-1	-3.238746E-8
-3.828005E-1	-3.170985E-8
-3.788070E-1	-3.071917E-8
-3.748201E-1	-2.993323E-8
-3.708282E-1	-2.915522E-8
-3.668064E-1	-2.843596E-8
-3.628148E-1	-2.765848E-8
-3.587603E-1	-2.688956E-8
-3.547712E-1	-2.635004E-8
-3.507482E-1	-2.548028E-8
-3.467596E-1	-2.479025E-8
-3.427686E-1	-2.409069E-8
-3.387448E-1	-2.352013E-8
-3.347224E-1	-2.271996E-8
-3.307014E-1	-2.218894E-8
-3.267096E-1	-2.154996E-8
-3.227234E-1	-2.076972E-8
-3.186980E-1	-2.023049E-8
-3.147112E-1	-1.954153E-8
-3.106524E-1	-1.894129E-8
-3.066654E-1	-1.835091E-8
-3.026710E-1	-1.780211E-8
-2.986490E-1	-1.717832E-8
-2.946603E-1	-1.658872E-8
-2.906717E-1	-1.609525E-8
-2.866479E-1	-1.551495E-8
-2.826244E-1	-1.495704E-8
-2.786054E-1	-1.443185E-8
-2.746098E-1	-1.392397E-8
-2.706205E-1	-1.346490E-8
-2.665969E-1	-1.293974E-8
-2.626102E-1	-1.246471E-8
-2.585504E-1	-1.199596E-8
-2.545661E-1	-1.153350E-8
-2.505421E-1	-1.107318E-8
-2.465500E-1	-1.063980E-8
-2.425646E-1	-1.017562E-8
-2.385744E-1	-9.767016E-9
-2.345170E-1	-9.340881E-9
-2.304920E-1	-8.917223E-9
-2.265042E-1	-8.531733E-9
-2.225142E-1	-8.144880E-9
-2.184926E-1	-7.749338E-9
-2.145030E-1	-7.379526E-9
-2.104478E-1	-7.028744E-9
-2.064536E-1	-6.673889E-9
-2.024673E-1	-6.323318E-9
-1.984392E-1	-5.996251E-9
-1.944526E-1	-5.678612E-9
-1.904645E-1	-5.387707E-9
-1.864065E-1	-5.080845E-9
-1.824176E-1	-4.794255E-9
-1.783956E-1	-4.531891E-9
-1.744113E-1	-4.270699E-9
-1.704179E-1	-4.021871E-9
-1.663941E-1	-3.768767E-9
-1.624001E-1	-3.531791E-9
-1.583460E-1	-3.303497E-9
-1.543582E-1	-3.112453E-9
-1.503354E-1	-2.894967E-9
-1.463434E-1	-2.709832E-9
-1.423557E-1	-2.522308E-9
-1.383632E-1	-2.350579E-9
-1.343052E-1	-2.196622E-9
-1.302813E-1	-2.033236E-9
-1.262904E-1	-1.887577E-9
-1.223050E-1	-1.761609E-9
-1.182799E-1	-1.630198E-9
-1.142930E-1	-1.516928E-9
-1.102329E-1	-1.411789E-9
-1.062501E-1	-1.305728E-9
-1.022578E-1	-1.196943E-9
-9.823288E-2	-1.103497E-9
-9.423899E-2	-1.025762E-9
-9.025405E-2	-9.315193E-10
-8.619571E-2	-8.541625E-10
-8.220399E-2	-7.908862E-10
-7.818323E-2	-7.118545E-10
-7.419445E-2	-6.504633E-10
-7.020582E-2	-5.884865E-10
-6.618048E-2	-5.389554E-10
-6.218996E-2	-4.708597E-10
-5.813206E-2	-4.229208E-10
-5.414695E-2	-3.697440E-10
-5.015245E-2	-3.218467E-10
-4.613462E-2	-2.824562E-10
-4.214474E-2	-2.349780E-10
-3.815791E-2	-2.043454E-10
-3.409791E-2	-1.796217E-10
-3.007410E-2	-1.541856E-10
-2.608226E-2	-1.235532E-10
-2.209352E-2	-1.000446E-10
-1.807460E-2	-8.638368E-11
-1.408322E-2	-7.360292E-11
-1.002680E-2	-6.497199E-11
-6.034431E-3	-5.081056E-11
-2.042394E-3	-4.016854E-11
1.972580E-3	-3.466172E-12
5.956952E-3	-3.824125E-11
9.949519E-3	-2.353520E-11
1.400522E-2	-8.703406E-12
1.803196E-2	7.385335E-12
2.201689E-2	2.075060E-11
2.600691E-2	4.149014E-11
3.002902E-2	5.464590E-11
3.401849E-2	8.263355E-11
3.800457E-2	1.161100E-10
4.206054E-2	1.399075E-10
4.605451E-2	1.706607E-10
5.007304E-2	2.147790E-10
5.406302E-2	2.612436E-10
5.804934E-2	2.983646E-10
6.207199E-2	3.488095E-10
6.612674E-2	4.063773E-10
7.012017E-2	4.745444E-10
7.410479E-2	5.335363E-10
7.813225E-2	6.179613E-10
8.211811E-2	6.852070E-10
8.610907E-2	7.591563E-10
9.016319E-2	8.411913E-10
9.414902E-2	9.309364E-10
9.817357E-2	1.024955E-9
1.021637E-1	1.137576E-9
1.061539E-1	1.239807E-9
1.101742E-1	1.361393E-9
1.142319E-1	1.483609E-9
1.182180E-1	1.619274E-9
1.222086E-1	1.764910E-9
1.262259E-1	1.941299E-9
1.302177E-1	2.102897E-9
1.342058E-1	2.320473E-9
1.382337E-1	2.536165E-9
1.422508E-1	2.781054E-9
1.462767E-1	3.033488E-9
1.502666E-1	3.297566E-9
1.542554E-1	3.563620E-9
1.582790E-1	3.883299E-9
1.622617E-1	4.170718E-9
1.663219E-1	4.492866E-9
1.703118E-1	4.814016E-9
1.743372E-1	5.145933E-9
1.783251E-1	5.480522E-9
1.823137E-1	5.830033E-9
1.863332E-1	6.180088E-9
1.903554E-1	6.540447E-9
1.943772E-1	6.894651E-9
1.983638E-1	7.275885E-9
2.023516E-1	7.653841E-9
2.063760E-1	8.022744E-9
2.103703E-1	8.396771E-9
2.144226E-1	8.782401E-9
2.184133E-1	9.140911E-9
2.224311E-1	9.526321E-9
2.264242E-1	9.960639E-9
2.304073E-1	1.038511E-8
2.344346E-1	1.080748E-8
2.384233E-1	1.118133E-8
2.424810E-1	1.164011E-8
2.464676E-1	1.208833E-8
2.504542E-1	1.251699E-8
2.544757E-1	1.298746E-8
2.584646E-1	1.340463E-8
2.624555E-1	1.385509E-8
2.665075E-1	1.435436E-8
2.705315E-1	1.480846E-8
2.745197E-1	1.529142E-8
2.785126E-1	1.575371E-8
2.825308E-1	1.622744E-8
2.865227E-1	1.671917E-8
2.905773E-1	1.721381E-8
2.945688E-1	1.773020E-8
2.985527E-1	1.821985E-8
3.025778E-1	1.875437E-8
3.065657E-1	1.927695E-8
3.105568E-1	1.978521E-8
3.146129E-1	2.034712E-8
3.186330E-1	2.090435E-8
3.226233E-1	2.143634E-8
3.266097E-1	2.201120E-8
3.306369E-1	2.254998E-8
3.346210E-1	2.313369E-8
3.386756E-1	2.370405E-8
3.426643E-1	2.429591E-8
3.466572E-1	2.488829E-8
3.506774E-1	2.547117E-8
3.546674E-1	2.606818E-8
3.586539E-1	2.667441E-8
3.626779E-1	2.731822E-8
3.667301E-1	2.796732E-8
3.707204E-1	2.859887E-8
3.747122E-1	2.926886E-8
3.787314E-1	2.993629E-8
3.827239E-1	3.061436E-8
3.867097E-1	3.130044E-8
3.907656E-1	3.204130E-8
3.947544E-1	3.274337E-8
3.987764E-1	3.346859E-8
4.027647E-1	3.427514E-8
4.067523E-1	3.497484E-8
4.107736E-1	3.577765E-8
4.148317E-1	3.655720E-8
4.188194E-1	3.740832E-8
4.228086E-1	3.820406E-8
4.268338E-1	3.905679E-8
4.308199E-1	3.988975E-8
4.348116E-1	4.079714E-8
4.388647E-1	4.168548E-8
4.428562E-1	4.258696E-8
4.468766E-1	4.359250E-8
4.508688E-1	4.453372E-8
4.548549E-1	4.553647E-8
4.588779E-1	4.655051E-8
4.628655E-1	4.758096E-8
4.669229E-1	4.866603E-8
4.709084E-1	4.973232E-8
4.749291E-1	5.083626E-8
4.789210E-1	5.193669E-8
4.829090E-1	5.311613E-8
4.869332E-1	5.431338E-8
4.909532E-1	5.552572E-8
4.949773E-1	5.674088E-8
4.989637E-1	5.800971E-8
5.029553E-1	5.929886E-8
5.069748E-1	6.059853E-8
5.109661E-1	6.187610E-8
5.150204E-1	6.327485E-8
5.190102E-1	6.466526E-8
5.230321E-1	6.613375E-8
5.270181E-1	6.750566E-8
5.310106E-1	6.898615E-8
5.350302E-1	7.047957E-8
5.390539E-1	7.203213E-8
5.430724E-1	7.361184E-8
5.470631E-1	7.516065E-8
5.510521E-1	7.676174E-8
5.550767E-1	7.834898E-8
5.590649E-1	7.999050E-8
5.630540E-1	8.170620E-8
5.671086E-1	8.343027E-8
