Voltage (V)	Current (A)
-1.000093E+0	-7.858986E-7
-9.961064E-1	-7.783946E-7
-9.920794E-1	-7.708169E-7
-9.880928E-1	-7.635809E-7
-9.840332E-1	-7.561006E-7
-9.800476E-1	-7.481520E-7
-9.760544E-1	-7.408603E-7
-9.720339E-1	-7.333979E-7
-9.680437E-1	-7.264459E-7
-9.640554E-1	-7.192509E-7
-9.599972E-1	-7.118906E-7
-9.560085E-1	-7.047774E-7
-9.519853E-1	-6.972894E-7
-9.479945E-1	-6.900320E-7
-9.440059E-1	-6.831834E-7
-9.399868E-1	-6.764086E-7
-9.359607E-1	-6.694278E-7
-9.319363E-1	-6.623797E-7
-9.279510E-1	-6.551998E-7
-9.239558E-1	-6.484532E-7
-9.199361E-1	-6.415020E-7
-9.159433E-1	-6.349616E-7
-9.118897E-1	-6.278522E-7
-9.078970E-1	-6.211441E-7
-9.038770E-1	-6.144445E-7
-8.998865E-1	-6.081561E-7
-8.958956E-1	-6.014182E-7
-8.918752E-1	-5.948358E-7
-8.878850E-1	-5.884821E-7
-8.838301E-1	-5.819789E-7
-8.798386E-1	-5.755978E-7
-8.758507E-1	-5.690156E-7
-8.718281E-1	-5.627576E-7
-8.678397E-1	-5.564822E-7
-8.638461E-1	-5.502443E-7
-8.597944E-1	-5.435614E-7
-8.558025E-1	-5.376837E-7
-8.517808E-1	-5.314591E-7
-8.477896E-1	-5.253219E-7
-8.437997E-1	-5.193230E-7
-8.397782E-1	-5.132538E-7
-8.357518E-1	-5.073389E-7
-8.317319E-1	-5.011912E-7
-8.277393E-1	-4.952967E-7
-8.237517E-1	-4.892598E-7
-8.197286E-1	-4.833240E-7
-8.157411E-1	-4.777503E-7
-8.116816E-1	-4.721316E-7
-8.076947E-1	-4.662728E-7
-8.036724E-1	-4.605105E-7
-7.996836E-1	-4.548887E-7
-7.956941E-1	-4.493518E-7
-7.917066E-1	-4.436177E-7
-7.876808E-1	-4.380227E-7
-7.836235E-1	-4.326478E-7
-7.796336E-1	-4.271852E-7
-7.756435E-1	-4.217235E-7
-7.716248E-1	-4.162497E-7
-7.676321E-1	-4.110090E-7
-7.636447E-1	-4.056922E-7
-7.595862E-1	-4.004485E-7
-7.555972E-1	-3.953368E-7
-7.515744E-1	-3.898729E-7
-7.475869E-1	-3.850089E-7
-7.435973E-1	-3.798517E-7
-7.395751E-1	-3.748352E-7
-7.355528E-1	-3.698458E-7
-7.315269E-1	-3.647686E-7
-7.275396E-1	-3.597962E-7
-7.235498E-1	-3.548119E-7
-7.195281E-1	-3.500336E-7
-7.155360E-1	-3.453550E-7
-7.114818E-1	-3.405932E-7
-7.074885E-1	-3.358045E-7
-7.035015E-1	-3.311442E-7
-6.994770E-1	-3.265565E-7
-6.954885E-1	-3.219859E-7
-6.914979E-1	-3.174154E-7
-6.874753E-1	-3.129806E-7
-6.834171E-1	-3.082891E-7
-6.794265E-1	-3.040084E-7
-6.754393E-1	-2.997532E-7
-6.714157E-1	-2.953771E-7
-6.674274E-1	-2.909289E-7
-6.634395E-1	-2.867260E-7
-6.593834E-1	-2.824432E-7
-6.553918E-1	-2.782150E-7
-6.513684E-1	-2.741411E-7
-6.473764E-1	-2.700464E-7
-6.433902E-1	-2.658617E-7
-6.393658E-1	-2.619996E-7
-6.353451E-1	-2.578555E-7
-6.313192E-1	-2.539201E-7
-6.273293E-1	-2.500201E-7
-6.233422E-1	-2.462666E-7
-6.193159E-1	-2.423117E-7
-6.153300E-1	-2.381685E-7
-6.112717E-1	-2.343934E-7
-6.072859E-1	-2.306506E-7
-6.032944E-1	-2.271705E-7
-5.992732E-1	-2.232873E-7
-5.952830E-1	-2.197725E-7
-5.912947E-1	-2.160397E-7
-5.872720E-1	-2.128180E-7
-5.832153E-1	-2.091701E-7
-5.792234E-1	-2.055453E-7
-5.752367E-1	-2.021839E-7
-5.712120E-1	-1.986867E-7
-5.672214E-1	-1.953526E-7
-5.632340E-1	-1.921779E-7
-5.591739E-1	-1.889212E-7
-5.551869E-1	-1.856494E-7
-5.511621E-1	-1.821345E-7
-5.471737E-1	-1.790679E-7
-5.431809E-1	-1.761832E-7
-5.391610E-1	-1.726017E-7
-5.351366E-1	-1.698450E-7
-5.311154E-1	-1.665434E-7
-5.271265E-1	-1.631920E-7
-5.231397E-1	-1.604351E-7
-5.191148E-1	-1.576719E-7
-5.151237E-1	-1.546369E-7
-5.110689E-1	-1.520346E-7
-5.070777E-1	-1.488179E-7
-5.030918E-1	-1.459054E-7
-4.990665E-1	-1.432291E-7
-4.950783E-1	-1.403396E-7
-4.910856E-1	-1.377884E-7
-4.870666E-1	-1.351177E-7
-4.830056E-1	-1.321589E-7
-4.790186E-1	-1.298311E-7
-4.750287E-1	-1.269738E-7
-4.710408E-1	-1.244937E-7
-4.670158E-1	-1.220770E-7
-4.630260E-1	-1.195115E-7
-4.589728E-1	-1.170126E-7
-4.549836E-1	-1.143892E-7
-4.509613E-1	-1.118514E-7
-4.469703E-1	-1.095418E-7
-4.429826E-1	-1.070238E-7
-4.389575E-1	-1.046706E-7
-4.349345E-1	-1.022407E-7
-4.309109E-1	-9.976172E-8
-4.269218E-1	-9.777441E-8
-4.229305E-1	-9.542678E-8
-4.189091E-1	-9.332295E-8
-4.149183E-1	-9.101284E-8
-4.108617E-1	-8.875020E-8
-4.068693E-1	-8.671867E-8
-4.028804E-1	-8.456376E-8
-3.988611E-1	-8.234740E-8
-3.948689E-1	-8.051779E-8
-3.908831E-1	-7.837691E-8
-3.868597E-1	-7.638756E-8
-3.828049E-1	-7.448761E-8
-3.788115E-1	-7.247491E-8
-3.748245E-1	-7.056919E-8
-3.708330E-1	-6.870850E-8
-3.668126E-1	-6.692071E-8
-3.628199E-1	-6.502134E-8
-3.587651E-1	-6.332510E-8
-3.547742E-1	-6.145474E-8
-3.507527E-1	-5.977383E-8
-3.467639E-1	-5.802780E-8
-3.427717E-1	-5.637877E-8
-3.387482E-1	-5.476232E-8
-3.347258E-1	-5.317834E-8
-3.307056E-1	-5.158951E-8
-3.267140E-1	-4.995345E-8
-3.227253E-1	-4.849418E-8
-3.187028E-1	-4.701518E-8
-3.147161E-1	-4.556029E-8
-3.106561E-1	-4.403745E-8
-3.066680E-1	-4.266575E-8
-3.026760E-1	-4.135317E-8
-2.986528E-1	-4.000868E-8
-2.946643E-1	-3.872791E-8
-2.906752E-1	-3.738813E-8
-2.866537E-1	-3.606936E-8
-2.826275E-1	-3.494008E-8
-2.786068E-1	-3.369237E-8
-2.746148E-1	-3.247129E-8
-2.706243E-1	-3.132821E-8
-2.666006E-1	-3.020007E-8
-2.626151E-1	-2.911241E-8
-2.585560E-1	-2.799785E-8
-2.545699E-1	-2.694880E-8
-2.505450E-1	-2.596452E-8
-2.465544E-1	-2.493670E-8
-2.425702E-1	-2.395183E-8
-2.385783E-1	-2.302949E-8
-2.345211E-1	-2.209859E-8
-2.304963E-1	-2.117378E-8
-2.265086E-1	-2.034083E-8
-2.225186E-1	-1.951913E-8
-2.184955E-1	-1.868093E-8
-2.145059E-1	-1.790783E-8
-2.104528E-1	-1.711433E-8
-2.064587E-1	-1.635241E-8
-2.024703E-1	-1.563018E-8
-1.984446E-1	-1.493638E-8
-1.944591E-1	-1.425721E-8
-1.904689E-1	-1.360283E-8
-1.864128E-1	-1.294693E-8
-1.824211E-1	-1.236618E-8
-1.784004E-1	-1.176334E-8
-1.744136E-1	-1.119247E-8
-1.704216E-1	-1.063014E-8
-1.663983E-1	-1.009442E-8
-1.624048E-1	-9.553857E-9
-1.583508E-1	-9.021754E-9
-1.543614E-1	-8.542147E-9
-1.503385E-1	-8.079065E-9
-1.463470E-1	-7.615467E-9
-1.423600E-1	-7.193948E-9
-1.383660E-1	-6.778882E-9
-1.343073E-1	-6.350153E-9
-1.302844E-1	-5.973471E-9
-1.262940E-1	-5.582326E-9
-1.223055E-1	-5.231252E-9
-1.182832E-1	-4.891235E-9
-1.142947E-1	-4.548787E-9
-1.102363E-1	-4.238025E-9
-1.062512E-1	-3.948127E-9
-1.022605E-1	-3.657344E-9
-9.823675E-2	-3.364348E-9
-9.424296E-2	-3.101898E-9
-9.025840E-2	-2.864927E-9
-8.619760E-2	-2.628455E-9
-8.220827E-2	-2.398779E-9
-7.818874E-2	-2.192855E-9
-7.419901E-2	-1.995527E-9
-7.020944E-2	-1.794467E-9
-6.618500E-2	-1.640215E-9
-6.219440E-2	-1.476869E-9
-5.813650E-2	-1.323456E-9
-5.414953E-2	-1.180436E-9
-5.015776E-2	-1.044034E-9
-4.613926E-2	-9.205828E-10
-4.214725E-2	-8.024538E-10
-3.816232E-2	-7.015469E-10
-3.410150E-2	-6.014358E-10
-3.007757E-2	-5.137711E-10
-2.608416E-2	-4.341097E-10
-2.209647E-2	-3.630810E-10
-1.807733E-2	-2.978357E-10
-1.408593E-2	-2.315001E-10
-1.002934E-2	-1.795382E-10
-6.038541E-3	-1.212904E-10
-2.046751E-3	-6.715065E-11
1.967895E-3	1.664486E-11
5.953283E-3	3.403254E-11
9.945522E-3	9.264739E-11
1.400081E-2	1.479105E-10
1.802882E-2	2.095004E-10
2.201293E-2	2.766204E-10
2.600092E-2	3.519110E-10
3.002498E-2	4.356228E-10
3.401504E-2	5.130077E-10
3.799974E-2	6.098331E-10
4.205612E-2	7.112678E-10
4.604841E-2	8.264455E-10
5.006976E-2	9.389405E-10
5.406195E-2	1.080304E-9
5.804581E-2	1.211779E-9
6.206829E-2	1.363868E-9
6.612222E-2	1.528819E-9
7.011655E-2	1.694692E-9
7.410169E-2	1.884657E-9
7.812814E-2	2.086521E-9
8.211580E-2	2.302419E-9
8.610635E-2	2.529297E-9
9.015948E-2	2.787807E-9
9.414496E-2	3.039149E-9
9.816994E-2	3.312577E-9
1.021604E-1	3.614702E-9
1.061512E-1	3.929353E-9
1.101705E-1	4.269605E-9
1.142294E-1	4.644927E-9
1.182143E-1	5.018902E-9
1.222051E-1	5.433019E-9
1.262244E-1	5.886568E-9
1.302153E-1	6.337303E-9
1.342025E-1	6.829516E-9
1.382295E-1	7.377792E-9
1.422497E-1	7.911491E-9
1.462743E-1	8.502792E-9
1.502649E-1	9.084919E-9
1.542510E-1	9.723610E-9
1.582779E-1	1.038589E-8
