Voltage (V)	Current (A)
9.999830E-1	6.949462E-7
9.959638E-1	6.874225E-7
9.919726E-1	6.798809E-7
9.879844E-1	6.724403E-7
9.839260E-1	6.650312E-7
9.799374E-1	6.579232E-7
9.759164E-1	6.503794E-7
9.719279E-1	6.432268E-7
9.679035E-1	6.358630E-7
9.639167E-1	6.284532E-7
9.598623E-1	6.215519E-7
9.558622E-1	6.144231E-7
9.518805E-1	6.071945E-7
9.478534E-1	6.001956E-7
9.438683E-1	5.932077E-7
9.398778E-1	5.864301E-7
9.358228E-1	5.792219E-7
9.318342E-1	5.726558E-7
9.278121E-1	5.658272E-7
9.238206E-1	5.589441E-7
9.198358E-1	5.521881E-7
9.158116E-1	5.455444E-7
9.117574E-1	5.390210E-7
9.077669E-1	5.321535E-7
9.037768E-1	5.256718E-7
8.997573E-1	5.189830E-7
8.957666E-1	5.126922E-7
8.917781E-1	5.059885E-7
8.877556E-1	4.994523E-7
8.837350E-1	4.930858E-7
8.797110E-1	4.869381E-7
8.757223E-1	4.807205E-7
8.717344E-1	4.744539E-7
8.677126E-1	4.682671E-7
8.637227E-1	4.621570E-7
8.596688E-1	4.559927E-7
8.556792E-1	4.500844E-7
8.516544E-1	4.439812E-7
8.476675E-1	4.379753E-7
8.436781E-1	4.320267E-7
8.396586E-1	4.260411E-7
8.356310E-1	4.202087E-7
8.316118E-1	4.143023E-7
8.276189E-1	4.084829E-7
8.236328E-1	4.028800E-7
8.196076E-1	3.970547E-7
8.156224E-1	3.914961E-7
8.115662E-1	3.856107E-7
8.075765E-1	3.800661E-7
8.035562E-1	3.747751E-7
7.995668E-1	3.694421E-7
7.955797E-1	3.641277E-7
7.915530E-1	3.586961E-7
7.875686E-1	3.533301E-7
7.835079E-1	3.479694E-7
7.795208E-1	3.425548E-7
7.755315E-1	3.376086E-7
7.715114E-1	3.325551E-7
7.675192E-1	3.275035E-7
7.635316E-1	3.225481E-7
7.594746E-1	3.175220E-7
7.554545E-1	3.124520E-7
7.514648E-1	3.075849E-7
7.474756E-1	3.026980E-7
7.434559E-1	2.978117E-7
7.394648E-1	2.930742E-7
7.354118E-1	2.882227E-7
7.314211E-1	2.836178E-7
7.274355E-1	2.789984E-7
7.234080E-1	2.743986E-7
7.194222E-1	2.698975E-7
7.154320E-1	2.654616E-7
7.113761E-1	2.609273E-7
7.073541E-1	2.562641E-7
7.033648E-1	2.521134E-7
6.993769E-1	2.478538E-7
6.953564E-1	2.435345E-7
6.913665E-1	2.393303E-7
6.873747E-1	2.351608E-7
6.833215E-1	2.310207E-7
6.793302E-1	2.270107E-7
6.753079E-1	2.229610E-7
6.713170E-1	2.190654E-7
6.673326E-1	2.151874E-7
6.633067E-1	2.112191E-7
6.592547E-1	2.071300E-7
6.552624E-1	2.036503E-7
6.512752E-1	1.999563E-7
6.472502E-1	1.963118E-7
6.432645E-1	1.927354E-7
6.392773E-1	1.891772E-7
6.352158E-1	1.856451E-7
6.312309E-1	1.821837E-7
6.272061E-1	1.787731E-7
6.232200E-1	1.754051E-7
6.192296E-1	1.720881E-7
6.152077E-1	1.687948E-7
6.111510E-1	1.652854E-7
6.071644E-1	1.624298E-7
6.031747E-1	1.594155E-7
5.991532E-1	1.562683E-7
5.951651E-1	1.532292E-7
5.911776E-1	1.503070E-7
5.871530E-1	1.473965E-7
5.831298E-1	1.444951E-7
5.791078E-1	1.416632E-7
5.751202E-1	1.388880E-7
5.711320E-1	1.361769E-7
5.671087E-1	1.334304E-7
5.631204E-1	1.307965E-7
5.590618E-1	1.282250E-7
5.550746E-1	1.256759E-7
5.510510E-1	1.232399E-7
5.470635E-1	1.207962E-7
5.430731E-1	1.184135E-7
5.390534E-1	1.160222E-7
5.350299E-1	1.137062E-7
5.310087E-1	1.114202E-7
5.270204E-1	1.092212E-7
5.230297E-1	1.070398E-7
5.190120E-1	1.048727E-7
5.150203E-1	1.028291E-7
5.109642E-1	1.006943E-7
5.069760E-1	9.867120E-8
5.029540E-1	9.668631E-8
4.989632E-1	9.477206E-8
4.949752E-1	9.256838E-8
4.909537E-1	9.068525E-8
4.869662E-1	8.912094E-8
4.829062E-1	8.728770E-8
4.789188E-1	8.551731E-8
4.749286E-1	8.376328E-8
4.709066E-1	8.208039E-8
4.669224E-1	8.012674E-8
4.629320E-1	7.873368E-8
4.588774E-1	7.706520E-8
4.548531E-1	7.546651E-8
4.508667E-1	7.366853E-8
4.468741E-1	7.235576E-8
4.428537E-1	7.082859E-8
4.388630E-1	6.932185E-8
4.348097E-1	6.758648E-8
4.308199E-1	6.638127E-8
4.268330E-1	6.494027E-8
4.228064E-1	6.350466E-8
4.188194E-1	6.210863E-8
4.148310E-1	6.072391E-8
4.107712E-1	5.935898E-8
4.067518E-1	5.801700E-8
4.027629E-1	5.670086E-8
3.987779E-1	5.539241E-8
3.947532E-1	5.411385E-8
3.907642E-1	5.283212E-8
3.867753E-1	5.160338E-8
3.827235E-1	5.034689E-8
3.787303E-1	4.913417E-8
3.747099E-1	4.794355E-8
3.707173E-1	4.678055E-8
3.667294E-1	4.563137E-8
3.627102E-1	4.446851E-8
3.586516E-1	4.336889E-8
3.546648E-1	4.224500E-8
3.506745E-1	4.115541E-8
3.466542E-1	4.009362E-8
3.426631E-1	3.903642E-8
3.386754E-1	3.800196E-8
3.346171E-1	3.694938E-8
3.306328E-1	3.599338E-8
3.266087E-1	3.499873E-8
3.226220E-1	3.401712E-8
3.186323E-1	3.307306E-8
3.146119E-1	3.213232E-8
3.105549E-1	3.123005E-8
3.065641E-1	3.035216E-8
3.025777E-1	2.947756E-8
2.985494E-1	2.858609E-8
2.945674E-1	2.774647E-8
2.905758E-1	2.693615E-8
2.865529E-1	2.610368E-8
2.825293E-1	2.531760E-8
2.785084E-1	2.455100E-8
2.745174E-1	2.377195E-8
2.705292E-1	2.300355E-8
2.665052E-1	2.229134E-8
2.625193E-1	2.156339E-8
2.584625E-1	2.087733E-8
2.544744E-1	2.016050E-8
2.504534E-1	1.950944E-8
2.464663E-1	1.886251E-8
2.424799E-1	1.821024E-8
2.384539E-1	1.755718E-8
2.344340E-1	1.697560E-8
2.304026E-1	1.635587E-8
2.264221E-1	1.578412E-8
2.224313E-1	1.519134E-8
2.184119E-1	1.464844E-8
2.144202E-1	1.406069E-8
2.103668E-1	1.351316E-8
2.063755E-1	1.299058E-8
2.023504E-1	1.245994E-8
1.983616E-1	1.197415E-8
1.943745E-1	1.148099E-8
1.903566E-1	1.099554E-8
1.863298E-1	1.055481E-8
1.823121E-1	1.008951E-8
1.783229E-1	9.653294E-9
1.743353E-1	9.232481E-9
1.703084E-1	8.827186E-9
1.663210E-1	8.400300E-9
1.623296E-1	8.042454E-9
1.582756E-1	7.626530E-9
1.542517E-1	7.275637E-9
1.502660E-1	6.904179E-9
1.462737E-1	6.563126E-9
1.422485E-1	6.213614E-9
1.382650E-1	5.863429E-9
1.342053E-1	5.544885E-9
1.302164E-1	5.198646E-9
1.262252E-1	4.903476E-9
1.222064E-1	4.593474E-9
1.182149E-1	4.310706E-9
1.142302E-1	4.025925E-9
1.101724E-1	3.749987E-9
1.061514E-1	3.474505E-9
1.021610E-1	3.226601E-9
9.817220E-2	2.978188E-9
9.414703E-2	2.735307E-9
9.016284E-2	2.517397E-9
8.610598E-2	2.297725E-9
8.211790E-2	2.098586E-9
7.812922E-2	1.904683E-9
7.410216E-2	1.732483E-9
7.011826E-2	1.561332E-9
6.612473E-2	1.399858E-9
6.210621E-2	1.258034E-9
5.804890E-2	1.117341E-9
5.406053E-2	9.896776E-10
5.007193E-2	8.670439E-10
4.605133E-2	7.656517E-10
4.205754E-2	6.606553E-10
3.807266E-2	5.616088E-10
3.401839E-2	4.832184E-10
3.002512E-2	4.071317E-10
2.600381E-2	3.261851E-10
