Voltage (V)	Current (A)
9.999893E-1	8.174616E-7
9.959695E-1	8.094847E-7
9.919770E-1	8.012868E-7
9.879907E-1	7.933421E-7
9.839327E-1	7.850769E-7
9.799432E-1	7.768915E-7
9.759189E-1	7.692152E-7
9.719336E-1	7.612647E-7
9.679087E-1	7.531132E-7
9.639189E-1	7.452928E-7
9.598636E-1	7.376191E-7
9.558700E-1	7.298138E-7
9.518869E-1	7.221335E-7
9.478614E-1	7.143136E-7
9.438742E-1	7.066208E-7
9.398881E-1	6.991941E-7
9.358314E-1	6.914588E-7
9.318405E-1	6.840260E-7
9.278180E-1	6.764060E-7
9.238262E-1	6.688930E-7
9.198408E-1	6.615954E-7
9.158157E-1	6.542525E-7
9.117622E-1	6.467362E-7
9.077727E-1	6.396253E-7
9.037805E-1	6.323854E-7
8.997611E-1	6.253125E-7
8.957704E-1	6.182266E-7
8.917819E-1	6.108429E-7
8.877585E-1	6.040117E-7
8.837412E-1	5.970592E-7
8.797123E-1	5.899673E-7
8.757272E-1	5.830399E-7
8.717388E-1	5.760310E-7
8.677151E-1	5.692590E-7
8.637288E-1	5.624682E-7
8.596737E-1	5.554895E-7
8.556849E-1	5.487714E-7
8.516572E-1	5.420112E-7
8.476706E-1	5.357187E-7
8.436822E-1	5.289006E-7
8.396614E-1	5.224160E-7
8.356370E-1	5.159350E-7
8.316145E-1	5.094356E-7
8.276241E-1	5.028677E-7
8.236373E-1	4.964418E-7
8.196132E-1	4.901739E-7
8.156247E-1	4.838495E-7
8.115691E-1	4.773231E-7
8.075810E-1	4.710614E-7
8.035581E-1	4.649571E-7
7.995700E-1	4.587468E-7
7.955822E-1	4.526430E-7
7.915568E-1	4.464863E-7
7.875696E-1	4.405009E-7
7.835112E-1	4.344829E-7
7.795244E-1	4.283985E-7
7.755364E-1	4.226593E-7
7.715133E-1	4.167510E-7
7.675248E-1	4.110283E-7
7.635383E-1	4.051845E-7
7.594779E-1	3.993994E-7
7.554576E-1	3.935513E-7
7.514660E-1	3.879162E-7
7.474799E-1	3.824024E-7
7.434592E-1	3.768046E-7
7.394676E-1	3.713412E-7
7.354141E-1	3.656984E-7
7.314225E-1	3.603133E-7
7.274382E-1	3.549373E-7
7.234148E-1	3.495480E-7
7.194247E-1	3.443094E-7
7.154335E-1	3.390748E-7
7.113788E-1	3.336839E-7
7.073563E-1	3.284407E-7
7.033694E-1	3.232379E-7
6.993788E-1	3.182524E-7
6.953581E-1	3.132169E-7
6.913675E-1	3.082632E-7
6.873781E-1	3.031602E-7
6.833215E-1	2.982553E-7
6.793317E-1	2.933298E-7
6.753110E-1	2.885702E-7
6.713212E-1	2.837232E-7
6.673353E-1	2.790662E-7
6.633112E-1	2.742836E-7
6.592572E-1	2.695710E-7
6.552652E-1	2.649415E-7
6.512783E-1	2.603757E-7
6.472544E-1	2.559516E-7
6.432663E-1	2.513812E-7
6.392791E-1	2.470242E-7
6.352183E-1	2.426127E-7
6.312337E-1	2.383647E-7
6.272110E-1	2.341441E-7
6.232207E-1	2.298870E-7
6.192311E-1	2.257230E-7
6.152110E-1	2.215609E-7
6.111513E-1	2.174532E-7
6.071669E-1	2.134957E-7
6.031756E-1	2.094955E-7
5.991555E-1	2.056304E-7
5.951641E-1	2.017529E-7
5.911797E-1	1.981640E-7
5.871543E-1	1.944030E-7
5.831305E-1	1.907115E-7
5.791115E-1	1.870927E-7
5.751194E-1	1.835218E-7
5.711336E-1	1.798414E-7
5.671075E-1	1.763828E-7
5.631211E-1	1.729819E-7
5.590659E-1	1.696062E-7
5.550748E-1	1.662967E-7
5.510504E-1	1.630588E-7
5.470635E-1	1.598348E-7
5.430741E-1	1.567283E-7
5.390534E-1	1.536394E-7
5.350294E-1	1.506008E-7
5.310090E-1	1.476282E-7
5.270213E-1	1.447048E-7
5.230318E-1	1.418720E-7
5.190120E-1	1.390562E-7
5.150210E-1	1.363196E-7
5.109655E-1	1.335844E-7
5.069760E-1	1.309632E-7
5.029560E-1	1.283635E-7
4.989650E-1	1.257602E-7
4.949777E-1	1.232565E-7
4.909522E-1	1.208043E-7
4.869671E-1	1.184564E-7
4.829085E-1	1.160825E-7
4.789195E-1	1.137835E-7
4.749304E-1	1.115177E-7
4.709080E-1	1.093211E-7
4.669249E-1	1.071556E-7
4.629332E-1	1.050474E-7
4.588783E-1	1.029658E-7
4.548548E-1	1.009106E-7
4.508682E-1	9.890556E-8
4.468759E-1	9.694016E-8
4.428571E-1	9.500587E-8
4.388641E-1	9.310272E-8
4.348130E-1	9.123158E-8
4.308185E-1	8.941397E-8
4.268333E-1	8.762967E-8
4.228075E-1	8.583592E-8
4.188207E-1	8.410909E-8
4.148310E-1	8.242249E-8
4.107737E-1	8.068876E-8
4.067513E-1	7.901786E-8
4.027621E-1	7.737958E-8
3.987762E-1	7.576199E-8
3.947532E-1	7.417898E-8
3.907658E-1	7.256258E-8
3.867753E-1	7.105865E-8
3.827233E-1	6.950582E-8
3.787310E-1	6.801876E-8
3.747111E-1	6.650347E-8
3.707203E-1	6.503488E-8
3.667288E-1	6.359068E-8
3.627101E-1	6.214989E-8
3.586526E-1	6.070218E-8
3.546658E-1	5.929574E-8
3.506759E-1	5.790840E-8
3.466561E-1	5.652559E-8
3.426644E-1	5.517026E-8
3.386754E-1	5.380926E-8
3.346196E-1	5.249138E-8
3.306335E-1	5.117857E-8
