Voltage (V)	Current (A)
9.999784E-1	5.654720E-7
9.959608E-1	5.587331E-7
9.919680E-1	5.523835E-7
9.879808E-1	5.458976E-7
9.839230E-1	5.392549E-7
9.799344E-1	5.327196E-7
9.759102E-1	5.263943E-7
9.719230E-1	5.198593E-7
9.679009E-1	5.135926E-7
9.639100E-1	5.072211E-7
9.598531E-1	5.009973E-7
9.558604E-1	4.946094E-7
9.518785E-1	4.885569E-7
9.478494E-1	4.823862E-7
9.438654E-1	4.762306E-7
9.398758E-1	4.702276E-7
9.358174E-1	4.641993E-7
9.318308E-1	4.581669E-7
9.278092E-1	4.521313E-7
9.238189E-1	4.464075E-7
9.198319E-1	4.404411E-7
9.158083E-1	4.346171E-7
9.117540E-1	4.285700E-7
9.077649E-1	4.228056E-7
9.037743E-1	4.171220E-7
8.997532E-1	4.114125E-7
8.957615E-1	4.058253E-7
8.917754E-1	4.002364E-7
8.877531E-1	3.946831E-7
8.837320E-1	3.891008E-7
8.797050E-1	3.835818E-7
8.757204E-1	3.782031E-7
8.717304E-1	3.727776E-7
8.677097E-1	3.673949E-7
8.637210E-1	3.620951E-7
8.596650E-1	3.567206E-7
8.556759E-1	3.516098E-7
8.516513E-1	3.463906E-7
8.476623E-1	3.412213E-7
8.436745E-1	3.361239E-7
8.396528E-1	3.311004E-7
8.356284E-1	3.260634E-7
8.316083E-1	3.210522E-7
8.276145E-1	3.160743E-7
8.236300E-1	3.111635E-7
8.196064E-1	3.063073E-7
8.156187E-1	3.016218E-7
8.115601E-1	2.967686E-7
8.075743E-1	2.920450E-7
8.035545E-1	2.874045E-7
7.995625E-1	2.828089E-7
7.955778E-1	2.783047E-7
7.915486E-1	2.738104E-7
7.875634E-1	2.693438E-7
7.835055E-1	2.647824E-7
7.795194E-1	2.604388E-7
7.755302E-1	2.561441E-7
7.715075E-1	2.519011E-7
7.675179E-1	2.476895E-7
7.635302E-1	2.434885E-7
7.594706E-1	2.393211E-7
7.554500E-1	2.352537E-7
7.514622E-1	2.311845E-7
7.474737E-1	2.272322E-7
7.434534E-1	2.232259E-7
7.394608E-1	2.193145E-7
7.354085E-1	2.154317E-7
7.314183E-1	2.115750E-7
