Voltage (V)	Current (A)
-1.000076E+0	-4.158913E-7
-9.960903E-1	-4.111285E-7
-9.920620E-1	-4.064197E-7
-9.880766E-1	-4.015073E-7
-9.840173E-1	-3.967231E-7
-9.800295E-1	-3.920911E-7
-9.760381E-1	-3.874223E-7
-9.720172E-1	-3.828825E-7
-9.680277E-1	-3.782408E-7
-9.640387E-1	-3.736942E-7
-9.599799E-1	-3.691161E-7
-9.559926E-1	-3.646972E-7
-9.519687E-1	-3.601526E-7
-9.479784E-1	-3.558774E-7
-9.439897E-1	-3.514162E-7
-9.399685E-1	-3.470876E-7
-9.359440E-1	-3.426736E-7
-9.319195E-1	-3.384554E-7
-9.279351E-1	-3.342343E-7
-9.239417E-1	-3.299752E-7
-9.199186E-1	-3.258333E-7
-9.159300E-1	-3.215848E-7
-9.118734E-1	-3.175543E-7
-9.078832E-1	-3.134846E-7
-9.038628E-1	-3.092925E-7
-8.998744E-1	-3.052262E-7
-8.958828E-1	-3.013145E-7
-8.918599E-1	-2.973674E-7
-8.878714E-1	-2.934734E-7
-8.838159E-1	-2.895575E-7
-8.798258E-1	-2.857658E-7
-8.758397E-1	-2.818815E-7
-8.718145E-1	-2.781300E-7
-8.678267E-1	-2.742968E-7
-8.638364E-1	-2.706356E-7
-8.597803E-1	-2.669444E-7
-8.557894E-1	-2.633777E-7
-8.517682E-1	-2.597083E-7
-8.477763E-1	-2.561740E-7
-8.437863E-1	-2.525785E-7
-8.397654E-1	-2.491333E-7
-8.357407E-1	-2.456693E-7
-8.317198E-1	-2.421821E-7
-8.277289E-1	-2.387695E-7
-8.237401E-1	-2.354237E-7
-8.197174E-1	-2.320419E-7
-8.157280E-1	-2.286565E-7
-8.116695E-1	-2.253756E-7
-8.076838E-1	-2.221966E-7
-8.036622E-1	-2.190150E-7
-7.996744E-1	-2.158432E-7
-7.956824E-1	-2.127030E-7
-7.916953E-1	-2.095899E-7
-7.876691E-1	-2.065129E-7
-7.836130E-1	-2.034285E-7
-7.796229E-1	-2.004251E-7
-7.756338E-1	-1.973753E-7
-7.716139E-1	-1.945104E-7
-7.676216E-1	-1.915354E-7
-7.636341E-1	-1.886253E-7
-7.595755E-1	-1.858142E-7
-7.555866E-1	-1.829676E-7
-7.515638E-1	-1.801664E-7
-7.475773E-1	-1.774613E-7
-7.435871E-1	-1.747448E-7
-7.395668E-1	-1.719768E-7
-7.355417E-1	-1.693158E-7
-7.315198E-1	-1.666187E-7
-7.275320E-1	-1.640171E-7
-7.235398E-1	-1.614865E-7
-7.195191E-1	-1.589076E-7
-7.155267E-1	-1.563964E-7
-7.114726E-1	-1.539259E-7
-7.074800E-1	-1.514647E-7
-7.034934E-1	-1.490627E-7
-6.994677E-1	-1.466289E-7
-6.954794E-1	-1.442949E-7
-6.914896E-1	-1.419534E-7
-6.874675E-1	-1.396686E-7
-6.834088E-1	-1.373426E-7
-6.794197E-1	-1.351031E-7
-6.754324E-1	-1.328773E-7
-6.714082E-1	-1.306325E-7
-6.674198E-1	-1.285298E-7
-6.634330E-1	-1.263843E-7
-6.593765E-1	-1.242306E-7
-6.553867E-1	-1.221631E-7
-6.513619E-1	-1.200792E-7
-6.473716E-1	-1.181006E-7
-6.433850E-1	-1.160689E-7
-6.393597E-1	-1.140933E-7
-6.353386E-1	-1.121561E-7
-6.313151E-1	-1.102783E-7
-6.273254E-1	-1.083787E-7
-6.233365E-1	-1.065283E-7
-6.193118E-1	-1.046657E-7
-6.153238E-1	-1.029036E-7
-6.112663E-1	-1.011047E-7
