Voltage (V)	Current (A)
9.999940E-1	9.426529E-7
9.959745E-1	9.322239E-7
9.919816E-1	9.221813E-7
9.879944E-1	9.121470E-7
9.839364E-1	9.021484E-7
9.799504E-1	8.918905E-7
9.759229E-1	8.821183E-7
9.719367E-1	8.721997E-7
9.679150E-1	8.623863E-7
9.639242E-1	8.524478E-7
9.598690E-1	8.424282E-7
9.558763E-1	8.328851E-7
9.518904E-1	8.233461E-7
9.478634E-1	8.136547E-7
9.438797E-1	8.040618E-7
9.398901E-1	7.947468E-7
9.358330E-1	7.850934E-7
9.318439E-1	7.756441E-7
9.278224E-1	7.660995E-7
9.238303E-1	7.567646E-7
9.198457E-1	7.477042E-7
9.158178E-1	7.383811E-7
9.117646E-1	7.290100E-7
9.077771E-1	7.200261E-7
9.037829E-1	7.113198E-7
8.997635E-1	7.021222E-7
8.957729E-1	6.930839E-7
8.917872E-1	6.842735E-7
8.877630E-1	6.753996E-7
8.837450E-1	6.665346E-7
8.797168E-1	6.577530E-7
8.757301E-1	6.491069E-7
8.717400E-1	6.406482E-7
8.677210E-1	6.321664E-7
8.637292E-1	6.233606E-7
8.596761E-1	6.149609E-7
8.556859E-1	6.066449E-7
8.516604E-1	5.981969E-7
8.476726E-1	5.898888E-7
8.436852E-1	5.817068E-7
8.396620E-1	5.735722E-7
8.356376E-1	5.655812E-7
8.316177E-1	5.573852E-7
8.276259E-1	5.494960E-7
8.236384E-1	5.415226E-7
8.196136E-1	5.334878E-7
8.156281E-1	5.258002E-7
8.115704E-1	5.180354E-7
8.075829E-1	5.104025E-7
8.035619E-1	5.026392E-7
7.995695E-1	4.951968E-7
7.955859E-1	4.877169E-7
7.915576E-1	4.802985E-7
7.875721E-1	4.729788E-7
7.835134E-1	4.655896E-7
7.795256E-1	4.584508E-7
7.755381E-1	4.513589E-7
7.715146E-1	4.442510E-7
7.675259E-1	4.373137E-7
7.635382E-1	4.303879E-7
7.594791E-1	4.232890E-7
7.554586E-1	4.165402E-7
7.514686E-1	4.097734E-7
7.474803E-1	4.031753E-7
7.434593E-1	3.965910E-7
7.394696E-1	3.901760E-7
7.354152E-1	3.835326E-7
7.314248E-1	3.771858E-7
7.274387E-1	3.708413E-7
7.234114E-1	3.644970E-7
7.194234E-1	3.583824E-7
7.154343E-1	3.523145E-7
7.113785E-1	3.462174E-7
7.073550E-1	3.401951E-7
7.033690E-1	3.343206E-7
6.993773E-1	3.285431E-7
6.953589E-1	3.227029E-7
6.913686E-1	3.170332E-7
6.873766E-1	3.114944E-7
6.833212E-1	3.059124E-7
6.793305E-1	3.004563E-7
6.753114E-1	2.949992E-7
6.713217E-1	2.897270E-7
6.673346E-1	2.845405E-7
6.633099E-1	2.793501E-7
6.592565E-1	2.742403E-7
6.552649E-1	2.692578E-7
6.512780E-1	2.643216E-7
6.472541E-1	2.593857E-7
6.432675E-1	2.545773E-7
6.392785E-1	2.498244E-7
6.352205E-1	2.450593E-7
6.312335E-1	2.404936E-7
6.272101E-1	2.358846E-7
6.232224E-1	2.313067E-7
6.192310E-1	2.268764E-7
6.152092E-1	2.224998E-7
6.111529E-1	2.182481E-7
6.071664E-1	2.140288E-7
6.031758E-1	2.099756E-7
5.991548E-1	2.058699E-7
5.951650E-1	2.018639E-7
5.911788E-1	1.979480E-7
5.871560E-1	1.940227E-7
5.831330E-1	1.902055E-7
5.791122E-1	1.864423E-7
5.751210E-1	1.827692E-7
5.711340E-1	1.791343E-7
5.671106E-1	1.755177E-7
5.631205E-1	1.718664E-7
5.590655E-1	1.684052E-7
5.550765E-1	1.650424E-7
5.510487E-1	1.616513E-7
5.470650E-1	1.584249E-7
5.430741E-1	1.551718E-7
5.390546E-1	1.519647E-7
5.350312E-1	1.490247E-7
5.310097E-1	1.459239E-7
5.270210E-1	1.429650E-7
5.230331E-1	1.400357E-7
5.190129E-1	1.370942E-7
5.150231E-1	1.341190E-7
5.109664E-1	1.313157E-7
5.069752E-1	1.285410E-7
5.029560E-1	1.258469E-7
4.989665E-1	1.231571E-7
4.949789E-1	1.205587E-7
4.909551E-1	1.180773E-7
4.869705E-1	1.157554E-7
4.829094E-1	1.132329E-7
4.789235E-1	1.108526E-7
4.749314E-1	1.083683E-7
4.709106E-1	1.060332E-7
4.669244E-1	1.038048E-7
4.629346E-1	1.015410E-7
4.588803E-1	9.935128E-8
4.548559E-1	9.731513E-8
4.508694E-1	9.513649E-8
4.468775E-1	9.317338E-8
4.428588E-1	9.120127E-8
4.388677E-1	8.923332E-8
4.348111E-1	8.712787E-8
4.308207E-1	8.524852E-8
4.268346E-1	8.341439E-8
4.228090E-1	8.167043E-8
4.188201E-1	7.984951E-8
4.148330E-1	7.815908E-8
4.107741E-1	7.630269E-8
4.067524E-1	7.467519E-8
4.027650E-1	7.302253E-8
3.987790E-1	7.138209E-8
3.947547E-1	6.981237E-8
3.907662E-1	6.826948E-8
3.867772E-1	6.680236E-8
3.827248E-1	6.527714E-8
3.787321E-1	6.382222E-8
3.747133E-1	6.238680E-8
3.707208E-1	6.100666E-8
3.667314E-1	5.963850E-8
3.627128E-1	5.831245E-8
3.586552E-1	5.692188E-8
3.546672E-1	5.563608E-8
3.506787E-1	5.446106E-8
3.466573E-1	5.323617E-8
3.426661E-1	5.204641E-8
3.386758E-1	5.081502E-8
3.346211E-1	4.960174E-8
3.306347E-1	4.841704E-8
3.266114E-1	4.725699E-8
3.226234E-1	4.614735E-8
3.186342E-1	4.505221E-8
3.146135E-1	4.397507E-8
3.105559E-1	4.294690E-8
3.065668E-1	4.191657E-8
3.025785E-1	4.084671E-8
2.985524E-1	3.982361E-8
2.945666E-1	3.884052E-8
2.905767E-1	3.787478E-8
2.865576E-1	3.689933E-8
2.825307E-1	3.592656E-8
2.785112E-1	3.498215E-8
2.745188E-1	3.405839E-8
2.705315E-1	3.313171E-8
2.665061E-1	3.224573E-8
2.625223E-1	3.133024E-8
2.584626E-1	3.047967E-8
2.544749E-1	2.961454E-8
2.504546E-1	2.875068E-8
2.464676E-1	2.796815E-8
2.424807E-1	2.713199E-8
2.384555E-1	2.628716E-8
2.344339E-1	2.548584E-8
2.304061E-1	2.471776E-8
2.264228E-1	2.393313E-8
2.224327E-1	2.316051E-8
2.184127E-1	2.236424E-8
2.144217E-1	2.160815E-8
2.103691E-1	2.088560E-8
2.063762E-1	2.016394E-8
2.023493E-1	1.941730E-8
1.983611E-1	1.876391E-8
1.943775E-1	1.807329E-8
1.903570E-1	1.740135E-8
1.863316E-1	1.672970E-8
1.823110E-1	1.609044E-8
1.783240E-1	1.544611E-8
1.743345E-1	1.481530E-8
1.703094E-1	1.420664E-8
1.663218E-1	1.361743E-8
1.623295E-1	1.302244E-8
1.582779E-1	1.245138E-8
1.542547E-1	1.191199E-8
1.502667E-1	1.135089E-8
1.462756E-1	1.082661E-8
1.422494E-1	1.026778E-8
1.382658E-1	9.775575E-9
1.342070E-1	9.249256E-9
1.302178E-1	8.762275E-9
1.262248E-1	8.273496E-9
1.222066E-1	7.817018E-9
1.182152E-1	7.380817E-9
1.142304E-1	6.949644E-9
1.101731E-1	6.517637E-9
1.061512E-1	6.106995E-9
1.021629E-1	5.713411E-9
9.817243E-2	5.348060E-9
9.414451E-2	4.966449E-9
9.016177E-2	4.613342E-9
8.610697E-2	4.293950E-9
8.211678E-2	3.963802E-9
7.812881E-2	3.670974E-9
7.410257E-2	3.375846E-9
7.011806E-2	3.108536E-9
6.612431E-2	2.840474E-9
6.210441E-2	2.587704E-9
5.804805E-2	2.345075E-9
5.406190E-2	2.115642E-9
5.007256E-2	1.915498E-9
4.605185E-2	1.706219E-9
4.205852E-2	1.514911E-9
3.807105E-2	1.332027E-9
3.401720E-2	1.163389E-9
3.002487E-2	9.948761E-10
2.600364E-2	8.426192E-10
2.201597E-2	6.894401E-10
1.803026E-2	5.520992E-10
1.400293E-2	4.096466E-10
9.947709E-3	2.692886E-10
5.954206E-3	1.374783E-10
1.968733E-3	9.396595E-12
-2.046836E-3	-1.532219E-10
