Voltage (V)	Current (A)
-1.000088E+0	-6.605820E-7
-9.961022E-1	-6.532273E-7
-9.920732E-1	-6.458803E-7
-9.880881E-1	-6.385440E-7
-9.840273E-1	-6.313334E-7
-9.800390E-1	-6.238797E-7
-9.760484E-1	-6.169011E-7
-9.720270E-1	-6.097180E-7
-9.680346E-1	-6.026901E-7
-9.640511E-1	-5.957913E-7
-9.599899E-1	-5.887906E-7
-9.560032E-1	-5.819725E-7
-9.519803E-1	-5.749696E-7
-9.479902E-1	-5.681756E-7
-9.440010E-1	-5.613812E-7
-9.399781E-1	-5.546855E-7
-9.359552E-1	-5.480327E-7
-9.319307E-1	-5.414396E-7
-9.279445E-1	-5.347993E-7
-9.239507E-1	-5.283337E-7
-9.199298E-1	-5.217932E-7
-9.159362E-1	-5.155133E-7
-9.118826E-1	-5.089665E-7
-9.078920E-1	-5.027572E-7
-9.038723E-1	-4.964946E-7
-8.998824E-1	-4.903529E-7
-8.958911E-1	-4.840870E-7
-8.918691E-1	-4.780608E-7
-8.878798E-1	-4.719929E-7
-8.838251E-1	-4.658474E-7
-8.798326E-1	-4.599371E-7
-8.758461E-1	-4.539820E-7
-8.718241E-1	-4.480864E-7
-8.678333E-1	-4.423688E-7
-8.638430E-1	-4.365452E-7
-8.597893E-1	-4.307920E-7
-8.557972E-1	-4.250336E-7
-8.517755E-1	-4.194169E-7
-8.477854E-1	-4.139579E-7
-8.437948E-1	-4.084848E-7
-8.397738E-1	-4.030275E-7
-8.357480E-1	-3.975990E-7
-8.317301E-1	-3.922081E-7
-8.277361E-1	-3.868346E-7
-8.237481E-1	-3.816037E-7
-8.197242E-1	-3.762982E-7
-8.157366E-1	-3.712309E-7
-8.116772E-1	-3.660398E-7
-8.076906E-1	-3.610032E-7
-8.036692E-1	-3.559116E-7
-7.996791E-1	-3.509497E-7
-7.956894E-1	-3.460673E-7
-7.917033E-1	-3.411696E-7
-7.876782E-1	-3.363143E-7
-7.836187E-1	-3.315605E-7
-7.796299E-1	-3.267125E-7
-7.756398E-1	-3.221566E-7
-7.716193E-1	-3.174450E-7
-7.676288E-1	-3.128196E-7
-7.636427E-1	-3.083595E-7
-7.595819E-1	-3.038618E-7
-7.555939E-1	-2.994166E-7
-7.515702E-1	-2.950276E-7
-7.475834E-1	-2.906743E-7
-7.435927E-1	-2.864038E-7
-7.395719E-1	-2.821594E-7
-7.355465E-1	-2.779479E-7
-7.315245E-1	-2.737701E-7
-7.275369E-1	-2.696392E-7
-7.235449E-1	-2.655845E-7
-7.195241E-1	-2.614841E-7
-7.155314E-1	-2.575812E-7
-7.114776E-1	-2.535976E-7
-7.074844E-1	-2.497058E-7
-7.034984E-1	-2.459320E-7
-6.994731E-1	-2.421688E-7
-6.954859E-1	-2.384206E-7
-6.914926E-1	-2.347336E-7
-6.874717E-1	-2.310987E-7
-6.834124E-1	-2.273998E-7
-6.794242E-1	-2.238889E-7
-6.754370E-1	-2.203643E-7
-6.714107E-1	-2.169306E-7
-6.674242E-1	-2.134942E-7
-6.634365E-1	-2.101454E-7
-6.593796E-1	-2.067659E-7
-6.553894E-1	-2.035287E-7
-6.513661E-1	-2.002678E-7
-6.473746E-1	-1.971079E-7
-6.433887E-1	-1.939235E-7
-6.393629E-1	-1.908607E-7
-6.353415E-1	-1.877289E-7
-6.313184E-1	-1.847143E-7
-6.273285E-1	-1.817546E-7
-6.233395E-1	-1.788622E-7
-6.193144E-1	-1.759820E-7
-6.153260E-1	-1.731841E-7
-6.112708E-1	-1.703284E-7
-6.072823E-1	-1.675528E-7
-6.032920E-1	-1.648587E-7
-5.992698E-1	-1.621984E-7
-5.952802E-1	-1.595764E-7
-5.912939E-1	-1.569904E-7
-5.872682E-1	-1.544691E-7
-5.832112E-1	-1.519061E-7
-5.792203E-1	-1.494977E-7
-5.752348E-1	-1.470447E-7
-5.712100E-1	-1.446327E-7
-5.672191E-1	-1.423374E-7
-5.632319E-1	-1.401051E-7
-5.591724E-1	-1.377984E-7
-5.551855E-1	-1.355954E-7
-5.511613E-1	-1.334101E-7
-5.471721E-1	-1.312681E-7
-5.431807E-1	-1.291659E-7
-5.391596E-1	-1.269692E-7
-5.351359E-1	-1.249502E-7
-5.311131E-1	-1.229225E-7
-5.271252E-1	-1.209342E-7
-5.231373E-1	-1.189947E-7
-5.191132E-1	-1.170795E-7
-5.151224E-1	-1.152215E-7
-5.110659E-1	-1.133240E-7
-5.070760E-1	-1.115147E-7
-5.030877E-1	-1.096843E-7
-4.990636E-1	-1.079705E-7
-4.950775E-1	-1.062027E-7
-4.910851E-1	-1.045136E-7
-4.870638E-1	-1.028144E-7
-4.830036E-1	-1.011330E-7
-4.790165E-1	-9.942582E-8
-4.750259E-1	-9.787910E-8
-4.710396E-1	-9.626221E-8
-4.670158E-1	-9.467701E-8
-4.630250E-1	-9.316883E-8
-4.589695E-1	-9.158370E-8
-4.549817E-1	-9.009828E-8
-4.509590E-1	-8.858497E-8
-4.469677E-1	-8.712608E-8
-4.429811E-1	-8.566223E-8
-4.389553E-1	-8.423414E-8
-4.349327E-1	-8.279007E-8
-4.309084E-1	-8.137186E-8
-4.269193E-1	-7.996584E-8
-4.229287E-1	-7.862813E-8
-4.189099E-1	-7.728145E-8
-4.149173E-1	-7.590084E-8
-4.108626E-1	-7.460962E-8
-4.068691E-1	-7.324046E-8
-4.028791E-1	-7.190726E-8
-3.988606E-1	-7.062480E-8
-3.948701E-1	-6.936904E-8
-3.908826E-1	-6.814182E-8
-3.868595E-1	-6.685381E-8
-3.828033E-1	-6.560329E-8
-3.788121E-1	-6.437097E-8
-3.748245E-1	-6.316613E-8
-3.708310E-1	-6.195483E-8
-3.668118E-1	-6.074195E-8
-3.628182E-1	-5.953855E-8
-3.587652E-1	-5.833416E-8
-3.547749E-1	-5.714424E-8
-3.507511E-1	-5.601757E-8
-3.467635E-1	-5.488295E-8
-3.427711E-1	-5.377069E-8
-3.387480E-1	-5.263635E-8
-3.347241E-1	-5.149001E-8
-3.307051E-1	-5.036433E-8
-3.267122E-1	-4.926947E-8
-3.227276E-1	-4.823777E-8
-3.187013E-1	-4.714622E-8
-3.147155E-1	-4.604232E-8
-3.106567E-1	-4.499206E-8
-3.066678E-1	-4.393834E-8
-3.026752E-1	-4.288009E-8
-2.986520E-1	-4.190353E-8
-2.946638E-1	-4.084638E-8
-2.906738E-1	-3.983808E-8
-2.866533E-1	-3.889912E-8
-2.826269E-1	-3.787284E-8
-2.786064E-1	-3.690565E-8
-2.746143E-1	-3.593319E-8
-2.706245E-1	-3.499554E-8
-2.665989E-1	-3.404515E-8
-2.626128E-1	-3.308169E-8
-2.585543E-1	-3.214781E-8
-2.545686E-1	-3.126392E-8
-2.505424E-1	-3.032755E-8
-2.465526E-1	-2.941013E-8
-2.425675E-1	-2.853048E-8
-2.385761E-1	-2.763793E-8
-2.345204E-1	-2.675863E-8
-2.304956E-1	-2.592328E-8
-2.265073E-1	-2.504427E-8
-2.225171E-1	-2.423631E-8
-2.184951E-1	-2.341611E-8
-2.145043E-1	-2.263802E-8
-2.104498E-1	-2.179524E-8
-2.064576E-1	-2.101273E-8
-2.024695E-1	-2.024048E-8
-1.984449E-1	-1.944651E-8
-1.944576E-1	-1.867432E-8
-1.904674E-1	-1.793869E-8
-1.864094E-1	-1.719119E-8
-1.824208E-1	-1.645321E-8
-1.783978E-1	-1.575125E-8
-1.744130E-1	-1.504101E-8
-1.704207E-1	-1.435829E-8
-1.663971E-1	-1.365555E-8
-1.624026E-1	-1.297577E-8
-1.583485E-1	-1.232075E-8
-1.543594E-1	-1.168145E-8
-1.503390E-1	-1.102011E-8
-1.463461E-1	-1.043332E-8
-1.423598E-1	-9.812159E-9
-1.383651E-1	-9.231992E-9
-1.343085E-1	-8.658022E-9
-1.302833E-1	-8.116740E-9
-1.262919E-1	-7.569083E-9
-1.223066E-1	-7.087974E-9
-1.182829E-1	-6.609883E-9
-1.142972E-1	-6.135813E-9
-1.102358E-1	-5.690360E-9
-1.062516E-1	-5.300644E-9
-1.022607E-1	-4.929705E-9
-9.823515E-2	-4.563081E-9
-9.424097E-2	-4.230480E-9
-9.025696E-2	-3.927634E-9
-8.619723E-2	-3.629899E-9
-8.220662E-2	-3.364264E-9
-7.818568E-2	-3.128553E-9
-7.419588E-2	-2.895306E-9
-7.020693E-2	-2.664539E-9
-6.618363E-2	-2.464734E-9
-6.219196E-2	-2.269458E-9
-5.813475E-2	-2.079168E-9
-5.414827E-2	-1.907066E-9
-5.015464E-2	-1.738022E-9
-4.613675E-2	-1.572918E-9
-4.214601E-2	-1.416235E-9
-3.816051E-2	-1.271119E-9
-3.409960E-2	-1.124074E-9
-3.007500E-2	-9.832318E-10
-2.608233E-2	-8.521944E-10
-2.209372E-2	-7.230018E-10
-1.807524E-2	-5.960308E-10
-1.408344E-2	-4.691847E-10
-1.002784E-2	-3.517254E-10
-6.036205E-3	-2.287764E-10
-2.044576E-3	-1.067914E-10
1.970073E-3	5.066590E-11
5.954033E-3	1.340006E-10
9.948311E-3	2.613705E-10
1.400394E-2	3.791871E-10
1.802882E-2	5.053410E-10
2.201698E-2	6.299034E-10
2.600436E-2	7.593672E-10
3.002649E-2	8.872391E-10
3.401697E-2	1.024244E-9
3.800344E-2	1.171808E-9
4.205913E-2	1.317112E-9
4.605177E-2	1.469703E-9
5.007211E-2	1.623050E-9
5.406192E-2	1.786074E-9
5.804898E-2	1.944490E-9
6.207179E-2	2.129678E-9
6.612626E-2	2.308203E-9
7.011970E-2	2.489327E-9
7.410399E-2	2.691107E-9
7.812827E-2	2.896572E-9
8.211839E-2	3.109624E-9
8.610641E-2	3.333985E-9
9.016231E-2	3.564968E-9
9.414829E-2	3.801483E-9
9.817205E-2	4.051274E-9
1.021626E-1	4.319799E-9
1.061537E-1	4.591679E-9
1.101747E-1	4.873730E-9
1.142318E-1	5.162322E-9
1.182164E-1	5.476387E-9
1.222074E-1	5.787905E-9
1.262243E-1	6.126349E-9
1.302154E-1	6.442761E-9
1.342053E-1	6.796341E-9
1.382324E-1	7.160474E-9
1.422503E-1	7.532273E-9
1.462750E-1	7.910317E-9
1.502668E-1	8.298075E-9
1.542539E-1	8.694856E-9
1.582782E-1	9.105499E-9
1.622592E-1	9.523845E-9
1.663218E-1	9.963520E-9
1.703096E-1	1.038861E-8
1.743348E-1	1.085151E-8
1.783234E-1	1.130630E-8
1.823117E-1	1.177883E-8
1.863319E-1	1.225261E-8
1.903560E-1	1.275082E-8
1.943772E-1	1.323432E-8
1.983626E-1	1.373989E-8
2.023505E-1	1.426282E-8
2.063752E-1	1.480490E-8
2.103687E-1	1.533710E-8
2.144221E-1	1.591806E-8
2.184123E-1	1.645046E-8
2.224329E-1	1.702788E-8
2.264227E-1	1.759165E-8
2.304043E-1	1.818115E-8
2.344357E-1	1.876698E-8
2.384237E-1	1.939344E-8
2.424800E-1	2.001803E-8
2.464669E-1	2.062043E-8
2.504545E-1	2.127527E-8
2.544754E-1	2.188936E-8
