Voltage (V)	Current (A)
-1.000092E+0	-7.792011E-7
-9.961056E-1	-7.710169E-7
-9.920800E-1	-7.624996E-7
-9.880912E-1	-7.541975E-7
-9.840329E-1	-7.456808E-7
-9.800462E-1	-7.374725E-7
-9.760525E-1	-7.294096E-7
-9.720297E-1	-7.213011E-7
-9.680411E-1	-7.131503E-7
-9.640559E-1	-7.054433E-7
-9.599951E-1	-6.973964E-7
-9.560068E-1	-6.896150E-7
-9.519843E-1	-6.815643E-7
-9.479920E-1	-6.739583E-7
-9.440042E-1	-6.662856E-7
-9.399830E-1	-6.584731E-7
-9.359588E-1	-6.509139E-7
-9.319338E-1	-6.432934E-7
-9.279493E-1	-6.357754E-7
-9.239553E-1	-6.281906E-7
-9.199335E-1	-6.206881E-7
-9.159422E-1	-6.133599E-7
-9.118858E-1	-6.059353E-7
-9.078963E-1	-5.986167E-7
-9.038754E-1	-5.913807E-7
-8.998845E-1	-5.842256E-7
-8.958952E-1	-5.770726E-7
-8.918732E-1	-5.699334E-7
-8.878837E-1	-5.628203E-7
-8.838292E-1	-5.559068E-7
-8.798369E-1	-5.490679E-7
-8.758493E-1	-5.422094E-7
-8.718269E-1	-5.353135E-7
-8.678390E-1	-5.285668E-7
-8.638465E-1	-5.217858E-7
-8.597925E-1	-5.149884E-7
-8.558001E-1	-5.084208E-7
-8.517795E-1	-5.019272E-7
-8.477882E-1	-4.955144E-7
-8.437973E-1	-4.891035E-7
-8.397763E-1	-4.827332E-7
-8.357503E-1	-4.764324E-7
-8.317315E-1	-4.700660E-7
-8.277376E-1	-4.638472E-7
-8.237504E-1	-4.578465E-7
-8.197275E-1	-4.516588E-7
-8.157391E-1	-4.455704E-7
-8.116784E-1	-4.395349E-7
-8.076921E-1	-4.335526E-7
-8.036702E-1	-4.274951E-7
-7.996818E-1	-4.216689E-7
-7.956904E-1	-4.158351E-7
-7.917045E-1	-4.101038E-7
-7.876792E-1	-4.044884E-7
-7.836220E-1	-3.987744E-7
-7.796332E-1	-3.931200E-7
-7.756420E-1	-3.875302E-7
-7.716209E-1	-3.820314E-7
-7.676300E-1	-3.766732E-7
-7.636439E-1	-3.713708E-7
-7.595843E-1	-3.659465E-7
-7.555941E-1	-3.606496E-7
-7.515723E-1	-3.553602E-7
-7.475840E-1	-3.501140E-7
-7.435951E-1	-3.450160E-7
-7.395744E-1	-3.398781E-7
-7.355504E-1	-3.348573E-7
-7.315251E-1	-3.282790E-7
-7.275386E-1	-3.232918E-7
-7.235472E-1	-3.184221E-7
-7.195255E-1	-3.136328E-7
-7.155334E-1	-3.088283E-7
-7.114784E-1	-3.040176E-7
-7.074856E-1	-2.993474E-7
-7.034991E-1	-2.947614E-7
-6.994740E-1	-2.901351E-7
-6.954880E-1	-2.856356E-7
-6.914970E-1	-2.811666E-7
-6.874720E-1	-2.767574E-7
-6.834146E-1	-2.723249E-7
-6.794256E-1	-2.679812E-7
-6.754389E-1	-2.636707E-7
-6.714124E-1	-2.593245E-7
-6.674259E-1	-2.551675E-7
-6.634365E-1	-2.510922E-7
-6.593817E-1	-2.469591E-7
-6.553918E-1	-2.428743E-7
-6.513689E-1	-2.389258E-7
-6.473756E-1	-2.349913E-7
-6.433894E-1	-2.311350E-7
-6.393644E-1	-2.271748E-7
-6.353434E-1	-2.233549E-7
-6.313182E-1	-2.196703E-7
-6.273283E-1	-2.159460E-7
-6.233409E-1	-2.122555E-7
-6.193144E-1	-2.086592E-7
-6.153280E-1	-2.050965E-7
-6.112708E-1	-2.015906E-7
-6.072848E-1	-1.980573E-7
-6.032934E-1	-1.946668E-7
-5.992712E-1	-1.912534E-7
-5.952825E-1	-1.880023E-7
-5.912941E-1	-1.846782E-7
-5.872687E-1	-1.814613E-7
-5.832136E-1	-1.781801E-7
-5.792216E-1	-1.751538E-7
-5.752362E-1	-1.720398E-7
-5.712117E-1	-1.689504E-7
-5.672203E-1	-1.659841E-7
-5.632327E-1	-1.630795E-7
-5.591728E-1	-1.601294E-7
-5.551868E-1	-1.572672E-7
-5.511615E-1	-1.544036E-7
-5.471727E-1	-1.515851E-7
-5.431819E-1	-1.489070E-7
-5.391603E-1	-1.461361E-7
-5.351360E-1	-1.435529E-7
-5.311140E-1	-1.409253E-7
-5.271248E-1	-1.383987E-7
-5.231377E-1	-1.359280E-7
-5.191138E-1	-1.334929E-7
-5.151228E-1	-1.310287E-7
-5.110667E-1	-1.285993E-7
-5.070783E-1	-1.263047E-7
-5.030888E-1	-1.239756E-7
-4.990670E-1	-1.216960E-7
-4.950767E-1	-1.194921E-7
-4.910862E-1	-1.173659E-7
-4.870657E-1	-1.151808E-7
-4.830050E-1	-1.131054E-7
-4.790173E-1	-1.109829E-7
-4.750262E-1	-1.090214E-7
-4.710402E-1	-1.070627E-7
-4.670153E-1	-1.050156E-7
-4.630261E-1	-1.031664E-7
-4.589707E-1	-1.012091E-7
-4.549820E-1	-9.937089E-8
-4.509614E-1	-9.758796E-8
-4.469691E-1	-9.584225E-8
-4.429806E-1	-9.409817E-8
-4.389558E-1	-9.239260E-8
-4.349343E-1	-9.063499E-8
-4.309091E-1	-8.895756E-8
-4.269215E-1	-8.735664E-8
-4.229291E-1	-8.570002E-8
-4.189102E-1	-8.409598E-8
-4.149160E-1	-8.251278E-8
-4.108588E-1	-8.098414E-8
-4.068694E-1	-7.948094E-8
-4.028800E-1	-7.796778E-8
-3.988614E-1	-7.650532E-8
-3.948694E-1	-7.507759E-8
-3.908827E-1	-7.363486E-8
-3.868574E-1	-7.223336E-8
-3.828027E-1	-7.083649E-8
-3.788123E-1	-6.944165E-8
-3.748229E-1	-6.811639E-8
-3.708303E-1	-6.679399E-8
-3.668126E-1	-6.544072E-8
-3.628196E-1	-6.415335E-8
-3.587646E-1	-6.286881E-8
-3.547725E-1	-6.162874E-8
-3.507522E-1	-6.034332E-8
-3.467621E-1	-5.912888E-8
-3.427727E-1	-5.784522E-8
-3.387484E-1	-5.668477E-8
-3.347245E-1	-5.543856E-8
-3.307045E-1	-5.431644E-8
-3.267125E-1	-5.308993E-8
-3.227268E-1	-5.195567E-8
-3.187026E-1	-5.079946E-8
-3.147153E-1	-4.964969E-8
-3.106556E-1	-4.848634E-8
-3.066683E-1	-4.742546E-8
-3.026738E-1	-4.632169E-8
-2.986524E-1	-4.522322E-8
-2.946634E-1	-4.411918E-8
-2.906739E-1	-4.304189E-8
-2.866530E-1	-4.197715E-8
-2.826282E-1	-4.092579E-8
-2.786079E-1	-3.989244E-8
-2.746133E-1	-3.889974E-8
-2.706243E-1	-3.784248E-8
-2.666011E-1	-3.686916E-8
-2.626137E-1	-3.586027E-8
-2.585551E-1	-3.485786E-8
-2.545701E-1	-3.387767E-8
-2.505451E-1	-3.292595E-8
-2.465537E-1	-3.197908E-8
-2.425680E-1	-3.102984E-8
-2.385763E-1	-3.009253E-8
-2.345193E-1	-2.917875E-8
-2.304961E-1	-2.821834E-8
-2.265073E-1	-2.732680E-8
-2.225185E-1	-2.644242E-8
-2.184951E-1	-2.554049E-8
-2.145057E-1	-2.466941E-8
-2.104506E-1	-2.378842E-8
-2.064561E-1	-2.293677E-8
-2.024691E-1	-2.209143E-8
-1.984425E-1	-2.123569E-8
-1.944558E-1	-2.045320E-8
-1.904674E-1	-1.964150E-8
-1.864113E-1	-1.885242E-8
-1.824205E-1	-1.804462E-8
-1.783976E-1	-1.727616E-8
-1.744133E-1	-1.650819E-8
-1.704201E-1	-1.575173E-8
-1.663956E-1	-1.500052E-8
-1.624032E-1	-1.427085E-8
-1.583488E-1	-1.353271E-8
-1.543589E-1	-1.286009E-8
-1.503376E-1	-1.215735E-8
-1.463465E-1	-1.150367E-8
-1.423581E-1	-1.086379E-8
-1.383648E-1	-1.020383E-8
-1.343086E-1	-9.572994E-9
-1.302824E-1	-8.982014E-9
-1.262923E-1	-8.390445E-9
-1.223059E-1	-7.861144E-9
-1.182834E-1	-7.327696E-9
-1.142949E-1	-6.835315E-9
-1.102343E-1	-6.359488E-9
-1.062498E-1	-5.902812E-9
-1.022583E-1	-5.480369E-9
