Voltage (V)	Current (A)
-9.437937E-1	-1.001179E-6
-9.438562E-1	-1.001355E-6
-9.438223E-1	-1.001388E-6
-9.437951E-1	-1.001333E-6
-9.438847E-1	-1.001476E-6
-9.438506E-1	-1.001296E-6
-9.439266E-1	-1.001379E-6
-9.438326E-1	-1.001362E-6
-9.438363E-1	-1.001379E-6
-9.439175E-1	-1.001312E-6
-9.436905E-1	-1.001078E-6
-9.437598E-1	-1.001233E-6
-9.437762E-1	-1.001308E-6
-9.438139E-1	-1.001321E-6
-9.437965E-1	-1.001287E-6
-9.399987E-1	-9.906223E-7
-9.359734E-1	-9.807289E-7
-9.319494E-1	-9.703208E-7
-9.279659E-1	-9.605789E-7
-9.239713E-1	-9.504624E-7
-9.199495E-1	-9.406129E-7
-9.159568E-1	-9.306639E-7
-9.119028E-1	-9.205578E-7
-9.079115E-1	-9.110017E-7
-9.038916E-1	-9.010644E-7
-8.999007E-1	-8.915704E-7
-8.959104E-1	-8.819561E-7
-8.918878E-1	-8.725263E-7
-8.878980E-1	-8.629330E-7
-8.838430E-1	-8.534270E-7
-8.798515E-1	-8.441824E-7
-8.758640E-1	-8.348651E-7
-8.718424E-1	-8.254524E-7
-8.678514E-1	-8.159756E-7
-8.638608E-1	-8.070274E-7
-8.598054E-1	-7.976173E-7
-8.558138E-1	-7.887409E-7
-8.517919E-1	-7.796619E-7
-8.478001E-1	-7.706706E-7
-8.438097E-1	-7.617489E-7
-8.397899E-1	-7.527906E-7
-8.357638E-1	-7.439526E-7
-8.317437E-1	-7.351084E-7
-8.277509E-1	-7.260613E-7
-8.237629E-1	-7.178421E-7
-8.197405E-1	-7.090658E-7
-8.157502E-1	-7.006506E-7
-8.116920E-1	-6.920685E-7
-8.077047E-1	-6.836509E-7
-8.036823E-1	-6.752496E-7
-7.996937E-1	-6.670272E-7
-7.957031E-1	-6.587454E-7
-7.917150E-1	-6.506627E-7
-7.876913E-1	-6.423600E-7
-7.836328E-1	-6.341804E-7
-7.796433E-1	-6.265147E-7
-7.756524E-1	-6.183660E-7
-7.716329E-1	-6.103223E-7
-7.676411E-1	-6.024226E-7
-7.636537E-1	-5.948601E-7
-7.595940E-1	-5.871322E-7
-7.556060E-1	-5.795087E-7
-7.515826E-1	-5.717049E-7
-7.475939E-1	-5.642755E-7
-7.436055E-1	-5.566386E-7
-7.395854E-1	-5.493452E-7
-7.355579E-1	-5.420503E-7
-7.315338E-1	-5.346195E-7
-7.275486E-1	-5.272914E-7
