Voltage (V)	Current (A)
1.499959E+0	6.087380E-7
1.494956E+0	5.982185E-7
1.489955E+0	5.884951E-7
1.484949E+0	5.782333E-7
1.479913E+0	5.685814E-7
1.474908E+0	5.590153E-7
1.469910E+0	5.488808E-7
1.464904E+0	5.395103E-7
1.459900E+0	5.306370E-7
1.454900E+0	5.210057E-7
1.449860E+0	5.123785E-7
1.444860E+0	5.027100E-7
1.439857E+0	4.941836E-7
1.434851E+0	4.847970E-7
1.429849E+0	4.761174E-7
1.424779E+0	4.674234E-7
1.419813E+0	4.598339E-7
1.414811E+0	4.511496E-7
1.409811E+0	4.426120E-7
1.404809E+0	4.342194E-7
1.399800E+0	4.256853E-7
1.394731E+0	4.174074E-7
1.389761E+0	4.098384E-7
1.384757E+0	4.022649E-7
1.379751E+0	3.948106E-7
1.374759E+0	3.870198E-7
1.369750E+0	3.801019E-7
1.364675E+0	3.712391E-7
1.359712E+0	3.644013E-7
1.354711E+0	3.567251E-7
1.349705E+0	3.504358E-7
1.344701E+0	3.431167E-7
1.339700E+0	3.368369E-7
1.334630E+0	3.297237E-7
1.329656E+0	3.226912E-7
1.324654E+0	3.175401E-7
1.319654E+0	3.098072E-7
1.314652E+0	3.039659E-7
1.309648E+0	2.970285E-7
1.304577E+0	2.905059E-7
1.299611E+0	2.846117E-7
1.294608E+0	2.788907E-7
1.289604E+0	2.727914E-7
1.284602E+0	2.664589E-7
1.279604E+0	2.615510E-7
1.274528E+0	2.555209E-7
1.269557E+0	2.499036E-7
1.264557E+0	2.436491E-7
1.259553E+0	2.390792E-7
1.254552E+0	2.332689E-7
1.249546E+0	2.284775E-7
1.244475E+0	2.234054E-7
1.239510E+0	2.177984E-7
1.234507E+0	2.133345E-7
1.229505E+0	2.078227E-7
1.224502E+0	2.029291E-7
1.219503E+0	1.984719E-7
1.214434E+0	1.935002E-7
1.209460E+0	1.890700E-7
1.204460E+0	1.839101E-7
1.199454E+0	1.795745E-7
1.194453E+0	1.755286E-7
1.189447E+0	1.714923E-7
1.184384E+0	1.674493E-7
1.179414E+0	1.633787E-7
1.174409E+0	1.587605E-7
1.169408E+0	1.546120E-7
1.164404E+0	1.509994E-7
1.159404E+0	1.472061E-7
1.154332E+0	1.430384E-7
1.149362E+0	1.392791E-7
1.144360E+0	1.351321E-7
1.139356E+0	1.320759E-7
1.134358E+0	1.283074E-7
1.129351E+0	1.243263E-7
1.124283E+0	1.209865E-7
1.119314E+0	1.180840E-7
1.114307E+0	1.148026E-7
1.109305E+0	1.116184E-7
1.104305E+0	1.090440E-7
1.099304E+0	1.057924E-7
1.094230E+0	1.030105E-7
1.089263E+0	9.988339E-8
1.084259E+0	9.721282E-8
1.079255E+0	9.426341E-8
1.074255E+0	9.159830E-8
1.069251E+0	8.838241E-8
1.064181E+0	8.588331E-8
1.059212E+0	8.325213E-8
1.054210E+0	8.081668E-8
1.049209E+0	7.881039E-8
1.044204E+0	7.647122E-8
1.039205E+0	7.380564E-8
1.034130E+0	7.198499E-8
1.029162E+0	6.934508E-8
1.024164E+0	6.758272E-8
1.019157E+0	6.534573E-8
1.014154E+0	6.326326E-8
1.009156E+0	6.150708E-8
1.004085E+0	5.919070E-8
9.991131E-1	5.714358E-8
