Voltage (V)	Current (A)
-1.500043E+0	-4.578207E-7
-1.495037E+0	-4.515347E-7
-1.490067E+0	-4.427283E-7
-1.485062E+0	-4.355585E-7
-1.479996E+0	-4.266731E-7
-1.474989E+0	-4.195284E-7
-1.469986E+0	-4.119096E-7
-1.465018E+0	-4.046174E-7
-1.460015E+0	-3.962304E-7
-1.455013E+0	-3.881385E-7
-1.449937E+0	-3.823408E-7
-1.444973E+0	-3.754738E-7
-1.439968E+0	-3.686350E-7
-1.434961E+0	-3.608159E-7
-1.429963E+0	-3.555286E-7
-1.424888E+0	-3.468397E-7
-1.419921E+0	-3.421902E-7
-1.414919E+0	-3.345593E-7
-1.409914E+0	-3.278772E-7
-1.404911E+0	-3.219972E-7
-1.399905E+0	-3.152514E-7
-1.394870E+0	-3.095235E-7
-1.389866E+0	-3.027381E-7
-1.384864E+0	-2.972975E-7
-1.379860E+0	-2.921198E-7
-1.374858E+0	-2.863310E-7
-1.369852E+0	-2.799808E-7
-1.364818E+0	-2.747452E-7
-1.359815E+0	-2.684521E-7
-1.354813E+0	-2.629866E-7
-1.349810E+0	-2.581513E-7
-1.344806E+0	-2.520430E-7
-1.339802E+0	-2.472907E-7
-1.334766E+0	-2.412723E-7
-1.329759E+0	-2.367349E-7
-1.324759E+0	-2.315162E-7
-1.319754E+0	-2.261452E-7
-1.314750E+0	-2.206883E-7
-1.309747E+0	-2.160683E-7
-1.304712E+0	-2.118562E-7
-1.299710E+0	-2.076712E-7
-1.294706E+0	-2.026090E-7
-1.289705E+0	-1.985199E-7
-1.284701E+0	-1.940868E-7
-1.279697E+0	-1.891420E-7
-1.274659E+0	-1.850324E-7
-1.269655E+0	-1.800302E-7
-1.264652E+0	-1.762032E-7
-1.259648E+0	-1.724006E-7
-1.254648E+0	-1.672852E-7
-1.249643E+0	-1.635894E-7
-1.244604E+0	-1.596130E-7
-1.239605E+0	-1.561717E-7
-1.234602E+0	-1.524499E-7
-1.229601E+0	-1.484771E-7
-1.224596E+0	-1.452085E-7
-1.219627E+0	-1.406770E-7
-1.214557E+0	-1.377161E-7
-1.209550E+0	-1.347380E-7
-1.204550E+0	-1.309866E-7
-1.199547E+0	-1.272853E-7
-1.194579E+0	-1.249285E-7
-1.189577E+0	-1.210057E-7
-1.184503E+0	-1.173408E-7
-1.179500E+0	-1.146259E-7
-1.174496E+0	-1.111375E-7
-1.169527E+0	-1.082410E-7
-1.164522E+0	-1.054637E-7
-1.159524E+0	-1.020403E-7
-1.154452E+0	-9.928625E-8
-1.149447E+0	-9.775919E-8
-1.144480E+0	-9.498019E-8
-1.139475E+0	-9.188025E-8
-1.134475E+0	-8.936153E-8
-1.129468E+0	-8.701946E-8
-1.124400E+0	-8.406639E-8
-1.119428E+0	-8.198614E-8
-1.114424E+0	-7.927277E-8
-1.109421E+0	-7.692819E-8
-1.104418E+0	-7.407705E-8
-1.099416E+0	-7.203075E-8
-1.094380E+0	-7.031944E-8
-1.089374E+0	-6.831176E-8
-1.084373E+0	-6.592424E-8
-1.079370E+0	-6.405057E-8
-1.074368E+0	-6.149445E-8
-1.069361E+0	-5.962578E-8
-1.064327E+0	-5.823776E-8
-1.059321E+0	-5.622626E-8
-1.054315E+0	-5.452566E-8
-1.049315E+0	-5.251188E-8
-1.044312E+0	-5.109137E-8
-1.039309E+0	-4.917699E-8
-1.034271E+0	-4.726623E-8
-1.029269E+0	-4.609198E-8
-1.024268E+0	-4.441253E-8
-1.019261E+0	-4.275572E-8
-1.014262E+0	-4.118690E-8
-1.009257E+0	-3.971273E-8
-1.004222E+0	-3.826761E-8
-9.992179E-1	-3.709246E-8
-9.942119E-1	-3.588942E-8
-9.892099E-1	-3.458256E-8
-9.842039E-1	-3.306089E-8
-9.792046E-1	-3.193519E-8
-9.741657E-1	-3.074426E-8
-9.691659E-1	-2.972268E-8
-9.641598E-1	-2.857134E-8
-9.591550E-1	-2.762704E-8
-9.541530E-1	-2.651774E-8
-9.491484E-1	-2.533304E-8
-9.441116E-1	-2.438977E-8
-9.391094E-1	-2.360919E-8
-9.341065E-1	-2.270584E-8
-9.291044E-1	-2.165609E-8
-9.240969E-1	-2.095933E-8
-9.191325E-1	-2.022756E-8
-9.140592E-1	-1.947278E-8
-9.090572E-1	-1.863334E-8
-9.040548E-1	-1.802764E-8
-8.990496E-1	-1.720882E-8
-8.940794E-1	-1.651417E-8
-8.890787E-1	-1.585702E-8
-8.840083E-1	-1.525216E-8
-8.790029E-1	-1.443150E-8
-8.740024E-1	-1.381286E-8
-8.690336E-1	-1.324681E-8
-8.640280E-1	-1.262018E-8
-8.590271E-1	-1.209930E-8
-8.539528E-1	-1.156504E-8
-8.489531E-1	-1.106954E-8
-8.439803E-1	-1.053080E-8
-8.389775E-1	-1.002825E-8
-8.339756E-1	-9.565618E-9
-8.289689E-1	-9.124355E-9
-8.239002E-1	-8.727647E-9
-8.189306E-1	-8.315973E-9
-8.139311E-1	-7.880499E-9
-8.089281E-1	-7.531886E-9
-8.039230E-1	-7.179549E-9
-7.989205E-1	-6.825169E-9
-7.938851E-1	-6.454775E-9
-7.888809E-1	-6.136043E-9
-7.838746E-1	-5.841203E-9
-7.788746E-1	-5.541922E-9
-7.738707E-1	-5.288983E-9
-7.688658E-1	-5.026870E-9
-7.638295E-1	-4.750672E-9
-7.588251E-1	-4.498742E-9
-7.538230E-1	-4.250669E-9
-7.488196E-1	-4.033097E-9
-7.438179E-1	-3.812803E-9
-7.388166E-1	-3.606131E-9
-7.337770E-1	-3.393382E-9
-7.287766E-1	-3.219473E-9
-7.237697E-1	-3.018081E-9
-7.187676E-1	-2.840280E-9
-7.137656E-1	-2.680202E-9
-7.087587E-1	-2.519621E-9
-7.037249E-1	-2.365958E-9
-6.987191E-1	-2.226207E-9
-6.937178E-1	-2.090143E-9
-6.887116E-1	-1.979767E-9
-6.837089E-1	-1.865072E-9
-6.787066E-1	-1.760520E-9
-6.736673E-1	-1.652950E-9
-6.686646E-1	-1.559922E-9
-6.636627E-1	-1.454824E-9
-6.586605E-1	-1.367242E-9
-6.536560E-1	-1.294120E-9
-6.486529E-1	-1.215045E-9
-6.436175E-1	-1.121724E-9
-6.386119E-1	-1.058741E-9
-6.336109E-1	-9.937473E-10
-6.286060E-1	-9.287104E-10
-6.236377E-1	-8.813584E-10
-6.186349E-1	-8.200941E-10
-6.135623E-1	-7.715683E-10
-6.085616E-1	-7.169248E-10
-6.035546E-1	-6.857471E-10
-5.985886E-1	-6.375568E-10
-5.935836E-1	-5.920485E-10
-5.885815E-1	-5.595300E-10
-5.835102E-1	-5.247493E-10
-5.785046E-1	-4.892139E-10
-5.735372E-1	-4.571148E-10
-5.685310E-1	-4.337741E-10
-5.635284E-1	-4.134919E-10
-5.585247E-1	-3.804292E-10
-5.534523E-1	-3.544064E-10
-5.484847E-1	-3.410807E-10
-5.434788E-1	-3.101549E-10
-5.384789E-1	-2.967456E-10
-5.334744E-1	-2.731112E-10
-5.284731E-1	-2.522846E-10
-5.234374E-1	-2.389589E-10
-5.184310E-1	-2.270580E-10
-5.134293E-1	-2.143608E-10
-5.084232E-1	-1.954617E-10
-5.034245E-1	-1.874160E-10
-4.984181E-1	-1.681817E-10
-4.933823E-1	-1.638656E-10
-4.883806E-1	-1.465169E-10
-4.833738E-1	-1.442541E-10
-4.783711E-1	-1.276599E-10
-4.733682E-1	-1.250198E-10
-4.683665E-1	-1.219189E-10
-4.633276E-1	-1.100599E-10
-4.583251E-1	-1.082998E-10
-4.533233E-1	-9.849416E-11
-4.483172E-1	-9.049033E-11
-4.433171E-1	-8.818559E-11
-4.383106E-1	-8.315701E-11
-4.332746E-1	-7.938559E-11
-4.282680E-1	-8.114558E-11
-4.232669E-1	-6.995782E-11
-4.182638E-1	-6.719257E-11
-4.132565E-1	-6.882658E-11
-4.082530E-1	-6.342177E-11
-4.032170E-1	-6.354747E-11
-3.982145E-1	-6.006995E-11
-3.932125E-1	-5.462326E-11
-3.882098E-1	-4.657890E-11
-3.832087E-1	-5.734662E-11
-3.782021E-1	-5.009830E-11
-3.731650E-1	-5.018210E-11
-3.681603E-1	-5.458136E-11
-3.631564E-1	-5.298924E-11
-3.581558E-1	-5.257028E-11
-3.531502E-1	-4.833863E-11
-3.481831E-1	-4.574095E-11
-3.431101E-1	-4.528007E-11
-3.381056E-1	-4.678841E-11
-3.331025E-1	-4.293382E-11
-3.281013E-1	-4.683028E-11
-3.231317E-1	-3.962390E-11
-3.181280E-1	-4.201208E-11
-3.130580E-1	-5.152281E-11
-3.080517E-1	-4.037804E-11
-3.030467E-1	-4.096461E-11
-2.980792E-1	-4.360418E-11
-2.930735E-1	-4.364607E-11
-2.880715E-1	-3.333927E-11
-2.830000E-1	-4.427455E-11
-2.779969E-1	-4.528011E-11
-2.730221E-1	-3.568549E-11
-2.680188E-1	-5.043351E-11
-2.630188E-1	-3.459616E-11
-2.580149E-1	-3.916303E-11
-2.529461E-1	-4.356225E-11
-2.479776E-1	-4.217963E-11
-2.429760E-1	-3.434480E-11
-2.379670E-1	-4.075514E-11
-2.329644E-1	-4.041995E-11
-2.279634E-1	-3.874403E-11
-2.229238E-1	-4.352038E-11
-2.179222E-1	-4.004286E-11
-2.129168E-1	-4.666269E-11
-2.079133E-1	-3.987525E-11
-2.029088E-1	-4.465158E-11
-1.979023E-1	-4.134165E-11
-1.928711E-1	-4.205396E-11
-1.878659E-1	-3.878591E-11
-1.828639E-1	-3.421910E-11
-1.778584E-1	-4.217967E-11
-1.728539E-1	-3.694242E-11
-1.678516E-1	-4.222154E-11
-1.628102E-1	-4.486108E-11
-1.578067E-1	-4.226345E-11
-1.528056E-1	-3.518274E-11
-1.477994E-1	-4.184445E-11
-1.427941E-1	-3.916301E-11
-1.377897E-1	-3.962389E-11
-1.327548E-1	-4.712359E-11
-1.277466E-1	-4.440022E-11
-1.227477E-1	-3.694243E-11
-1.177420E-1	-4.238914E-11
-1.127379E-1	-4.879947E-11
-1.077396E-1	-3.371629E-11
-1.026960E-1	-4.046184E-11
-9.769386E-2	-3.673295E-11
-9.269020E-2	-4.113219E-11
-8.768722E-2	-3.886973E-11
-8.268106E-2	-4.217966E-11
