Voltage (V)	Current (A)
1.499950E+0	3.006842E-7
1.494945E+0	2.944566E-7
1.489943E+0	2.882088E-7
1.484937E+0	2.827881E-7
1.479904E+0	2.777137E-7
1.474898E+0	2.723309E-7
1.469898E+0	2.663447E-7
1.464893E+0	2.610693E-7
1.459891E+0	2.554393E-7
1.454889E+0	2.504390E-7
1.449849E+0	2.450340E-7
1.444850E+0	2.398548E-7
1.439847E+0	2.351527E-7
1.434844E+0	2.302292E-7
1.429842E+0	2.256949E-7
1.424772E+0	2.212668E-7
1.419804E+0	2.162184E-7
1.414801E+0	2.117599E-7
1.409801E+0	2.072318E-7
1.404796E+0	2.027775E-7
1.399792E+0	1.983719E-7
1.394719E+0	1.936009E-7
1.389751E+0	1.895730E-7
1.384745E+0	1.855381E-7
1.379744E+0	1.816888E-7
1.374749E+0	1.776484E-7
1.369744E+0	1.731421E-7
1.364666E+0	1.692619E-7
1.359705E+0	1.652657E-7
1.354701E+0	1.616635E-7
1.349696E+0	1.574226E-7
1.344694E+0	1.540819E-7
1.339692E+0	1.505216E-7
1.334625E+0	1.469852E-7
1.329650E+0	1.434144E-7
1.324649E+0	1.399170E-7
1.319649E+0	1.365222E-7
1.314645E+0	1.329944E-7
1.309643E+0	1.300863E-7
1.304574E+0	1.269927E-7
1.299607E+0	1.233960E-7
1.294602E+0	1.207212E-7
1.289602E+0	1.173596E-7
1.284597E+0	1.144342E-7
1.279601E+0	1.111558E-7
1.274524E+0	1.086349E-7
1.269553E+0	1.054256E-7
1.264552E+0	1.028439E-7
1.259546E+0	1.003271E-7
1.254545E+0	9.777449E-8
1.249544E+0	9.457536E-8
1.244473E+0	9.203435E-8
1.239505E+0	8.997242E-8
1.234502E+0	8.766169E-8
1.229502E+0	8.493886E-8
1.224495E+0	8.264372E-8
1.219498E+0	8.035259E-8
1.214430E+0	7.827760E-8
1.209456E+0	7.591279E-8
1.204453E+0	7.378505E-8
1.199452E+0	7.151363E-8
1.194448E+0	6.956729E-8
1.189445E+0	6.742346E-8
1.184381E+0	6.530383E-8
1.179410E+0	6.325212E-8
1.174407E+0	6.178910E-8
1.169406E+0	5.964569E-8
1.164403E+0	5.790396E-8
1.159401E+0	5.621001E-8
1.154328E+0	5.472417E-8
1.149359E+0	5.250504E-8
1.144360E+0	5.118300E-8
1.139352E+0	4.946261E-8
1.134353E+0	4.804576E-8
1.129346E+0	4.652334E-8
1.124278E+0	4.483291E-8
1.119312E+0	4.348638E-8
1.114308E+0	4.232033E-8
1.109304E+0	4.055524E-8
1.104302E+0	3.923532E-8
1.099300E+0	3.847885E-8
1.094227E+0	3.704606E-8
1.089262E+0	3.550396E-8
1.084257E+0	3.437797E-8
1.079253E+0	3.317069E-8
1.074253E+0	3.195807E-8
1.069249E+0	3.091540E-8
1.064179E+0	2.975597E-8
1.059212E+0	2.875913E-8
1.054208E+0	2.747365E-8
1.049206E+0	2.657164E-8
1.044203E+0	2.549517E-8
1.039205E+0	2.456061E-8
1.034130E+0	2.352137E-8
1.029162E+0	2.249094E-8
1.024159E+0	2.175671E-8
1.019156E+0	2.090386E-8
1.014154E+0	2.002380E-8
1.009154E+0	1.915534E-8
1.004084E+0	1.844610E-8
9.991117E-1	1.752439E-8
9.941103E-1	1.682609E-8
9.891103E-1	1.619244E-8
9.841032E-1	1.548942E-8
9.791031E-1	1.477876E-8
9.740342E-1	1.407635E-8
9.690638E-1	1.345861E-8
9.640594E-1	1.286776E-8
9.590556E-1	1.227312E-8
9.540527E-1	1.164096E-8
9.490490E-1	1.110418E-8
9.439819E-1	1.056106E-8
9.390122E-1	1.005933E-8
9.340131E-1	9.677179E-9
9.290100E-1	9.188736E-9
9.240061E-1	8.719193E-9
9.190045E-1	8.313879E-9
9.139342E-1	7.921260E-9
9.089643E-1	7.465122E-9
9.039618E-1	7.097548E-9
8.989623E-1	6.857441E-9
8.939581E-1	6.509683E-9
8.889542E-1	6.174462E-9
8.838855E-1	5.847911E-9
8.789169E-1	5.485204E-9
8.739165E-1	5.278733E-9
8.689100E-1	4.996171E-9
8.639096E-1	4.717976E-9
8.589067E-1	4.480873E-9
8.538368E-1	4.247717E-9
8.488683E-1	4.059764E-9
8.438641E-1	3.879561E-9
8.388636E-1	3.652894E-9
8.338600E-1	3.474117E-9
8.288554E-1	3.268820E-9
8.237847E-1	3.096786E-9
8.188173E-1	2.942939E-9
8.138156E-1	2.757123E-9
8.088133E-1	2.591461E-9
8.038129E-1	2.433508E-9
7.988105E-1	2.281503E-9
7.937397E-1	2.122419E-9
7.887713E-1	2.007913E-9
7.837660E-1	1.821425E-9
7.787661E-1	1.707756E-9
7.737615E-1	1.588098E-9
7.687607E-1	1.519010E-9
7.636916E-1	1.388749E-9
7.587194E-1	1.296531E-9
7.537205E-1	1.212234E-9
7.487153E-1	1.118467E-9
7.437134E-1	1.061192E-9
7.387133E-1	9.684733E-10
7.336418E-1	9.125821E-10
7.286742E-1	8.111903E-10
7.236702E-1	7.796837E-10
7.186688E-1	7.177587E-10
7.136633E-1	6.709170E-10
7.086635E-1	6.397038E-10
7.035937E-1	5.690221E-10
6.986226E-1	5.164404E-10
6.936218E-1	4.870706E-10
6.886177E-1	4.602563E-10
6.836147E-1	4.153000E-10
6.786128E-1	3.814891E-10
6.735420E-1	3.441160E-10
6.685746E-1	3.397171E-10
6.635729E-1	3.051093E-10
6.585699E-1	2.796356E-10
6.535669E-1	2.679044E-10
6.485662E-1	2.333390E-10
6.434947E-1	2.135629E-10
6.385239E-1	1.902681E-10
6.335247E-1	1.720428E-10
6.285189E-1	1.502559E-10
6.235192E-1	1.435522E-10
6.185133E-1	1.295584E-10
6.134452E-1	1.170312E-10
6.084793E-1	1.063472E-10
6.034753E-1	8.598509E-11
5.984728E-1	7.840154E-11
5.934704E-1	6.738250E-11
5.884680E-1	6.830424E-11
5.833946E-1	5.053948E-11
5.784286E-1	5.623778E-11
5.734275E-1	4.681083E-11
5.684223E-1	2.623908E-11
5.634224E-1	1.547136E-11
5.584170E-1	1.593224E-11
5.533470E-1	1.375366E-11
5.483791E-1	1.170058E-11
5.433757E-1	-8.703566E-12
5.383747E-1	5.415918E-12
