Voltage (V)	Current (A)
-1.500029E+0	-1.976746E-7
-1.495023E+0	-1.922894E-7
-1.490055E+0	-1.893570E-7
-1.485051E+0	-1.858203E-7
-1.479983E+0	-1.815961E-7
-1.474979E+0	-1.779616E-7
-1.469974E+0	-1.744729E-7
-1.465005E+0	-1.711179E-7
-1.460004E+0	-1.678447E-7
-1.454999E+0	-1.639884E-7
-1.449927E+0	-1.603597E-7
-1.444963E+0	-1.566123E-7
-1.439955E+0	-1.526176E-7
-1.434950E+0	-1.493183E-7
-1.429954E+0	-1.462662E-7
-1.424877E+0	-1.429056E-7
-1.419911E+0	-1.397417E-7
-1.414907E+0	-1.368060E-7
-1.409906E+0	-1.331366E-7
-1.404902E+0	-1.302132E-7
-1.399895E+0	-1.270044E-7
-1.394862E+0	-1.243362E-7
-1.389858E+0	-1.210774E-7
-1.384856E+0	-1.184507E-7
-1.379853E+0	-1.153737E-7
-1.374851E+0	-1.127610E-7
-1.369846E+0	-1.097832E-7
-1.364810E+0	-1.072807E-7
-1.359807E+0	-1.051809E-7
-1.354806E+0	-1.022981E-7
-1.349803E+0	-1.002752E-7
-1.344802E+0	-9.748720E-8
-1.339795E+0	-9.544436E-8
-1.334762E+0	-9.304600E-8
-1.329750E+0	-9.067264E-8
-1.324752E+0	-8.820590E-8
-1.319748E+0	-8.571125E-8
-1.314744E+0	-8.350143E-8
-1.309741E+0	-8.112882E-8
-1.304705E+0	-7.896305E-8
-1.299704E+0	-7.694159E-8
-1.294699E+0	-7.507389E-8
-1.289698E+0	-7.297501E-8
-1.284696E+0	-7.116829E-8
-1.279690E+0	-6.910633E-8
-1.274652E+0	-6.709374E-8
-1.269650E+0	-6.535015E-8
-1.264648E+0	-6.345770E-8
-1.259642E+0	-6.225808E-8
-1.254643E+0	-6.032485E-8
-1.249637E+0	-5.843041E-8
-1.244599E+0	-5.687662E-8
-1.239602E+0	-5.515153E-8
-1.234596E+0	-5.365883E-8
-1.229597E+0	-5.213549E-8
-1.224589E+0	-5.066743E-8
-1.219622E+0	-4.888587E-8
-1.214550E+0	-4.762656E-8
-1.209546E+0	-4.606639E-8
-1.204545E+0	-4.466916E-8
-1.199541E+0	-4.353938E-8
-1.194574E+0	-4.226477E-8
-1.189572E+0	-4.082517E-8
-1.184498E+0	-3.963013E-8
-1.179496E+0	-3.832687E-8
-1.174492E+0	-3.693567E-8
-1.169522E+0	-3.584302E-8
-1.164518E+0	-3.466026E-8
-1.159521E+0	-3.352855E-8
-1.154446E+0	-3.234389E-8
-1.149443E+0	-3.145664E-8
-1.144475E+0	-3.038718E-8
-1.139471E+0	-2.928183E-8
-1.134469E+0	-2.842612E-8
-1.129464E+0	-2.740231E-8
-1.124395E+0	-2.651602E-8
-1.119425E+0	-2.541895E-8
-1.114421E+0	-2.473831E-8
-1.109418E+0	-2.393102E-8
-1.104414E+0	-2.300703E-8
-1.099412E+0	-2.224090E-8
