Voltage (V)	Current (A)
1.499947E+0	2.696882E-7
1.494942E+0	2.637589E-7
1.489940E+0	2.589444E-7
1.484937E+0	2.536535E-7
1.479902E+0	2.491529E-7
1.474897E+0	2.436701E-7
1.469897E+0	2.390707E-7
1.464893E+0	2.348710E-7
1.459889E+0	2.293812E-7
1.454890E+0	2.242085E-7
1.449847E+0	2.197256E-7
1.444850E+0	2.146200E-7
1.439846E+0	2.101826E-7
1.434843E+0	2.066294E-7
1.429839E+0	2.019133E-7
1.424770E+0	1.972944E-7
1.419802E+0	1.938615E-7
1.414800E+0	1.892856E-7
1.409801E+0	1.846859E-7
1.404797E+0	1.802272E-7
1.399791E+0	1.770294E-7
1.394719E+0	1.730458E-7
1.389749E+0	1.687569E-7
1.384748E+0	1.649956E-7
1.379740E+0	1.610859E-7
1.374748E+0	1.574151E-7
1.369740E+0	1.543506E-7
1.364667E+0	1.503289E-7
1.359702E+0	1.468566E-7
1.354697E+0	1.433129E-7
1.349697E+0	1.406381E-7
1.344693E+0	1.368262E-7
1.339691E+0	1.334425E-7
1.334625E+0	1.299983E-7
1.329649E+0	1.265116E-7
1.324644E+0	1.236488E-7
1.319645E+0	1.204734E-7
1.314643E+0	1.173470E-7
1.309640E+0	1.145366E-7
1.304571E+0	1.117424E-7
1.299606E+0	1.094916E-7
1.294601E+0	1.062315E-7
1.289599E+0	1.032701E-7
1.284594E+0	1.005471E-7
1.279599E+0	9.844378E-8
1.274523E+0	9.576007E-8
1.269552E+0	9.325654E-8
1.264550E+0	9.030384E-8
1.259546E+0	8.791496E-8
1.254544E+0	8.623762E-8
1.249544E+0	8.345818E-8
1.244468E+0	8.106372E-8
1.239504E+0	7.889028E-8
1.234500E+0	7.682132E-8
1.229501E+0	7.477023E-8
1.224493E+0	7.219075E-8
1.219498E+0	7.075776E-8
1.214431E+0	6.831175E-8
1.209456E+0	6.652375E-8
1.204450E+0	6.441278E-8
1.199452E+0	6.263785E-8
1.194448E+0	6.106311E-8
1.189442E+0	5.914544E-8
1.184379E+0	5.732422E-8
1.179407E+0	5.562646E-8
1.174405E+0	5.378147E-8
1.169402E+0	5.261480E-8
1.164401E+0	5.056174E-8
1.159398E+0	4.917190E-8
1.154325E+0	4.753530E-8
1.149357E+0	4.613930E-8
1.144358E+0	4.467222E-8
1.139351E+0	4.331991E-8
1.134352E+0	4.178602E-8
1.129346E+0	4.067747E-8
1.124279E+0	3.932309E-8
1.119313E+0	3.806953E-8
1.114303E+0	3.672519E-8
1.109304E+0	3.540708E-8
1.104302E+0	3.417127E-8
1.099298E+0	3.291913E-8
1.094226E+0	3.214744E-8
1.089259E+0	3.075459E-8
1.084254E+0	2.970383E-8
1.079253E+0	2.860282E-8
1.074248E+0	2.780986E-8
1.069246E+0	2.657799E-8
1.064180E+0	2.571245E-8
1.059208E+0	2.500997E-8
1.054206E+0	2.405703E-8
1.049207E+0	2.312267E-8
1.044200E+0	2.197487E-8
1.039202E+0	2.121440E-8
1.034128E+0	2.036266E-8
1.029163E+0	1.960026E-8
1.024157E+0	1.870063E-8
1.019157E+0	1.804037E-8
1.014154E+0	1.728650E-8
1.009155E+0	1.661740E-8
1.004082E+0	1.580080E-8
9.991114E-1	1.521630E-8
9.941105E-1	1.474030E-8
9.891068E-1	1.407953E-8
9.841058E-1	1.337382E-8
9.791030E-1	1.290855E-8
9.740341E-1	1.234565E-8
9.690620E-1	1.181354E-8
9.640589E-1	1.117263E-8
9.590558E-1	1.061657E-8
9.540538E-1	1.016923E-8
9.490487E-1	9.628656E-9
9.439821E-1	9.226531E-9
9.390122E-1	8.672179E-9
9.340137E-1	8.404123E-9
9.290114E-1	7.881454E-9
9.240057E-1	7.493687E-9
9.190037E-1	7.052892E-9
9.139327E-1	6.713719E-9
9.089648E-1	6.453248E-9
9.039603E-1	5.965936E-9
8.989619E-1	5.740658E-9
8.939574E-1	5.431402E-9
8.889549E-1	5.120067E-9
8.838840E-1	4.863778E-9
8.789162E-1	4.603009E-9
8.739163E-1	4.351287E-9
8.689113E-1	4.129562E-9
8.639110E-1	3.907970E-9
8.589086E-1	3.687965E-9
8.538346E-1	3.453377E-9
8.488685E-1	3.299574E-9
8.438642E-1	3.101901E-9
8.388627E-1	2.944239E-9
8.338616E-1	2.782390E-9
8.288550E-1	2.652213E-9
8.237854E-1	2.502176E-9
8.188172E-1	2.321681E-9
8.138170E-1	2.245386E-9
8.088149E-1	2.088315E-9
8.038142E-1	1.956505E-9
7.988116E-1	1.867345E-9
7.937375E-1	1.738133E-9
7.887709E-1	1.602846E-9
7.837656E-1	1.494288E-9
7.787681E-1	1.410495E-9
7.737607E-1	1.300051E-9
7.687610E-1	1.255766E-9
7.636898E-1	1.117755E-9
7.587205E-1	1.044771E-9
7.537209E-1	9.670086E-10
7.487180E-1	9.312277E-10
7.437151E-1	8.647776E-10
7.387164E-1	7.925046E-10
7.336439E-1	7.206076E-10
7.286746E-1	6.847433E-10
7.236713E-1	6.508902E-10
7.186708E-1	5.635761E-10
7.136635E-1	5.025723E-10
7.086640E-1	4.770154E-10
7.035951E-1	4.484413E-10
6.986261E-1	4.084292E-10
6.936227E-1	3.646463E-10
6.886179E-1	3.686257E-10
6.836153E-1	3.370769E-10
6.786126E-1	2.997048E-10
6.735420E-1	2.750690E-10
6.685717E-1	2.675271E-10
6.635711E-1	2.431009E-10
6.585727E-1	2.210213E-10
6.535674E-1	1.963015E-10
6.485650E-1	1.901425E-10
6.434967E-1	1.538173E-10
6.385256E-1	1.438456E-10
6.335235E-1	1.327428E-10
6.285205E-1	1.149783E-10
6.235201E-1	1.079812E-10
6.185132E-1	8.091529E-11
6.134435E-1	8.694859E-11
6.084789E-1	7.136278E-11
6.034733E-1	5.933817E-11
5.984734E-1	5.162901E-11
5.934699E-1	5.121006E-11
5.884700E-1	4.148983E-11
5.833967E-1	3.168578E-11
5.784283E-1	1.358609E-11
5.734254E-1	1.812696E-12
5.684227E-1	3.130873E-11
5.634239E-1	-1.455183E-12
5.584183E-1	2.106051E-12
5.533469E-1	-4.262465E-12
5.483786E-1	-5.184124E-12
5.433762E-1	8.491610E-13
5.383749E-1	-1.415020E-11
5.333705E-1	-1.109168E-11
5.283694E-1	-2.001590E-11
5.233005E-1	-1.842377E-11
5.183329E-1	-2.793451E-11
5.133294E-1	-1.658029E-11
5.083250E-1	-1.968069E-11
5.033248E-1	-2.671948E-11
4.983198E-1	-2.403807E-11
4.932515E-1	-3.333931E-11
4.882826E-1	-3.933069E-11
4.832790E-1	-4.264057E-11
4.782767E-1	-2.416375E-11
4.732732E-1	-3.480574E-11
4.682739E-1	-5.181616E-11
4.632018E-1	-4.997266E-11
4.582347E-1	-3.769667E-11
4.532312E-1	-4.389751E-11
4.482284E-1	-4.838056E-11
4.432262E-1	-2.973613E-11
4.382212E-1	-2.630049E-11
4.331540E-1	-4.762640E-11
4.281823E-1	-5.081061E-11
4.231814E-1	-5.026595E-11
4.181794E-1	-5.143907E-11
4.131742E-1	-4.762640E-11
4.081707E-1	-5.374345E-11
4.031011E-1	-4.197022E-11
3.981320E-1	-4.599241E-11
3.931308E-1	-4.000100E-11
3.881282E-1	-4.741691E-11
3.831290E-1	-4.574102E-11
3.781227E-1	-5.336639E-11
3.730544E-1	-4.565718E-11
3.680840E-1	-3.132824E-11
3.630843E-1	-5.286360E-11
3.580768E-1	-4.293386E-11
3.530766E-1	-5.353394E-11
3.480775E-1	-3.359068E-11
3.430026E-1	-4.737501E-11
3.380332E-1	-4.766829E-11
3.330332E-1	-4.163502E-11
3.280301E-1	-5.248651E-11
3.230278E-1	-5.034976E-11
3.180244E-1	-4.331093E-11
3.129584E-1	-4.276629E-11
3.079875E-1	-4.536391E-11
3.029846E-1	-5.424622E-11
2.979808E-1	-4.113222E-11
2.929788E-1	-5.106199E-11
2.879775E-1	-5.034974E-11
2.829028E-1	-5.173236E-11
2.779370E-1	-3.866031E-11
2.729320E-1	-4.448407E-11
2.679289E-1	-5.868736E-11
2.629247E-1	-4.615999E-11
2.579246E-1	-4.301765E-11
2.528546E-1	-4.796159E-11
2.478879E-1	-5.428811E-11
2.428873E-1	-5.965101E-11
2.378836E-1	-5.365965E-11
2.328791E-1	-4.959559E-11
2.278789E-1	-4.884143E-11
2.228082E-1	-4.909278E-11
2.178382E-1	-6.300283E-11
2.128341E-1	-5.944151E-11
2.078336E-1	-5.734663E-11
2.028253E-1	-4.532204E-11
1.978229E-1	-6.442734E-11
1.927590E-1	-4.318524E-11
1.877882E-1	-6.446924E-11
1.827862E-1	-4.657896E-11
1.777846E-1	-4.976318E-11
1.727837E-1	-6.987402E-11
1.677769E-1	-4.272438E-11
1.627061E-1	-6.392456E-11
1.577390E-1	-4.959561E-11
1.527350E-1	-5.479087E-11
1.477324E-1	-4.750070E-11
1.427289E-1	-4.356232E-11
1.377250E-1	-5.416243E-11
1.326530E-1	-4.414889E-11
1.276801E-1	-6.405026E-11
1.226825E-1	-3.342311E-11
1.176807E-1	-6.233246E-11
1.126779E-1	-5.319878E-11
1.076728E-1	-3.417730E-11
1.026027E-1	-4.293387E-11
9.763487E-2	-6.212297E-11
9.263004E-2	-4.435839E-11
8.762699E-2	-6.057276E-11
8.262784E-2	-3.748719E-11
7.762248E-2	-6.560047E-11
7.255088E-2	-6.518149E-11
6.758342E-2	-4.213779E-11
6.258278E-2	-5.269599E-11
5.757563E-2	-4.423266E-11
5.257989E-2	-6.903608E-11
4.757302E-2	-3.983341E-11
4.250514E-2	-6.601944E-11
3.753559E-2	-5.768185E-11
3.253186E-2	-5.784940E-11
2.753090E-2	-4.293383E-11
2.252209E-2	-6.346371E-11
1.752258E-2	-5.265410E-11
1.244734E-2	-5.805892E-11
7.480710E-3	-4.967938E-11
2.481505E-3	-4.448407E-11
