Voltage (V)	Current (A)
-1.500028E+0	-1.728201E-7
-1.495024E+0	-1.697870E-7
-1.490053E+0	-1.664948E-7
-1.485047E+0	-1.626530E-7
-1.479982E+0	-1.593632E-7
-1.474975E+0	-1.555132E-7
-1.469972E+0	-1.523149E-7
-1.465004E+0	-1.489700E-7
-1.460001E+0	-1.452977E-7
-1.454999E+0	-1.421477E-7
-1.449925E+0	-1.386735E-7
-1.444959E+0	-1.363371E-7
-1.439955E+0	-1.333022E-7
-1.434949E+0	-1.302374E-7
-1.429951E+0	-1.273320E-7
-1.424876E+0	-1.241492E-7
-1.419911E+0	-1.214612E-7
-1.414905E+0	-1.187088E-7
-1.409904E+0	-1.160632E-7
-1.404901E+0	-1.134203E-7
-1.399894E+0	-1.110746E-7
-1.394860E+0	-1.081420E-7
-1.389855E+0	-1.054865E-7
-1.384855E+0	-1.030527E-7
-1.379850E+0	-1.006414E-7
-1.374848E+0	-9.816794E-8
-1.369844E+0	-9.568454E-8
-1.364807E+0	-9.367559E-8
-1.359805E+0	-9.138616E-8
-1.354804E+0	-8.902311E-8
-1.349802E+0	-8.673663E-8
-1.344797E+0	-8.474566E-8
-1.339793E+0	-8.280173E-8
-1.334758E+0	-8.063270E-8
-1.329748E+0	-7.830805E-8
-1.324749E+0	-7.639375E-8
-1.319747E+0	-7.445929E-8
-1.314741E+0	-7.257069E-8
-1.309738E+0	-7.061633E-8
-1.304703E+0	-6.886354E-8
-1.299701E+0	-6.720027E-8
-1.294697E+0	-6.530824E-8
-1.289697E+0	-6.350344E-8
-1.284693E+0	-6.163560E-8
-1.279688E+0	-5.997011E-8
-1.274650E+0	-5.831796E-8
-1.269647E+0	-5.684333E-8
-1.264646E+0	-5.513749E-8
-1.259641E+0	-5.354888E-8
-1.254641E+0	-5.213667E-8
-1.249637E+0	-5.078255E-8
-1.244597E+0	-4.936348E-8
-1.239599E+0	-4.791591E-8
-1.234595E+0	-4.640747E-8
-1.229595E+0	-4.490499E-8
-1.224589E+0	-4.346373E-8
-1.219622E+0	-4.237312E-8
-1.214549E+0	-4.095241E-8
-1.209543E+0	-3.955018E-8
-1.204543E+0	-3.837159E-8
-1.199540E+0	-3.717849E-8
-1.194573E+0	-3.590628E-8
-1.189570E+0	-3.490771E-8
-1.184498E+0	-3.387400E-8
-1.179494E+0	-3.278789E-8
-1.174490E+0	-3.167308E-8
-1.169520E+0	-3.061100E-8
-1.164519E+0	-2.957539E-8
-1.159518E+0	-2.861117E-8
-1.154445E+0	-2.764651E-8
-1.149443E+0	-2.670931E-8
-1.144475E+0	-2.577778E-8
-1.139469E+0	-2.499536E-8
-1.134468E+0	-2.419370E-8
-1.129462E+0	-2.335708E-8
-1.124394E+0	-2.243002E-8
-1.119422E+0	-2.165372E-8
-1.114419E+0	-2.090756E-8
-1.109417E+0	-2.016701E-8
-1.104412E+0	-1.945426E-8
-1.099411E+0	-1.879883E-8
-1.094376E+0	-1.815551E-8
-1.089368E+0	-1.748658E-8
-1.084368E+0	-1.681781E-8
-1.079365E+0	-1.623250E-8
-1.074363E+0	-1.564437E-8
-1.069357E+0	-1.502071E-8
-1.064324E+0	-1.446823E-8
-1.059319E+0	-1.387943E-8
-1.054312E+0	-1.336961E-8
-1.049310E+0	-1.285603E-8
-1.044308E+0	-1.241122E-8
-1.039305E+0	-1.193639E-8
-1.034267E+0	-1.146774E-8
-1.029266E+0	-1.102543E-8
-1.024264E+0	-1.058543E-8
-1.019258E+0	-1.011840E-8
-1.014258E+0	-9.737863E-9
-1.009250E+0	-9.358548E-9
-1.004217E+0	-8.962804E-9
-9.992110E-1	-8.593118E-9
-9.942093E-1	-8.234451E-9
-9.892089E-1	-7.914969E-9
-9.842038E-1	-7.583090E-9
-9.792018E-1	-7.219399E-9
-9.741641E-1	-6.952382E-9
-9.691647E-1	-6.682932E-9
-9.641579E-1	-6.344973E-9
-9.591516E-1	-6.110176E-9
-9.541500E-1	-5.841907E-9
-9.491465E-1	-5.557165E-9
-9.441107E-1	-5.305780E-9
-9.391049E-1	-5.102330E-9
-9.341031E-1	-4.898341E-9
-9.291015E-1	-4.669622E-9
-9.240952E-1	-4.439356E-9
-9.191303E-1	-4.237793E-9
-9.140567E-1	-4.063094E-9
-9.090551E-1	-3.830691E-9
-9.040534E-1	-3.690145E-9
-8.990463E-1	-3.502367E-9
-8.940774E-1	-3.359431E-9
-8.890781E-1	-3.190558E-9
-8.840057E-1	-3.041416E-9
-8.790005E-1	-2.897854E-9
-8.740001E-1	-2.763172E-9
-8.690315E-1	-2.598316E-9
-8.640261E-1	-2.488315E-9
-8.590228E-1	-2.338842E-9
-8.539522E-1	-2.236472E-9
-8.489513E-1	-2.080879E-9
-8.439775E-1	-1.980599E-9
-8.389759E-1	-1.861171E-9
-8.339732E-1	-1.799113E-9
-8.289672E-1	-1.697199E-9
-8.238983E-1	-1.610164E-9
-8.189287E-1	-1.528112E-9
-8.139284E-1	-1.446568E-9
-8.089260E-1	-1.363136E-9
-8.039218E-1	-1.263864E-9
-7.989185E-1	-1.213494E-9
-7.938817E-1	-1.140119E-9
-7.888778E-1	-1.102405E-9
-7.838727E-1	-9.972234E-10
-7.788736E-1	-9.727510E-10
-7.738701E-1	-9.405685E-10
-7.688661E-1	-8.639668E-10
-7.638276E-1	-8.206366E-10
-7.588241E-1	-7.791933E-10
-7.538217E-1	-7.345232E-10
-7.488176E-1	-6.834829E-10
-7.438148E-1	-6.372205E-10
-7.388145E-1	-6.297191E-10
-7.337760E-1	-5.981229E-10
-7.287742E-1	-5.198455E-10
-7.237683E-1	-5.244127E-10
-7.187652E-1	-5.091600E-10
-7.137623E-1	-4.528401E-10
-7.087586E-1	-4.216630E-10
-7.037235E-1	-4.243027E-10
-6.987185E-1	-3.896475E-10
-6.937162E-1	-3.845771E-10
-6.887092E-1	-3.487068E-10
-6.837077E-1	-3.259106E-10
-6.787049E-1	-3.132138E-10
-6.736653E-1	-3.176137E-10
-6.686624E-1	-2.704288E-10
-6.636604E-1	-2.591987E-10
-6.586609E-1	-2.569776E-10
-6.536543E-1	-2.358158E-10
-6.486505E-1	-2.145700E-10
-6.436147E-1	-2.417243E-10
-6.386092E-1	-2.001968E-10
-6.336088E-1	-1.757663E-10
-6.286037E-1	-1.657930E-10
-6.236358E-1	-1.843986E-10
-6.186343E-1	-1.761015E-10
-6.135609E-1	-1.575797E-10
-6.085595E-1	-1.550235E-10
-6.035530E-1	-1.471035E-10
-5.985870E-1	-1.496597E-10
-5.935813E-1	-1.424102E-10
-5.885811E-1	-1.242236E-10
-5.835108E-1	-1.114845E-10
-5.785025E-1	-1.115684E-10
-5.735358E-1	-1.026008E-10
-5.685306E-1	-8.684459E-11
