Voltage (V)	Current (A)
1.499943E+0	1.938779E-7
1.494943E+0	1.918964E-7
1.489941E+0	1.868480E-7
1.484936E+0	1.834416E-7
1.479899E+0	1.792685E-7
1.474896E+0	1.756369E-7
1.469895E+0	1.718309E-7
1.464890E+0	1.681328E-7
1.459887E+0	1.646302E-7
1.454886E+0	1.617430E-7
1.449848E+0	1.574614E-7
1.444849E+0	1.540810E-7
1.439839E+0	1.508127E-7
1.434843E+0	1.475976E-7
1.429838E+0	1.445263E-7
1.424771E+0	1.413440E-7
1.419803E+0	1.377795E-7
1.414796E+0	1.351791E-7
1.409797E+0	1.325222E-7
1.404796E+0	1.286090E-7
1.399787E+0	1.257663E-7
1.394716E+0	1.230930E-7
1.389745E+0	1.202225E-7
1.384744E+0	1.169988E-7
1.379742E+0	1.145796E-7
1.374745E+0	1.115854E-7
1.369740E+0	1.085561E-7
1.364668E+0	1.061793E-7
1.359700E+0	1.035237E-7
1.354699E+0	1.012854E-7
1.349697E+0	9.929735E-8
1.344694E+0	9.651123E-8
1.339692E+0	9.401380E-8
1.334620E+0	9.188368E-8
1.329647E+0	8.894973E-8
1.324645E+0	8.698517E-8
1.319643E+0	8.476298E-8
1.314644E+0	8.242027E-8
1.309638E+0	8.076582E-8
1.304570E+0	7.850716E-8
1.299602E+0	7.616210E-8
1.294599E+0	7.386251E-8
1.289602E+0	7.223143E-8
1.284595E+0	7.041971E-8
1.279595E+0	6.842250E-8
1.274523E+0	6.662381E-8
1.269552E+0	6.507166E-8
1.264552E+0	6.311095E-8
1.259546E+0	6.134066E-8
1.254545E+0	5.966847E-8
1.249540E+0	5.772635E-8
1.244469E+0	5.591164E-8
1.239504E+0	5.394508E-8
1.234504E+0	5.284821E-8
1.229503E+0	5.162647E-8
1.224492E+0	4.980002E-8
1.219499E+0	4.834768E-8
1.214429E+0	4.687617E-8
1.209453E+0	4.549746E-8
1.204455E+0	4.393817E-8
1.199453E+0	4.303698E-8
1.194447E+0	4.140443E-8
1.189440E+0	4.018510E-8
1.184379E+0	3.871693E-8
1.179410E+0	3.771008E-8
1.174401E+0	3.629437E-8
1.169407E+0	3.511516E-8
1.164401E+0	3.418988E-8
1.159398E+0	3.323134E-8
1.154328E+0	3.202680E-8
1.149361E+0	3.089545E-8
1.144362E+0	2.974710E-8
1.139351E+0	2.881981E-8
1.134352E+0	2.785266E-8
1.129344E+0	2.688631E-8
1.124279E+0	2.573156E-8
1.119311E+0	2.495142E-8
1.114305E+0	2.402304E-8
1.109306E+0	2.306190E-8
1.104303E+0	2.216343E-8
1.099296E+0	2.153858E-8
1.094226E+0	2.084596E-8
1.089260E+0	2.010108E-8
1.084257E+0	1.920136E-8
1.079255E+0	1.855488E-8
1.074250E+0	1.789221E-8
1.069249E+0	1.724738E-8
1.064179E+0	1.664605E-8
1.059209E+0	1.600434E-8
1.054208E+0	1.529904E-8
1.049209E+0	1.470394E-8
1.044199E+0	1.417953E-8
1.039201E+0	1.352346E-8
1.034127E+0	1.290894E-8
1.029166E+0	1.262005E-8
1.024162E+0	1.197323E-8
1.019157E+0	1.146747E-8
1.014159E+0	1.102282E-8
1.009158E+0	1.059483E-8
1.004085E+0	1.005753E-8
9.991139E-1	9.730735E-9
9.941099E-1	9.358957E-9
9.891033E-1	8.878633E-9
9.841039E-1	8.430981E-9
9.791030E-1	8.148045E-9
9.740362E-1	7.805124E-9
9.690619E-1	7.365434E-9
9.640591E-1	7.028707E-9
9.590561E-1	6.754453E-9
9.540580E-1	6.461762E-9
9.490485E-1	6.157697E-9
9.439793E-1	5.861476E-9
9.390111E-1	5.538239E-9
9.340116E-1	5.245041E-9
9.290145E-1	5.010464E-9
9.240084E-1	4.724221E-9
9.190069E-1	4.465043E-9
9.139338E-1	4.295227E-9
9.089677E-1	4.058301E-9
9.039571E-1	3.864429E-9
8.989605E-1	3.582633E-9
8.939583E-1	3.518361E-9
8.889595E-1	3.236902E-9
8.838882E-1	3.066164E-9
8.789154E-1	2.936990E-9
8.739156E-1	2.733786E-9
8.689113E-1	2.570552E-9
8.639108E-1	2.438202E-9
8.589121E-1	2.254231E-9
8.538384E-1	2.198842E-9
8.488716E-1	2.053708E-9
8.438638E-1	1.912300E-9
8.388640E-1	1.755646E-9
8.338627E-1	1.661461E-9
8.288519E-1	1.528307E-9
8.237858E-1	1.472293E-9
8.188167E-1	1.358078E-9
8.138149E-1	1.250527E-9
8.088154E-1	1.140758E-9
8.038148E-1	1.089601E-9
7.988091E-1	1.043638E-9
7.937389E-1	9.402352E-10
7.887729E-1	8.887022E-10
7.837688E-1	8.221683E-10
7.787673E-1	7.970294E-10
7.737607E-1	7.356909E-10
7.687621E-1	6.572590E-10
7.636939E-1	6.301096E-10
7.587201E-1	5.814236E-10
7.537183E-1	5.301830E-10
7.487161E-1	4.822521E-10
7.437174E-1	4.569464E-10
7.387143E-1	3.901195E-10
7.336432E-1	3.827876E-10
7.286746E-1	3.416860E-10
7.236727E-1	3.019676E-10
7.186678E-1	2.889365E-10
7.136660E-1	2.613265E-10
7.086650E-1	2.405453E-10
7.035964E-1	2.099182E-10
6.986274E-1	1.996535E-10
6.936223E-1	1.624481E-10
6.886175E-1	1.451024E-10
6.836159E-1	1.184555E-10
6.786090E-1	1.195028E-10
6.735436E-1	1.267934E-10
6.685731E-1	1.025344E-10
6.635729E-1	8.820557E-11
6.585740E-1	7.479847E-11
6.535680E-1	5.816500E-11
6.485630E-1	5.770395E-11
6.434970E-1	5.091674E-11
6.385276E-1	4.706224E-11
6.335236E-1	3.725807E-11
6.285231E-1	8.474547E-12
6.235206E-1	6.002490E-12
6.185136E-1	6.840431E-12
6.134417E-1	1.069493E-11
6.084779E-1	-2.879801E-12
6.034758E-1	-3.466297E-12
5.984741E-1	-5.603129E-12
5.934698E-1	-6.315441E-12
5.884700E-1	-3.843433E-12
5.833953E-1	-1.033763E-11
5.784266E-1	-1.536529E-11
5.734247E-1	-1.880091E-11
5.684223E-1	-2.089571E-11
5.634220E-1	-2.051869E-11
5.584193E-1	-2.604910E-11
5.533472E-1	-2.273924E-11
5.483779E-1	-3.886985E-11
5.433768E-1	-4.557340E-11
5.383750E-1	-3.333933E-11
5.333708E-1	-3.484766E-11
5.283728E-1	-3.183097E-11
5.233004E-1	-3.778048E-11
5.183317E-1	-2.470846E-11
5.133289E-1	-4.004295E-11
5.083241E-1	-3.916313E-11
5.033259E-1	-4.159316E-11
4.983213E-1	-3.166340E-11
4.932506E-1	-4.188645E-11
4.882824E-1	-3.907930E-11
4.832796E-1	-3.857652E-11
4.782763E-1	-4.050382E-11
4.732732E-1	-5.089442E-11
4.682736E-1	-4.984700E-11
4.632023E-1	-4.251490E-11
4.582329E-1	-5.206758E-11
4.532322E-1	-3.023884E-11
4.482295E-1	-4.615997E-11
4.432270E-1	-5.885497E-11
4.382205E-1	-4.502878E-11
4.331544E-1	-3.736150E-11
4.281810E-1	-5.395297E-11
4.231803E-1	-4.440032E-11
4.181809E-1	-3.576937E-11
4.131703E-1	-5.399487E-11
4.081700E-1	-5.579646E-11
4.031016E-1	-4.238919E-11
3.981341E-1	-3.949830E-11
3.931317E-1	-5.026594E-11
3.881259E-1	-5.608974E-11
3.831268E-1	-5.177428E-11
3.781266E-1	-5.763991E-11
3.730531E-1	-4.699797E-11
3.680844E-1	-4.356233E-11
3.630852E-1	-5.340826E-11
3.580770E-1	-5.034977E-11
3.530739E-1	-3.954024E-11
3.480730E-1	-5.546130E-11
3.430008E-1	-4.808732E-11
3.380344E-1	-4.444219E-11
3.330312E-1	-4.331098E-11
3.280303E-1	-3.995915E-11
3.230287E-1	-5.324068E-11
3.180243E-1	-7.192701E-11
3.129599E-1	-5.227704E-11
3.079880E-1	-4.385562E-11
3.029839E-1	-4.628570E-11
2.979816E-1	-4.670464E-11
2.929776E-1	-5.374345E-11
2.879770E-1	-4.339472E-11
2.829006E-1	-5.730478E-11
2.779355E-1	-5.529369E-11
2.729316E-1	-4.829677E-11
2.679254E-1	-4.783593E-11
2.629223E-1	-5.290555E-11
2.579225E-1	-5.470713E-11
2.528519E-1	-5.382730E-11
2.478865E-1	-5.608971E-11
2.428853E-1	-4.444220E-11
2.378806E-1	-6.149452E-11
2.328782E-1	-5.198377E-11
2.278790E-1	-3.501521E-11
2.228048E-1	-4.938613E-11
2.178399E-1	-5.831027E-11
2.128307E-1	-5.420437E-11
2.078338E-1	-4.234731E-11
2.028257E-1	-5.449761E-11
1.978190E-1	-4.331101E-11
1.927568E-1	-5.579645E-11
1.877894E-1	-5.039161E-11
1.827864E-1	-4.456788E-11
1.777833E-1	-6.229058E-11
1.727821E-1	-5.353399E-11
1.677739E-1	-5.081065E-11
1.627047E-1	-5.215136E-11
1.577387E-1	-5.177426E-11
1.527328E-1	-4.963752E-11
1.477344E-1	-5.831027E-11
1.427292E-1	-3.941447E-11
1.377281E-1	-4.745880E-11
1.326547E-1	-4.113225E-11
1.276785E-1	-5.328258E-11
1.226805E-1	-4.670468E-11
1.176785E-1	-4.352041E-11
1.126762E-1	-4.821300E-11
1.076726E-1	-5.210946E-11
1.026074E-1	-4.863189E-11
9.763578E-2	-3.740338E-11
9.262949E-2	-4.364617E-11
8.762680E-2	-4.641137E-11
8.263115E-2	-4.741688E-11
7.762378E-2	-6.375698E-11
7.255037E-2	-6.438545E-11
6.758340E-2	-5.014027E-11
6.258310E-2	-3.514089E-11
5.757729E-2	-5.520988E-11
5.257910E-2	-5.148099E-11
4.757478E-2	-5.097823E-11
4.250295E-2	-4.879953E-11
3.753807E-2	-6.807243E-11
3.253310E-2	-6.233245E-11
2.753399E-2	-5.311496E-11
2.252538E-2	-4.448408E-11
1.752593E-2	-3.455432E-11
1.245021E-2	-5.189994E-11
7.483813E-3	-6.094983E-11
2.482341E-3	-5.068493E-11
-2.519410E-3	-7.565606E-11
-7.523086E-3	-6.250007E-11
-1.252645E-2	-4.414889E-11
-1.760318E-2	-5.793326E-11
-2.260160E-2	-4.838060E-11
-2.757166E-2	-5.034975E-11
-3.257276E-2	-4.662085E-11
-3.757795E-2	-6.434352E-11
-4.257912E-2	-4.867384E-11
-4.765682E-2	-4.502880E-11
-5.262545E-2	-4.942799E-11
-5.762905E-2	-6.111744E-11
-6.262988E-2	-4.741694E-11
-6.763598E-2	-6.379888E-11
-7.264231E-2	-5.248653E-11
-7.767551E-2	-5.407865E-11
-8.268085E-2	-4.854815E-11
-8.768865E-2	-4.967943E-11
-9.268644E-2	-5.252842E-11
-9.769322E-2	-5.303121E-11
-1.026952E-1	-5.604782E-11
-1.077370E-1	-5.349209E-11
-1.127375E-1	-6.329611E-11
-1.177396E-1	-4.871576E-11
-1.227459E-1	-6.622895E-11
-1.277442E-1	-6.317043E-11
-1.327534E-1	-4.528016E-11
-1.377869E-1	-4.879955E-11
-1.427905E-1	-5.433001E-11
-1.477988E-1	-3.237572E-11
-1.528014E-1	-5.613161E-11
-1.578036E-1	-5.495849E-11
-1.628063E-1	-7.004162E-11
-1.678496E-1	-4.565722E-11
-1.728511E-1	-5.386914E-11
-1.778579E-1	-5.885498E-11
-1.828623E-1	-5.466522E-11
-1.878630E-1	-4.553150E-11
-1.928680E-1	-4.875764E-11
-1.978993E-1	-4.121608E-11
-2.029043E-1	-6.078224E-11
-2.079110E-1	-4.469357E-11
-2.129145E-1	-4.846439E-11
-2.179194E-1	-7.025111E-11
-2.229195E-1	-6.430165E-11
-2.279598E-1	-4.377183E-11
-2.329596E-1	-4.628567E-11
-2.379622E-1	-4.590856E-11
-2.429732E-1	-5.357586E-11
-2.479736E-1	-5.244462E-11
-2.529427E-1	-6.727638E-11
-2.580112E-1	-5.005649E-11
-2.630154E-1	-5.445573E-11
-2.680136E-1	-5.801700E-11
-2.730196E-1	-4.745885E-11
-2.779936E-1	-6.622893E-11
-2.829979E-1	-4.498689E-11
-2.880695E-1	-5.143909E-11
-2.930689E-1	-5.453949E-11
-2.980775E-1	-5.386917E-11
-3.030455E-1	-5.751426E-11
-3.080484E-1	-5.520986E-11
-3.130535E-1	-5.579642E-11
-3.181233E-1	-4.796158E-11
-3.231278E-1	-5.458140E-11
-3.280980E-1	-5.571266E-11
-3.330966E-1	-5.864548E-11
-3.381028E-1	-4.926046E-11
-3.431070E-1	-5.763996E-11
-3.481798E-1	-5.353397E-11
-3.531469E-1	-4.934425E-11
-3.581520E-1	-5.261221E-11
-3.631540E-1	-5.613161E-11
-3.681560E-1	-6.488821E-11
-3.731618E-1	-5.625731E-11
-3.782010E-1	-5.357587E-11
-3.832043E-1	-5.064302E-11
-3.882073E-1	-5.617351E-11
-3.932091E-1	-4.335285E-11
-3.982131E-1	-4.829677E-11
-4.032132E-1	-7.284875E-11
-4.082506E-1	-5.546127E-11
-4.132557E-1	-6.543288E-11
-4.182609E-1	-5.663440E-11
-4.232643E-1	-4.838057E-11
-4.282660E-1	-3.673305E-11
-4.332714E-1	-4.825486E-11
-4.383078E-1	-3.501524E-11
-4.433126E-1	-6.128502E-11
-4.483148E-1	-6.254196E-11
-4.533227E-1	-6.388268E-11
-4.583237E-1	-4.796161E-11
-4.633256E-1	-7.020921E-11
-4.683637E-1	-7.222029E-11
-4.733659E-1	-5.663438E-11
-4.783688E-1	-6.518151E-11
-4.833718E-1	-6.044707E-11
-4.883764E-1	-6.321232E-11
-4.933785E-1	-6.694120E-11
-4.984148E-1	-6.870090E-11
-5.034217E-1	-6.807243E-11
-5.084205E-1	-7.209460E-11
-5.134265E-1	-7.117285E-11
-5.184304E-1	-6.932937E-11
-5.234366E-1	-7.025111E-11
-5.284702E-1	-8.047509E-11
-5.334720E-1	-7.301635E-11
-5.384786E-1	-6.920368E-11
-5.434769E-1	-7.444087E-11
-5.484816E-1	-7.523701E-11
-5.534508E-1	-7.573987E-11
-5.585223E-1	-8.646747E-11
-5.635266E-1	-8.114556E-11
-5.685301E-1	-9.866170E-11
-5.735333E-1	-9.359123E-11
-5.785029E-1	-9.421981E-11
-5.835088E-1	-1.003379E-10
-5.885801E-1	-9.631503E-11
-5.935831E-1	-8.709602E-11
-5.985874E-1	-9.895504E-11
-6.035516E-1	-1.137893E-10
-6.085578E-1	-1.134540E-10
-6.135597E-1	-1.071264E-10
-6.186317E-1	-1.115265E-10
-6.236336E-1	-1.246426E-10
-6.286036E-1	-1.237626E-10
-6.336068E-1	-1.438768E-10
-6.386079E-1	-1.497854E-10
-6.436151E-1	-1.451339E-10
-6.486500E-1	-1.576634E-10
-6.536524E-1	-1.676788E-10
-6.586600E-1	-1.755985E-10
-6.636617E-1	-1.929471E-10
-6.686661E-1	-1.823453E-10
-6.736650E-1	-1.808368E-10
-6.787047E-1	-2.165813E-10
-6.837069E-1	-2.318345E-10
-6.887098E-1	-2.249623E-10
-6.937167E-1	-2.355223E-10
-6.987175E-1	-2.446991E-10
-7.037231E-1	-2.738650E-10
-7.087579E-1	-2.912133E-10
-7.137634E-1	-2.958228E-10
-7.187670E-1	-3.055867E-10
-7.237677E-1	-3.490420E-10
-7.287732E-1	-3.439297E-10
-7.337744E-1	-3.748970E-10
-7.388131E-1	-3.880551E-10
-7.438143E-1	-4.244701E-10
-7.488167E-1	-4.201123E-10
-7.538214E-1	-4.838488E-10
-7.588220E-1	-5.060167E-10
-7.638277E-1	-5.311172E-10
-7.688620E-1	-5.702983E-10
-7.738691E-1	-5.962373E-10
-7.788716E-1	-6.132511E-10
-7.838714E-1	-6.727972E-10
-7.888779E-1	-7.015014E-10
-7.938811E-1	-7.528348E-10
-7.989172E-1	-7.838870E-10
-8.039225E-1	-8.410437E-10
-8.089253E-1	-8.900726E-10
-8.139270E-1	-9.306373E-10
-8.189291E-1	-9.809635E-10
-8.238981E-1	-1.042816E-9
-8.289656E-1	-1.088534E-9
-8.339732E-1	-1.165094E-9
-8.389754E-1	-1.229710E-9
-8.439775E-1	-1.300695E-9
-8.489504E-1	-1.377674E-9
-8.539510E-1	-1.452392E-9
-8.590237E-1	-1.526017E-9
-8.640245E-1	-1.587743E-9
-8.690318E-1	-1.689277E-9
-8.739991E-1	-1.767137E-9
-8.789998E-1	-1.870387E-9
-8.840041E-1	-1.962789E-9
-8.890765E-1	-2.060928E-9
-8.940770E-1	-2.176754E-9
-8.990455E-1	-2.275986E-9
-9.040523E-1	-2.393316E-9
-9.090537E-1	-2.525861E-9
-9.140556E-1	-2.626434E-9
-9.191304E-1	-2.749257E-9
-9.240944E-1	-2.893449E-9
-9.291019E-1	-3.018074E-9
-9.341021E-1	-3.160721E-9
-9.391065E-1	-3.312743E-9
-9.441092E-1	-3.458241E-9
-9.491463E-1	-3.589695E-9
-9.541507E-1	-3.778436E-9
-9.591532E-1	-3.949027E-9
-9.641578E-1	-4.139983E-9
-9.691633E-1	-4.328105E-9
-9.741631E-1	-4.508282E-9
-9.792016E-1	-4.718014E-9
-9.842017E-1	-4.915688E-9
-9.892074E-1	-5.138280E-9
-9.942082E-1	-5.367793E-9
-9.992141E-1	-5.624412E-9
-1.004218E+0	-5.855736E-9
-1.009254E+0	-6.121410E-9
-1.014258E+0	-6.390258E-9
-1.019259E+0	-6.632936E-9
-1.024266E+0	-6.914658E-9
-1.029267E+0	-7.232003E-9
-1.034267E+0	-7.543724E-9
-1.039305E+0	-7.851525E-9
-1.044307E+0	-8.151215E-9
-1.049312E+0	-8.506465E-9
-1.054313E+0	-8.835697E-9
-1.059319E+0	-9.220465E-9
-1.064324E+0	-9.640797E-9
-1.069356E+0	-1.001117E-8
-1.074363E+0	-1.039810E-8
-1.079365E+0	-1.081944E-8
-1.084368E+0	-1.125647E-8
-1.089370E+0	-1.159644E-8
-1.094376E+0	-1.208461E-8
-1.099411E+0	-1.255127E-8
