Voltage (V)	Current (A)
-1.500043E+0	-4.811486E-7
-1.495040E+0	-4.738649E-7
-1.490069E+0	-4.658663E-7
-1.485064E+0	-4.580410E-7
-1.479998E+0	-4.487742E-7
-1.474992E+0	-4.403661E-7
-1.469988E+0	-4.327966E-7
-1.465020E+0	-4.245157E-7
-1.460019E+0	-4.173352E-7
-1.455014E+0	-4.101857E-7
-1.449941E+0	-4.009229E-7
-1.444975E+0	-3.941132E-7
-1.439971E+0	-3.868985E-7
-1.434964E+0	-3.803017E-7
-1.429965E+0	-3.737913E-7
-1.424892E+0	-3.664398E-7
-1.419925E+0	-3.603659E-7
-1.414921E+0	-3.528656E-7
-1.409918E+0	-3.460838E-7
-1.404914E+0	-3.383583E-7
-1.399909E+0	-3.327558E-7
-1.394873E+0	-3.261173E-7
-1.389869E+0	-3.196054E-7
-1.384868E+0	-3.134210E-7
-1.379863E+0	-3.063796E-7
-1.374862E+0	-3.001163E-7
-1.369856E+0	-2.946141E-7
-1.364822E+0	-2.884699E-7
-1.359820E+0	-2.822816E-7
-1.354816E+0	-2.761389E-7
-1.349814E+0	-2.710788E-7
-1.344811E+0	-2.651080E-7
-1.339805E+0	-2.596918E-7
-1.334769E+0	-2.548883E-7
-1.329760E+0	-2.490663E-7
-1.324760E+0	-2.435199E-7
-1.319756E+0	-2.390871E-7
-1.314754E+0	-2.341846E-7
-1.309750E+0	-2.289826E-7
-1.304715E+0	-2.233251E-7
-1.299712E+0	-2.188707E-7
-1.294707E+0	-2.135812E-7
-1.289707E+0	-2.083630E-7
-1.284705E+0	-2.038963E-7
-1.279697E+0	-1.987407E-7
-1.274660E+0	-1.946335E-7
-1.269657E+0	-1.900102E-7
-1.264654E+0	-1.853696E-7
-1.259650E+0	-1.816756E-7
-1.254650E+0	-1.772210E-7
-1.249646E+0	-1.731671E-7
-1.244606E+0	-1.690829E-7
-1.239608E+0	-1.657294E-7
-1.234604E+0	-1.611131E-7
-1.229603E+0	-1.564157E-7
-1.224598E+0	-1.531505E-7
-1.219629E+0	-1.486379E-7
