Voltage (V)	Current (A)
1.499961E+0	6.432891E-7
1.494954E+0	6.330896E-7
1.489954E+0	6.219511E-7
1.484950E+0	6.106134E-7
1.479915E+0	6.007732E-7
1.474907E+0	5.907804E-7
1.469911E+0	5.810675E-7
1.464901E+0	5.697539E-7
1.459899E+0	5.601432E-7
1.454900E+0	5.498304E-7
1.449858E+0	5.400672E-7
1.444860E+0	5.310865E-7
1.439855E+0	5.208993E-7
1.434852E+0	5.113397E-7
1.429851E+0	5.018275E-7
1.424779E+0	4.937186E-7
1.419811E+0	4.847500E-7
1.414809E+0	4.750001E-7
1.409809E+0	4.653725E-7
1.404806E+0	4.576932E-7
1.399801E+0	4.491213E-7
1.394730E+0	4.397549E-7
1.389760E+0	4.331035E-7
1.384758E+0	4.244713E-7
1.379753E+0	4.162582E-7
1.374759E+0	4.077630E-7
1.369749E+0	3.998904E-7
1.364676E+0	3.921775E-7
1.359708E+0	3.841853E-7
1.354707E+0	3.762711E-7
1.349705E+0	3.685126E-7
1.344699E+0	3.613453E-7
1.339697E+0	3.536078E-7
1.334629E+0	3.463038E-7
1.329655E+0	3.398446E-7
1.324655E+0	3.320042E-7
1.319650E+0	3.257915E-7
1.314650E+0	3.186804E-7
1.309647E+0	3.115191E-7
1.304576E+0	3.052137E-7
1.299616E+0	2.988834E-7
1.294605E+0	2.918603E-7
1.289604E+0	2.860434E-7
1.284600E+0	2.804182E-7
1.279604E+0	2.743896E-7
1.274526E+0	2.680046E-7
1.269557E+0	2.619066E-7
1.264555E+0	2.563962E-7
1.259552E+0	2.502063E-7
1.254549E+0	2.449339E-7
1.249545E+0	2.390981E-7
1.244475E+0	2.340565E-7
1.239510E+0	2.281884E-7
1.234508E+0	2.232297E-7
1.229505E+0	2.175882E-7
1.224500E+0	2.121846E-7
1.219499E+0	2.069440E-7
1.214434E+0	2.020238E-7
1.209458E+0	1.968801E-7
1.204456E+0	1.923482E-7
1.199454E+0	1.884809E-7
1.194453E+0	1.838227E-7
1.189447E+0	1.790947E-7
1.184380E+0	1.747328E-7
1.179412E+0	1.702711E-7
1.174406E+0	1.659138E-7
1.169408E+0	1.612300E-7
1.164405E+0	1.580797E-7
1.159402E+0	1.540307E-7
1.154331E+0	1.491662E-7
1.149359E+0	1.462662E-7
1.144362E+0	1.422867E-7
1.139356E+0	1.388492E-7
1.134354E+0	1.351386E-7
1.129348E+0	1.315838E-7
1.124281E+0	1.274514E-7
1.119313E+0	1.244255E-7
1.114308E+0	1.208926E-7
1.109305E+0	1.175173E-7
1.104305E+0	1.142944E-7
1.099300E+0	1.111034E-7
1.094228E+0	1.080886E-7
1.089260E+0	1.054291E-7
1.084255E+0	1.020478E-7
1.079254E+0	9.912938E-8
1.074255E+0	9.642251E-8
1.069251E+0	9.417689E-8
1.064181E+0	9.128854E-8
1.059212E+0	8.829137E-8
1.054207E+0	8.556596E-8
1.049207E+0	8.331367E-8
1.044202E+0	8.074564E-8
1.039203E+0	7.834659E-8
1.034131E+0	7.617462E-8
1.029160E+0	7.339566E-8
1.024163E+0	7.145423E-8
1.019156E+0	6.919113E-8
1.014155E+0	6.730971E-8
1.009153E+0	6.533396E-8
1.004084E+0	6.311804E-8
9.991102E-1	6.121561E-8
9.941125E-1	5.870908E-8
9.891082E-1	5.705050E-8
9.841036E-1	5.498228E-8
9.791011E-1	5.317855E-8
9.740330E-1	5.124694E-8
9.690641E-1	4.950911E-8
9.640568E-1	4.797965E-8
9.590577E-1	4.629725E-8
9.540524E-1	4.487269E-8
9.490483E-1	4.317742E-8
9.439797E-1	4.179237E-8
9.390108E-1	4.018894E-8
9.340141E-1	3.892811E-8
9.290124E-1	3.735366E-8
9.240060E-1	3.631786E-8
9.190023E-1	3.494827E-8
9.139324E-1	3.365134E-8
9.089651E-1	3.231550E-8
9.039603E-1	3.116016E-8
8.989590E-1	2.991301E-8
8.939562E-1	2.878609E-8
8.889526E-1	2.753713E-8
8.838832E-1	2.653768E-8
8.789154E-1	2.541796E-8
8.739152E-1	2.449275E-8
8.689095E-1	2.359523E-8
8.639078E-1	2.280187E-8
