Voltage (V)	Current (A)
1.499943E+0	2.085667E-7
1.494939E+0	2.037963E-7
1.489934E+0	1.994128E-7
1.484930E+0	1.949420E-7
1.479897E+0	1.915582E-7
1.474893E+0	1.876316E-7
1.469892E+0	1.831553E-7
1.464889E+0	1.793995E-7
1.459886E+0	1.754725E-7
1.454883E+0	1.721893E-7
1.449844E+0	1.683553E-7
1.444845E+0	1.646044E-7
1.439841E+0	1.616651E-7
1.434839E+0	1.580631E-7
1.429837E+0	1.540301E-7
1.424767E+0	1.509598E-7
1.419801E+0	1.479162E-7
1.414799E+0	1.438534E-7
1.409796E+0	1.410286E-7
1.404795E+0	1.376104E-7
1.399785E+0	1.348580E-7
1.394719E+0	1.310716E-7
1.389747E+0	1.286403E-7
1.384746E+0	1.255067E-7
1.379738E+0	1.226131E-7
1.374743E+0	1.193560E-7
1.369737E+0	1.171837E-7
1.364663E+0	1.143173E-7
1.359701E+0	1.114131E-7
1.354692E+0	1.094992E-7
1.349695E+0	1.060341E-7
1.344690E+0	1.031312E-7
1.339690E+0	1.007190E-7
1.334619E+0	9.849100E-8
1.329646E+0	9.611131E-8
1.324646E+0	9.359547E-8
1.319643E+0	9.112230E-8
1.314641E+0	8.905752E-8
1.309640E+0	8.664706E-8
1.304570E+0	8.442154E-8
1.299603E+0	8.254456E-8
1.294600E+0	8.008772E-8
1.289599E+0	7.812476E-8
1.284594E+0	7.583564E-8
1.279597E+0	7.373298E-8
1.274521E+0	7.148469E-8
1.269550E+0	6.964651E-8
1.264549E+0	6.800278E-8
1.259543E+0	6.630134E-8
1.254542E+0	6.446761E-8
1.249538E+0	6.255218E-8
1.244471E+0	6.083648E-8
1.239501E+0	5.909171E-8
1.234500E+0	5.740548E-8
1.229498E+0	5.587124E-8
1.224495E+0	5.396608E-8
1.219496E+0	5.267669E-8
1.214428E+0	5.106830E-8
1.209454E+0	4.954649E-8
1.204453E+0	4.823957E-8
1.199448E+0	4.662756E-8
1.194447E+0	4.540366E-8
1.189441E+0	4.398925E-8
1.184377E+0	4.272205E-8
1.179407E+0	4.153365E-8
1.174402E+0	4.017829E-8
1.169402E+0	3.890650E-8
1.164398E+0	3.772535E-8
1.159399E+0	3.667091E-8
1.154326E+0	3.548107E-8
1.149358E+0	3.430162E-8
1.144356E+0	3.311454E-8
1.139350E+0	3.236098E-8
1.134350E+0	3.115399E-8
