Voltage (V)	Current (A)
-1.500028E+0	-1.343773E-7
-1.495024E+0	-1.312169E-7
-1.490056E+0	-1.284982E-7
-1.485049E+0	-1.256833E-7
-1.479983E+0	-1.228841E-7
-1.474977E+0	-1.199831E-7
-1.469973E+0	-1.174977E-7
-1.465005E+0	-1.147560E-7
-1.460004E+0	-1.121112E-7
-1.454999E+0	-1.094058E-7
-1.449927E+0	-1.070960E-7
-1.444962E+0	-1.046549E-7
-1.439957E+0	-1.021881E-7
-1.434949E+0	-9.940331E-8
-1.429954E+0	-9.703700E-8
-1.424877E+0	-9.498469E-8
-1.419912E+0	-9.254382E-8
-1.414907E+0	-9.020346E-8
-1.409905E+0	-8.851466E-8
-1.404901E+0	-8.624261E-8
-1.399895E+0	-8.407849E-8
-1.394862E+0	-8.207055E-8
-1.389855E+0	-8.005353E-8
-1.384856E+0	-7.802419E-8
-1.379852E+0	-7.618461E-8
-1.374850E+0	-7.417596E-8
-1.369844E+0	-7.267747E-8
-1.364809E+0	-7.090637E-8
-1.359808E+0	-6.912975E-8
-1.354804E+0	-6.730954E-8
-1.349803E+0	-6.563417E-8
-1.344800E+0	-6.399544E-8
-1.339791E+0	-6.243656E-8
-1.334759E+0	-6.076056E-8
-1.329751E+0	-5.915172E-8
-1.324750E+0	-5.762032E-8
-1.319747E+0	-5.607356E-8
-1.314745E+0	-5.463172E-8
-1.309740E+0	-5.323777E-8
-1.304705E+0	-5.192994E-8
-1.299703E+0	-5.047212E-8
-1.294698E+0	-4.890972E-8
-1.289697E+0	-4.774644E-8
-1.284696E+0	-4.640939E-8
-1.279690E+0	-4.489171E-8
-1.274653E+0	-4.363431E-8
-1.269649E+0	-4.244762E-8
-1.264646E+0	-4.121080E-8
-1.259642E+0	-3.999264E-8
-1.254644E+0	-3.900036E-8
-1.249637E+0	-3.781040E-8
-1.244599E+0	-3.681518E-8
-1.239601E+0	-3.583329E-8
-1.234596E+0	-3.492282E-8
-1.229596E+0	-3.390132E-8
-1.224592E+0	-3.283099E-8
-1.219622E+0	-3.189898E-8
-1.214550E+0	-3.087608E-8
-1.209546E+0	-3.011849E-8
-1.204544E+0	-2.915288E-8
-1.199541E+0	-2.828074E-8
-1.194574E+0	-2.736217E-8
-1.189572E+0	-2.660668E-8
-1.184498E+0	-2.582244E-8
-1.179495E+0	-2.495319E-8
-1.174490E+0	-2.412658E-8
-1.169521E+0	-2.337670E-8
-1.164518E+0	-2.270626E-8
-1.159520E+0	-2.207891E-8
-1.154446E+0	-2.138136E-8
-1.149442E+0	-2.065054E-8
-1.144475E+0	-2.003529E-8
-1.139471E+0	-1.932309E-8
-1.134469E+0	-1.872564E-8
-1.129465E+0	-1.806409E-8
-1.124396E+0	-1.755482E-8
-1.119424E+0	-1.702523E-8
