Voltage (V)	Current (A)
-1.500028E+0	-1.274445E-7
-1.495022E+0	-1.243878E-7
-1.490054E+0	-1.224738E-7
-1.485049E+0	-1.194412E-7
-1.479982E+0	-1.167801E-7
-1.474976E+0	-1.143432E-7
-1.469972E+0	-1.118649E-7
-1.465004E+0	-1.093760E-7
-1.460002E+0	-1.065766E-7
-1.455001E+0	-1.042427E-7
-1.449927E+0	-1.018124E-7
-1.444960E+0	-9.956865E-8
-1.439956E+0	-9.728204E-8
-1.434949E+0	-9.495869E-8
-1.429953E+0	-9.269617E-8
-1.424877E+0	-9.037102E-8
-1.419910E+0	-8.822672E-8
-1.414908E+0	-8.627059E-8
-1.409904E+0	-8.421082E-8
-1.404899E+0	-8.210119E-8
-1.399896E+0	-8.011926E-8
-1.394861E+0	-7.827325E-8
-1.389856E+0	-7.630426E-8
-1.384855E+0	-7.463972E-8
-1.379851E+0	-7.261941E-8
-1.374849E+0	-7.073865E-8
-1.369846E+0	-6.911417E-8
-1.364809E+0	-6.752187E-8
-1.359807E+0	-6.568956E-8
-1.354805E+0	-6.390395E-8
-1.349803E+0	-6.228964E-8
-1.344798E+0	-6.063947E-8
-1.339793E+0	-5.893954E-8
-1.334759E+0	-5.731861E-8
-1.329749E+0	-5.592417E-8
-1.324751E+0	-5.439415E-8
-1.319746E+0	-5.304093E-8
-1.314743E+0	-5.150121E-8
-1.309741E+0	-5.026280E-8
-1.304704E+0	-4.885936E-8
-1.299701E+0	-4.763593E-8
-1.294698E+0	-4.638966E-8
-1.289697E+0	-4.506674E-8
-1.284695E+0	-4.385582E-8
-1.279690E+0	-4.260975E-8
-1.274652E+0	-4.147299E-8
-1.269649E+0	-4.015765E-8
-1.264645E+0	-3.926494E-8
-1.259641E+0	-3.821532E-8
-1.254643E+0	-3.715484E-8
-1.249637E+0	-3.620077E-8
-1.244600E+0	-3.486220E-8
-1.239601E+0	-3.395133E-8
-1.234595E+0	-3.301954E-8
-1.229595E+0	-3.212643E-8
-1.224591E+0	-3.118102E-8
-1.219621E+0	-3.026306E-8
-1.214551E+0	-2.934080E-8
-1.209547E+0	-2.846138E-8
-1.204545E+0	-2.759188E-8
-1.199541E+0	-2.687828E-8
-1.194574E+0	-2.598702E-8
-1.189572E+0	-2.512659E-8
-1.184499E+0	-2.437759E-8
-1.179496E+0	-2.364710E-8
-1.174491E+0	-2.281693E-8
-1.169522E+0	-2.214953E-8
-1.164520E+0	-2.148652E-8
-1.159521E+0	-2.084591E-8
-1.154449E+0	-2.011454E-8
-1.149444E+0	-1.950763E-8
-1.144477E+0	-1.890885E-8
-1.139470E+0	-1.832417E-8
-1.134469E+0	-1.770144E-8
-1.129464E+0	-1.712369E-8
-1.124397E+0	-1.655431E-8
-1.119425E+0	-1.603263E-8
-1.114421E+0	-1.548928E-8
-1.109419E+0	-1.498755E-8
-1.104415E+0	-1.445177E-8
-1.099414E+0	-1.396551E-8
-1.094378E+0	-1.350648E-8
-1.089371E+0	-1.305555E-8
-1.084370E+0	-1.258746E-8
-1.079368E+0	-1.218229E-8
-1.074365E+0	-1.173600E-8
-1.069359E+0	-1.134569E-8
-1.064327E+0	-1.095599E-8
-1.059319E+0	-1.054729E-8
-1.054315E+0	-1.016802E-8
-1.049313E+0	-9.799249E-9
-1.044309E+0	-9.476119E-9
-1.039308E+0	-9.088750E-9
-1.034269E+0	-8.792020E-9
-1.029268E+0	-8.463230E-9
-1.024267E+0	-8.146314E-9
-1.019260E+0	-7.845100E-9
-1.014260E+0	-7.548743E-9
-1.009256E+0	-7.280558E-9
-1.004221E+0	-6.999039E-9
-9.992167E-1	-6.760936E-9
-9.942098E-1	-6.485628E-9
-9.892089E-1	-6.252716E-9
-9.842058E-1	-6.005106E-9
-9.792048E-1	-5.789593E-9
-9.741656E-1	-5.566905E-9
-9.691661E-1	-5.365425E-9
-9.641611E-1	-5.145468E-9
-9.591550E-1	-4.960918E-9
-9.541540E-1	-4.771301E-9
-9.491506E-1	-4.585662E-9
-9.441132E-1	-4.417033E-9
-9.391083E-1	-4.245727E-9
-9.341050E-1	-4.092649E-9
-9.291055E-1	-3.938987E-9
-9.240962E-1	-3.779160E-9
-9.191322E-1	-3.641754E-9
-9.140584E-1	-3.492740E-9
-9.090586E-1	-3.364847E-9
-9.040552E-1	-3.224424E-9
-8.990488E-1	-3.102945E-9
-8.940794E-1	-2.984186E-9
-8.890787E-1	-2.869827E-9
-8.840081E-1	-2.753624E-9
-8.790029E-1	-2.644380E-9
-8.740029E-1	-2.537186E-9
-8.690341E-1	-2.433137E-9
-8.640282E-1	-2.338850E-9
-8.590260E-1	-2.233882E-9
-8.539536E-1	-2.142610E-9
-8.489519E-1	-2.053269E-9
-8.439788E-1	-1.972310E-9
-8.389773E-1	-1.885483E-9
-8.339760E-1	-1.797148E-9
-8.289691E-1	-1.719037E-9
-8.238998E-1	-1.641681E-9
-8.189312E-1	-1.579662E-9
-8.139307E-1	-1.501216E-9
-8.089273E-1	-1.445273E-9
-8.039224E-1	-1.374076E-9
-7.989203E-1	-1.316164E-9
-7.938823E-1	-1.239309E-9
-7.888804E-1	-1.189192E-9
-7.838741E-1	-1.126839E-9
-7.788745E-1	-1.078899E-9
-7.738714E-1	-1.035150E-9
-7.688653E-1	-9.896834E-10
-7.638297E-1	-9.384344E-10
-7.588254E-1	-8.929256E-10
-7.538238E-1	-8.550856E-10
-7.488192E-1	-8.135998E-10
-7.438166E-1	-7.791539E-10
-7.388150E-1	-7.369560E-10
-7.337762E-1	-7.087121E-10
-7.287763E-1	-6.715849E-10
-7.237689E-1	-6.420838E-10
-7.187679E-1	-6.211307E-10
-7.137660E-1	-5.920912E-10
-7.087591E-1	-5.640564E-10
-7.037233E-1	-5.312870E-10
-6.987190E-1	-5.069826E-10
-6.937181E-1	-4.900529E-10
-6.887110E-1	-4.609707E-10
-6.837090E-1	-4.349057E-10
-6.787064E-1	-4.208679E-10
-6.736669E-1	-4.024299E-10
-6.686653E-1	-3.844524E-10
-6.636623E-1	-3.679422E-10
-6.586613E-1	-3.482888E-10
-6.536543E-1	-3.347116E-10
-6.486518E-1	-3.136755E-10
-6.436164E-1	-2.984639E-10
-6.386104E-1	-2.863953E-10
-6.336109E-1	-2.794810E-10
-6.286041E-1	-2.607916E-10
-6.236362E-1	-2.490581E-10
