Voltage (V)	Current (A)
1.499960E+0	6.288984E-7
1.494959E+0	6.186120E-7
1.489958E+0	6.075215E-7
1.484949E+0	5.964181E-7
1.479918E+0	5.859704E-7
1.474911E+0	5.761294E-7
1.469910E+0	5.666677E-7
1.464905E+0	5.556162E-7
1.459900E+0	5.458555E-7
1.454899E+0	5.367520E-7
1.449860E+0	5.279409E-7
1.444860E+0	5.173691E-7
1.439855E+0	5.084289E-7
1.434855E+0	4.999934E-7
1.429853E+0	4.912666E-7
1.424780E+0	4.810523E-7
1.419816E+0	4.722054E-7
1.414813E+0	4.635795E-7
1.409809E+0	4.537681E-7
1.404807E+0	4.455500E-7
1.399800E+0	4.374587E-7
1.394729E+0	4.284958E-7
1.389761E+0	4.207135E-7
1.384758E+0	4.133420E-7
1.379754E+0	4.041663E-7
1.374758E+0	3.961075E-7
1.369749E+0	3.885588E-7
1.364677E+0	3.807744E-7
1.359713E+0	3.737345E-7
1.354708E+0	3.659404E-7
1.349705E+0	3.585349E-7
1.344698E+0	3.514853E-7
1.339700E+0	3.436329E-7
1.334630E+0	3.356964E-7
1.329657E+0	3.291668E-7
1.324658E+0	3.220114E-7
1.319654E+0	3.149749E-7
1.314651E+0	3.087073E-7
1.309647E+0	3.023514E-7
1.304578E+0	2.951011E-7
1.299616E+0	2.886201E-7
1.294609E+0	2.829711E-7
1.289608E+0	2.765418E-7
1.284598E+0	2.704833E-7
1.279605E+0	2.645589E-7
1.274527E+0	2.584072E-7
1.269558E+0	2.528769E-7
1.264556E+0	2.475492E-7
1.259553E+0	2.413337E-7
1.254549E+0	2.356492E-7
1.249549E+0	2.308794E-7
1.244476E+0	2.253134E-7
1.239509E+0	2.200717E-7
1.234508E+0	2.149645E-7
1.229506E+0	2.090586E-7
1.224504E+0	2.050339E-7
1.219503E+0	2.003182E-7
1.214434E+0	1.959652E-7
1.209458E+0	1.891056E-7
1.204457E+0	1.854684E-7
1.199456E+0	1.814237E-7
1.194452E+0	1.762655E-7
1.189446E+0	1.721290E-7
1.184381E+0	1.668454E-7
1.179412E+0	1.620388E-7
1.174407E+0	1.584717E-7
1.169406E+0	1.534951E-7
1.164405E+0	1.498565E-7
1.159402E+0	1.471240E-7
1.154332E+0	1.438957E-7
1.149360E+0	1.399329E-7
1.144363E+0	1.364087E-7
1.139354E+0	1.335053E-7
1.134354E+0	1.295868E-7
1.129350E+0	1.264284E-7
1.124282E+0	1.226256E-7
1.119315E+0	1.193094E-7
1.114307E+0	1.161557E-7
1.109305E+0	1.128617E-7
1.104305E+0	1.101109E-7
1.099303E+0	1.070426E-7
1.094228E+0	1.038179E-7
1.089264E+0	1.006728E-7
1.084259E+0	9.797413E-8
1.079254E+0	9.513398E-8
1.074253E+0	9.237745E-8
1.069249E+0	8.965996E-8
1.064180E+0	8.701193E-8
1.059214E+0	8.465373E-8
1.054211E+0	8.221893E-8
1.049209E+0	7.941359E-8
1.044203E+0	7.698439E-8
1.039205E+0	7.458689E-8
1.034131E+0	7.224169E-8
1.029164E+0	7.022248E-8
1.024163E+0	6.799088E-8
1.019157E+0	6.620620E-8
1.014156E+0	6.377686E-8
1.009154E+0	6.180962E-8
1.004084E+0	5.976366E-8
9.991149E-1	5.768857E-8
9.941121E-1	5.555489E-8
9.891095E-1	5.399334E-8
9.841056E-1	5.209982E-8
9.791020E-1	5.039822E-8
9.740324E-1	4.867746E-8
9.690650E-1	4.690094E-8
9.640583E-1	4.532913E-8
9.590558E-1	4.381646E-8
9.540579E-1	4.234206E-8
9.490499E-1	4.102073E-8
9.439815E-1	3.950102E-8
9.390159E-1	3.795689E-8
9.340139E-1	3.659294E-8
9.290120E-1	3.530931E-8
9.240074E-1	3.409452E-8
9.190041E-1	3.257601E-8
9.139350E-1	3.142585E-8
9.089657E-1	3.046350E-8
9.039596E-1	2.917290E-8
8.989618E-1	2.816955E-8
8.939583E-1	2.710493E-8
8.889544E-1	2.613603E-8
8.838849E-1	2.519108E-8
8.789154E-1	2.413687E-8
8.739170E-1	2.326149E-8
8.689111E-1	2.244115E-8
8.639093E-1	2.148762E-8
8.589088E-1	2.068752E-8
8.538333E-1	1.989124E-8
8.488669E-1	1.899547E-8
8.438644E-1	1.824024E-8
8.388627E-1	1.762514E-8
8.338623E-1	1.694610E-8
8.288546E-1	1.617333E-8
8.237866E-1	1.541612E-8
8.188192E-1	1.486329E-8
8.138171E-1	1.422137E-8
8.088142E-1	1.362944E-8
8.038141E-1	1.308095E-8
7.988124E-1	1.253938E-8
