Voltage (V)	Current (A)
1.499942E+0	1.913087E-7
1.494939E+0	1.873465E-7
1.489936E+0	1.842723E-7
1.484932E+0	1.795026E-7
1.479897E+0	1.761529E-7
1.474892E+0	1.725805E-7
1.469896E+0	1.683227E-7
1.464888E+0	1.650562E-7
1.459885E+0	1.613890E-7
1.454884E+0	1.580465E-7
1.449844E+0	1.548026E-7
1.444846E+0	1.506534E-7
1.439840E+0	1.473960E-7
1.434841E+0	1.447189E-7
1.429835E+0	1.415738E-7
1.424767E+0	1.383192E-7
1.419800E+0	1.354467E-7
1.414798E+0	1.325893E-7
1.409797E+0	1.296155E-7
1.404794E+0	1.266611E-7
1.399787E+0	1.230265E-7
1.394717E+0	1.201642E-7
1.389748E+0	1.176523E-7
1.384745E+0	1.150371E-7
1.379740E+0	1.122729E-7
1.374745E+0	1.093419E-7
1.369736E+0	1.066961E-7
1.364662E+0	1.046955E-7
1.359699E+0	1.021420E-7
1.354696E+0	9.980860E-8
1.349695E+0	9.750921E-8
1.344690E+0	9.471942E-8
1.339689E+0	9.254859E-8
1.334620E+0	9.024464E-8
1.329648E+0	8.765871E-8
1.324646E+0	8.553446E-8
1.319642E+0	8.287830E-8
1.314643E+0	8.061333E-8
1.309638E+0	7.889786E-8
1.304569E+0	7.697763E-8
1.299605E+0	7.489064E-8
1.294600E+0	7.274110E-8
1.289598E+0	7.073589E-8
1.284592E+0	6.892046E-8
1.279596E+0	6.716797E-8
1.274520E+0	6.502916E-8
1.269549E+0	6.319531E-8
1.264548E+0	6.165359E-8
1.259545E+0	6.004475E-8
1.254543E+0	5.838225E-8
1.249540E+0	5.702745E-8
1.244469E+0	5.517990E-8
1.239503E+0	5.349696E-8
1.234501E+0	5.187663E-8
1.229499E+0	5.038243E-8
1.224495E+0	4.921124E-8
1.219495E+0	4.776120E-8
1.214427E+0	4.614175E-8
1.209451E+0	4.501469E-8
1.204451E+0	4.388794E-8
1.199448E+0	4.243763E-8
1.194445E+0	4.108419E-8
1.189442E+0	3.990496E-8
1.184377E+0	3.869217E-8
1.179407E+0	3.764218E-8
1.174401E+0	3.638933E-8
1.169400E+0	3.534594E-8
1.164400E+0	3.432983E-8
1.159399E+0	3.315647E-8
1.154324E+0	3.212577E-8
1.149358E+0	3.104559E-8
1.144356E+0	3.005830E-8
1.139350E+0	2.919184E-8
1.134349E+0	2.814410E-8
1.129347E+0	2.705253E-8
1.124275E+0	2.615471E-8
1.119309E+0	2.538917E-8
1.114305E+0	2.462004E-8
1.109302E+0	2.378549E-8
1.104302E+0	2.292204E-8
