Voltage (V)	Current (A)
-1.500026E+0	-1.338296E-7
-1.495023E+0	-1.304808E-7
-1.490052E+0	-1.278257E-7
-1.485048E+0	-1.249282E-7
-1.479982E+0	-1.222245E-7
-1.474974E+0	-1.186529E-7
-1.469973E+0	-1.162369E-7
-1.465003E+0	-1.138351E-7
-1.460003E+0	-1.114096E-7
-1.454999E+0	-1.092799E-7
-1.449926E+0	-1.064952E-7
-1.444960E+0	-1.038588E-7
-1.439955E+0	-1.011841E-7
-1.434948E+0	-9.907755E-8
-1.429954E+0	-9.705688E-8
-1.424877E+0	-9.444732E-8
-1.419911E+0	-9.225379E-8
-1.414908E+0	-9.037399E-8
-1.409904E+0	-8.857165E-8
-1.404900E+0	-8.651110E-8
-1.399894E+0	-8.423507E-8
-1.394861E+0	-8.233961E-8
-1.389856E+0	-8.036672E-8
-1.384855E+0	-7.843164E-8
-1.379850E+0	-7.642789E-8
-1.374849E+0	-7.447503E-8
-1.369844E+0	-7.244855E-8
-1.364810E+0	-7.090689E-8
-1.359807E+0	-6.919918E-8
-1.354804E+0	-6.733596E-8
-1.349801E+0	-6.560619E-8
-1.344798E+0	-6.400222E-8
-1.339792E+0	-6.244964E-8
-1.334759E+0	-6.094305E-8
-1.329750E+0	-5.937754E-8
-1.324750E+0	-5.789876E-8
-1.319746E+0	-5.643611E-8
-1.314743E+0	-5.475923E-8
-1.309739E+0	-5.316043E-8
-1.304704E+0	-5.183099E-8
-1.299703E+0	-5.017404E-8
-1.294698E+0	-4.875119E-8
-1.289698E+0	-4.762354E-8
-1.284694E+0	-4.619702E-8
-1.279688E+0	-4.518243E-8
-1.274652E+0	-4.394662E-8
-1.269649E+0	-4.260931E-8
-1.264646E+0	-4.147295E-8
-1.259642E+0	-4.034480E-8
-1.254641E+0	-3.923620E-8
-1.249635E+0	-3.811329E-8
-1.244598E+0	-3.699298E-8
-1.239601E+0	-3.595147E-8
-1.234595E+0	-3.487445E-8
-1.229596E+0	-3.385408E-8
-1.224589E+0	-3.287100E-8
-1.219622E+0	-3.192833E-8
-1.214550E+0	-3.105693E-8
-1.209545E+0	-3.008302E-8
-1.204544E+0	-2.932893E-8
-1.199540E+0	-2.849491E-8
-1.194574E+0	-2.750054E-8
-1.189570E+0	-2.671226E-8
-1.184498E+0	-2.593982E-8
-1.179495E+0	-2.502810E-8
-1.174490E+0	-2.427078E-8
-1.169522E+0	-2.364672E-8
-1.164518E+0	-2.288941E-8
-1.159519E+0	-2.218631E-8
-1.154446E+0	-2.145107E-8
-1.149442E+0	-2.076836E-8
-1.144476E+0	-2.008393E-8
-1.139470E+0	-1.941258E-8
-1.134469E+0	-1.877117E-8
-1.129465E+0	-1.810900E-8
-1.124395E+0	-1.753158E-8
-1.119425E+0	-1.696107E-8
-1.114420E+0	-1.639293E-8
-1.109419E+0	-1.583928E-8
-1.104414E+0	-1.536333E-8
-1.099412E+0	-1.478333E-8
-1.094378E+0	-1.433720E-8
-1.089371E+0	-1.376817E-8
-1.084370E+0	-1.335925E-8
-1.079366E+0	-1.289856E-8
-1.074365E+0	-1.246498E-8
-1.069359E+0	-1.204719E-8
-1.064325E+0	-1.160560E-8
-1.059320E+0	-1.118152E-8
-1.054314E+0	-1.080973E-8
-1.049313E+0	-1.041696E-8
-1.044309E+0	-1.002426E-8
-1.039307E+0	-9.697832E-9
-1.034268E+0	-9.335579E-9
-1.029268E+0	-8.990065E-9
-1.024265E+0	-8.655536E-9
-1.019260E+0	-8.351853E-9
-1.014260E+0	-8.018634E-9
-1.009254E+0	-7.715944E-9
-1.004220E+0	-7.427940E-9
-9.992169E-1	-7.147472E-9
-9.942096E-1	-6.894734E-9
-9.892080E-1	-6.655508E-9
-9.842048E-1	-6.420758E-9
-9.792008E-1	-6.157804E-9
-9.741638E-1	-5.912660E-9
-9.691647E-1	-5.700536E-9
-9.641587E-1	-5.494576E-9
-9.591530E-1	-5.301057E-9
-9.541524E-1	-5.082529E-9
-9.491467E-1	-4.900905E-9
-9.441105E-1	-4.719254E-9
-9.391069E-1	-4.531399E-9
-9.341050E-1	-4.384640E-9
-9.291035E-1	-4.207847E-9
