Voltage (V)	Current (A)
9.999621E-1	6.534921E-8
9.959420E-1	6.380137E-8
9.919493E-1	6.266434E-8
9.879630E-1	6.128899E-8
9.839057E-1	6.000544E-8
9.799194E-1	5.856721E-8
9.758937E-1	5.718930E-8
9.719077E-1	5.587948E-8
9.678827E-1	5.473365E-8
9.638940E-1	5.343166E-8
9.598403E-1	5.237088E-8
9.558499E-1	5.122653E-8
9.518647E-1	4.999870E-8
9.478359E-1	4.904476E-8
9.438508E-1	4.786896E-8
9.398619E-1	4.685968E-8
9.358063E-1	4.584265E-8
9.318140E-1	4.476617E-8
9.277965E-1	4.376021E-8
9.238047E-1	4.272252E-8
9.198201E-1	4.174110E-8
9.157937E-1	4.078679E-8
9.117411E-1	3.987731E-8
9.077522E-1	3.903081E-8
9.037603E-1	3.806427E-8
8.997421E-1	3.719682E-8
8.957494E-1	3.628979E-8
8.917637E-1	3.553284E-8
8.877395E-1	3.469913E-8
8.837207E-1	3.395635E-8
8.796943E-1	3.313786E-8
8.757080E-1	3.242841E-8
8.717201E-1	3.159850E-8
8.676982E-1	3.083516E-8
8.637109E-1	3.013441E-8
8.596557E-1	2.935246E-8
8.556649E-1	2.867903E-8
8.516399E-1	2.799320E-8
8.476540E-1	2.727955E-8
8.436647E-1	2.668514E-8
8.396442E-1	2.604664E-8
8.356186E-1	2.537866E-8
8.316014E-1	2.478462E-8
8.276084E-1	2.411593E-8
8.236204E-1	2.359117E-8
8.195977E-1	2.292150E-8
8.156104E-1	2.231133E-8
8.115543E-1	2.177301E-8
8.075671E-1	2.123598E-8
8.035446E-1	2.067538E-8
7.995544E-1	2.013231E-8
7.955686E-1	1.962586E-8
7.915430E-1	1.911684E-8
7.875552E-1	1.859575E-8
7.834994E-1	1.812056E-8
7.795126E-1	1.766337E-8
7.755241E-1	1.716648E-8
7.715009E-1	1.672285E-8
7.675108E-1	1.627090E-8
7.635248E-1	1.578043E-8
7.594652E-1	1.536825E-8
7.554438E-1	1.499817E-8
7.514567E-1	1.457823E-8
7.474684E-1	1.419588E-8
7.434473E-1	1.382055E-8
7.394587E-1	1.344808E-8
7.354023E-1	1.303530E-8
7.314145E-1	1.268773E-8
7.274288E-1	1.233126E-8
7.234030E-1	1.202151E-8
7.194153E-1	1.169643E-8
7.154242E-1	1.139204E-8
7.113696E-1	1.105937E-8
7.073464E-1	1.076466E-8
7.033602E-1	1.047222E-8
6.993697E-1	1.018119E-8
6.953498E-1	9.906432E-9
6.913610E-1	9.608128E-9
6.873699E-1	9.373244E-9
6.833152E-1	9.080298E-9
6.793241E-1	8.830085E-9
6.753035E-1	8.555314E-9
6.713145E-1	8.338240E-9
6.673278E-1	8.095532E-9
6.633030E-1	7.832917E-9
6.592498E-1	7.634951E-9
6.552601E-1	7.393623E-9
6.512711E-1	7.164477E-9
6.472466E-1	6.967599E-9
6.432593E-1	6.779729E-9
6.392716E-1	6.565128E-9
6.352145E-1	6.391296E-9
6.312264E-1	6.213644E-9
6.272046E-1	6.041159E-9
6.232171E-1	5.874281E-9
6.192261E-1	5.701033E-9
6.152059E-1	5.517438E-9
6.111494E-1	5.359861E-9
6.071615E-1	5.209573E-9
6.031716E-1	5.037709E-9
5.991506E-1	4.898354E-9
5.951613E-1	4.738893E-9
5.911763E-1	4.607042E-9
5.871522E-1	4.459730E-9
5.831283E-1	4.333453E-9
5.791069E-1	4.198621E-9
5.751174E-1	4.071508E-9
5.711297E-1	3.962613E-9
5.671064E-1	3.840314E-9
5.631174E-1	3.708584E-9
5.590616E-1	3.603088E-9
5.550752E-1	3.485523E-9
5.510504E-1	3.383084E-9
5.470614E-1	3.279134E-9
5.430721E-1	3.182772E-9
5.390540E-1	3.085487E-9
5.350289E-1	2.986605E-9
5.310098E-1	2.894475E-9
5.270199E-1	2.808706E-9
5.230307E-1	2.704549E-9
5.190104E-1	2.638520E-9
5.150210E-1	2.552924E-9
5.109657E-1	2.482075E-9
5.069748E-1	2.395050E-9
5.029550E-1	2.336353E-9
4.989643E-1	2.264207E-9
4.949772E-1	2.183427E-9
4.909535E-1	2.117648E-9
