Voltage (V)	Current (A)
9.999607E-1	4.316082E-8
9.959407E-1	4.235981E-8
9.919488E-1	4.134544E-8
9.879630E-1	4.040891E-8
9.839038E-1	3.945456E-8
9.799144E-1	3.843459E-8
9.758914E-1	3.764087E-8
9.719052E-1	3.676552E-8
9.678829E-1	3.579912E-8
9.638929E-1	3.499709E-8
9.598384E-1	3.427343E-8
9.558452E-1	3.337405E-8
9.518613E-1	3.246247E-8
9.478348E-1	3.176615E-8
9.438498E-1	3.095566E-8
9.398601E-1	3.029380E-8
9.358042E-1	2.959666E-8
9.318169E-1	2.888918E-8
9.277948E-1	2.819774E-8
9.238044E-1	2.751456E-8
9.198189E-1	2.684439E-8
9.157946E-1	2.622501E-8
9.117394E-1	2.556652E-8
9.077495E-1	2.495658E-8
9.037580E-1	2.446242E-8
8.997400E-1	2.382716E-8
8.957490E-1	2.323400E-8
8.917621E-1	2.264977E-8
8.877387E-1	2.218235E-8
8.837197E-1	2.160418E-8
8.796929E-1	2.101295E-8
8.757066E-1	2.052846E-8
8.717186E-1	2.004807E-8
8.676984E-1	1.953259E-8
8.637080E-1	1.905073E-8
8.596539E-1	1.849441E-8
8.556657E-1	1.797857E-8
8.516411E-1	1.756709E-8
8.476532E-1	1.712058E-8
8.436626E-1	1.671967E-8
8.396426E-1	1.625372E-8
8.356178E-1	1.590417E-8
8.315989E-1	1.543329E-8
8.276059E-1	1.507891E-8
8.236175E-1	1.463148E-8
8.195956E-1	1.430589E-8
8.156105E-1	1.388731E-8
8.115510E-1	1.356099E-8
8.075639E-1	1.314708E-8
8.035444E-1	1.279298E-8
7.995526E-1	1.246847E-8
7.955685E-1	1.218592E-8
7.915409E-1	1.184511E-8
7.875550E-1	1.151694E-8
7.834961E-1	1.122196E-8
7.795110E-1	1.091340E-8
7.755221E-1	1.061748E-8
7.714981E-1	1.030185E-8
7.675085E-1	9.993951E-9
7.635236E-1	9.747221E-9
7.594653E-1	9.453522E-9
7.554434E-1	9.226390E-9
7.514556E-1	8.962894E-9
7.474661E-1	8.721520E-9
7.434466E-1	8.507923E-9
7.394562E-1	8.238775E-9
7.354024E-1	8.009430E-9
7.314131E-1	7.779370E-9
7.274265E-1	7.557017E-9
7.234010E-1	7.315138E-9
7.194126E-1	7.111440E-9
7.154229E-1	6.896544E-9
7.113693E-1	6.708465E-9
7.073444E-1	6.497209E-9
7.033582E-1	6.289611E-9
6.993695E-1	6.098142E-9
6.953482E-1	5.920830E-9
6.913586E-1	5.739243E-9
6.873678E-1	5.555480E-9
6.833117E-1	5.388391E-9
6.793223E-1	5.219295E-9
