Voltage (V)	Current (A)
-1.000057E+0	-1.780584E-8
-9.960726E-1	-1.742201E-8
-9.920449E-1	-1.700576E-8
-9.880582E-1	-1.666147E-8
-9.840000E-1	-1.628172E-8
-9.800117E-1	-1.591543E-8
-9.760205E-1	-1.556165E-8
-9.720002E-1	-1.520838E-8
-9.680090E-1	-1.492799E-8
-9.640212E-1	-1.459162E-8
-9.599643E-1	-1.425242E-8
-9.559784E-1	-1.392619E-8
-9.519536E-1	-1.360439E-8
-9.479613E-1	-1.328776E-8
-9.439762E-1	-1.297927E-8
-9.399529E-1	-1.269640E-8
-9.359300E-1	-1.240279E-8
-9.319069E-1	-1.210689E-8
-9.279191E-1	-1.186447E-8
-9.239247E-1	-1.159376E-8
-9.199061E-1	-1.134913E-8
-9.159139E-1	-1.109874E-8
-9.118592E-1	-1.082456E-8
-9.078694E-1	-1.057819E-8
-9.038494E-1	-1.032908E-8
-8.998592E-1	-1.008175E-8
-8.958676E-1	-9.864094E-9
-8.918483E-1	-9.628642E-9
-8.878576E-1	-9.408222E-9
-8.838025E-1	-9.200326E-9
-8.798112E-1	-8.960009E-9
-8.758262E-1	-8.757024E-9
-8.718026E-1	-8.552810E-9
-8.678142E-1	-8.359348E-9
-8.638225E-1	-8.150658E-9
-8.597691E-1	-7.963387E-9
-8.557774E-1	-7.766517E-9
-8.517570E-1	-7.600325E-9
-8.477655E-1	-7.396832E-9
-8.437755E-1	-7.238317E-9
-8.397543E-1	-7.083425E-9
-8.357290E-1	-6.894227E-9
-8.317087E-1	-6.714209E-9
-8.277176E-1	-6.573201E-9
-8.237293E-1	-6.406463E-9
-8.197055E-1	-6.249735E-9
-8.157181E-1	-6.099718E-9
-8.116584E-1	-5.949771E-9
-8.076739E-1	-5.794488E-9
-8.036505E-1	-5.654351E-9
-7.996629E-1	-5.520174E-9
-7.956711E-1	-5.367512E-9
-7.916858E-1	-5.233046E-9
-7.876603E-1	-5.078160E-9
-7.836015E-1	-4.967702E-9
-7.796136E-1	-4.856738E-9
-7.756245E-1	-4.724027E-9
-7.716046E-1	-4.605519E-9
-7.676129E-1	-4.478545E-9
-7.636248E-1	-4.369095E-9
-7.595667E-1	-4.269396E-9
-7.555766E-1	-4.153325E-9
-7.515544E-1	-4.047008E-9
-7.475674E-1	-3.926700E-9
-7.435777E-1	-3.821520E-9
-7.395574E-1	-3.729081E-9
-7.355336E-1	-3.634712E-9
-7.315102E-1	-3.534810E-9
-7.275233E-1	-3.439478E-9
-7.235309E-1	-3.346574E-9
-7.195089E-1	-3.275085E-9
-7.155185E-1	-3.174554E-9
-7.114652E-1	-3.082741E-9
-7.074722E-1	-3.009323E-9
-7.034853E-1	-2.931676E-9
-6.994611E-1	-2.827583E-9
-6.954744E-1	-2.779268E-9
-6.914810E-1	-2.687999E-9
-6.874592E-1	-2.608210E-9
-6.834010E-1	-2.523562E-9
-6.794119E-1	-2.467704E-9
-6.754253E-1	-2.408997E-9
-6.714007E-1	-2.323971E-9
-6.674129E-1	-2.276744E-9
-6.634236E-1	-2.211164E-9
-6.593697E-1	-2.136658E-9
-6.553779E-1	-2.092867E-9
-6.513560E-1	-2.037259E-9
-6.473641E-1	-1.975323E-9
-6.433766E-1	-1.920972E-9
-6.393528E-1	-1.869934E-9
-6.353325E-1	-1.804143E-9
-6.313072E-1	-1.774307E-9
-6.273187E-1	-1.721045E-9
-6.233312E-1	-1.668623E-9
-6.193051E-1	-1.607776E-9
-6.153171E-1	-1.574211E-9
-6.112611E-1	-1.537503E-9
-6.072752E-1	-1.497066E-9
-6.032833E-1	-1.445690E-9
-5.992625E-1	-1.408939E-9
-5.952712E-1	-1.365360E-9
-5.912852E-1	-1.331668E-9
-5.872598E-1	-1.300490E-9
-5.832045E-1	-1.261770E-9
-5.792141E-1	-1.218231E-9
-5.752246E-1	-1.195561E-9
-5.712017E-1	-1.157134E-9
-5.672115E-1	-1.125370E-9
-5.632232E-1	-1.098426E-9
-5.591650E-1	-1.058742E-9
-5.551777E-1	-1.019100E-9
-5.511529E-1	-1.007744E-9
-5.471650E-1	-9.541892E-10
-5.431738E-1	-9.443416E-10
-5.391528E-1	-9.255678E-10
-5.351295E-1	-8.898656E-10
-5.311090E-1	-8.608677E-10
-5.271194E-1	-8.521515E-10
-5.231330E-1	-8.188790E-10
-5.191075E-1	-8.000633E-10
-5.151167E-1	-7.978007E-10
-5.110605E-1	-7.628523E-10
-5.070717E-1	-7.279040E-10
-5.030843E-1	-7.116022E-10
-4.990602E-1	-6.923686E-10
-4.950710E-1	-6.896443E-10
-4.910798E-1	-6.494583E-10
-4.870594E-1	-6.464407E-10
-4.829989E-1	-6.239381E-10
-4.790117E-1	-6.082240E-10
-4.750214E-1	-5.757060E-10
-4.710358E-1	-5.705931E-10
-4.670101E-1	-5.546696E-10
-4.630196E-1	-5.444027E-10
-4.589653E-1	-5.191341E-10
-4.549760E-1	-5.090772E-10
-4.509564E-1	-4.733322E-10
-4.469640E-1	-4.760982E-10
-4.429764E-1	-4.573246E-10
-4.389506E-1	-4.551040E-10
-4.349291E-1	-4.452980E-10
-4.309046E-1	-4.193590E-10
-4.269152E-1	-4.085894E-10
-4.229253E-1	-4.081702E-10
-4.189047E-1	-3.901512E-10
-4.149116E-1	-3.701207E-10
-4.108568E-1	-3.660561E-10
-4.068659E-1	-3.416678E-10
-4.028765E-1	-3.398236E-10
-3.988565E-1	-3.438466E-10
-3.948657E-1	-3.376024E-10
-3.908785E-1	-3.255761E-10
-3.868559E-1	-3.139265E-10
-3.828005E-1	-3.065515E-10
-3.788080E-1	-3.032409E-10
-3.748205E-1	-2.825397E-10
-3.708286E-1	-2.777626E-10
-3.668085E-1	-2.825400E-10
-3.628160E-1	-2.604979E-10
-3.587612E-1	-2.512790E-10
-3.547707E-1	-2.469208E-10
-3.507488E-1	-2.260102E-10
-3.467602E-1	-2.406350E-10
-3.427678E-1	-2.303264E-10
-3.387450E-1	-2.237476E-10
-3.347242E-1	-2.108827E-10
-3.307030E-1	-2.005323E-10
-3.267105E-1	-1.884218E-10
-3.227234E-1	-1.957131E-10
-3.187007E-1	-1.910618E-10
-3.147114E-1	-2.018731E-10
-3.106532E-1	-1.838124E-10
-3.066653E-1	-1.767722E-10
-3.026721E-1	-1.735874E-10
-2.986504E-1	-1.740485E-10
-2.946604E-1	-1.635723E-10
-2.906733E-1	-1.455113E-10
-2.866494E-1	-1.545627E-10
-2.826254E-1	-1.411532E-10
-2.786035E-1	-1.345322E-10
-2.746115E-1	-1.340713E-10
-2.706221E-1	-1.397285E-10
-2.665969E-1	-1.395608E-10
-2.626120E-1	-1.472294E-10
-2.585533E-1	-1.254389E-10
-2.545671E-1	-1.327303E-10
-2.505422E-1	-1.236370E-10
-2.465505E-1	-1.134123E-10
-2.425661E-1	-1.097665E-10
-2.385750E-1	-1.051989E-10
-2.345186E-1	-1.223798E-10
-2.304945E-1	-1.102694E-10
-2.265046E-1	-1.089703E-10
-2.225153E-1	-1.007989E-10
-2.184926E-1	-9.535128E-11
-2.145039E-1	-9.342367E-11
-2.104490E-1	-9.438750E-11
-2.064561E-1	-9.711130E-11
-2.024688E-1	-8.956844E-11
-1.984416E-1	-9.279510E-11
-1.944558E-1	-8.307321E-11
-1.904660E-1	-6.870088E-11
-1.864090E-1	-8.973605E-11
-1.824197E-1	-8.433035E-11
-1.783970E-1	-8.701225E-11
-1.744104E-1	-7.833796E-11
-1.704204E-1	-7.909225E-11
-1.663955E-1	-7.829606E-11
-1.624020E-1	-7.997225E-11
-1.583461E-1	-7.087956E-11
-1.543582E-1	-7.925987E-11
-1.503364E-1	-7.058628E-11
-1.463453E-1	-6.170397E-11
-1.423577E-1	-6.258382E-11
-1.383637E-1	-6.526527E-11
-1.343070E-1	-6.614512E-11
-1.302823E-1	-6.195536E-11
-1.262915E-1	-4.997260E-11
-1.223062E-1	-4.942793E-11
-1.182834E-1	-5.512604E-11
-1.142951E-1	-5.738852E-11
-1.102330E-1	-3.472182E-11
-1.062505E-1	-5.349201E-11
-1.022577E-1	-5.345011E-11
-9.823473E-2	-4.938606E-11
-9.424005E-2	-5.076867E-11
-9.025505E-2	-5.437185E-11
-8.619582E-2	-4.586663E-11
-8.220536E-2	-5.428809E-11
-7.818533E-2	-5.303112E-11
-7.419646E-2	-4.632753E-11
-7.020613E-2	-4.217964E-11
-6.618281E-2	-4.460973E-11
-6.219111E-2	-5.663436E-11
-5.813367E-2	-4.641129E-11
-5.414968E-2	-4.733304E-11
-5.015502E-2	-4.569904E-11
-4.613741E-2	-2.776685E-11
-4.214497E-2	-4.448401E-11
-3.815965E-2	-4.624370E-11
-3.409825E-2	-4.318520E-11
-3.007444E-2	-4.171873E-11
-2.608037E-2	-5.382719E-11
-2.209367E-2	-3.878594E-11
-1.807518E-2	-4.993072E-11
-1.408205E-2	-4.636942E-11
-1.002572E-2	-3.564356E-11
-6.035349E-3	-3.396771E-11
-2.043816E-3	-2.764116E-11
1.973083E-3	-2.655178E-11
5.957371E-3	-3.903730E-11
9.949940E-3	-5.081058E-11
1.400572E-2	-2.604905E-11
1.803229E-2	-4.578284E-11
2.201868E-2	-3.765467E-11
2.600615E-2	-3.572738E-11
3.002829E-2	-1.511370E-11
3.401881E-2	-5.466516E-11
3.800524E-2	-3.907919E-11
4.205964E-2	-4.888328E-11
4.605376E-2	-4.326896E-11
5.007465E-2	-3.350679E-11
5.406444E-2	-3.543410E-11
5.805038E-2	-3.086727E-11
6.207352E-2	-3.941439E-11
6.612668E-2	-3.526654E-11
7.012011E-2	-3.216610E-11
7.410713E-2	-4.423261E-11
7.813315E-2	-3.970767E-11
8.211955E-2	-4.326897E-11
8.611036E-2	-2.768298E-11
9.016454E-2	-2.906566E-11
9.414919E-2	-4.092267E-11
9.817462E-2	-3.220796E-11
1.021640E-1	-2.508538E-11
1.061549E-1	-2.722211E-11
1.101754E-1	-1.490422E-11
1.142320E-1	-2.902376E-11
1.182193E-1	-1.913585E-11
1.222084E-1	-2.818578E-11
1.262278E-1	-2.994549E-11
1.302180E-1	-2.068616E-11
1.342064E-1	-2.893994E-11
1.382326E-1	-1.658012E-11
1.422532E-1	-1.251600E-11
