Voltage (V)	Current (A)
-1.000060E+0	-6.023480E-8
-9.960741E-1	-5.878219E-8
-9.920477E-1	-5.773231E-8
-9.880607E-1	-5.655720E-8
-9.840012E-1	-5.525676E-8
-9.800136E-1	-5.424069E-8
-9.760216E-1	-5.289173E-8
-9.720038E-1	-5.182813E-8
-9.680119E-1	-5.068655E-8
-9.640243E-1	-4.958505E-8
-9.599686E-1	-4.844470E-8
-9.559776E-1	-4.755370E-8
-9.519556E-1	-4.644890E-8
-9.479616E-1	-4.548828E-8
-9.439760E-1	-4.438714E-8
-9.399554E-1	-4.350349E-8
-9.359317E-1	-4.237652E-8
-9.319069E-1	-4.164243E-8
-9.279216E-1	-4.060894E-8
-9.239285E-1	-3.967801E-8
-9.199072E-1	-3.880875E-8
-9.159166E-1	-3.799091E-8
-9.118634E-1	-3.711391E-8
-9.078722E-1	-3.632250E-8
-9.038520E-1	-3.549853E-8
-8.998622E-1	-3.479523E-8
-8.958711E-1	-3.392089E-8
-8.918483E-1	-3.318667E-8
-8.878598E-1	-3.243566E-8
-8.838039E-1	-3.168433E-8
-8.798141E-1	-3.098910E-8
-8.758278E-1	-3.029770E-8
-8.718035E-1	-2.958921E-8
-8.678163E-1	-2.892110E-8
-8.638246E-1	-2.824152E-8
-8.597701E-1	-2.754397E-8
-8.557784E-1	-2.694546E-8
-8.517581E-1	-2.636155E-8
-8.477661E-1	-2.571776E-8
-8.437775E-1	-2.512058E-8
-8.397574E-1	-2.446868E-8
-8.357317E-1	-2.395327E-8
-8.317117E-1	-2.341343E-8
-8.277187E-1	-2.284678E-8
-8.237307E-1	-2.225437E-8
-8.197079E-1	-2.178012E-8
-8.157189E-1	-2.125917E-8
-8.116611E-1	-2.074234E-8
-8.076733E-1	-2.021429E-8
-8.036521E-1	-1.972865E-8
-7.996641E-1	-1.930802E-8
-7.956740E-1	-1.880842E-8
-7.916865E-1	-1.835371E-8
-7.876632E-1	-1.789481E-8
-7.836049E-1	-1.743983E-8
-7.796147E-1	-1.702725E-8
-7.756251E-1	-1.662522E-8
-7.716045E-1	-1.620977E-8
-7.676150E-1	-1.582125E-8
-7.636269E-1	-1.542574E-8
-7.595671E-1	-1.505237E-8
-7.555789E-1	-1.465077E-8
-7.515565E-1	-1.431308E-8
-7.475689E-1	-1.395615E-8
-7.435791E-1	-1.360837E-8
-7.395583E-1	-1.320823E-8
-7.355339E-1	-1.289763E-8
-7.315103E-1	-1.257127E-8
-7.275235E-1	-1.225745E-8
-7.235318E-1	-1.194559E-8
-7.195113E-1	-1.167033E-8
-7.155202E-1	-1.130319E-8
-7.114651E-1	-1.101011E-8
-7.074728E-1	-1.071440E-8
-7.034855E-1	-1.046699E-8
-6.994613E-1	-1.018279E-8
-6.954749E-1	-9.898507E-9
-6.914819E-1	-9.646788E-9
-6.874597E-1	-9.387524E-9
-6.834005E-1	-9.168935E-9
-6.794130E-1	-8.905826E-9
-6.754255E-1	-8.688085E-9
-6.714002E-1	-8.435860E-9
-6.674139E-1	-8.199018E-9
-6.634244E-1	-7.999088E-9
-6.593702E-1	-7.787978E-9
-6.553783E-1	-7.579085E-9
-6.513559E-1	-7.375379E-9
-6.473644E-1	-7.199253E-9
-6.433783E-1	-7.001422E-9
-6.393533E-1	-6.789506E-9
-6.353326E-1	-6.628757E-9
-6.313086E-1	-6.426113E-9
-6.273187E-1	-6.259243E-9
-6.233300E-1	-6.079855E-9
-6.193056E-1	-5.909215E-9
-6.153175E-1	-5.736694E-9
-6.112604E-1	-5.585835E-9
-6.072742E-1	-5.398480E-9
-6.032841E-1	-5.250388E-9
-5.992609E-1	-5.107372E-9
-5.952728E-1	-4.967075E-9
-5.912848E-1	-4.819986E-9
-5.872595E-1	-4.687946E-9
-5.832047E-1	-4.545759E-9
-5.792106E-1	-4.407727E-9
-5.752249E-1	-4.271284E-9
-5.712014E-1	-4.148756E-9
-5.672121E-1	-4.038884E-9
-5.632235E-1	-3.916604E-9
-5.591650E-1	-3.819092E-9
-5.551774E-1	-3.695432E-9
-5.511510E-1	-3.588906E-9
-5.471633E-1	-3.463487E-9
-5.431721E-1	-3.368574E-9
-5.391519E-1	-3.247470E-9
-5.351284E-1	-3.174722E-9
-5.311081E-1	-3.065016E-9
-5.271186E-1	-3.000899E-9
-5.231315E-1	-2.885954E-9
-5.191062E-1	-2.784383E-9
-5.151148E-1	-2.720304E-9
-5.110615E-1	-2.638888E-9
-5.070708E-1	-2.578793E-9
-5.030838E-1	-2.479901E-9
-4.990580E-1	-2.406732E-9
-4.950708E-1	-2.341067E-9
-4.910796E-1	-2.269831E-9
-4.870580E-1	-2.196370E-9
-4.829987E-1	-2.127060E-9
-4.790105E-1	-2.065965E-9
-4.750208E-1	-1.990285E-9
-4.710339E-1	-1.934843E-9
-4.670097E-1	-1.869263E-9
-4.630199E-1	-1.815374E-9
-4.589656E-1	-1.748912E-9
-4.549769E-1	-1.723727E-9
-4.509540E-1	-1.664893E-9
-4.469622E-1	-1.596673E-9
-4.429747E-1	-1.547770E-9
-4.389486E-1	-1.502346E-9
-4.349278E-1	-1.468988E-9
-4.309035E-1	-1.427880E-9
-4.269138E-1	-1.373991E-9
-4.229244E-1	-1.315409E-9
-4.189042E-1	-1.278574E-9
-4.149113E-1	-1.232521E-9
-4.108554E-1	-1.216052E-9
-4.068641E-1	-1.166144E-9
-4.028754E-1	-1.136013E-9
-3.988539E-1	-1.092432E-9
-3.948648E-1	-1.078520E-9
-3.908768E-1	-1.016124E-9
-3.868539E-1	-9.660901E-10
-3.828007E-1	-9.576671E-10
-3.788071E-1	-9.152173E-10
-3.748192E-1	-8.840402E-10
-3.708269E-1	-8.487986E-10
-3.668076E-1	-8.210997E-10
-3.628144E-1	-7.880369E-10
-3.587597E-1	-7.675037E-10
-3.547688E-1	-7.444559E-10
-3.507482E-1	-7.218268E-10
-3.467592E-1	-6.895185E-10
-3.427677E-1	-6.697815E-10
-3.387441E-1	-6.342460E-10
-3.347226E-1	-6.387301E-10
-3.307019E-1	-5.849241E-10
-3.267100E-1	-5.737773E-10
-3.227232E-1	-5.734420E-10
-3.186986E-1	-5.484256E-10
-3.147116E-1	-5.092446E-10
-3.106528E-1	-5.032521E-10
-3.066661E-1	-4.686806E-10
-3.026727E-1	-4.826349E-10
-2.986497E-1	-4.393891E-10
-2.946613E-1	-4.164676E-10
-2.906717E-1	-4.216214E-10
-2.866496E-1	-3.945929E-10
-2.826248E-1	-3.608598E-10
-2.786050E-1	-3.552864E-10
-2.746111E-1	-3.563758E-10
-2.706226E-1	-3.199186E-10
-2.665981E-1	-3.264561E-10
-2.626120E-1	-2.895797E-10
-2.585537E-1	-2.725243E-10
-2.545675E-1	-2.810731E-10
-2.505435E-1	-2.713512E-10
-2.465516E-1	-2.285245E-10
-2.425648E-1	-2.382465E-10
-2.385755E-1	-2.182160E-10
-2.345180E-1	-2.230350E-10
-2.304948E-1	-1.964255E-10
-2.265067E-1	-1.966351E-10
-2.225165E-1	-1.811722E-10
-2.184936E-1	-1.790350E-10
-2.145040E-1	-1.598007E-10
-2.104483E-1	-1.509170E-10
-2.064564E-1	-1.478160E-10
-2.024679E-1	-1.540598E-10
-1.984423E-1	-1.352028E-10
-1.944567E-1	-1.353284E-10
-1.904663E-1	-1.137056E-10
-1.864096E-1	-1.311798E-10
-1.824198E-1	-1.095570E-10
-1.783967E-1	-1.012179E-10
-1.744124E-1	-1.059951E-10
-1.704199E-1	-9.530937E-11
-1.663956E-1	-9.162177E-11
-1.624025E-1	-8.516843E-11
-1.583469E-1	-8.194178E-11
-1.543589E-1	-9.061606E-11
-1.503374E-1	-7.481796E-11
-1.463453E-1	-8.068463E-11
-1.423580E-1	-8.064273E-11
-1.383652E-1	-7.188511E-11
-1.343075E-1	-7.012541E-11
-1.302823E-1	-6.312849E-11
-1.262919E-1	-6.472060E-11
-1.223061E-1	-6.526527E-11
-1.182822E-1	-6.174587E-11
-1.142942E-1	-5.776559E-11
-1.102344E-1	-4.888329E-11
-1.062489E-1	-6.203914E-11
-1.022579E-1	-3.480562E-11
-9.823614E-2	-4.703977E-11
-9.424128E-2	-7.251357E-11
-9.025547E-2	-3.329734E-11
-8.619688E-2	-3.195660E-11
-8.220567E-2	-5.248648E-11
-7.818552E-2	-3.560174E-11
-7.419632E-2	-4.188639E-11
-7.020675E-2	-5.868735E-11
-6.618232E-2	-4.435834E-11
-6.219185E-2	-5.345014E-11
-5.813545E-2	-3.212422E-11
-5.414683E-2	-4.289188E-11
-5.015653E-2	-4.452590E-11
-4.613584E-2	-4.842240E-11
-4.214496E-2	-4.921846E-11
-3.816162E-2	-5.219321E-11
-3.409816E-2	-5.081058E-11
-3.007506E-2	-5.428809E-11
-2.608178E-2	-4.012666E-11
-2.209376E-2	-4.750066E-11
-1.807643E-2	-4.490301E-11
-1.408481E-2	-2.416367E-11
-1.002748E-2	-4.301758E-11
-6.036354E-3	-4.683030E-11
-2.044319E-3	-3.899542E-11
