Voltage (V)	Current (A)
9.999626E-1	8.911927E-8
9.959438E-1	8.683165E-8
9.919525E-1	8.532059E-8
9.879644E-1	8.360902E-8
9.839098E-1	8.181069E-8
9.799216E-1	7.989190E-8
9.758963E-1	7.829017E-8
9.719126E-1	7.686789E-8
9.678837E-1	7.488413E-8
9.638950E-1	7.329553E-8
9.598403E-1	7.165432E-8
9.558483E-1	7.006305E-8
9.518629E-1	6.844896E-8
9.478366E-1	6.693374E-8
9.438512E-1	6.562193E-8
9.398622E-1	6.421178E-8
9.358069E-1	6.277703E-8
9.318165E-1	6.125810E-8
9.277971E-1	6.005864E-8
9.238075E-1	5.866420E-8
9.198201E-1	5.735845E-8
9.157957E-1	5.612172E-8
9.117426E-1	5.473169E-8
9.077528E-1	5.353159E-8
9.037621E-1	5.252775E-8
8.997415E-1	5.102452E-8
8.957507E-1	5.003002E-8
8.917635E-1	4.884643E-8
8.877404E-1	4.785474E-8
8.837212E-1	4.664924E-8
8.796946E-1	4.564444E-8
8.757086E-1	4.460064E-8
8.717203E-1	4.356112E-8
8.677003E-1	4.257469E-8
8.637106E-1	4.152331E-8
8.596540E-1	4.051590E-8
8.556666E-1	3.947999E-8
8.516389E-1	3.850663E-8
8.476539E-1	3.761779E-8
8.436649E-1	3.668482E-8
8.396432E-1	3.578705E-8
8.356206E-1	3.507587E-8
8.315989E-1	3.419080E-8
8.276071E-1	3.336968E-8
8.236199E-1	3.273711E-8
8.195969E-1	3.197435E-8
8.156096E-1	3.102938E-8
8.115531E-1	3.017118E-8
8.075651E-1	2.947481E-8
8.035449E-1	2.876969E-8
7.995542E-1	2.810921E-8
7.955673E-1	2.728049E-8
7.915431E-1	2.674404E-8
7.875574E-1	2.605029E-8
7.834993E-1	2.539388E-8
7.795112E-1	2.479281E-8
7.755239E-1	2.414989E-8
7.715021E-1	2.353313E-8
7.675104E-1	2.299716E-8
7.635247E-1	2.239885E-8
7.594659E-1	2.183323E-8
7.554453E-1	2.129862E-8
7.514577E-1	2.081317E-8
7.474684E-1	2.028764E-8
7.434476E-1	1.971002E-8
7.394570E-1	1.914537E-8
7.354039E-1	1.870026E-8
