Voltage (V)	Current (A)
-1.000060E+0	-3.442723E-8
-9.960729E-1	-3.371401E-8
-9.920455E-1	-3.299511E-8
-9.880601E-1	-3.231809E-8
-9.840006E-1	-3.156341E-8
-9.800127E-1	-3.097617E-8
-9.760227E-1	-3.028611E-8
-9.720011E-1	-2.951785E-8
-9.680101E-1	-2.897007E-8
-9.640234E-1	-2.843576E-8
-9.599652E-1	-2.777418E-8
-9.559770E-1	-2.713816E-8
-9.519536E-1	-2.654918E-8
-9.479618E-1	-2.597035E-8
-9.439740E-1	-2.529132E-8
-9.399536E-1	-2.479031E-8
-9.359308E-1	-2.426193E-8
-9.319072E-1	-2.369863E-8
-9.279190E-1	-2.318414E-8
-9.239272E-1	-2.265771E-8
-9.199060E-1	-2.218008E-8
-9.159150E-1	-2.168488E-8
-9.118600E-1	-2.122239E-8
-9.078707E-1	-2.081972E-8
-9.038499E-1	-2.037984E-8
-8.998609E-1	-1.990125E-8
-8.958699E-1	-1.945821E-8
-8.918479E-1	-1.899159E-8
-8.878580E-1	-1.860058E-8
-8.838031E-1	-1.814035E-8
-8.798118E-1	-1.773257E-8
-8.758265E-1	-1.734775E-8
-8.718039E-1	-1.695328E-8
-8.678141E-1	-1.658097E-8
-8.638222E-1	-1.618470E-8
-8.597679E-1	-1.581274E-8
-8.557776E-1	-1.543309E-8
-8.517563E-1	-1.509025E-8
-8.477660E-1	-1.473927E-8
-8.437755E-1	-1.443571E-8
-8.397542E-1	-1.406759E-8
-8.357296E-1	-1.381418E-8
-8.317091E-1	-1.344928E-8
-8.277190E-1	-1.302956E-8
-8.237313E-1	-1.274412E-8
-8.197077E-1	-1.244541E-8
-8.157187E-1	-1.216507E-8
-8.116605E-1	-1.183800E-8
-8.076732E-1	-1.157291E-8
-8.036515E-1	-1.128498E-8
-7.996634E-1	-1.097712E-8
-7.956733E-1	-1.071387E-8
-7.916865E-1	-1.048633E-8
-7.876621E-1	-1.022580E-8
-7.836040E-1	-9.964442E-9
-7.796157E-1	-9.684893E-9
-7.756255E-1	-9.465686E-9
-7.716048E-1	-9.214854E-9
-7.676139E-1	-9.023019E-9
-7.636273E-1	-8.788053E-9
-7.595667E-1	-8.572202E-9
-7.555788E-1	-8.355133E-9
-7.515564E-1	-8.147712E-9
-7.475687E-1	-7.914513E-9
-7.435786E-1	-7.729503E-9
-7.395589E-1	-7.524423E-9
-7.355350E-1	-7.334890E-9
-7.315105E-1	-7.146272E-9
-7.275247E-1	-6.978365E-9
-7.235326E-1	-6.764184E-9
-7.195101E-1	-6.597444E-9
-7.155198E-1	-6.449560E-9
-7.114656E-1	-6.263344E-9
-7.074719E-1	-6.098150E-9
-7.034863E-1	-5.951444E-9
-6.994613E-1	-5.800001E-9
-6.954743E-1	-5.642149E-9
-6.914830E-1	-5.497323E-9
-6.874602E-1	-5.348519E-9
-6.834028E-1	-5.194895E-9
-6.794123E-1	-5.061889E-9
-6.754257E-1	-4.930982E-9
-6.714015E-1	-4.777272E-9
-6.674141E-1	-4.684839E-9
-6.634243E-1	-4.523292E-9
-6.593700E-1	-4.409140E-9
-6.553807E-1	-4.290551E-9
-6.513558E-1	-4.172298E-9
-6.473646E-1	-4.053287E-9
-6.433784E-1	-3.949868E-9
-6.393535E-1	-3.848960E-9
-6.353331E-1	-3.752411E-9
-6.313077E-1	-3.643125E-9
-6.273183E-1	-3.538785E-9
-6.233324E-1	-3.439803E-9
-6.193050E-1	-3.314173E-9
-6.153190E-1	-3.242056E-9
-6.112624E-1	-3.167547E-9
-6.072763E-1	-3.064170E-9
-6.032850E-1	-2.993894E-9
-5.992621E-1	-2.880503E-9
-5.952722E-1	-2.795310E-9
-5.912849E-1	-2.730148E-9
-5.872610E-1	-2.658490E-9
-5.832043E-1	-2.561943E-9
-5.792123E-1	-2.512201E-9
-5.752265E-1	-2.391309E-9
-5.712022E-1	-2.337124E-9
-5.672112E-1	-2.283068E-9
-5.632232E-1	-2.227627E-9
-5.591651E-1	-2.164059E-9
-5.551793E-1	-2.091394E-9
-5.511534E-1	-2.017223E-9
-5.471631E-1	-1.967106E-9
-5.431731E-1	-1.920048E-9
-5.391531E-1	-1.847678E-9
-5.351282E-1	-1.792951E-9
-5.311082E-1	-1.740235E-9
-5.271190E-1	-1.691626E-9
-5.231311E-1	-1.622566E-9
-5.191068E-1	-1.575759E-9
-5.151160E-1	-1.530418E-9
-5.110599E-1	-1.496852E-9
-5.070700E-1	-1.457964E-9
-5.030827E-1	-1.392551E-9
-4.990584E-1	-1.367996E-9
-4.950716E-1	-1.323408E-9
-4.910795E-1	-1.291686E-9
-4.870598E-1	-1.234991E-9
-4.829995E-1	-1.199329E-9
-4.790112E-1	-1.178629E-9
-4.750210E-1	-1.128888E-9
-4.710353E-1	-1.084972E-9
-4.670092E-1	-1.056728E-9
-4.630201E-1	-1.011596E-9
-4.589654E-1	-9.858250E-10
-4.549773E-1	-9.577079E-10
-4.509554E-1	-9.057459E-10
-4.469644E-1	-9.057873E-10
-4.429772E-1	-8.340046E-10
-4.389521E-1	-8.078978E-10
-4.349284E-1	-7.855628E-10
-4.309045E-1	-7.628088E-10
-4.269169E-1	-7.550556E-10
-4.229248E-1	-7.181385E-10
-4.189049E-1	-7.098406E-10
-4.149118E-1	-6.862490E-10
-4.108562E-1	-6.353765E-10
-4.068637E-1	-6.272054E-10
-4.028763E-1	-6.138794E-10
-3.988542E-1	-5.838757E-10
-3.948629E-1	-5.811935E-10
-3.908777E-1	-5.284776E-10
-3.868553E-1	-5.459104E-10
-3.827995E-1	-4.886683E-10
-3.788079E-1	-4.788208E-10
-3.748200E-1	-4.830952E-10
-3.708289E-1	-4.604246E-10
-3.668086E-1	-4.459255E-10
-3.628147E-1	-4.418190E-10
-3.587609E-1	-3.906951E-10
-3.547695E-1	-3.845351E-10
-3.507474E-1	-3.909887E-10
-3.467602E-1	-3.724668E-10
-3.427686E-1	-3.734724E-10
-3.387446E-1	-3.443069E-10
-3.347232E-1	-3.492515E-10
-3.307029E-1	-3.145124E-10
-3.267102E-1	-3.197087E-10
-3.227240E-1	-3.098612E-10
-3.187003E-1	-2.762117E-10
-3.147119E-1	-2.995945E-10
-3.106543E-1	-2.762536E-10
-3.066654E-1	-2.616289E-10
-3.026719E-1	-2.494346E-10
-2.986491E-1	-2.412213E-10
-2.946618E-1	-2.374079E-10
-2.906719E-1	-2.183414E-10
-2.866509E-1	-2.105052E-10
-2.826261E-1	-2.246271E-10
-2.786041E-1	-2.097091E-10
-2.746114E-1	-1.975567E-10
-2.706222E-1	-1.950005E-10
-2.665982E-1	-1.894690E-10
-2.626127E-1	-1.877928E-10
-2.585541E-1	-1.725395E-10
-2.545669E-1	-1.710311E-10
-2.505431E-1	-1.629854E-10
-2.465527E-1	-1.472293E-10
-2.425669E-1	-1.638654E-10
-2.385756E-1	-1.603035E-10
-2.345187E-1	-1.531378E-10
-2.304942E-1	-1.274921E-10
-2.265055E-1	-1.258579E-10
-2.225169E-1	-1.163036E-10
-2.184934E-1	-1.185245E-10
-2.145042E-1	-1.095988E-10
-2.104488E-1	-1.081741E-10
-2.064561E-1	-1.199493E-10
-2.024691E-1	-9.040649E-11
-1.984419E-1	-1.084255E-10
-1.944553E-1	-8.122938E-11
-1.904654E-1	-9.145413E-11
-1.864091E-1	-1.038160E-10
-1.824195E-1	-7.988844E-11
-1.783975E-1	-9.857790E-11
-1.744113E-1	-1.023912E-10
-1.704189E-1	-7.661986E-11
-1.663968E-1	-8.336651E-11
-1.624013E-1	-7.766748E-11
-1.583462E-1	-6.777914E-11
-1.543585E-1	-7.410569E-11
-1.503369E-1	-7.796082E-11
-1.463445E-1	-6.270953E-11
-1.423590E-1	-7.913414E-11
-1.383642E-1	-5.684388E-11
-1.343066E-1	-7.142424E-11
-1.302823E-1	-5.671819E-11
-1.262915E-1	-6.128503E-11
-1.223077E-1	-6.367319E-11
-1.182819E-1	-6.874279E-11
-1.142929E-1	-6.124312E-11
-1.102337E-1	-6.057276E-11
-1.062505E-1	-7.067008E-11
-1.022583E-1	-6.534909E-11
-9.823502E-2	-5.386916E-11
-9.424053E-2	-5.391106E-11
-9.025551E-2	-4.477735E-11
-8.619674E-2	-3.870223E-11
-8.220582E-2	-5.261222E-11
-7.818534E-2	-4.427459E-11
-7.419684E-2	-4.829676E-11
-7.020646E-2	-4.536393E-11
-6.618383E-2	-4.846438E-11
-6.219149E-2	-2.722229E-11
-5.813487E-2	-6.149450E-11
-5.414708E-2	-3.342312E-11
-5.015470E-2	-6.107554E-11
-4.613719E-2	-6.367320E-11
-4.214607E-2	-3.551797E-11
-3.816080E-2	-4.565722E-11
-3.409902E-2	-4.720743E-11
-3.007627E-2	-5.009836E-11
-2.608180E-2	-3.245949E-11
-2.209446E-2	-3.627217E-11
-1.807589E-2	-6.346370E-11
-1.408429E-2	-5.994430E-11
-1.002695E-2	-6.388267E-11
-6.035674E-3	-2.550446E-11
-2.043895E-3	-5.797512E-11
1.973162E-3	-6.147763E-12
5.957443E-3	-5.768182E-11
9.949672E-3	-4.934420E-11
1.400578E-2	-4.641138E-11
1.803453E-2	-3.149580E-11
2.201964E-2	-4.595049E-11
2.600744E-2	-4.607617E-11
3.002795E-2	-4.150935E-11
3.402003E-2	-4.368802E-11
3.800514E-2	-4.331095E-11
4.206159E-2	-2.868867E-11
4.605399E-2	-4.012671E-11
5.007555E-2	-5.072680E-11
5.406550E-2	-4.025241E-11
5.804975E-2	-4.159315E-11
6.207340E-2	-3.614644E-11
6.612813E-2	-3.740340E-11
7.012049E-2	-2.914960E-11
7.410728E-2	-2.839539E-11
7.813277E-2	-4.414888E-11
8.211963E-2	-1.079845E-11
8.610876E-2	-3.363263E-11
9.016326E-2	-1.507196E-11
9.414903E-2	-3.790613E-11
9.817535E-2	-3.132819E-11
1.021644E-1	-1.706538E-12
1.061554E-1	-1.016991E-11
1.101761E-1	-3.597883E-11
1.142335E-1	-1.616131E-11
1.182201E-1	-1.352175E-11
1.222086E-1	-2.366096E-11
1.262274E-1	-2.546255E-11
1.302199E-1	-6.399103E-12
1.342068E-1	-9.834786E-12
1.382326E-1	-1.580909E-12
1.422507E-1	-1.046322E-11
1.462766E-1	-1.563888E-13
1.502697E-1	-2.544520E-12
1.542559E-1	2.399365E-12
1.582793E-1	1.291562E-11
1.622614E-1	-4.848941E-12
1.663232E-1	1.031798E-11
1.703120E-1	1.915843E-11
1.743367E-1	1.894892E-11
1.783240E-1	2.720266E-11
1.823131E-1	3.160198E-11
1.863329E-1	-1.078124E-12
1.903591E-1	3.562425E-11
1.943785E-1	1.890707E-11
1.983635E-1	1.446582E-11
2.023520E-1	5.355624E-11
2.063762E-1	2.774742E-11
2.103691E-1	3.801229E-11
2.144222E-1	3.076409E-11
