Voltage (V)	Current (A)
9.999580E-1	3.799108E-8
9.959419E-1	3.713239E-8
9.919469E-1	3.621902E-8
9.879626E-1	3.518725E-8
9.839018E-1	3.457011E-8
9.799185E-1	3.375352E-8
9.758946E-1	3.305469E-8
9.719063E-1	3.226114E-8
9.678802E-1	3.149599E-8
9.638920E-1	3.077426E-8
9.598404E-1	2.998464E-8
9.558467E-1	2.928052E-8
9.518609E-1	2.865853E-8
9.478337E-1	2.786675E-8
9.438492E-1	2.735095E-8
9.398615E-1	2.664747E-8
9.358059E-1	2.586870E-8
9.318141E-1	2.531657E-8
9.277951E-1	2.478561E-8
9.238030E-1	2.416681E-8
9.198165E-1	2.349905E-8
9.157900E-1	2.291706E-8
9.117386E-1	2.219276E-8
9.077472E-1	2.164635E-8
9.037605E-1	2.113293E-8
8.997393E-1	2.064696E-8
8.957500E-1	2.008889E-8
8.917613E-1	1.959334E-8
8.877375E-1	1.915421E-8
8.837183E-1	1.869266E-8
8.796933E-1	1.814475E-8
8.757076E-1	1.773314E-8
8.717172E-1	1.730489E-8
8.676984E-1	1.685920E-8
8.637066E-1	1.640774E-8
8.596535E-1	1.595052E-8
8.556628E-1	1.553107E-8
8.516374E-1	1.516924E-8
8.476533E-1	1.475359E-8
8.436639E-1	1.430135E-8
8.396422E-1	1.391420E-8
8.356180E-1	1.359269E-8
8.315992E-1	1.317095E-8
8.276072E-1	1.285383E-8
8.236196E-1	1.252321E-8
8.195958E-1	1.217839E-8
8.156098E-1	1.192273E-8
8.115532E-1	1.154545E-8
8.075651E-1	1.120770E-8
8.035426E-1	1.090655E-8
7.995530E-1	1.061938E-8
7.955661E-1	1.035613E-8
7.915395E-1	1.006104E-8
7.875567E-1	9.806531E-9
7.834971E-1	9.508714E-9
7.795115E-1	9.223018E-9
7.755238E-1	9.019988E-9
7.715008E-1	8.706041E-9
7.675110E-1	8.523962E-9
7.635258E-1	8.252126E-9
7.594669E-1	8.024288E-9
7.554438E-1	7.768246E-9
7.514563E-1	7.546070E-9
7.474671E-1	7.336366E-9
7.434469E-1	7.120807E-9
7.394556E-1	6.907961E-9
7.354039E-1	6.716327E-9
7.314126E-1	6.531259E-9
7.274275E-1	6.347793E-9
7.234026E-1	6.132190E-9
7.194124E-1	5.971676E-9
7.154222E-1	5.787619E-9
7.113698E-1	5.616636E-9
7.073457E-1	5.463499E-9
7.033596E-1	5.255985E-9
6.993675E-1	5.128656E-9
6.953484E-1	4.967560E-9
6.913600E-1	4.789539E-9
6.873678E-1	4.645496E-9
6.833141E-1	4.496757E-9
6.793230E-1	4.360755E-9
6.753022E-1	4.226262E-9
6.713124E-1	4.114147E-9
6.673276E-1	3.949994E-9
6.633025E-1	3.831968E-9
6.592491E-1	3.706652E-9
6.552563E-1	3.566168E-9
6.512706E-1	3.470518E-9
6.472473E-1	3.354671E-9
6.432595E-1	3.246488E-9
6.392717E-1	3.149664E-9
6.352121E-1	3.011233E-9
6.312250E-1	2.928316E-9
6.272032E-1	2.853868E-9
6.232154E-1	2.747907E-9
6.192256E-1	2.653512E-9
6.152045E-1	2.558660E-9
6.111463E-1	2.491788E-9
6.071624E-1	2.394125E-9
6.031712E-1	2.309115E-9
5.991508E-1	2.245177E-9
5.951608E-1	2.189369E-9
5.911751E-1	2.084083E-9
5.871501E-1	2.009336E-9
5.831254E-1	1.941420E-9
5.791072E-1	1.892025E-9
5.751160E-1	1.821427E-9
5.711303E-1	1.733986E-9
