Voltage (V)	Current (A)
9.999593E-1	2.744294E-8
9.959401E-1	2.684591E-8
9.919499E-1	2.625832E-8
9.879597E-1	2.572489E-8
9.839005E-1	2.507534E-8
9.799155E-1	2.444426E-8
9.758923E-1	2.376303E-8
9.719048E-1	2.327212E-8
9.678831E-1	2.269962E-8
9.638931E-1	2.214400E-8
9.598356E-1	2.161067E-8
9.558450E-1	2.105994E-8
9.518616E-1	2.051539E-8
9.478332E-1	2.005367E-8
9.438468E-1	1.952985E-8
9.398605E-1	1.897981E-8
9.358029E-1	1.854361E-8
9.318138E-1	1.813687E-8
9.277933E-1	1.764368E-8
9.238029E-1	1.721071E-8
9.198155E-1	1.677349E-8
9.157920E-1	1.633626E-8
9.117398E-1	1.594588E-8
9.077500E-1	1.549594E-8
9.037580E-1	1.512953E-8
8.997394E-1	1.467875E-8
8.957500E-1	1.431405E-8
8.917642E-1	1.390157E-8
8.877407E-1	1.360066E-8
8.837188E-1	1.326622E-8
8.796933E-1	1.287746E-8
8.757061E-1	1.254521E-8
8.717175E-1	1.228598E-8
8.676981E-1	1.191469E-8
8.637092E-1	1.164659E-8
8.596526E-1	1.123767E-8
8.556646E-1	1.096844E-8
8.516389E-1	1.070644E-8
8.476518E-1	1.038161E-8
8.436632E-1	1.011284E-8
8.396420E-1	9.853318E-9
8.356177E-1	9.584930E-9
8.315967E-1	9.279912E-9
8.276071E-1	9.107469E-9
8.236195E-1	8.767676E-9
8.195965E-1	8.479253E-9
8.156114E-1	8.237380E-9
8.115529E-1	8.058812E-9
8.075664E-1	7.814549E-9
8.035451E-1	7.625252E-9
7.995528E-1	7.403319E-9
7.955698E-1	7.183323E-9
7.915416E-1	6.968923E-9
7.875558E-1	6.784789E-9
7.834969E-1	6.593605E-9
7.795116E-1	6.365938E-9
7.755212E-1	6.195368E-9
7.715016E-1	6.043410E-9
7.675108E-1	5.857510E-9
7.635238E-1	5.629206E-9
7.594646E-1	5.474771E-9
7.554464E-1	5.343804E-9
7.514561E-1	5.146338E-9
7.474691E-1	4.977705E-9
7.434473E-1	4.852761E-9
7.394565E-1	4.731174E-9
7.354028E-1	4.571376E-9
7.314133E-1	4.410281E-9
7.274260E-1	4.298371E-9
7.234016E-1	4.153658E-9
7.194140E-1	4.054780E-9
7.154232E-1	3.904911E-9
7.113673E-1	3.797985E-9
7.073464E-1	3.687882E-9
7.033577E-1	3.591599E-9
6.993665E-1	3.453881E-9
6.953471E-1	3.336485E-9
6.913568E-1	3.222396E-9
6.873670E-1	3.125030E-9
6.833124E-1	3.010185E-9
6.793224E-1	2.914243E-9
6.753012E-1	2.805306E-9
6.713133E-1	2.712799E-9
6.673264E-1	2.649238E-9
6.633022E-1	2.547303E-9
6.592472E-1	2.450559E-9
6.552566E-1	2.359180E-9
6.512696E-1	2.275556E-9
6.472456E-1	2.200138E-9
6.432603E-1	2.123088E-9
6.392711E-1	2.070759E-9
6.352137E-1	1.973640E-9
6.312267E-1	1.913936E-9
6.272045E-1	1.848702E-9
6.232166E-1	1.802069E-9
6.192256E-1	1.719238E-9
6.152048E-1	1.644158E-9
6.111471E-1	1.595222E-9
6.071616E-1	1.538785E-9
6.031719E-1	1.496720E-9
5.991499E-1	1.422601E-9
5.951611E-1	1.380118E-9
5.911759E-1	1.337258E-9
5.871506E-1	1.300178E-9
5.831285E-1	1.249147E-9
5.791057E-1	1.196230E-9
5.751162E-1	1.163844E-9
5.711272E-1	1.122405E-9
5.671053E-1	1.075355E-9
5.631170E-1	1.037103E-9
5.590622E-1	1.014771E-9
5.550737E-1	9.709463E-10
5.510482E-1	9.296358E-10
5.470599E-1	8.992171E-10
5.430713E-1	8.820813E-10
5.390516E-1	8.373766E-10
5.350293E-1	8.233421E-10
5.310082E-1	7.942221E-10
5.270177E-1	7.630502E-10
5.230302E-1	7.431916E-10
5.190107E-1	6.973135E-10
5.150189E-1	6.862106E-10
5.109648E-1	6.643821E-10
5.069746E-1	6.331682E-10
5.029545E-1	6.139787E-10
4.989618E-1	5.901388E-10
4.949741E-1	5.822199E-10
4.909526E-1	5.593446E-10
4.869659E-1	5.422918E-10
4.829073E-1	5.139275E-10
4.789201E-1	5.024893E-10
4.749290E-1	4.753818E-10
4.709100E-1	4.638178E-10
4.669227E-1	4.471845E-10
4.629326E-1	4.404809E-10
4.588787E-1	4.262773E-10
4.548535E-1	3.926752E-10
4.508702E-1	3.900362E-10
4.468755E-1	3.817823E-10
4.428555E-1	3.786816E-10
4.388640E-1	3.538784E-10
4.348113E-1	3.477614E-10
4.308201E-1	3.241314E-10
4.268340E-1	3.117294E-10
4.228080E-1	3.029727E-10
4.188199E-1	3.069531E-10
4.148300E-1	2.797613E-10
4.107750E-1	2.713402E-10
4.067513E-1	2.601951E-10
4.027644E-1	2.672761E-10
3.987783E-1	2.459922E-10
3.947542E-1	2.428498E-10
3.907651E-1	2.198060E-10
3.867759E-1	2.233673E-10
3.827228E-1	2.203509E-10
3.787316E-1	1.994858E-10
3.747125E-1	1.988992E-10
3.707216E-1	2.051001E-10
3.667309E-1	1.951285E-10
3.627111E-1	1.952123E-10
3.586537E-1	1.820563E-10
3.546664E-1	1.593060E-10
3.506759E-1	1.671406E-10
3.466562E-1	1.487896E-10
3.426647E-1	1.438040E-10
3.386762E-1	1.527700E-10
3.346203E-1	1.436781E-10
3.306340E-1	1.278407E-10
3.266111E-1	1.075205E-10
3.226219E-1	9.930838E-11
3.186334E-1	1.166960E-10
3.146141E-1	1.034563E-10
3.105573E-1	1.141404E-10
3.065661E-1	9.708788E-11
3.025785E-1	9.222789E-11
2.985514E-1	9.608223E-11
2.945698E-1	6.407275E-11
2.905770E-1	7.320630E-11
2.865579E-1	7.245218E-11
2.825299E-1	5.330478E-11
2.785127E-1	5.992476E-11
2.745201E-1	5.803931E-11
2.705330E-1	4.509310E-11
2.665087E-1	5.669869E-11
2.625234E-1	5.422671E-11
2.584653E-1	4.857054E-11
2.544754E-1	3.822177E-11
2.504554E-1	4.199258E-11
2.464687E-1	3.817995E-11
2.424822E-1	3.432539E-11
2.384570E-1	3.273322E-11
2.344372E-1	2.364146E-11
2.304067E-1	1.886511E-11
2.264237E-1	6.212031E-12
2.224350E-1	7.050013E-12
2.184156E-1	9.354406E-12
2.144234E-1	2.112760E-11
2.103688E-1	5.080776E-12
2.063784E-1	6.253963E-12
2.023516E-1	-3.340633E-12
1.983637E-1	1.435768E-12
1.943799E-1	-3.424358E-12
1.903575E-1	-1.125929E-11
1.863334E-1	-1.389885E-11
1.823141E-1	-1.125926E-11
1.783269E-1	5.122708E-12
1.743384E-1	-1.276757E-11
1.703134E-1	-2.257158E-11
1.663251E-1	-5.016473E-12
1.623297E-1	-2.910771E-11
1.582805E-1	-3.591974E-12
1.542555E-1	-1.494629E-11
1.502679E-1	-2.546259E-11
1.462783E-1	-1.951310E-11
1.422532E-1	-2.391233E-11
1.382685E-1	-2.353525E-11
1.342080E-1	-3.204046E-11
1.302189E-1	-2.093764E-11
1.262294E-1	-3.413533E-11
1.222098E-1	-2.726416E-11
1.182187E-1	-4.532204E-11
1.142341E-1	-3.254324E-11
1.101772E-1	-2.998750E-11
1.061547E-1	-1.595183E-11
1.021650E-1	-3.493142E-11
9.817582E-2	-3.405155E-11
9.414985E-2	-3.346502E-11
9.016599E-2	-3.798993E-11
8.611149E-2	-3.455435E-11
8.212069E-2	-4.854814E-11
7.813340E-2	-3.782236E-11
7.410616E-2	-4.393941E-11
7.012282E-2	-4.900902E-11
6.612819E-2	-4.812916E-11
6.210973E-2	-4.209591E-11
5.805177E-2	-5.747234E-11
5.406580E-2	-5.286361E-11
5.007704E-2	-5.294739E-11
4.605417E-2	-4.888331E-11
4.206083E-2	-4.988886E-11
3.807532E-2	-5.106199E-11
3.402221E-2	-4.326903E-11
3.002864E-2	-4.410699E-11
2.600685E-2	-3.363259E-11
2.202014E-2	-4.544772E-11
1.803326E-2	-3.866031E-11
1.400545E-2	-5.596402E-11
9.951606E-3	-5.525175E-11
5.958452E-3	-4.821293E-11
1.973331E-3	-5.466518E-11
-2.043228E-3	-9.421984E-11
-6.035005E-3	-6.308662E-11
-1.002679E-2	-4.750069E-11
-1.408212E-2	-4.796157E-11
-1.807356E-2	-5.437191E-11
-2.209198E-2	-4.963746E-11
-2.608065E-2	-6.899418E-11
-3.007327E-2	-5.395293E-11
-3.409736E-2	-5.881305E-11
-3.808898E-2	-5.043353E-11
-4.214646E-2	-4.695605E-11
-4.613730E-2	-5.231895E-11
-5.015475E-2	-5.382723E-11
-5.414652E-2	-4.460976E-11
-5.813209E-2	-5.801700E-11
-6.212309E-2	-5.106198E-11
-6.618205E-2	-5.763993E-11
-7.020579E-2	-6.308662E-11
-7.419498E-2	-5.399482E-11
-7.818493E-2	-5.567074E-11
-8.220455E-2	-6.530718E-11
-8.619676E-2	-5.374345E-11
-9.025490E-2	-5.102008E-11
-9.424037E-2	-7.117285E-11
-9.823386E-2	-7.008352E-11
-1.022586E-1	-6.120122E-11
-1.062500E-1	-6.413405E-11
-1.102349E-1	-5.533555E-11
-1.142940E-1	-6.262573E-11
-1.182822E-1	-8.110366E-11
-1.223057E-1	-6.446924E-11
-1.262901E-1	-6.224866E-11
-1.302810E-1	-8.282176E-11
-1.343061E-1	-7.775129E-11
-1.382949E-1	-6.664791E-11
-1.423566E-1	-7.762558E-11
-1.463456E-1	-8.039128E-11
-1.503366E-1	-9.300461E-11
-1.543587E-1	-8.474936E-11
-1.583467E-1	-9.300459E-11
-1.623362E-1	-8.307318E-11
-1.663964E-1	-9.107696E-11
-1.704196E-1	-6.585185E-11
-1.744116E-1	-9.137031E-11
-1.783964E-1	-1.013437E-10
-1.824201E-1	-9.551888E-11
-1.864086E-1	-9.593793E-11
-1.904654E-1	-9.958365E-11
-1.944565E-1	-9.011317E-11
-1.984416E-1	-9.753028E-11
-2.024672E-1	-1.000865E-10
-2.064560E-1	-9.941599E-11
-2.104492E-1	-1.084674E-10
-2.145041E-1	-1.128674E-10
-2.184935E-1	-1.027684E-10
-2.225166E-1	-1.059112E-10
-2.265048E-1	-1.133284E-10
-2.304931E-1	-1.296293E-10
-2.345182E-1	-1.321435E-10
-2.385066E-1	-1.256902E-10
-2.425659E-1	-1.310540E-10
-2.465511E-1	-1.380521E-10
-2.505410E-1	-1.349093E-10
-2.545659E-1	-1.375493E-10
-2.585529E-1	-1.387645E-10
-2.625433E-1	-1.566997E-10
-2.665981E-1	-1.535568E-10
-2.706216E-1	-1.596330E-10
-2.746120E-1	-1.539339E-10
-2.786047E-1	-1.696482E-10
-2.826245E-1	-1.686844E-10
-2.866151E-1	-1.649130E-10
-2.906718E-1	-1.639492E-10
-2.946609E-1	-1.818426E-10
-2.986498E-1	-1.831415E-10
-3.026721E-1	-1.871225E-10
-3.066661E-1	-1.945816E-10
-3.106534E-1	-2.043872E-10
-3.147112E-1	-2.033397E-10
-3.186992E-1	-2.105891E-10
-3.227232E-1	-2.144444E-10
-3.267084E-1	-2.211071E-10
-3.307014E-1	-2.304939E-10
-3.347218E-1	-2.478005E-10
-3.387440E-1	-2.527451E-10
-3.427667E-1	-2.652747E-10
-3.467594E-1	-2.546728E-10
-3.507471E-1	-2.793127E-10
-3.547693E-1	-2.738234E-10
-3.587606E-1	-2.799833E-10
-3.627482E-1	-3.003489E-10
-3.668054E-1	-3.208823E-10
-3.708272E-1	-3.064252E-10
-3.748182E-1	-3.097774E-10
-3.788069E-1	-3.298079E-10
-3.827986E-1	-3.425470E-10
-3.868203E-1	-3.542385E-10
-3.908764E-1	-3.609432E-10
-3.948649E-1	-3.793811E-10
-3.988543E-1	-3.769506E-10
-4.028738E-1	-3.904019E-10
-4.068644E-1	-4.015483E-10
-4.108547E-1	-4.122764E-10
-4.149109E-1	-4.248057E-10
-4.189028E-1	-4.357430E-10
-4.229230E-1	-4.608437E-10
-4.269134E-1	-4.707752E-10
-4.309034E-1	-4.851065E-10
-4.349267E-1	-5.021195E-10
-4.389496E-1	-5.014075E-10
-4.429737E-1	-5.317462E-10
-4.469632E-1	-5.521959E-10
-4.509545E-1	-5.459522E-10
-4.549751E-1	-5.762495E-10
-4.589641E-1	-6.016018E-10
-4.629506E-1	-6.097733E-10
-4.670090E-1	-6.313122E-10
-4.710341E-1	-6.549047E-10
-4.750201E-1	-6.729232E-10
-4.790100E-1	-6.858303E-10
-4.829983E-1	-7.031786E-10
-4.870234E-1	-7.284892E-10
-4.910772E-1	-7.600008E-10
-4.950707E-1	-7.763024E-10
-4.990573E-1	-7.952847E-10
-5.030820E-1	-8.241985E-10
-5.070701E-1	-8.410866E-10
-5.110595E-1	-8.779629E-10
-5.151153E-1	-9.002139E-10
-5.191056E-1	-9.206640E-10
-5.231324E-1	-9.517984E-10
-5.271172E-1	-9.655854E-10
-5.311072E-1	-1.004473E-9
-5.351290E-1	-1.024588E-9
-5.391535E-1	-1.062721E-9
-5.431736E-1	-1.097627E-9
-5.471621E-1	-1.125578E-9
-5.511520E-1	-1.147619E-9
-5.551786E-1	-1.191871E-9
-5.591653E-1	-1.238217E-9
-5.631539E-1	-1.245886E-9
-5.672106E-1	-1.293867E-9
-5.712019E-1	-1.328438E-9
-5.752252E-1	-1.357059E-9
-5.792118E-1	-1.409816E-9
-5.832036E-1	-1.451554E-9
-5.872268E-1	-1.502720E-9
-5.912840E-1	-1.540812E-9
-5.952713E-1	-1.585106E-9
-5.992608E-1	-1.628936E-9
-6.032840E-1	-1.678636E-9
-6.072742E-1	-1.722467E-9
-6.112589E-1	-1.767349E-9
-6.153168E-1	-1.804389E-9
-6.193042E-1	-1.882543E-9
-6.233301E-1	-1.915481E-9
-6.273176E-1	-1.977040E-9
-6.313061E-1	-2.036123E-9
-6.353317E-1	-2.104933E-9
-6.393523E-1	-2.167623E-9
-6.433759E-1	-2.211203E-9
-6.473622E-1	-2.291198E-9
-6.513540E-1	-2.347770E-9
-6.553785E-1	-2.414273E-9
-6.593674E-1	-2.491251E-9
-6.633555E-1	-2.545729E-9
-6.674123E-1	-2.640682E-9
-6.714016E-1	-2.689754E-9
-6.754254E-1	-2.792631E-9
-6.794115E-1	-2.855990E-9
-6.834009E-1	-2.937034E-9
-6.874264E-1	-3.022938E-9
-6.914808E-1	-3.127783E-9
-6.954730E-1	-3.205935E-9
-6.994597E-1	-3.303908E-9
-7.034839E-1	-3.395596E-9
-7.074714E-1	-3.482336E-9
-7.114644E-1	-3.571928E-9
-7.155187E-1	-3.666465E-9
-7.195094E-1	-3.772692E-9
-7.235309E-1	-3.869329E-9
-7.275209E-1	-3.956616E-9
-7.315093E-1	-4.075207E-9
-7.355341E-1	-4.204021E-9
-7.395560E-1	-4.302035E-9
-7.435777E-1	-4.414717E-9
-7.475672E-1	-4.526514E-9
-7.515540E-1	-4.664220E-9
-7.555767E-1	-4.781468E-9
-7.595661E-1	-4.898173E-9
