Voltage (V)	Current (A)
-1.000059E+0	-2.449749E-8
-9.960734E-1	-2.397028E-8
-9.920456E-1	-2.347118E-8
-9.880607E-1	-2.302237E-8
-9.840008E-1	-2.248830E-8
-9.800137E-1	-2.203833E-8
-9.760215E-1	-2.157573E-8
-9.720011E-1	-2.110437E-8
-9.680091E-1	-2.063812E-8
-9.640229E-1	-2.017346E-8
-9.599679E-1	-1.979801E-8
-9.559776E-1	-1.936845E-8
-9.519536E-1	-1.887271E-8
-9.479620E-1	-1.848406E-8
-9.439744E-1	-1.807879E-8
-9.399545E-1	-1.763455E-8
-9.359300E-1	-1.727505E-8
-9.319060E-1	-1.691476E-8
-9.279207E-1	-1.651994E-8
-9.239263E-1	-1.614785E-8
-9.199055E-1	-1.579784E-8
-9.159145E-1	-1.542383E-8
-9.118600E-1	-1.507389E-8
-9.078710E-1	-1.473703E-8
-9.038506E-1	-1.440366E-8
-8.998616E-1	-1.408871E-8
-8.958692E-1	-1.375984E-8
-8.918474E-1	-1.346910E-8
-8.878571E-1	-1.313565E-8
-8.838028E-1	-1.282436E-8
-8.798128E-1	-1.255031E-8
-8.758252E-1	-1.228567E-8
-8.718036E-1	-1.199268E-8
-8.678143E-1	-1.169545E-8
-8.638216E-1	-1.143082E-8
-8.597691E-1	-1.117835E-8
-8.557786E-1	-1.090617E-8
-8.517560E-1	-1.064049E-8
-8.477646E-1	-1.041257E-8
-8.437756E-1	-1.014233E-8
-8.397553E-1	-9.903774E-9
-8.357288E-1	-9.669189E-9
-8.317094E-1	-9.451079E-9
-8.277165E-1	-9.213639E-9
-8.237302E-1	-9.008941E-9
-8.197059E-1	-8.818402E-9
-8.157173E-1	-8.586872E-9
-8.116593E-1	-8.376260E-9
-8.076728E-1	-8.155422E-9
-8.036519E-1	-7.980638E-9
-7.996620E-1	-7.787337E-9
-7.956715E-1	-7.591293E-9
-7.916867E-1	-7.383542E-9
-7.876610E-1	-7.219270E-9
-7.836027E-1	-7.030069E-9
-7.796133E-1	-6.862535E-9
-7.756236E-1	-6.693664E-9
-7.716036E-1	-6.523023E-9
-7.676132E-1	-6.359018E-9
-7.636267E-1	-6.218253E-9
-7.595656E-1	-6.040957E-9
-7.555770E-1	-5.880127E-9
-7.515558E-1	-5.731867E-9
-7.475685E-1	-5.578417E-9
-7.435781E-1	-5.451273E-9
-7.395569E-1	-5.304813E-9
-7.355342E-1	-5.146124E-9
-7.315093E-1	-5.035330E-9
-7.275233E-1	-4.892094E-9
-7.235323E-1	-4.760139E-9
-7.195096E-1	-4.634678E-9
-7.155192E-1	-4.520150E-9
-7.114640E-1	-4.414217E-9
-7.074724E-1	-4.277815E-9
-7.034860E-1	-4.164254E-9
-6.994605E-1	-4.065150E-9
-6.954741E-1	-3.941066E-9
-6.914812E-1	-3.844856E-9
-6.874607E-1	-3.738000E-9
-6.834000E-1	-3.645014E-9
-6.794124E-1	-3.547627E-9
-6.754259E-1	-3.449612E-9
-6.714013E-1	-3.348746E-9
-6.674135E-1	-3.259070E-9
-6.634232E-1	-3.161937E-9
-6.593685E-1	-3.095391E-9
-6.553787E-1	-2.981998E-9
-6.513566E-1	-2.914365E-9
-6.473629E-1	-2.836672E-9
-6.433772E-1	-2.739116E-9
-6.393517E-1	-2.704839E-9
-6.353316E-1	-2.601921E-9
-6.313083E-1	-2.538435E-9
-6.273193E-1	-2.467952E-9
-6.233293E-1	-2.409496E-9
-6.193061E-1	-2.335113E-9
-6.153178E-1	-2.259601E-9
-6.112609E-1	-2.193728E-9
-6.072741E-1	-2.124921E-9
-6.032830E-1	-2.064073E-9
-5.992611E-1	-2.016892E-9
-5.952705E-1	-1.972597E-9
-5.912847E-1	-1.905550E-9
-5.872596E-1	-1.859163E-9
-5.832040E-1	-1.790188E-9
-5.792120E-1	-1.767474E-9
-5.752255E-1	-1.710023E-9
-5.712011E-1	-1.652404E-9
-5.672118E-1	-1.609032E-9
-5.632236E-1	-1.552672E-9
-5.591645E-1	-1.511812E-9
-5.551772E-1	-1.476865E-9
-5.511512E-1	-1.440407E-9
-5.471641E-1	-1.376126E-9
-5.431736E-1	-1.358568E-9
-5.391517E-1	-1.301285E-9
-5.351288E-1	-1.268390E-9
-5.311080E-1	-1.251544E-9
-5.271190E-1	-1.208886E-9
-5.231320E-1	-1.158599E-9
-5.191056E-1	-1.132031E-9
-5.151157E-1	-1.105380E-9
-5.110596E-1	-1.050736E-9
-5.070694E-1	-1.029616E-9
-5.030818E-1	-1.003049E-9
-4.990582E-1	-9.665495E-10
-4.950710E-1	-9.325226E-10
-4.910786E-1	-9.065002E-10
-4.870580E-1	-8.887747E-10
-4.829984E-1	-8.603209E-10
-4.790109E-1	-8.240742E-10
-4.750204E-1	-8.039600E-10
-4.710336E-1	-7.894184E-10
-4.670085E-1	-7.462151E-10
-4.630190E-1	-7.390075E-10
-4.589637E-1	-7.110569E-10
-4.549764E-1	-6.885119E-10
-4.509552E-1	-6.688586E-10
-4.469633E-1	-6.438000E-10
-4.429744E-1	-6.308937E-10
-4.389489E-1	-6.063789E-10
-4.349286E-1	-5.877733E-10
-4.309031E-1	-5.721429E-10
-4.269158E-1	-5.555066E-10
-4.229235E-1	-5.459520E-10
-4.189036E-1	-5.210189E-10
-4.149117E-1	-5.027484E-10
-4.108569E-1	-4.909313E-10
-4.068639E-1	-4.795752E-10
-4.028757E-1	-4.484401E-10
-3.988547E-1	-4.405203E-10
