Voltage (V)	Current (A)
-1.000060E+0	-3.860547E-8
-9.960734E-1	-3.778013E-8
-9.920473E-1	-3.702057E-8
-9.880596E-1	-3.617780E-8
-9.840021E-1	-3.542181E-8
-9.800144E-1	-3.473414E-8
-9.760211E-1	-3.394267E-8
-9.720003E-1	-3.322710E-8
-9.680118E-1	-3.258772E-8
-9.640256E-1	-3.180093E-8
-9.599665E-1	-3.107785E-8
-9.559770E-1	-3.040022E-8
-9.519550E-1	-2.975411E-8
-9.479609E-1	-2.918530E-8
-9.439766E-1	-2.852401E-8
-9.399533E-1	-2.789137E-8
-9.359314E-1	-2.725688E-8
-9.319060E-1	-2.664233E-8
-9.279207E-1	-2.604097E-8
-9.239285E-1	-2.546863E-8
-9.199075E-1	-2.489229E-8
-9.159154E-1	-2.448729E-8
-9.118607E-1	-2.384473E-8
-9.078708E-1	-2.332607E-8
-9.038505E-1	-2.279842E-8
-8.998612E-1	-2.230015E-8
-8.958709E-1	-2.178792E-8
-8.918481E-1	-2.130912E-8
-8.878596E-1	-2.083913E-8
-8.838027E-1	-2.037193E-8
-8.798128E-1	-1.988872E-8
-8.758266E-1	-1.940543E-8
-8.718045E-1	-1.900131E-8
-8.678153E-1	-1.854485E-8
-8.638255E-1	-1.814935E-8
-8.597692E-1	-1.776176E-8
-8.557791E-1	-1.729588E-8
-8.517575E-1	-1.690725E-8
-8.477672E-1	-1.652160E-8
-8.437763E-1	-1.614658E-8
-8.397558E-1	-1.572458E-8
-8.357305E-1	-1.539377E-8
-8.317105E-1	-1.500322E-8
-8.277177E-1	-1.463492E-8
-8.237293E-1	-1.430547E-8
-8.197060E-1	-1.395787E-8
-8.157178E-1	-1.361471E-8
-8.116607E-1	-1.329733E-8
-8.076728E-1	-1.298179E-8
-8.036513E-1	-1.266898E-8
-7.996634E-1	-1.235062E-8
-7.956718E-1	-1.204718E-8
-7.916858E-1	-1.174459E-8
-7.876614E-1	-1.144820E-8
-7.836027E-1	-1.117342E-8
-7.796147E-1	-1.090960E-8
-7.756245E-1	-1.061321E-8
-7.716048E-1	-1.036484E-8
-7.676135E-1	-1.010654E-8
-7.636257E-1	-9.873713E-9
-7.595667E-1	-9.630329E-9
-7.555791E-1	-9.378990E-9
-7.515560E-1	-9.147299E-9
-7.475689E-1	-8.921480E-9
-7.435798E-1	-8.678804E-9
-7.395585E-1	-8.453025E-9
-7.355350E-1	-8.225649E-9
-7.315124E-1	-8.021621E-9
-7.275240E-1	-7.812892E-9
-7.235331E-1	-7.632528E-9
-7.195111E-1	-7.410144E-9
-7.155188E-1	-7.199615E-9
-7.114658E-1	-7.026084E-9
-7.074735E-1	-6.836847E-9
-7.034872E-1	-6.652551E-9
-6.994612E-1	-6.482416E-9
-6.954743E-1	-6.307002E-9
-6.914829E-1	-6.150870E-9
-6.874619E-1	-5.987810E-9
-6.834040E-1	-5.827358E-9
-6.794115E-1	-5.654297E-9
-6.754271E-1	-5.494893E-9
-6.714022E-1	-5.350239E-9
-6.674148E-1	-5.207593E-9
-6.634254E-1	-5.069017E-9
-6.593713E-1	-4.960233E-9
-6.553793E-1	-4.811466E-9
-6.513559E-1	-4.682568E-9
-6.473652E-1	-4.554216E-9
-6.433785E-1	-4.422721E-9
-6.393529E-1	-4.313137E-9
-6.353326E-1	-4.183192E-9
-6.313080E-1	-4.064728E-9
-6.273202E-1	-3.958835E-9
-6.233320E-1	-3.833794E-9
-6.193057E-1	-3.736449E-9
-6.153181E-1	-3.643837E-9
-6.112615E-1	-3.510872E-9
-6.072758E-1	-3.422874E-9
