Voltage (V)	Current (A)
4.999817E-1	1.558541E-6
4.979530E-1	1.549735E-6
4.959597E-1	1.541452E-6
4.939655E-1	1.532950E-6
4.919716E-1	1.524775E-6
4.899760E-1	1.516399E-6
4.879811E-1	1.508179E-6
4.859214E-1	1.499341E-6
4.839270E-1	1.490818E-6
4.819297E-1	1.482531E-6
4.799015E-1	1.474110E-6
4.779095E-1	1.465834E-6
4.759133E-1	1.457365E-6
4.739188E-1	1.449091E-6
4.719270E-1	1.440866E-6
4.699341E-1	1.432693E-6
4.679062E-1	1.424185E-6
4.659103E-1	1.415886E-6
4.639148E-1	1.407669E-6
4.618854E-1	1.399344E-6
4.598593E-1	1.390953E-6
4.578663E-1	1.382667E-6
4.558716E-1	1.374528E-6
4.538771E-1	1.366619E-6
4.518853E-1	1.358385E-6
4.498561E-1	1.350256E-6
4.478611E-1	1.342083E-6
4.458670E-1	1.333983E-6
4.438738E-1	1.326118E-6
4.418780E-1	1.318188E-6
4.398824E-1	1.309926E-6
4.378531E-1	1.301606E-6
4.358292E-1	1.293432E-6
4.338323E-1	1.285519E-6
4.318389E-1	1.277613E-6
4.298085E-1	1.269480E-6
4.278143E-1	1.261749E-6
4.258229E-1	1.253710E-6
4.238277E-1	1.245553E-6
4.218321E-1	1.237781E-6
4.198050E-1	1.229837E-6
4.178093E-1	1.221990E-6
4.158183E-1	1.214359E-6
4.138201E-1	1.206267E-6
4.117580E-1	1.198376E-6
4.097625E-1	1.190387E-6
4.077699E-1	1.182660E-6
4.057719E-1	1.174926E-6
4.037778E-1	1.167219E-6
4.017849E-1	1.159618E-6
3.997589E-1	1.151560E-6
3.977630E-1	1.143998E-6
3.957690E-1	1.136138E-6
3.937737E-1	1.128514E-6
3.917832E-1	1.120864E-6
3.897531E-1	1.113185E-6
3.877595E-1	1.105522E-6
3.857319E-1	1.097805E-6
3.837378E-1	1.090198E-6
3.817103E-1	1.082528E-6
3.797155E-1	1.074861E-6
3.777199E-1	1.067392E-6
3.757242E-1	1.059944E-6
3.737313E-1	1.052391E-6
3.717389E-1	1.045002E-6
3.697094E-1	1.037301E-6
3.677145E-1	1.029765E-6
3.657219E-1	1.022456E-6
3.637277E-1	1.015047E-6
3.616641E-1	1.007402E-6
3.596684E-1	1.000022E-6
3.577122E-1	9.928551E-7
3.557177E-1	9.855615E-7
3.537214E-1	9.783050E-7
3.516934E-1	9.708285E-7
3.496973E-1	9.633596E-7
3.477073E-1	9.561354E-7
3.457096E-1	9.489904E-7
3.437124E-1	9.415307E-7
3.417182E-1	9.342243E-7
3.396900E-1	9.269061E-7
3.376947E-1	9.196598E-7
3.356669E-1	9.123945E-7
