Voltage (V)	Current (A)
-5.000782E-1	-1.417306E-6
-4.980833E-1	-1.409732E-6
-4.960561E-1	-1.401790E-6
-4.940635E-1	-1.393931E-6
-4.920664E-1	-1.386140E-6
-4.900728E-1	-1.378285E-6
-4.880805E-1	-1.370572E-6
-4.860173E-1	-1.362733E-6
-4.840195E-1	-1.354811E-6
-4.820264E-1	-1.347149E-6
-4.800320E-1	-1.339407E-6
-4.780358E-1	-1.331710E-6
-4.760061E-1	-1.323969E-6
-4.740146E-1	-1.316304E-6
-4.720193E-1	-1.308732E-6
-4.700271E-1	-1.300984E-6
-4.680332E-1	-1.293407E-6
-4.660371E-1	-1.285759E-6
-4.640073E-1	-1.277946E-6
-4.619811E-1	-1.270394E-6
-4.599853E-1	-1.263030E-6
-4.579577E-1	-1.255136E-6
-4.559633E-1	-1.247549E-6
-4.539697E-1	-1.239985E-6
-4.519750E-1	-1.232453E-6
-4.499789E-1	-1.225158E-6
-4.479828E-1	-1.217730E-6
-4.459870E-1	-1.210228E-6
-4.439595E-1	-1.202798E-6
-4.419644E-1	-1.195216E-6
-4.399678E-1	-1.187834E-6
-4.379749E-1	-1.180643E-6
-4.359135E-1	-1.172997E-6
-4.339203E-1	-1.165660E-6
-4.319232E-1	-1.158088E-6
-4.299284E-1	-1.150860E-6
-4.279339E-1	-1.143506E-6
-4.259076E-1	-1.135992E-6
-4.239092E-1	-1.128761E-6
-4.219142E-1	-1.121581E-6
-4.199215E-1	-1.114405E-6
-4.179289E-1	-1.107193E-6
-4.159331E-1	-1.099792E-6
-4.139036E-1	-1.092384E-6
-4.118759E-1	-1.085183E-6
-4.098785E-1	-1.078021E-6
-4.078509E-1	-1.070752E-6
-4.058543E-1	-1.063676E-6
-4.038615E-1	-1.056679E-6
-4.018689E-1	-1.049477E-6
-3.998737E-1	-1.042395E-6
-3.978781E-1	-1.035251E-6
-3.958811E-1	-1.028187E-6
-3.938555E-1	-1.021015E-6
-3.918636E-1	-1.013958E-6
-3.898660E-1	-1.006925E-6
-3.879153E-1	-9.997640E-7
-3.858513E-1	-9.927593E-7
-3.838592E-1	-9.857312E-7
-3.818648E-1	-9.788749E-7
-3.798663E-1	-9.718983E-7
-3.778733E-1	-9.649267E-7
-3.758439E-1	-9.580029E-7
-3.738497E-1	-9.510172E-7
-3.718512E-1	-9.442346E-7
-3.698583E-1	-9.374299E-7
-3.678620E-1	-9.305496E-7
-3.658693E-1	-9.237968E-7
-3.638415E-1	-9.168091E-7
-3.618098E-1	-9.098044E-7
-3.598160E-1	-9.029901E-7
-3.578229E-1	-8.963186E-7
-3.557940E-1	-8.895199E-7
-3.537960E-1	-8.827105E-7
-3.518032E-1	-8.760318E-7
-3.498087E-1	-8.693061E-7
-3.478143E-1	-8.626515E-7
-3.458163E-1	-8.559062E-7
-3.437868E-1	-8.492090E-7
-3.417919E-1	-8.425905E-7
-3.397984E-1	-8.358570E-7
-3.378022E-1	-8.293189E-7
-3.357401E-1	-8.224940E-7
-3.337462E-1	-8.159817E-7
-3.317528E-1	-8.094500E-7
-3.297592E-1	-8.029330E-7
-3.277622E-1	-7.963939E-7
-3.257357E-1	-7.897452E-7
-3.237420E-1	-7.832711E-7
-3.217447E-1	-7.767907E-7
