Voltage (V)	Current (A)
-5.000800E-1	-1.402948E-6
-4.980854E-1	-1.395010E-6
-4.960600E-1	-1.387122E-6
-4.940636E-1	-1.379226E-6
-4.920674E-1	-1.371566E-6
-4.900734E-1	-1.363773E-6
-4.880811E-1	-1.355983E-6
-4.860186E-1	-1.348188E-6
-4.840203E-1	-1.340660E-6
-4.820270E-1	-1.332893E-6
-4.800331E-1	-1.325080E-6
-4.780363E-1	-1.317254E-6
-4.760070E-1	-1.309578E-6
-4.740139E-1	-1.301898E-6
-4.720208E-1	-1.294425E-6
-4.700270E-1	-1.286798E-6
-4.680328E-1	-1.279310E-6
-4.660374E-1	-1.271512E-6
-4.640073E-1	-1.264124E-6
-4.619808E-1	-1.256328E-6
-4.599871E-1	-1.248786E-6
-4.579578E-1	-1.241422E-6
-4.559633E-1	-1.233727E-6
-4.539714E-1	-1.226306E-6
-4.519760E-1	-1.218795E-6
-4.499791E-1	-1.211294E-6
-4.479842E-1	-1.204022E-6
-4.459900E-1	-1.196506E-6
-4.439602E-1	-1.189066E-6
-4.419664E-1	-1.181841E-6
-4.399713E-1	-1.174413E-6
-4.379770E-1	-1.167018E-6
-4.359148E-1	-1.159491E-6
-4.339212E-1	-1.152106E-6
-4.319235E-1	-1.144949E-6
-4.299298E-1	-1.137563E-6
-4.279350E-1	-1.130231E-6
-4.259078E-1	-1.122824E-6
-4.239124E-1	-1.115631E-6
-4.219162E-1	-1.108505E-6
-4.199225E-1	-1.101222E-6
-4.179290E-1	-1.094175E-6
-4.159355E-1	-1.086961E-6
-4.139036E-1	-1.079688E-6
-4.118761E-1	-1.072373E-6
-4.098815E-1	-1.065277E-6
-4.078518E-1	-1.057945E-6
-4.058564E-1	-1.050865E-6
-4.038631E-1	-1.043867E-6
-4.018703E-1	-1.036843E-6
-3.998765E-1	-1.029821E-6
-3.978813E-1	-1.022818E-6
-3.958851E-1	-1.015700E-6
-3.938560E-1	-1.008789E-6
-3.918648E-1	-1.001672E-6
-3.899080E-1	-9.948070E-7
-3.879131E-1	-9.877916E-7
-3.858519E-1	-9.806959E-7
-3.838606E-1	-9.737587E-7
-3.818657E-1	-9.668179E-7
-3.798689E-1	-9.599593E-7
-3.778729E-1	-9.531012E-7
-3.758436E-1	-9.460532E-7
-3.738509E-1	-9.393017E-7
-3.718530E-1	-9.324662E-7
-3.698595E-1	-9.256770E-7
-3.678635E-1	-9.187227E-7
-3.658711E-1	-9.120524E-7
-3.638434E-1	-9.053095E-7
-3.618116E-1	-8.982720E-7
-3.598169E-1	-8.916188E-7
-3.578243E-1	-8.849938E-7
-3.557955E-1	-8.781968E-7
-3.537970E-1	-8.715560E-7
-3.518047E-1	-8.649839E-7
-3.498108E-1	-8.581754E-7
-3.478175E-1	-8.515440E-7
-3.458174E-1	-8.448784E-7
-3.437901E-1	-8.382509E-7
-3.417923E-1	-8.316289E-7
-3.398005E-1	-8.251421E-7
-3.378045E-1	-8.184697E-7
-3.357423E-1	-8.117316E-7
-3.337479E-1	-8.051826E-7
-3.317542E-1	-7.987655E-7
-3.297609E-1	-7.921908E-7
-3.277615E-1	-7.858284E-7
-3.257356E-1	-7.793122E-7
-3.237438E-1	-7.728980E-7
-3.217466E-1	-7.663650E-7
-3.197505E-1	-7.600368E-7
-3.177581E-1	-7.536191E-7
-3.157642E-1	-7.472280E-7
-3.137348E-1	-7.407672E-7
-3.117062E-1	-7.344024E-7
-3.097096E-1	-7.281155E-7
-3.077133E-1	-7.217478E-7
-3.056873E-1	-7.153338E-7
-3.036915E-1	-7.090587E-7
-3.016932E-1	-7.028387E-7
-2.996984E-1	-6.966525E-7
-2.977068E-1	-6.903804E-7
-2.957122E-1	-6.841834E-7
-2.936798E-1	-6.779788E-7
-2.916874E-1	-6.717979E-7
-2.896921E-1	-6.656987E-7
-2.876946E-1	-6.595386E-7
-2.856311E-1	-6.533338E-7
-2.836373E-1	-6.472030E-7
-2.816430E-1	-6.410916E-7
-2.796502E-1	-6.350759E-7
-2.776539E-1	-6.290017E-7
-2.756231E-1	-6.228777E-7
-2.736275E-1	-6.168373E-7
-2.716344E-1	-6.109041E-7
-2.696392E-1	-6.049908E-7
-2.676401E-1	-5.990023E-7
-2.656498E-1	-5.929997E-7
-2.636223E-1	-5.870037E-7
-2.615950E-1	-5.810237E-7
-2.595972E-1	-5.750907E-7
-2.576032E-1	-5.692268E-7
-2.555752E-1	-5.632891E-7
-2.535793E-1	-5.574987E-7
-2.515870E-1	-5.516422E-7
-2.495905E-1	-5.458940E-7
-2.475961E-1	-5.401151E-7
-2.456026E-1	-5.343732E-7
-2.435735E-1	-5.285079E-7
-2.415769E-1	-5.227928E-7
-2.395833E-1	-5.170954E-7
-2.375888E-1	-5.113673E-7
-2.355254E-1	-5.055518E-7
-2.335261E-1	-4.998727E-7
-2.315315E-1	-4.943145E-7
-2.295388E-1	-4.886541E-7
-2.275466E-1	-4.830920E-7
-2.255171E-1	-4.774444E-7
-2.235224E-1	-4.718708E-7
-2.215255E-1	-4.663391E-7
-2.195330E-1	-4.608451E-7
-2.175374E-1	-4.553244E-7
-2.155419E-1	-4.498280E-7
-2.135449E-1	-4.444238E-7
-2.114862E-1	-4.388088E-7
-2.094908E-1	-4.333513E-7
-2.074914E-1	-4.279717E-7
-2.054613E-1	-4.224785E-7
-2.034676E-1	-4.171282E-7
-2.014750E-1	-4.117462E-7
-1.994760E-1	-4.064485E-7
-1.974848E-1	-4.011818E-7
-1.954910E-1	-3.959189E-7
-1.934635E-1	-3.905940E-7
-1.914679E-1	-3.853336E-7
-1.894713E-1	-3.801417E-7
-1.874789E-1	-3.749743E-7
-1.854151E-1	-3.696340E-7
-1.834228E-1	-3.644813E-7
-1.814247E-1	-3.592728E-7
-1.794316E-1	-3.541908E-7
-1.774343E-1	-3.491392E-7
-1.754085E-1	-3.439569E-7
-1.734146E-1	-3.389407E-7
-1.714163E-1	-3.339246E-7
-1.694232E-1	-3.289150E-7
-1.674284E-1	-3.239054E-7
-1.654320E-1	-3.189605E-7
-1.634348E-1	-3.139960E-7
-1.613737E-1	-3.089264E-7
-1.593812E-1	-3.040394E-7
-1.573876E-1	-2.991913E-7
-1.553550E-1	-2.942314E-7
-1.533594E-1	-2.894222E-7
-1.513624E-1	-2.846408E-7
-1.493699E-1	-2.798824E-7
-1.473745E-1	-2.751212E-7
-1.453780E-1	-2.703852E-7
-1.433508E-1	-2.656015E-7
-1.413589E-1	-2.609133E-7
-1.393602E-1	-2.562372E-7
-1.373655E-1	-2.516327E-7
-1.353028E-1	-2.468915E-7
-1.333099E-1	-2.423137E-7
-1.313097E-1	-2.377357E-7
-1.293118E-1	-2.332007E-7
-1.273201E-1	-2.287038E-7
-1.253264E-1	-2.242538E-7
-1.232978E-1	-2.196710E-7
-1.213015E-1	-2.152596E-7
-1.193087E-1	-2.108755E-7
-1.173117E-1	-2.064808E-7
-1.153212E-1	-2.021348E-7
-1.133228E-1	-1.977935E-7
-1.112619E-1	-1.933806E-7
-1.092655E-1	-1.891088E-7
-1.072743E-1	-1.848885E-7
-1.052447E-1	-1.805755E-7
-1.032473E-1	-1.763996E-7
-1.012546E-1	-1.722453E-7
-9.925842E-2	-1.681288E-7
-9.726219E-2	-1.640475E-7
-9.526607E-2	-1.599928E-7
-9.323816E-2	-1.558946E-7
-9.124527E-2	-1.518926E-7
-8.925036E-2	-1.479230E-7
-8.725727E-2	-1.439709E-7
-8.519211E-2	-1.399270E-7
-8.319713E-2	-1.360432E-7
-8.120430E-2	-1.322016E-7
-7.921039E-2	-1.283808E-7
-7.720970E-2	-1.245809E-7
-7.522032E-2	-1.208271E-7
-7.319023E-2	-1.170350E-7
-7.119491E-2	-1.133192E-7
-6.919855E-2	-1.096734E-7
-6.720173E-2	-1.060174E-7
-6.520733E-2	-1.024508E-7
-6.321272E-2	-9.888980E-8
-6.115058E-2	-9.522769E-8
-5.915378E-2	-9.172446E-8
-5.716093E-2	-8.825271E-8
-5.513402E-2	-8.475541E-8
-5.313899E-2	-8.135459E-8
-5.114347E-2	-7.798293E-8
-4.914954E-2	-7.464097E-8
-4.715753E-2	-7.134275E-8
-4.516084E-2	-6.804862E-8
-4.312530E-2	-6.473324E-8
-4.113647E-2	-6.152064E-8
-3.914064E-2	-5.833792E-8
-3.714947E-2	-5.518575E-8
-3.508462E-2	-5.193021E-8
-3.309125E-2	-4.882595E-8
-3.109257E-2	-4.574286E-8
-2.909962E-2	-4.269643E-8
-2.710545E-2	-3.965462E-8
-2.510743E-2	-3.663682E-8
-2.307984E-2	-3.359562E-8
-2.108616E-2	-3.061982E-8
-1.909274E-2	-2.765968E-8
-1.709278E-2	-2.471179E-8
-1.509969E-2	-2.178500E-8
-1.310291E-2	-1.885753E-8
-1.104585E-2	-1.585073E-8
-9.043965E-3	-1.293658E-8
-7.053055E-3	-1.004411E-8
-5.025293E-3	-7.086668E-9
