Voltage (V)	Current (A)
-5.000807E-1	-1.380029E-6
-4.980849E-1	-1.372360E-6
-4.960580E-1	-1.364407E-6
-4.940634E-1	-1.356812E-6
-4.920695E-1	-1.348973E-6
-4.900739E-1	-1.341349E-6
-4.880818E-1	-1.333744E-6
-4.860190E-1	-1.325815E-6
-4.840204E-1	-1.318045E-6
-4.820278E-1	-1.310569E-6
-4.800345E-1	-1.303004E-6
-4.780366E-1	-1.295419E-6
-4.760083E-1	-1.287689E-6
-4.740143E-1	-1.280100E-6
-4.720200E-1	-1.272706E-6
-4.700270E-1	-1.265086E-6
-4.680324E-1	-1.257607E-6
-4.660363E-1	-1.250033E-6
-4.640091E-1	-1.242467E-6
-4.619814E-1	-1.234892E-6
-4.599873E-1	-1.227596E-6
-4.579574E-1	-1.220122E-6
-4.559643E-1	-1.212850E-6
-4.539712E-1	-1.205497E-6
-4.519774E-1	-1.198120E-6
-4.499805E-1	-1.190688E-6
-4.479839E-1	-1.183289E-6
-4.459898E-1	-1.176015E-6
-4.439621E-1	-1.168492E-6
-4.419669E-1	-1.161347E-6
-4.399701E-1	-1.154014E-6
-4.379780E-1	-1.146605E-6
-4.359165E-1	-1.139185E-6
-4.339217E-1	-1.131973E-6
-4.319250E-1	-1.124772E-6
-4.299302E-1	-1.117426E-6
-4.279382E-1	-1.110386E-6
-4.259098E-1	-1.103111E-6
-4.239125E-1	-1.095954E-6
-4.219165E-1	-1.088743E-6
-4.199222E-1	-1.081626E-6
-4.179309E-1	-1.074616E-6
-4.159352E-1	-1.067406E-6
-4.139039E-1	-1.060284E-6
-4.118757E-1	-1.053112E-6
-4.098822E-1	-1.046048E-6
-4.078518E-1	-1.038973E-6
-4.058565E-1	-1.031837E-6
-4.038627E-1	-1.024846E-6
-4.018710E-1	-1.018049E-6
-3.998766E-1	-1.011036E-6
-3.978784E-1	-1.004114E-6
-3.959250E-1	-9.972100E-7
-3.938968E-1	-9.902412E-7
-3.919049E-1	-9.832535E-7
-3.899072E-1	-9.764113E-7
-3.879147E-1	-9.694886E-7
-3.858527E-1	-9.623348E-7
-3.838606E-1	-9.555899E-7
-3.818635E-1	-9.488260E-7
-3.798675E-1	-9.420236E-7
-3.778721E-1	-9.352289E-7
-3.758438E-1	-9.284619E-7
-3.738496E-1	-9.216445E-7
-3.718526E-1	-9.148068E-7
-3.698580E-1	-9.080674E-7
-3.678632E-1	-9.014013E-7
-3.658693E-1	-8.947806E-7
-3.638435E-1	-8.879236E-7
-3.618116E-1	-8.811432E-7
-3.598171E-1	-8.745843E-7
-3.578244E-1	-8.680394E-7
-3.557944E-1	-8.612312E-7
-3.537977E-1	-8.546219E-7
-3.518046E-1	-8.481223E-7
-3.498105E-1	-8.415864E-7
-3.478158E-1	-8.350393E-7
-3.458173E-1	-8.284434E-7
-3.437878E-1	-8.218493E-7
-3.417929E-1	-8.154073E-7
-3.397991E-1	-8.088787E-7
-3.378039E-1	-8.024633E-7
-3.357412E-1	-7.956996E-7
-3.337478E-1	-7.892443E-7
-3.317540E-1	-7.828206E-7
-3.297601E-1	-7.765013E-7
-3.277629E-1	-7.701318E-7
-3.257348E-1	-7.636071E-7
-3.237417E-1	-7.573180E-7
-3.217462E-1	-7.508643E-7
-3.197505E-1	-7.446289E-7
-3.177564E-1	-7.384158E-7
-3.157622E-1	-7.321123E-7
-3.137340E-1	-7.257421E-7
-3.117034E-1	-7.193214E-7
-3.097079E-1	-7.130708E-7
-3.077106E-1	-7.069400E-7
-3.056863E-1	-7.005773E-7
-3.036884E-1	-6.944914E-7
-3.016921E-1	-6.882441E-7
-2.996973E-1	-6.821464E-7
-2.977051E-1	-6.759780E-7
-2.957110E-1	-6.698631E-7
-2.936788E-1	-6.637687E-7
-2.916852E-1	-6.576543E-7
-2.896917E-1	-6.516203E-7
-2.876941E-1	-6.454740E-7
-2.856315E-1	-6.393089E-7
-2.836372E-1	-6.332298E-7
-2.816418E-1	-6.273006E-7
-2.796494E-1	-6.213415E-7
-2.776525E-1	-6.154503E-7
-2.756209E-1	-6.094583E-7
-2.736265E-1	-6.035005E-7
-2.716329E-1	-5.975357E-7
-2.696380E-1	-5.917206E-7
-2.676393E-1	-5.857933E-7
-2.656475E-1	-5.799835E-7
-2.636212E-1	-5.740907E-7
-2.615930E-1	-5.681762E-7
-2.595963E-1	-5.623814E-7
-2.576014E-1	-5.565327E-7
-2.555737E-1	-5.507395E-7
-2.535788E-1	-5.449710E-7
-2.515857E-1	-5.392639E-7
-2.495899E-1	-5.335988E-7
-2.475938E-1	-5.278465E-7
-2.456016E-1	-5.221768E-7
-2.435731E-1	-5.164635E-7
-2.415772E-1	-5.108175E-7
-2.395808E-1	-5.052269E-7
-2.375873E-1	-4.996873E-7
-2.355261E-1	-4.938724E-7
-2.335254E-1	-4.883253E-7
-2.315318E-1	-4.827838E-7
-2.295380E-1	-4.772963E-7
-2.275463E-1	-4.718092E-7
-2.255158E-1	-4.662570E-7
-2.235207E-1	-4.607605E-7
-2.215247E-1	-4.553945E-7
-2.195313E-1	-4.499862E-7
-2.175358E-1	-4.445818E-7
-2.155415E-1	-4.391577E-7
-2.135445E-1	-4.338588E-7
-2.114858E-1	-4.283264E-7
-2.094889E-1	-4.229247E-7
-2.074916E-1	-4.176383E-7
-2.054605E-1	-4.123254E-7
-2.034671E-1	-4.070375E-7
-2.014754E-1	-4.017854E-7
-1.994748E-1	-3.966057E-7
-1.974847E-1	-3.913746E-7
-1.954898E-1	-3.861917E-7
-1.934623E-1	-3.809134E-7
-1.914687E-1	-3.757790E-7
-1.894702E-1	-3.706461E-7
-1.874788E-1	-3.655973E-7
-1.854159E-1	-3.603169E-7
-1.834225E-1	-3.552302E-7
-1.814243E-1	-3.502357E-7
-1.794301E-1	-3.452050E-7
-1.774327E-1	-3.401912E-7
-1.754078E-1	-3.351672E-7
-1.734130E-1	-3.302068E-7
-1.714157E-1	-3.252907E-7
-1.694225E-1	-3.203806E-7
-1.674268E-1	-3.154645E-7
-1.654313E-1	-3.106393E-7
-1.634342E-1	-3.057744E-7
-1.613743E-1	-3.007933E-7
-1.593803E-1	-2.960094E-7
-1.573875E-1	-2.912209E-7
-1.553539E-1	-2.864059E-7
-1.533589E-1	-2.817069E-7
-1.513613E-1	-2.769949E-7
-1.493695E-1	-2.722786E-7
-1.473740E-1	-2.676582E-7
-1.453767E-1	-2.630272E-7
-1.433490E-1	-2.583422E-7
-1.413568E-1	-2.537290E-7
-1.393619E-1	-2.492093E-7
-1.373631E-1	-2.446592E-7
-1.353015E-1	-2.399803E-7
-1.333084E-1	-2.355212E-7
-1.313087E-1	-2.310477E-7
-1.293126E-1	-2.266032E-7
-1.273199E-1	-2.222112E-7
-1.253244E-1	-2.177734E-7
-1.232965E-1	-2.133435E-7
-1.212997E-1	-2.090417E-7
-1.193075E-1	-2.047287E-7
-1.173130E-1	-2.004810E-7
-1.153209E-1	-1.962299E-7
-1.133231E-1	-1.919992E-7
-1.112618E-1	-1.876715E-7
-1.092662E-1	-1.835060E-7
-1.072750E-1	-1.793570E-7
-1.052471E-1	-1.751946E-7
-1.032465E-1	-1.710958E-7
-1.012545E-1	-1.670489E-7
-9.925748E-2	-1.630221E-7
-9.726185E-2	-1.590151E-7
-9.526585E-2	-1.550540E-7
-9.323851E-2	-1.510684E-7
-9.124470E-2	-1.471698E-7
-8.925074E-2	-1.432799E-7
-8.725673E-2	-1.394314E-7
-8.519203E-2	-1.354679E-7
-8.319684E-2	-1.316948E-7
-8.120430E-2	-1.279532E-7
-7.921106E-2	-1.242189E-7
-7.720882E-2	-1.205384E-7
-7.521928E-2	-1.169068E-7
-7.319186E-2	-1.132041E-7
-7.119454E-2	-1.096020E-7
-6.919836E-2	-1.060543E-7
-6.720146E-2	-1.025148E-7
-6.520837E-2	-9.902254E-8
-6.321400E-2	-9.556852E-8
-6.114921E-2	-9.199009E-8
-5.915484E-2	-8.860515E-8
-5.716142E-2	-8.522202E-8
-5.513469E-2	-8.184724E-8
-5.314038E-2	-7.854071E-8
-5.114571E-2	-7.525929E-8
-4.914907E-2	-7.202545E-8
-4.715636E-2	-6.881246E-8
-4.516036E-2	-6.563616E-8
-4.312479E-2	-6.240982E-8
-4.113588E-2	-5.931518E-8
-3.913999E-2	-5.622956E-8
-3.714964E-2	-5.318681E-8
-3.508471E-2	-5.004114E-8
-3.309051E-2	-4.704334E-8
-3.109307E-2	-4.406734E-8
-2.909899E-2	-4.111127E-8
-2.710446E-2	-3.817662E-8
-2.510785E-2	-3.528165E-8
-2.307983E-2	-3.235182E-8
-2.108507E-2	-2.947973E-8
-1.909249E-2	-2.663204E-8
-1.709170E-2	-2.379262E-8
-1.509960E-2	-2.096792E-8
-1.310326E-2	-1.814821E-8
-1.104493E-2	-1.525442E-8
-9.043963E-3	-1.244931E-8
-7.051968E-3	-9.657497E-9
-5.025208E-3	-6.814619E-9
-3.030024E-3	-4.018145E-9
-1.036095E-3	-1.218903E-9
9.519588E-4	1.618018E-9
2.950595E-3	4.400660E-9
4.978196E-3	7.282009E-9
6.968535E-3	1.012141E-8
8.968689E-3	1.299088E-8
1.096122E-2	1.586910E-8
1.295541E-2	1.877750E-8
1.501667E-2	2.180437E-8
1.701481E-2	2.475319E-8
1.900900E-2	2.773450E-8
2.100194E-2	3.074794E-8
2.302811E-2	3.384414E-8
2.502141E-2	3.691992E-8
2.701934E-2	4.005722E-8
2.901421E-2	4.318694E-8
3.101018E-2	4.638263E-8
3.299921E-2	4.959987E-8
3.503238E-2	5.293924E-8
3.702951E-2	5.622415E-8
3.905603E-2	5.961506E-8
4.108137E-2	6.306576E-8
4.307873E-2	6.648548E-8
4.507320E-2	6.997215E-8
4.706306E-2	7.345774E-8
4.906163E-2	7.701988E-8
5.105291E-2	8.061095E-8
5.308232E-2	8.432601E-8
5.507810E-2	8.799933E-8
5.706832E-2	9.172169E-8
5.906274E-2	9.548825E-8
6.105975E-2	9.929096E-8
6.312272E-2	1.032675E-7
6.511437E-2	1.071440E-7
6.710906E-2	1.110745E-7
6.910662E-2	1.150451E-7
7.113385E-2	1.191370E-7
7.312839E-2	1.231898E-7
7.512392E-2	1.272640E-7
7.711693E-2	1.313832E-7
7.911124E-2	1.355574E-7
8.110794E-2	1.397670E-7
8.313593E-2	1.440702E-7
8.512861E-2	1.483575E-7
8.712661E-2	1.526987E-7
8.918819E-2	1.572015E-7
9.118138E-2	1.615423E-7
9.317238E-2	1.659631E-7
9.516988E-2	1.704599E-7
9.716637E-2	1.749660E-7
9.915967E-2	1.795064E-7
1.011869E-1	1.841068E-7
1.031824E-1	1.887240E-7
1.051783E-1	1.933631E-7
1.071679E-1	1.980076E-7
1.091660E-1	2.026993E-7
1.111558E-1	2.074171E-7
1.132220E-1	2.123432E-7
1.152147E-1	2.171378E-7
1.172103E-1	2.219547E-7
1.192377E-1	2.268725E-7
1.212325E-1	2.317133E-7
1.232285E-1	2.366212E-7
1.252178E-1	2.415413E-7
1.272119E-1	2.464915E-7
1.292097E-1	2.514896E-7
1.312391E-1	2.566103E-7
1.332320E-1	2.616478E-7
1.352240E-1	2.667130E-7
1.372232E-1	2.718147E-7
1.392864E-1	2.771296E-7
1.412844E-1	2.822844E-7
1.432756E-1	2.874553E-7
1.452688E-1	2.926094E-7
1.472660E-1	2.978572E-7
1.492932E-1	3.032400E-7
1.512889E-1	3.085127E-7
1.532827E-1	3.138534E-7
1.552801E-1	3.191812E-7
1.572747E-1	3.244824E-7
1.592652E-1	3.298779E-7
1.612945E-1	3.353849E-7
1.633197E-1	3.408510E-7
1.653200E-1	3.463200E-7
1.673492E-1	3.519043E-7
1.693432E-1	3.574103E-7
1.713366E-1	3.629307E-7
1.733349E-1	3.684767E-7
1.753272E-1	3.740168E-7
1.773216E-1	3.796254E-7
1.793488E-1	3.852991E-7
1.813427E-1	3.908808E-7
1.833394E-1	3.965999E-7
1.853301E-1	4.022028E-7
1.873259E-1	4.079224E-7
1.893873E-1	4.138070E-7
1.913847E-1	4.195501E-7
1.933781E-1	4.253143E-7
1.953723E-1	4.311041E-7
1.973981E-1	4.370135E-7
1.993947E-1	4.428549E-7
2.013896E-1	4.487105E-7
2.033788E-1	4.545319E-7
2.053778E-1	4.603829E-7
2.073738E-1	4.663099E-7
2.094024E-1	4.723960E-7
2.113961E-1	4.783142E-7
2.134238E-1	4.843656E-7
2.154526E-1	4.904547E-7
2.174434E-1	4.964651E-7
2.194431E-1	5.024348E-7
2.214371E-1	5.085146E-7
2.234297E-1	5.145204E-7
2.254253E-1	5.205887E-7
2.274549E-1	5.268164E-7
2.294481E-1	5.329076E-7
2.314411E-1	5.391177E-7
2.334368E-1	5.452751E-7
2.354313E-1	5.514327E-7
2.374261E-1	5.576301E-7
2.394877E-1	5.639594E-7
2.414833E-1	5.702274E-7
2.434769E-1	5.764797E-7
2.455078E-1	5.828244E-7
2.475008E-1	5.891017E-7
2.494934E-1	5.954096E-7
2.514899E-1	6.017096E-7
2.534842E-1	6.080797E-7
2.554769E-1	6.144504E-7
2.575038E-1	6.209231E-7
2.595005E-1	6.272691E-7
2.614960E-1	6.337338E-7
2.635546E-1	6.403989E-7
2.655488E-1	6.469177E-7
2.675433E-1	6.533459E-7
2.695391E-1	6.598366E-7
2.715296E-1	6.663432E-7
2.735277E-1	6.729369E-7
2.755566E-1	6.796044E-7
2.775547E-1	6.861326E-7
2.795494E-1	6.926796E-7
2.815402E-1	6.991865E-7
2.835354E-1	7.059072E-7
2.855319E-1	7.123901E-7
2.875601E-1	7.192083E-7
2.895890E-1	7.259245E-7
2.915811E-1	7.325076E-7
2.936119E-1	7.393745E-7
2.956055E-1	7.459834E-7
2.975988E-1	7.527682E-7
2.995938E-1	7.595700E-7
3.015875E-1	7.663563E-7
3.035837E-1	7.731344E-7
3.056120E-1	7.801436E-7
3.076077E-1	7.870847E-7
3.095994E-1	7.937634E-7
3.115977E-1	8.005567E-7
3.136611E-1	8.076395E-7
3.156552E-1	8.145986E-7
3.176473E-1	8.215263E-7
3.196431E-1	8.283429E-7
3.216378E-1	8.352501E-7
3.236637E-1	8.424518E-7
3.256583E-1	8.492562E-7
3.276534E-1	8.563046E-7
3.296501E-1	8.634419E-7
3.316443E-1	8.703796E-7
3.336370E-1	8.773625E-7
3.356644E-1	8.844425E-7
3.376575E-1	8.914323E-7
3.396865E-1	8.987744E-7
3.417149E-1	9.060115E-7
3.437102E-1	9.130235E-7
3.457056E-1	9.202349E-7
3.477023E-1	9.273780E-7
3.496939E-1	9.344737E-7
3.516895E-1	9.416382E-7
3.537178E-1	9.488599E-7
3.557142E-1	9.560845E-7
3.577094E-1	9.633669E-7
3.597012E-1	9.705795E-7
3.616954E-1	9.779566E-7
3.637602E-1	9.854555E-7
3.657544E-1	9.928492E-7
3.677461E-1	1.000049E-6
3.697402E-1	1.007317E-6
3.717719E-1	1.014848E-6
3.737645E-1	1.022337E-6
3.757599E-1	1.029629E-6
3.777534E-1	1.036967E-6
3.797486E-1	1.044315E-6
3.817093E-1	1.051531E-6
3.837361E-1	1.059027E-6
3.857294E-1	1.066529E-6
3.877234E-1	1.074025E-6
3.897514E-1	1.081531E-6
3.917798E-1	1.089350E-6
3.937715E-1	1.096714E-6
3.957656E-1	1.104141E-6
3.977618E-1	1.111803E-6
3.997575E-1	1.119393E-6
4.017814E-1	1.127135E-6
4.037766E-1	1.134680E-6
4.057707E-1	1.142500E-6
4.077672E-1	1.149993E-6
4.097616E-1	1.157561E-6
4.117549E-1	1.165373E-6
4.138151E-1	1.173329E-6
4.158118E-1	1.180952E-6
4.178070E-1	1.188617E-6
4.197999E-1	1.196300E-6
