Voltage (V)	Current (A)
4.999794E-1	1.508849E-6
4.979516E-1	1.500423E-6
4.959573E-1	1.492261E-6
4.939651E-1	1.483774E-6
4.919674E-1	1.475618E-6
4.899746E-1	1.467394E-6
4.879788E-1	1.459292E-6
4.859194E-1	1.450703E-6
4.839241E-1	1.442404E-6
4.819280E-1	1.434343E-6
4.798993E-1	1.425895E-6
4.779070E-1	1.417802E-6
4.759133E-1	1.409713E-6
4.739182E-1	1.401518E-6
4.719250E-1	1.393375E-6
4.699319E-1	1.385373E-6
4.679044E-1	1.377014E-6
4.659086E-1	1.369062E-6
4.639138E-1	1.360958E-6
4.618837E-1	1.352775E-6
4.598586E-1	1.344765E-6
4.578646E-1	1.336652E-6
4.558693E-1	1.328943E-6
4.538773E-1	1.321089E-6
4.518824E-1	1.312943E-6
4.498556E-1	1.304739E-6
4.478573E-1	1.296691E-6
4.458633E-1	1.288851E-6
4.438714E-1	1.281127E-6
4.418765E-1	1.273109E-6
4.398793E-1	1.265313E-6
4.378515E-1	1.257188E-6
4.358261E-1	1.249065E-6
4.338313E-1	1.241399E-6
4.318369E-1	1.233499E-6
4.298060E-1	1.225509E-6
4.278101E-1	1.217865E-6
4.258208E-1	1.210060E-6
4.238258E-1	1.202369E-6
4.218300E-1	1.194716E-6
4.198011E-1	1.186957E-6
4.178080E-1	1.179218E-6
4.158134E-1	1.171463E-6
4.138171E-1	1.163826E-6
4.117553E-1	1.155886E-6
4.097612E-1	1.148357E-6
4.077668E-1	1.140719E-6
4.057700E-1	1.133162E-6
4.037762E-1	1.125525E-6
4.017825E-1	1.117998E-6
3.997566E-1	1.110386E-6
3.977613E-1	1.102934E-6
3.957647E-1	1.095377E-6
3.937726E-1	1.087772E-6
3.917803E-1	1.080333E-6
3.897519E-1	1.072699E-6
3.877560E-1	1.065348E-6
3.857301E-1	1.057824E-6
3.837370E-1	1.050371E-6
3.817074E-1	1.042871E-6
3.797129E-1	1.035483E-6
3.777170E-1	1.028025E-6
3.757229E-1	1.020573E-6
3.737288E-1	1.013369E-6
3.717362E-1	1.006138E-6
3.697412E-1	9.988161E-7
3.677464E-1	9.915263E-7
3.657551E-1	9.843787E-7
3.637602E-1	9.772135E-7
3.616952E-1	9.697200E-7
3.597009E-1	9.623066E-7
3.577084E-1	9.551467E-7
3.557142E-1	9.480908E-7
3.537181E-1	9.408523E-7
3.516888E-1	9.335867E-7
3.496929E-1	9.264724E-7
3.477016E-1	9.193669E-7
3.457057E-1	9.122058E-7
3.437116E-1	9.052034E-7
3.417150E-1	8.981971E-7
3.396866E-1	8.910343E-7
3.376939E-1	8.838841E-7
3.356629E-1	8.768508E-7
3.336373E-1	8.696558E-7
3.316427E-1	8.627534E-7
3.296507E-1	8.557716E-7
3.276537E-1	8.487952E-7
3.256569E-1	8.418706E-7
3.236629E-1	8.350283E-7
3.216367E-1	8.279513E-7
3.196424E-1	8.210179E-7
3.176478E-1	8.140798E-7
3.156537E-1	8.072565E-7
3.136601E-1	8.004474E-7
3.115977E-1	7.933686E-7
3.096008E-1	7.865678E-7
3.076077E-1	7.798412E-7
3.056123E-1	7.731116E-7
3.035839E-1	7.661929E-7
3.015875E-1	7.595442E-7
2.995918E-1	7.527893E-7
2.975994E-1	7.460401E-7
2.956043E-1	7.393010E-7
2.936113E-1	7.325448E-7
2.915797E-1	7.258221E-7
2.895862E-1	7.191865E-7
2.875942E-1	7.125897E-7
2.855315E-1	7.058741E-7
2.835339E-1	6.992902E-7
2.815398E-1	6.927560E-7
2.795482E-1	6.861481E-7
2.775524E-1	6.797068E-7
2.755543E-1	6.730970E-7
2.735274E-1	6.665023E-7
2.715288E-1	6.600672E-7
2.695378E-1	6.535427E-7
2.675414E-1	6.471592E-7
2.655492E-1	6.406635E-7
2.635530E-1	6.343050E-7
2.614956E-1	6.277602E-7
2.594986E-1	6.213544E-7
2.575026E-1	6.149937E-7
2.554761E-1	6.085353E-7
2.534841E-1	6.021892E-7
2.514879E-1	5.959371E-7
2.494918E-1	5.895250E-7
2.474993E-1	5.833233E-7
2.455061E-1	5.770684E-7
2.434757E-1	5.708607E-7
2.414833E-1	5.646489E-7
2.394856E-1	5.584246E-7
2.374914E-1	5.523157E-7
2.354294E-1	5.459027E-7
2.334349E-1	5.397838E-7
2.314386E-1	5.336706E-7
2.294464E-1	5.275602E-7
2.274520E-1	5.216039E-7
2.254252E-1	5.153881E-7
2.234282E-1	5.093306E-7
2.214345E-1	5.032707E-7
2.194422E-1	4.973376E-7
2.174429E-1	4.913410E-7
2.154508E-1	4.853559E-7
2.134221E-1	4.793697E-7
2.113950E-1	4.734260E-7
2.094004E-1	4.674578E-7
2.073731E-1	4.614510E-7
2.053757E-1	4.556353E-7
2.033784E-1	4.497765E-7
2.013885E-1	4.440004E-7
1.993929E-1	4.381937E-7
1.973962E-1	4.324462E-7
1.953693E-1	4.265630E-7
1.933761E-1	4.208202E-7
1.913833E-1	4.151337E-7
1.893844E-1	4.094400E-7
1.873924E-1	4.037301E-7
1.853302E-1	3.979296E-7
1.833384E-1	3.922707E-7
1.813406E-1	3.866724E-7
1.793468E-1	3.810912E-7
1.773203E-1	3.754254E-7
1.753247E-1	3.699255E-7
1.733331E-1	3.643937E-7
1.713347E-1	3.588943E-7
1.693406E-1	3.534180E-7
1.673478E-1	3.480019E-7
1.653191E-1	3.424425E-7
1.633187E-1	3.370459E-7
1.612920E-1	3.315733E-7
1.592650E-1	3.260712E-7
1.572714E-1	3.207857E-7
1.552773E-1	3.154378E-7
1.532819E-1	3.101916E-7
1.512885E-1	3.049431E-7
1.492914E-1	2.996801E-7
1.472647E-1	2.943795E-7
1.452699E-1	2.891789E-7
1.432748E-1	2.840408E-7
1.412831E-1	2.788702E-7
1.392851E-1	2.737786E-7
1.372880E-1	2.687095E-7
1.352225E-1	2.634901E-7
1.332312E-1	2.584709E-7
1.312385E-1	2.534781E-7
1.292087E-1	2.484182E-7
1.272130E-1	2.434605E-7
1.252156E-1	2.385537E-7
1.232271E-1	2.336880E-7
1.212318E-1	2.288316E-7
1.192365E-1	2.239981E-7
1.172090E-1	2.191499E-7
1.152129E-1	2.143708E-7
1.132220E-1	2.096195E-7
1.111552E-1	2.047546E-7
1.091639E-1	2.001013E-7
1.071670E-1	1.954326E-7
1.051772E-1	1.908230E-7
1.031799E-1	1.862450E-7
1.011852E-1	1.816792E-7
9.915665E-2	1.771139E-7
9.716371E-2	1.726133E-7
9.516821E-2	1.681819E-7
9.316981E-2	1.637722E-7
9.117846E-2	1.594019E-7
8.918540E-2	1.550666E-7
8.715969E-2	1.506616E-7
8.512628E-2	1.463260E-7
8.313553E-2	1.420792E-7
8.110604E-2	1.378456E-7
7.910966E-2	1.336646E-7
7.711538E-2	1.295437E-7
7.512042E-2	1.255012E-7
7.312752E-2	1.214486E-7
7.113336E-2	1.174264E-7
6.910481E-2	1.133861E-7
6.710776E-2	1.094696E-7
6.511343E-2	1.055893E-7
6.312144E-2	1.017572E-7
6.105757E-2	9.782933E-8
5.906023E-2	9.407542E-8
5.706666E-2	9.034596E-8
5.507600E-2	8.668199E-8
5.308096E-2	8.304391E-8
5.105124E-2	7.938666E-8
4.905975E-2	7.583805E-8
4.706246E-2	7.233088E-8
4.507199E-2	6.888213E-8
4.307715E-2	6.545845E-8
4.108048E-2	6.207203E-8
3.905416E-2	5.868158E-8
3.705888E-2	5.539016E-8
3.503295E-2	5.206996E-8
3.299755E-2	4.878708E-8
3.100854E-2	4.561176E-8
2.901361E-2	4.247626E-8
2.701847E-2	3.937047E-8
2.501780E-2	3.629689E-8
2.302715E-2	3.327645E-8
2.099927E-2	3.020856E-8
1.900693E-2	2.725983E-8
1.701264E-2	2.432513E-8
1.501535E-2	2.141458E-8
1.302071E-2	1.853400E-8
1.095888E-2	1.558851E-8
8.965846E-3	1.275068E-8
6.967882E-3	9.935953E-9
4.977028E-3	7.138935E-9
2.948924E-3	4.313015E-9
9.502858E-4	1.547506E-9
-1.036934E-3	-1.238517E-9
-3.030863E-3	-3.964090E-9
-5.025547E-3	-6.712336E-9
-7.053811E-3	-9.497547E-9
-9.046071E-3	-1.224802E-8
-1.104729E-2	-1.501090E-8
-1.303720E-2	-1.775600E-8
-1.510062E-2	-2.062199E-8
-1.709381E-2	-2.339237E-8
-1.909518E-2	-2.619378E-8
-2.108769E-2	-2.899228E-8
-2.308131E-2	-3.181346E-8
-2.510837E-2	-3.469774E-8
-2.710566E-2	-3.755754E-8
-2.910141E-2	-4.044146E-8
-3.109479E-2	-4.334517E-8
-3.309097E-2	-4.627519E-8
-3.508714E-2	-4.923930E-8
-3.708394E-2	-5.221688E-8
-3.914293E-2	-5.532589E-8
-4.113802E-2	-5.837792E-8
-4.312637E-2	-6.143502E-8
-4.516200E-2	-6.458781E-8
-4.715720E-2	-6.772843E-8
-4.915059E-2	-7.088591E-8
-5.114535E-2	-7.408742E-8
-5.314052E-2	-7.730851E-8
-5.513738E-2	-8.057330E-8
-5.716066E-2	-8.391578E-8
-5.915519E-2	-8.723903E-8
-6.115150E-2	-9.058400E-8
-6.321402E-2	-9.409330E-8
-6.520952E-2	-9.751954E-8
-6.720371E-2	-1.009515E-7
-6.919972E-2	-1.044533E-7
-7.119647E-2	-1.079579E-7
-7.319233E-2	-1.115198E-7
-7.522210E-2	-1.151609E-7
-7.721075E-2	-1.187725E-7
-7.921207E-2	-1.224208E-7
-8.120548E-2	-1.260995E-7
-8.319811E-2	-1.298095E-7
-8.519274E-2	-1.335298E-7
-8.719113E-2	-1.373016E-7
-8.925249E-2	-1.412267E-7
-9.124596E-2	-1.450625E-7
-9.323867E-2	-1.489250E-7
-9.526787E-2	-1.528821E-7
-9.726366E-2	-1.568093E-7
-9.925918E-2	-1.607593E-7
-1.012556E-1	-1.647436E-7
-1.032472E-1	-1.687604E-7
-1.052456E-1	-1.728111E-7
-1.072762E-1	-1.769303E-7
