Voltage (V)	Current (A)
4.999791E-1	1.494615E-6
4.979507E-1	1.486188E-6
4.959563E-1	1.478080E-6
4.939645E-1	1.469555E-6
4.919683E-1	1.461408E-6
4.899751E-1	1.453291E-6
4.879791E-1	1.445028E-6
4.859178E-1	1.436686E-6
4.839251E-1	1.428486E-6
4.819275E-1	1.420127E-6
4.799010E-1	1.411748E-6
4.779082E-1	1.403788E-6
4.759126E-1	1.395812E-6
4.739176E-1	1.387890E-6
4.719245E-1	1.379803E-6
4.699325E-1	1.371778E-6
4.679060E-1	1.363607E-6
4.659080E-1	1.355484E-6
4.639147E-1	1.347480E-6
4.618839E-1	1.339558E-6
4.598579E-1	1.331375E-6
4.578648E-1	1.323433E-6
4.558693E-1	1.315495E-6
4.538745E-1	1.307718E-6
4.518833E-1	1.299687E-6
4.498548E-1	1.291648E-6
4.478585E-1	1.283955E-6
4.458642E-1	1.275980E-6
4.438719E-1	1.268001E-6
4.418764E-1	1.260230E-6
4.398795E-1	1.252480E-6
4.378532E-1	1.244434E-6
4.358255E-1	1.236699E-6
4.338302E-1	1.229020E-6
4.318368E-1	1.221197E-6
4.298069E-1	1.213402E-6
4.278118E-1	1.205635E-6
4.258199E-1	1.197967E-6
4.238267E-1	1.190232E-6
4.218296E-1	1.182711E-6
4.198017E-1	1.174933E-6
4.178081E-1	1.167268E-6
4.158151E-1	1.159615E-6
4.138182E-1	1.151929E-6
4.117552E-1	1.144235E-6
4.097623E-1	1.136633E-6
4.077674E-1	1.129046E-6
4.057703E-1	1.121448E-6
4.037749E-1	1.114092E-6
4.017824E-1	1.106563E-6
3.997561E-1	1.098968E-6
3.977643E-1	1.091493E-6
3.957676E-1	1.083961E-6
3.937727E-1	1.076577E-6
3.917789E-1	1.069178E-6
3.897524E-1	1.061470E-6
3.877575E-1	1.054156E-6
3.857301E-1	1.046637E-6
3.837364E-1	1.039280E-6
3.817102E-1	1.031815E-6
3.797138E-1	1.024540E-6
3.777172E-1	1.017028E-6
3.757234E-1	1.009730E-6
3.737286E-1	1.002479E-6
3.717707E-1	9.955309E-7
3.697428E-1	9.881579E-7
3.677460E-1	9.810182E-7
3.657537E-1	9.737886E-7
3.637598E-1	9.664880E-7
3.616954E-1	9.591942E-7
3.597003E-1	9.519432E-7
3.577081E-1	9.447895E-7
3.557137E-1	9.377151E-7
3.537160E-1	9.306450E-7
3.516881E-1	9.233676E-7
3.496921E-1	9.162709E-7
3.477017E-1	9.093048E-7
3.457062E-1	9.021536E-7
3.437090E-1	8.952759E-7
3.417140E-1	8.882080E-7
3.396856E-1	8.811687E-7
3.376926E-1	8.741281E-7
3.356630E-1	8.670767E-7
3.336360E-1	8.599921E-7
3.316418E-1	8.531222E-7
3.296493E-1	8.461567E-7
3.276521E-1	8.393073E-7
3.256563E-1	8.323740E-7
3.236628E-1	8.254443E-7
3.216373E-1	8.185672E-7
3.196419E-1	8.117117E-7
3.176460E-1	8.049232E-7
3.156537E-1	7.981653E-7
3.136610E-1	7.913396E-7
3.115971E-1	7.843177E-7
3.096010E-1	7.775678E-7
3.076064E-1	7.708530E-7
3.056128E-1	7.641762E-7
3.035845E-1	7.573524E-7
3.015867E-1	7.506698E-7
2.995923E-1	7.439583E-7
2.975978E-1	7.373710E-7
2.956049E-1	7.307942E-7
2.936117E-1	7.241191E-7
2.915803E-1	7.173919E-7
2.895879E-1	7.108088E-7
2.875941E-1	7.042258E-7
2.855309E-1	6.974909E-7
2.835338E-1	6.909832E-7
2.815405E-1	6.845012E-7
2.795481E-1	6.780696E-7
2.775531E-1	6.716189E-7
2.755557E-1	6.651013E-7
2.735281E-1	6.586315E-7
2.715283E-1	6.522495E-7
2.695373E-1	6.458420E-7
2.675407E-1	6.393925E-7
2.655484E-1	6.330584E-7
2.635531E-1	6.267456E-7
2.614952E-1	6.202254E-7
2.594990E-1	6.138945E-7
2.575033E-1	6.075980E-7
2.554764E-1	6.012049E-7
2.534839E-1	5.948975E-7
2.514879E-1	5.886765E-7
2.494925E-1	5.824879E-7
2.474988E-1	5.762276E-7
2.455063E-1	5.700708E-7
2.434766E-1	5.639326E-7
2.414831E-1	5.577084E-7
2.394864E-1	5.516386E-7
2.374930E-1	5.454473E-7
2.354317E-1	5.392102E-7
2.334361E-1	5.330876E-7
2.314398E-1	5.270735E-7
2.294466E-1	5.210056E-7
2.274537E-1	5.150274E-7
2.254254E-1	5.088802E-7
2.234277E-1	5.029868E-7
2.214344E-1	4.969409E-7
2.194427E-1	4.910169E-7
2.174430E-1	4.850769E-7
2.154510E-1	4.791892E-7
2.134227E-1	4.731956E-7
2.113943E-1	4.673138E-7
2.094013E-1	4.614373E-7
2.073728E-1	4.555051E-7
2.053763E-1	4.497180E-7
2.033795E-1	4.439491E-7
2.013874E-1	4.381829E-7
1.993924E-1	4.324159E-7
1.973978E-1	4.266907E-7
1.953711E-1	4.209312E-7
1.933761E-1	4.152095E-7
1.913828E-1	4.095750E-7
1.893856E-1	4.039553E-7
1.873921E-1	3.983098E-7
1.853287E-1	3.925741E-7
1.833370E-1	3.869634E-7
1.813423E-1	3.814245E-7
1.793483E-1	3.759280E-7
1.773205E-1	3.703326E-7
1.753257E-1	3.648062E-7
1.733331E-1	3.593687E-7
1.713325E-1	3.539226E-7
1.693400E-1	3.484429E-7
1.673481E-1	3.430528E-7
1.653184E-1	3.376040E-7
1.633183E-1	3.322848E-7
1.612915E-1	3.267919E-7
1.592645E-1	3.214583E-7
1.572718E-1	3.161939E-7
1.552773E-1	3.109368E-7
1.532812E-1	3.057077E-7
1.512879E-1	3.005250E-7
1.492907E-1	2.953448E-7
1.472650E-1	2.900904E-7
1.452680E-1	2.849706E-7
1.432745E-1	2.798859E-7
1.412812E-1	2.748252E-7
1.392849E-1	2.697389E-7
1.372895E-1	2.647037E-7
1.352230E-1	2.595419E-7
1.332308E-1	2.545863E-7
1.312378E-1	2.496433E-7
1.292074E-1	2.446589E-7
1.272117E-1	2.397754E-7
1.252162E-1	2.348951E-7
1.232264E-1	2.300951E-7
1.212306E-1	2.252699E-7
1.192356E-1	2.205005E-7
1.172082E-1	2.157106E-7
1.152116E-1	2.109847E-7
1.132234E-1	2.063112E-7
1.111547E-1	2.014988E-7
1.091645E-1	1.968674E-7
1.071672E-1	1.922840E-7
1.051775E-1	1.877585E-7
1.031809E-1	1.832275E-7
1.011850E-1	1.787340E-7
9.915836E-2	1.742070E-7
9.716409E-2	1.697884E-7
9.516738E-2	1.654255E-7
9.316991E-2	1.610447E-7
9.117934E-2	1.567367E-7
8.918571E-2	1.524763E-7
8.715816E-2	1.481610E-7
8.512718E-2	1.438719E-7
8.313482E-2	1.396984E-7
8.110619E-2	1.354804E-7
7.911073E-2	1.313962E-7
7.711522E-2	1.273234E-7
7.512141E-2	1.232922E-7
7.312774E-2	1.193220E-7
7.113353E-2	1.153701E-7
6.910608E-2	1.114003E-7
6.710727E-2	1.075274E-7
6.511519E-2	1.037081E-7
6.312249E-2	9.991870E-8
6.105725E-2	9.606243E-8
5.906105E-2	9.234071E-8
5.706676E-2	8.870106E-8
5.507660E-2	8.508302E-8
5.307958E-2	8.153327E-8
5.105413E-2	7.792727E-8
4.905942E-2	7.443611E-8
4.706160E-2	7.096556E-8
4.507224E-2	6.757850E-8
4.307607E-2	6.420836E-8
4.107975E-2	6.088838E-8
3.905331E-2	5.756134E-8
3.705937E-2	5.431712E-8
3.503197E-2	5.107076E-8
3.299765E-2	4.783962E-8
3.100855E-2	4.472966E-8
2.901310E-2	4.165178E-8
2.701799E-2	3.860720E-8
2.501876E-2	3.558767E-8
2.302614E-2	3.260946E-8
2.099829E-2	2.963665E-8
1.900719E-2	2.672040E-8
1.701129E-2	2.385004E-8
1.501392E-2	2.099036E-8
1.302040E-2	1.817215E-8
1.095855E-2	1.528384E-8
8.966608E-3	1.250601E-8
6.967214E-3	9.743686E-9
4.976196E-3	7.006838E-9
2.949597E-3	4.239907E-9
9.502864E-4	1.516545E-9
-1.038190E-3	-1.205160E-9
-3.031786E-3	-3.873285E-9
-5.025719E-3	-6.566639E-9
-7.054075E-3	-9.305639E-9
-9.046078E-3	-1.199123E-8
-1.104544E-2	-1.469786E-8
-1.303703E-2	-1.739653E-8
-1.510073E-2	-2.019379E-8
-1.709298E-2	-2.292506E-8
-1.909368E-2	-2.565716E-8
-2.108669E-2	-2.840918E-8
-2.308119E-2	-3.117412E-8
-2.510888E-2	-3.400133E-8
-2.710558E-2	-3.679364E-8
-2.910094E-2	-3.963022E-8
-3.109295E-2	-4.247863E-8
-3.309116E-2	-4.535716E-8
-3.508683E-2	-4.826483E-8
-3.708389E-2	-5.118644E-8
-3.914334E-2	-5.424465E-8
-4.113739E-2	-5.721960E-8
-4.312611E-2	-6.024443E-8
-4.516212E-2	-6.334831E-8
-4.715696E-2	-6.641326E-8
-4.915065E-2	-6.952585E-8
-5.114558E-2	-7.267486E-8
-5.313963E-2	-7.584838E-8
-5.513692E-2	-7.904598E-8
-5.716137E-2	-8.233091E-8
-5.915612E-2	-8.558953E-8
-6.115257E-2	-8.889931E-8
-6.321592E-2	-9.233977E-8
-6.520969E-2	-9.571057E-8
-6.720243E-2	-9.912032E-8
-6.919902E-2	-1.025466E-7
-7.119600E-2	-1.060066E-7
-7.319219E-2	-1.095007E-7
-7.522034E-2	-1.130821E-7
-7.720935E-2	-1.166413E-7
-7.921069E-2	-1.202511E-7
-8.120519E-2	-1.238710E-7
-8.319689E-2	-1.275278E-7
-8.519182E-2	-1.311892E-7
-8.718973E-2	-1.349146E-7
-8.925103E-2	-1.387973E-7
-9.124514E-2	-1.425704E-7
-9.323836E-2	-1.463755E-7
-9.526649E-2	-1.502648E-7
-9.726250E-2	-1.541336E-7
-9.925868E-2	-1.580491E-7
-1.012543E-1	-1.619442E-7
-1.032482E-1	-1.659149E-7
-1.052471E-1	-1.698939E-7
-1.072755E-1	-1.739886E-7
-1.092670E-1	-1.780022E-7
-1.112617E-1	-1.820892E-7
-1.133229E-1	-1.862984E-7
-1.153218E-1	-1.904428E-7
-1.173124E-1	-1.945758E-7
-1.193092E-1	-1.987732E-7
-1.213006E-1	-2.029660E-7
-1.232980E-1	-2.072056E-7
-1.253248E-1	-2.115617E-7
-1.273198E-1	-2.158237E-7
-1.293128E-1	-2.201305E-7
-1.313081E-1	-2.244554E-7
-1.333082E-1	-2.288580E-7
-1.353020E-1	-2.331941E-7
-1.372951E-1	-2.376024E-7
-1.393617E-1	-2.422047E-7
-1.413580E-1	-2.466651E-7
-1.433510E-1	-2.511629E-7
-1.453775E-1	-2.557607E-7
-1.473757E-1	-2.602818E-7
-1.493719E-1	-2.648390E-7
-1.513619E-1	-2.694094E-7
-1.533599E-1	-2.740286E-7
-1.553541E-1	-2.786398E-7
-1.573864E-1	-2.833962E-7
-1.593798E-1	-2.880631E-7
-1.613727E-1	-2.927497E-7
-1.634335E-1	-2.976299E-7
-1.654311E-1	-3.023535E-7
-1.674264E-1	-3.071635E-7
-1.694218E-1	-3.119682E-7
-1.714154E-1	-3.167381E-7
-1.734143E-1	-3.215565E-7
-1.754072E-1	-3.264293E-7
-1.774330E-1	-3.314457E-7
-1.794307E-1	-3.363523E-7
-1.814227E-1	-3.412342E-7
-1.834221E-1	-3.461652E-7
