Voltage (V)	Current (A)
4.999816E-1	1.696898E-6
4.979537E-1	1.687995E-6
4.959592E-1	1.679083E-6
4.939667E-1	1.670385E-6
4.919710E-1	1.661763E-6
4.899760E-1	1.653204E-6
4.879812E-1	1.644543E-6
4.859210E-1	1.635619E-6
4.839268E-1	1.626502E-6
4.819297E-1	1.618191E-6
4.799025E-1	1.609226E-6
4.779091E-1	1.600822E-6
4.759156E-1	1.592272E-6
4.739183E-1	1.583353E-6
4.719276E-1	1.574636E-6
4.699343E-1	1.566020E-6
4.679056E-1	1.557313E-6
4.659099E-1	1.548611E-6
4.639152E-1	1.540260E-6
4.618847E-1	1.531822E-6
4.598604E-1	1.523259E-6
4.578661E-1	1.514751E-6
4.558719E-1	1.506325E-6
4.538775E-1	1.497790E-6
4.518836E-1	1.489332E-6
4.498584E-1	1.480890E-6
4.478593E-1	1.472465E-6
4.458664E-1	1.463952E-6
4.438730E-1	1.455332E-6
4.418782E-1	1.447138E-6
4.398814E-1	1.438591E-6
4.378539E-1	1.430207E-6
4.358280E-1	1.421844E-6
4.338309E-1	1.413315E-6
4.318382E-1	1.405046E-6
4.298095E-1	1.396576E-6
4.278128E-1	1.388185E-6
4.258221E-1	1.380077E-6
4.238271E-1	1.371654E-6
4.218305E-1	1.363444E-6
4.198026E-1	1.355106E-6
4.178104E-1	1.346703E-6
4.158146E-1	1.338467E-6
4.138185E-1	1.330341E-6
4.117578E-1	1.321835E-6
4.097634E-1	1.313434E-6
4.077688E-1	1.305369E-6
4.057733E-1	1.297321E-6
4.037773E-1	1.288846E-6
4.017852E-1	1.280881E-6
3.997577E-1	1.272790E-6
3.977643E-1	1.264538E-6
3.957689E-1	1.256637E-6
3.937742E-1	1.248457E-6
3.917819E-1	1.240489E-6
3.897534E-1	1.232319E-6
3.877588E-1	1.224187E-6
3.857303E-1	1.216045E-6
3.837397E-1	1.207747E-6
3.817099E-1	1.199723E-6
3.797152E-1	1.191811E-6
3.777197E-1	1.183959E-6
3.757260E-1	1.175830E-6
3.737316E-1	1.168016E-6
3.717394E-1	1.160185E-6
3.697076E-1	1.152143E-6
3.677144E-1	1.144234E-6
3.657215E-1	1.136203E-6
3.637279E-1	1.128408E-6
3.616649E-1	1.120147E-6
3.596687E-1	1.112466E-6
3.576786E-1	1.104532E-6
3.556827E-1	1.096663E-6
3.536865E-1	1.089046E-6
3.516585E-1	1.081117E-6
3.496628E-1	1.073162E-6
3.476730E-1	1.065501E-6
3.456765E-1	1.057852E-6
3.436804E-1	1.049970E-6
3.416850E-1	1.042322E-6
3.396572E-1	1.034306E-6
3.376646E-1	1.026640E-6
3.356361E-1	1.018812E-6
3.336075E-1	1.011143E-6
3.316164E-1	1.003658E-6
3.296577E-1	9.959439E-7
3.276594E-1	9.885244E-7
3.256643E-1	9.809453E-7
3.236724E-1	9.732308E-7
