Voltage (V)	Current (A)
4.999813E-1	1.721601E-6
4.979534E-1	1.712496E-6
4.959599E-1	1.703596E-6
4.939657E-1	1.695062E-6
4.919706E-1	1.686108E-6
4.899775E-1	1.676696E-6
4.879798E-1	1.668234E-6
4.859209E-1	1.659227E-6
4.839264E-1	1.650618E-6
4.819298E-1	1.641535E-6
4.799022E-1	1.633079E-6
4.779087E-1	1.624365E-6
4.759150E-1	1.615990E-6
4.739189E-1	1.606884E-6
4.719254E-1	1.598150E-6
4.699333E-1	1.589559E-6
4.679046E-1	1.580727E-6
4.659099E-1	1.572172E-6
4.639153E-1	1.563814E-6
4.618852E-1	1.555034E-6
4.598593E-1	1.546028E-6
4.578641E-1	1.537427E-6
4.558706E-1	1.529129E-6
4.538752E-1	1.520325E-6
4.518821E-1	1.511746E-6
4.498558E-1	1.503172E-6
4.478578E-1	1.494691E-6
4.458635E-1	1.486230E-6
4.438723E-1	1.477487E-6
4.418768E-1	1.469472E-6
4.398809E-1	1.460981E-6
4.378525E-1	1.452432E-6
4.358267E-1	1.443740E-6
4.338310E-1	1.435160E-6
4.318375E-1	1.426810E-6
4.298083E-1	1.418219E-6
4.278120E-1	1.409812E-6
4.258205E-1	1.401403E-6
4.238255E-1	1.393215E-6
4.218296E-1	1.384645E-6
4.198020E-1	1.376317E-6
4.178093E-1	1.367780E-6
4.158157E-1	1.359343E-6
4.138174E-1	1.351267E-6
4.117567E-1	1.342469E-6
4.097627E-1	1.334504E-6
4.077675E-1	1.326272E-6
4.057714E-1	1.317849E-6
4.037772E-1	1.309896E-6
4.017845E-1	1.301716E-6
3.997573E-1	1.293391E-6
3.977652E-1	1.285284E-6
3.957673E-1	1.276985E-6
3.937745E-1	1.268941E-6
3.917805E-1	1.260527E-6
3.897533E-1	1.252320E-6
3.877597E-1	1.244073E-6
3.857301E-1	1.235842E-6
3.837390E-1	1.227551E-6
3.817102E-1	1.219540E-6
3.797143E-1	1.211387E-6
3.777185E-1	1.203350E-6
3.757256E-1	1.195232E-6
3.737307E-1	1.187254E-6
3.717377E-1	1.179317E-6
3.697064E-1	1.171056E-6
3.677137E-1	1.163164E-6
3.657212E-1	1.155165E-6
3.637269E-1	1.147182E-6
3.616637E-1	1.138929E-6
3.596675E-1	1.131081E-6
3.576749E-1	1.123126E-6
3.556832E-1	1.115242E-6
3.536854E-1	1.107252E-6
3.516569E-1	1.099400E-6
3.496614E-1	1.091601E-6
3.476711E-1	1.083474E-6
3.456771E-1	1.075626E-6
3.436805E-1	1.067723E-6
3.416849E-1	1.059929E-6
3.396570E-1	1.052116E-6
3.376633E-1	1.044479E-6
3.356337E-1	1.036286E-6
3.336070E-1	1.028578E-6
3.316137E-1	1.020824E-6
3.296221E-1	1.013340E-6
3.276244E-1	1.005622E-6
3.256642E-1	9.980565E-7
3.236697E-1	9.903816E-7
3.216440E-1	9.826186E-7
3.196500E-1	9.748343E-7
3.176543E-1	9.671388E-7
3.156605E-1	9.597138E-7
3.136674E-1	9.520879E-7
3.116047E-1	9.443075E-7
3.096074E-1	9.366366E-7
3.076144E-1	9.291128E-7
3.056194E-1	9.214943E-7
3.035893E-1	9.137607E-7
3.015943E-1	9.061956E-7
2.996001E-1	8.987249E-7
2.976051E-1	8.911547E-7
2.956104E-1	8.837479E-7
2.936177E-1	8.763175E-7
2.915860E-1	8.687408E-7
2.895931E-1	8.613648E-7
2.875998E-1	8.538454E-7
2.855362E-1	8.462341E-7
2.835399E-1	8.389854E-7
2.815454E-1	8.315102E-7
2.795544E-1	8.240276E-7
2.775592E-1	8.168953E-7
2.755601E-1	8.095388E-7
2.735343E-1	8.020435E-7
2.715348E-1	7.948074E-7
2.695436E-1	7.874628E-7
2.675476E-1	7.802980E-7
2.655537E-1	7.732144E-7
2.635604E-1	7.658316E-7
2.615013E-1	7.582867E-7
2.595052E-1	7.511763E-7
2.575102E-1	7.438740E-7
2.554824E-1	7.366450E-7
2.534905E-1	7.294890E-7
2.514948E-1	7.223142E-7
2.494981E-1	7.151328E-7
2.475052E-1	7.080757E-7
2.455121E-1	7.010163E-7
2.434824E-1	6.939290E-7
2.414889E-1	6.867836E-7
2.394923E-1	6.796585E-7
2.374957E-1	6.726419E-7
2.354364E-1	6.653377E-7
2.334411E-1	6.583653E-7
2.314444E-1	6.514343E-7
2.294517E-1	6.445150E-7
2.274576E-1	6.375928E-7
2.254312E-1	6.304798E-7
2.234332E-1	6.236251E-7
2.214398E-1	6.167552E-7
2.194476E-1	6.100038E-7
2.174483E-1	6.030923E-7
2.154551E-1	5.962364E-7
2.134270E-1	5.892564E-7
2.113983E-1	5.824709E-7
2.094065E-1	5.756346E-7
2.073777E-1	5.687363E-7
2.053817E-1	5.619863E-7
2.033835E-1	5.552740E-7
2.013926E-1	5.486366E-7
1.993965E-1	5.418696E-7
1.974018E-1	5.352141E-7
1.953754E-1	5.284722E-7
1.933803E-1	5.218099E-7
1.913893E-1	5.153254E-7
1.893911E-1	5.086575E-7
1.873966E-1	5.021074E-7
1.853343E-1	4.953767E-7
1.833427E-1	4.888453E-7
1.813468E-1	4.822659E-7
1.793516E-1	4.758363E-7
1.773248E-1	4.692419E-7
1.753317E-1	4.627312E-7
1.733375E-1	4.563261E-7
1.713399E-1	4.499671E-7
1.693438E-1	4.435857E-7
1.673509E-1	4.371706E-7
1.653225E-1	4.308094E-7
1.633230E-1	4.244855E-7
1.612955E-1	4.180856E-7
1.592686E-1	4.117073E-7
1.572763E-1	4.054815E-7
1.552815E-1	3.992872E-7
1.532849E-1	3.930272E-7
1.512897E-1	3.868669E-7
1.492950E-1	3.806210E-7
1.472669E-1	3.744407E-7
1.452730E-1	3.683300E-7
1.432784E-1	3.622328E-7
1.412872E-1	3.561634E-7
1.392897E-1	3.501576E-7
1.372928E-1	3.441296E-7
1.352260E-1	3.379254E-7
1.332353E-1	3.319470E-7
1.312418E-1	3.260139E-7
1.292111E-1	3.200244E-7
1.272147E-1	3.141399E-7
1.252194E-1	3.082549E-7
1.232308E-1	3.024213E-7
1.212327E-1	2.965782E-7
1.192377E-1	2.908032E-7
1.172135E-1	2.849559E-7
1.152156E-1	2.792879E-7
1.132249E-1	2.735249E-7
1.111575E-1	2.676404E-7
1.091674E-1	2.620411E-7
1.071707E-1	2.563537E-7
1.051793E-1	2.507752E-7
1.031829E-1	2.451628E-7
1.011875E-1	2.396344E-7
9.916061E-2	2.341001E-7
9.716639E-2	2.286161E-7
9.517021E-2	2.231432E-7
9.317226E-2	2.177409E-7
9.118197E-2	2.123922E-7
8.918846E-2	2.070015E-7
8.716071E-2	2.016226E-7
8.512825E-2	1.962087E-7
8.313725E-2	1.909598E-7
8.110678E-2	1.856570E-7
7.911197E-2	1.804629E-7
7.711726E-2	1.753172E-7
7.512296E-2	1.701926E-7
7.312963E-2	1.651163E-7
7.113452E-2	1.600488E-7
6.910652E-2	1.549367E-7
6.710868E-2	1.499616E-7
6.511685E-2	1.450189E-7
6.312306E-2	1.400809E-7
6.105920E-2	1.350326E-7
5.906243E-2	1.302034E-7
5.706908E-2	1.253719E-7
5.507711E-2	1.206039E-7
5.308225E-2	1.158543E-7
5.105349E-2	1.110624E-7
4.906088E-2	1.063669E-7
4.706211E-2	1.017090E-7
4.507355E-2	9.709733E-8
4.307767E-2	9.252683E-8
4.108221E-2	8.798852E-8
3.905486E-2	8.339406E-8
3.706117E-2	7.891299E-8
3.503431E-2	7.436953E-8
3.299950E-2	6.986195E-8
3.100932E-2	6.548446E-8
2.901428E-2	6.112533E-8
2.701933E-2	5.678493E-8
2.502012E-2	5.248234E-8
2.302690E-2	4.819698E-8
2.100131E-2	4.386220E-8
1.900811E-2	3.963546E-8
1.701383E-2	3.541418E-8
1.501570E-2	3.122809E-8
1.302216E-2	2.706544E-8
1.095939E-2	2.279413E-8
8.967951E-3	1.866106E-8
6.968556E-3	1.454267E-8
4.977458E-3	1.044645E-8
2.949429E-3	6.283350E-9
9.525480E-4	2.197470E-9
-1.037438E-3	-1.901496E-9
-3.030870E-3	-5.922945E-9
-5.026056E-3	-9.976654E-9
-7.054820E-3	-1.408987E-8
-9.045823E-3	-1.813935E-8
-1.104663E-2	-2.220376E-8
-1.303796E-2	-2.625479E-8
-1.510064E-2	-3.044000E-8
-1.709615E-2	-3.450448E-8
-1.909495E-2	-3.857314E-8
-2.108704E-2	-4.264408E-8
-2.308223E-2	-4.673896E-8
-2.510950E-2	-5.088312E-8
-2.710561E-2	-5.499357E-8
-2.910146E-2	-5.911145E-8
-3.109557E-2	-6.324075E-8
-3.309192E-2	-6.738009E-8
-3.508694E-2	-7.154879E-8
-3.708582E-2	-7.574533E-8
-3.914366E-2	-8.007564E-8
-4.113707E-2	-8.430822E-8
-4.312738E-2	-8.852989E-8
-4.516265E-2	-9.287054E-8
-4.715857E-2	-9.715935E-8
-4.915084E-2	-1.014561E-7
-5.114606E-2	-1.057906E-7
-5.314077E-2	-1.101342E-7
-5.513672E-2	-1.145144E-7
-5.716282E-2	-1.189822E-7
-5.915651E-2	-1.234143E-7
-6.115198E-2	-1.278500E-7
-6.321581E-2	-1.324761E-7
-6.521012E-2	-1.369790E-7
-6.720322E-2	-1.415063E-7
-6.920132E-2	-1.460434E-7
-7.119833E-2	-1.506303E-7
-7.319358E-2	-1.552139E-7
-7.522123E-2	-1.599372E-7
-7.721099E-2	-1.645740E-7
-7.921246E-2	-1.692581E-7
-8.120592E-2	-1.739582E-7
-8.319922E-2	-1.786815E-7
-8.519428E-2	-1.834279E-7
-8.719192E-2	-1.881904E-7
-8.925263E-2	-1.932058E-7
-9.124730E-2	-1.980406E-7
-9.324051E-2	-2.029111E-7
-9.526828E-2	-2.078785E-7
-9.726466E-2	-2.127587E-7
-9.926105E-2	-2.177142E-7
-1.012574E-1	-2.226580E-7
-1.032498E-1	-2.276718E-7
-1.052501E-1	-2.326622E-7
-1.072777E-1	-2.377936E-7
-1.092687E-1	-2.428563E-7
-1.112641E-1	-2.479110E-7
-1.133262E-1	-2.531822E-7
-1.153244E-1	-2.583583E-7
-1.173146E-1	-2.635054E-7
-1.193106E-1	-2.686790E-7
-1.213030E-1	-2.739043E-7
-1.233007E-1	-2.791286E-7
-1.253283E-1	-2.844724E-7
-1.273229E-1	-2.896767E-7
-1.293161E-1	-2.949660E-7
-1.313117E-1	-3.003269E-7
-1.333123E-1	-3.056851E-7
-1.353043E-1	-3.110397E-7
-1.372997E-1	-3.164226E-7
-1.393646E-1	-3.220075E-7
-1.413616E-1	-3.274741E-7
-1.433529E-1	-3.328838E-7
-1.453801E-1	-3.384635E-7
-1.473785E-1	-3.439298E-7
-1.493737E-1	-3.494569E-7
-1.513648E-1	-3.550591E-7
-1.533629E-1	-3.605965E-7
-1.553583E-1	-3.662108E-7
-1.573914E-1	-3.719321E-7
-1.593836E-1	-3.775333E-7
-1.613772E-1	-3.831564E-7
-1.634370E-1	-3.890314E-7
-1.654343E-1	-3.947487E-7
-1.674302E-1	-4.003902E-7
-1.694285E-1	-4.060997E-7
-1.714201E-1	-4.118622E-7
-1.734152E-1	-4.175809E-7
-1.754105E-1	-4.234011E-7
-1.774378E-1	-4.293245E-7
-1.794353E-1	-4.352037E-7
-1.814266E-1	-4.409629E-7
-1.834259E-1	-4.468670E-7
-1.854181E-1	-4.527372E-7
-1.874144E-1	-4.585899E-7
-1.894743E-1	-4.647094E-7
-1.914714E-1	-4.706444E-7
-1.934675E-1	-4.766241E-7
-1.954927E-1	-4.827054E-7
-1.974880E-1	-4.887232E-7
-1.994790E-1	-4.947599E-7
-2.014797E-1	-5.007664E-7
-2.034717E-1	-5.067482E-7
-2.054648E-1	-5.128073E-7
-2.074954E-1	-5.189606E-7
-2.094925E-1	-5.251217E-7
-2.114899E-1	-5.312713E-7
-2.135496E-1	-5.376287E-7
-2.155451E-1	-5.437754E-7
-2.175411E-1	-5.499538E-7
-2.195354E-1	-5.561285E-7
-2.215295E-1	-5.623275E-7
-2.235242E-1	-5.684743E-7
-2.255205E-1	-5.747578E-7
-2.275500E-1	-5.812488E-7
-2.295422E-1	-5.874350E-7
-2.315364E-1	-5.938493E-7
-2.335301E-1	-6.000882E-7
-2.355297E-1	-6.064121E-7
-2.375255E-1	-6.127985E-7
-2.395861E-1	-6.194172E-7
-2.415816E-1	-6.257161E-7
-2.435772E-1	-6.320950E-7
-2.456064E-1	-6.386686E-7
-2.476013E-1	-6.451568E-7
-2.495944E-1	-6.515510E-7
-2.515907E-1	-6.579288E-7
-2.535834E-1	-6.644059E-7
-2.555784E-1	-6.709302E-7
-2.576064E-1	-6.775410E-7
-2.596006E-1	-6.841110E-7
-2.615988E-1	-6.906297E-7
-2.636266E-1	-6.973762E-7
-2.656539E-1	-7.040023E-7
-2.676453E-1	-7.105588E-7
-2.696445E-1	-7.173876E-7
-2.716392E-1	-7.239757E-7
-2.736321E-1	-7.306795E-7
-2.756276E-1	-7.372453E-7
-2.776576E-1	-7.440448E-7
-2.796545E-1	-7.506935E-7
-2.816476E-1	-7.574023E-7
-2.836415E-1	-7.640514E-7
-2.856366E-1	-7.708265E-7
-2.876350E-1	-7.775995E-7
-2.896971E-1	-7.845624E-7
-2.916914E-1	-7.913320E-7
-2.936845E-1	-7.981224E-7
-2.957163E-1	-8.050971E-7
-2.977124E-1	-8.118191E-7
-2.997033E-1	-8.187949E-7
-3.016979E-1	-8.257024E-7
-3.036959E-1	-8.324137E-7
-3.056926E-1	-8.393786E-7
-3.077184E-1	-8.463291E-7
-3.097138E-1	-8.533831E-7
-3.117106E-1	-8.602842E-7
-3.137398E-1	-8.673297E-7
-3.157698E-1	-8.744900E-7
-3.177616E-1	-8.815158E-7
-3.197568E-1	-8.885823E-7
-3.217519E-1	-8.954250E-7
-3.237487E-1	-9.024707E-7
-3.257414E-1	-9.096024E-7
-3.277698E-1	-9.166956E-7
-3.297667E-1	-9.238105E-7
-3.317606E-1	-9.308644E-7
-3.337547E-1	-9.379420E-7
-3.357482E-1	-9.450367E-7
-3.377435E-1	-9.522129E-7
-3.398080E-1	-9.595353E-7
-3.417991E-1	-9.667151E-7
