Voltage (V)	Current (A)
4.999800E-1	1.694776E-6
4.979537E-1	1.686278E-6
4.959576E-1	1.677876E-6
4.939655E-1	1.669364E-6
4.919714E-1	1.660751E-6
4.899750E-1	1.652108E-6
4.879805E-1	1.643815E-6
4.859210E-1	1.635387E-6
4.839262E-1	1.626723E-6
4.819277E-1	1.618332E-6
4.799020E-1	1.609869E-6
4.779074E-1	1.601552E-6
4.759150E-1	1.592982E-6
4.739183E-1	1.584537E-6
4.719252E-1	1.576020E-6
4.699322E-1	1.567540E-6
4.679053E-1	1.558906E-6
4.659083E-1	1.550887E-6
4.639158E-1	1.542493E-6
4.618862E-1	1.534032E-6
4.598596E-1	1.525689E-6
4.578657E-1	1.517224E-6
4.558711E-1	1.509137E-6
4.538766E-1	1.500660E-6
4.518833E-1	1.492346E-6
4.498560E-1	1.484097E-6
4.478577E-1	1.475765E-6
4.458659E-1	1.467639E-6
4.438731E-1	1.459402E-6
4.418780E-1	1.451229E-6
4.398800E-1	1.442831E-6
4.378527E-1	1.434681E-6
4.358277E-1	1.426143E-6
4.338312E-1	1.417984E-6
4.318378E-1	1.409807E-6
4.298075E-1	1.401514E-6
4.278111E-1	1.393446E-6
4.258198E-1	1.385056E-6
4.238258E-1	1.376920E-6
4.218301E-1	1.368932E-6
4.198019E-1	1.360655E-6
4.178097E-1	1.352626E-6
4.158148E-1	1.344725E-6
4.138191E-1	1.336664E-6
4.117574E-1	1.328464E-6
4.097638E-1	1.320432E-6
4.077684E-1	1.312279E-6
4.057703E-1	1.304329E-6
4.037764E-1	1.296261E-6
4.017844E-1	1.288225E-6
3.997577E-1	1.280143E-6
3.977619E-1	1.272140E-6
3.957680E-1	1.264222E-6
3.937728E-1	1.256104E-6
3.917823E-1	1.248289E-6
3.897536E-1	1.240511E-6
3.877590E-1	1.232410E-6
3.857300E-1	1.224495E-6
3.837385E-1	1.216550E-6
3.817089E-1	1.208574E-6
3.797148E-1	1.200375E-6
3.777190E-1	1.192716E-6
3.757267E-1	1.184852E-6
3.737310E-1	1.177112E-6
3.717380E-1	1.169294E-6
3.697069E-1	1.161279E-6
3.677136E-1	1.153568E-6
3.657207E-1	1.145640E-6
3.637255E-1	1.138074E-6
3.616640E-1	1.130026E-6
3.596697E-1	1.122106E-6
3.576772E-1	1.114521E-6
3.556823E-1	1.106716E-6
3.536843E-1	1.099045E-6
3.516581E-1	1.091327E-6
3.496617E-1	1.083611E-6
3.476719E-1	1.075827E-6
3.456753E-1	1.068287E-6
3.436785E-1	1.060635E-6
3.416859E-1	1.053149E-6
3.396568E-1	1.045248E-6
3.376625E-1	1.037641E-6
3.356358E-1	1.030082E-6
3.336088E-1	1.022559E-6
3.316134E-1	1.014875E-6
3.296216E-1	1.007339E-6
3.276592E-1	9.998405E-7
3.256644E-1	9.924264E-7
3.236695E-1	9.848463E-7
3.216432E-1	9.771319E-7
3.196477E-1	9.695486E-7
3.176531E-1	9.619819E-7
3.156607E-1	9.546922E-7
3.136671E-1	9.471412E-7
3.116026E-1	9.395755E-7
3.096069E-1	9.322226E-7
3.076139E-1	9.247521E-7
3.056162E-1	9.174079E-7
3.035901E-1	9.099127E-7
3.015923E-1	9.026243E-7
2.995992E-1	8.952837E-7
2.976047E-1	8.876573E-7
2.956102E-1	8.806199E-7
2.936190E-1	8.733309E-7
2.915865E-1	8.658454E-7
2.895916E-1	8.586018E-7
2.876008E-1	8.512691E-7
2.855372E-1	8.436353E-7
2.835395E-1	8.364091E-7
2.815458E-1	8.292696E-7
2.795537E-1	8.218860E-7
2.775575E-1	8.147128E-7
2.755601E-1	8.075285E-7
2.735328E-1	8.002512E-7
2.715324E-1	7.931097E-7
2.695437E-1	7.860687E-7
2.675458E-1	7.787803E-7
2.655540E-1	7.718458E-7
2.635601E-1	7.646328E-7
2.615004E-1	7.573493E-7
2.595052E-1	7.502489E-7
2.575078E-1	7.431805E-7
