Voltage (V)	Current (A)
4.999815E-1	1.740363E-6
4.979541E-1	1.731487E-6
4.959597E-1	1.722827E-6
4.939677E-1	1.714161E-6
4.919713E-1	1.705277E-6
4.899769E-1	1.697055E-6
4.879814E-1	1.688213E-6
4.859216E-1	1.679196E-6
4.839272E-1	1.670968E-6
4.819302E-1	1.662082E-6
4.799028E-1	1.653736E-6
4.779108E-1	1.644965E-6
4.759158E-1	1.636619E-6
4.739189E-1	1.628021E-6
4.719261E-1	1.619506E-6
4.699345E-1	1.610852E-6
4.679058E-1	1.602070E-6
4.659104E-1	1.593514E-6
4.639164E-1	1.585132E-6
4.618879E-1	1.576161E-6
4.598588E-1	1.567823E-6
4.578670E-1	1.559272E-6
4.558719E-1	1.551014E-6
4.538777E-1	1.542481E-6
4.518850E-1	1.534130E-6
4.498591E-1	1.525613E-6
4.478591E-1	1.516959E-6
4.458659E-1	1.508766E-6
4.438732E-1	1.500380E-6
4.418774E-1	1.492016E-6
4.398811E-1	1.483609E-6
4.378538E-1	1.475207E-6
4.358277E-1	1.466773E-6
4.338323E-1	1.458245E-6
4.318384E-1	1.449900E-6
4.298083E-1	1.441349E-6
4.278128E-1	1.433060E-6
4.258210E-1	1.424835E-6
4.238276E-1	1.416767E-6
4.218332E-1	1.408073E-6
4.198038E-1	1.399927E-6
4.178114E-1	1.391692E-6
4.158161E-1	1.382941E-6
4.138204E-1	1.374769E-6
4.117571E-1	1.366416E-6
4.097637E-1	1.358206E-6
4.077701E-1	1.350106E-6
4.057720E-1	1.342040E-6
4.037782E-1	1.334076E-6
4.017835E-1	1.325739E-6
3.997588E-1	1.317337E-6
3.977639E-1	1.309165E-6
3.957680E-1	1.301081E-6
3.937744E-1	1.292998E-6
3.917819E-1	1.284767E-6
3.897542E-1	1.276590E-6
3.877600E-1	1.268331E-6
3.857300E-1	1.260211E-6
3.837381E-1	1.252282E-6
3.817119E-1	1.244294E-6
3.797153E-1	1.236170E-6
3.777195E-1	1.228333E-6
3.757263E-1	1.220307E-6
3.737318E-1	1.212276E-6
3.717381E-1	1.204252E-6
3.697082E-1	1.196132E-6
3.677148E-1	1.188178E-6
3.657215E-1	1.180180E-6
3.637280E-1	1.172278E-6
3.616627E-1	1.163986E-6
3.596672E-1	1.156044E-6
3.576773E-1	1.148204E-6
3.556831E-1	1.140468E-6
3.536862E-1	1.132685E-6
3.516580E-1	1.124355E-6
3.496648E-1	1.116741E-6
3.476722E-1	1.108721E-6
3.456773E-1	1.101168E-6
3.436804E-1	1.093293E-6
3.416847E-1	1.085498E-6
3.396561E-1	1.077554E-6
3.376646E-1	1.069595E-6
3.356357E-1	1.061856E-6
3.336085E-1	1.053813E-6
3.316162E-1	1.046364E-6
3.296241E-1	1.038711E-6
3.276252E-1	1.030964E-6
3.256313E-1	1.023328E-6
3.236373E-1	1.015552E-6
3.216108E-1	1.007858E-6
3.196151E-1	1.000071E-6
3.176543E-1	9.925682E-7
3.156612E-1	9.850589E-7
3.136712E-1	9.775430E-7
3.116046E-1	9.694512E-7
3.096083E-1	9.619054E-7
3.076148E-1	9.543618E-7
3.056187E-1	9.468076E-7
3.035918E-1	9.390865E-7
3.015943E-1	9.314625E-7
2.996005E-1	9.240441E-7
2.976053E-1	9.166624E-7
2.956121E-1	9.090413E-7
2.936182E-1	9.013821E-7
2.915883E-1	8.938071E-7
2.895949E-1	8.864488E-7
2.876023E-1	8.789295E-7
2.855386E-1	8.711870E-7
2.835420E-1	8.636722E-7
2.815477E-1	8.563898E-7
2.795554E-1	8.490900E-7
2.775609E-1	8.416801E-7
2.755616E-1	8.342431E-7
2.735350E-1	8.266682E-7
2.715365E-1	8.193927E-7
2.695452E-1	8.120796E-7
2.675483E-1	8.047763E-7
2.655553E-1	7.975129E-7
2.635602E-1	7.901781E-7
2.615018E-1	7.825838E-7
2.595080E-1	7.755073E-7
2.575116E-1	7.683071E-7
2.554852E-1	7.609431E-7
2.534924E-1	7.536565E-7
2.514970E-1	7.466158E-7
2.495006E-1	7.394327E-7
2.475062E-1	7.322914E-7
2.455133E-1	7.252043E-7
2.434855E-1	7.179981E-7
2.414917E-1	7.109924E-7
2.394921E-1	7.038626E-7
2.375008E-1	6.966497E-7
2.354384E-1	6.893762E-7
2.334433E-1	6.824011E-7
2.314470E-1	6.753519E-7
2.294532E-1	6.683305E-7
2.274581E-1	6.613149E-7
