Voltage (V)	Current (A)
-5.000802E-1	-1.604210E-6
-4.980859E-1	-1.596044E-6
-4.960573E-1	-1.587939E-6
-4.940652E-1	-1.579854E-6
-4.920688E-1	-1.571607E-6
-4.900734E-1	-1.563627E-6
-4.880810E-1	-1.555700E-6
-4.860199E-1	-1.547459E-6
-4.840210E-1	-1.539245E-6
-4.820279E-1	-1.531510E-6
-4.800339E-1	-1.523256E-6
-4.780367E-1	-1.515152E-6
-4.760080E-1	-1.507282E-6
-4.740146E-1	-1.499390E-6
-4.720216E-1	-1.491232E-6
-4.700272E-1	-1.483208E-6
-4.680339E-1	-1.475330E-6
-4.660365E-1	-1.467649E-6
-4.640090E-1	-1.459539E-6
-4.619819E-1	-1.451301E-6
-4.599892E-1	-1.443509E-6
-4.579588E-1	-1.435523E-6
-4.559649E-1	-1.427804E-6
-4.539709E-1	-1.419880E-6
-4.519773E-1	-1.412113E-6
-4.499801E-1	-1.404251E-6
-4.479846E-1	-1.396328E-6
-4.459902E-1	-1.388569E-6
-4.439622E-1	-1.380419E-6
-4.419688E-1	-1.372772E-6
-4.399711E-1	-1.365143E-6
-4.379785E-1	-1.357250E-6
-4.359152E-1	-1.349121E-6
-4.339218E-1	-1.341573E-6
-4.319253E-1	-1.333712E-6
-4.299304E-1	-1.326372E-6
-4.279380E-1	-1.318240E-6
-4.259082E-1	-1.310478E-6
-4.239123E-1	-1.302976E-6
-4.219171E-1	-1.295182E-6
-4.199226E-1	-1.287683E-6
-4.179295E-1	-1.280066E-6
-4.159351E-1	-1.272586E-6
-4.139045E-1	-1.264599E-6
-4.118757E-1	-1.256995E-6
-4.098801E-1	-1.249431E-6
-4.078525E-1	-1.241743E-6
-4.058565E-1	-1.233976E-6
-4.038634E-1	-1.226585E-6
-4.018697E-1	-1.218903E-6
-3.998761E-1	-1.211541E-6
-3.978789E-1	-1.204024E-6
-3.958815E-1	-1.196325E-6
-3.938557E-1	-1.188887E-6
-3.918644E-1	-1.181309E-6
-3.898675E-1	-1.173962E-6
-3.878743E-1	-1.166397E-6
-3.858118E-1	-1.158848E-6
-3.838212E-1	-1.151243E-6
-3.818242E-1	-1.143954E-6
-3.798285E-1	-1.136393E-6
-3.778328E-1	-1.129129E-6
-3.758055E-1	-1.121578E-6
-3.738110E-1	-1.114080E-6
-3.718143E-1	-1.106862E-6
-3.698205E-1	-1.099505E-6
-3.678250E-1	-1.092163E-6
-3.658339E-1	-1.084932E-6
-3.638056E-1	-1.077315E-6
-3.617747E-1	-1.070009E-6
-3.597800E-1	-1.062622E-6
-3.577877E-1	-1.055423E-6
-3.557584E-1	-1.048125E-6
-3.537613E-1	-1.040862E-6
-3.517667E-1	-1.033559E-6
-3.497752E-1	-1.026383E-6
-3.477799E-1	-1.019137E-6
-3.457820E-1	-1.011800E-6
-3.437548E-1	-1.004550E-6
-3.417991E-1	-9.972217E-7
-3.398069E-1	-9.902690E-7
-3.378114E-1	-9.831272E-7
-3.357490E-1	-9.756594E-7
-3.337554E-1	-9.686514E-7
-3.317624E-1	-9.615698E-7
-3.297679E-1	-9.544243E-7
-3.277696E-1	-9.473180E-7
-3.257419E-1	-9.401395E-7
-3.237495E-1	-9.330350E-7
