Voltage (V)	Current (A)
4.999832E-1	1.684173E-6
4.979577E-1	1.675781E-6
4.959631E-1	1.667751E-6
4.939687E-1	1.659455E-6
4.919723E-1	1.651138E-6
4.899755E-1	1.642638E-6
4.879838E-1	1.634686E-6
4.859246E-1	1.626330E-6
4.839334E-1	1.618221E-6
4.819322E-1	1.609824E-6
4.799055E-1	1.601744E-6
4.779114E-1	1.593382E-6
4.759180E-1	1.585279E-6
4.739217E-1	1.576963E-6
4.719301E-1	1.568709E-6
4.699384E-1	1.560838E-6
4.679050E-1	1.552292E-6
4.659136E-1	1.544306E-6
4.639214E-1	1.536560E-6
4.618890E-1	1.528450E-6
4.598642E-1	1.520189E-6
4.578686E-1	1.512140E-6
4.558715E-1	1.504417E-6
4.538800E-1	1.496083E-6
4.518878E-1	1.487872E-6
4.498579E-1	1.479600E-6
4.478638E-1	1.471783E-6
4.458717E-1	1.463863E-6
4.438771E-1	1.455649E-6
4.418779E-1	1.447802E-6
4.398841E-1	1.439477E-6
4.378571E-1	1.431359E-6
4.358321E-1	1.423702E-6
4.338329E-1	1.415589E-6
4.318397E-1	1.407573E-6
4.298134E-1	1.399361E-6
4.278168E-1	1.391631E-6
4.258251E-1	1.383436E-6
4.238288E-1	1.375905E-6
4.218360E-1	1.368075E-6
4.198067E-1	1.359810E-6
4.178141E-1	1.352186E-6
4.158216E-1	1.344334E-6
4.138253E-1	1.336447E-6
4.117620E-1	1.328187E-6
4.097665E-1	1.320384E-6
4.077734E-1	1.312335E-6
4.057742E-1	1.304576E-6
4.037816E-1	1.296624E-6
4.017897E-1	1.288784E-6
3.997615E-1	1.281021E-6
3.977701E-1	1.273399E-6
3.957736E-1	1.265584E-6
3.937794E-1	1.258044E-6
3.917850E-1	1.250218E-6
3.897561E-1	1.242249E-6
3.877639E-1	1.234522E-6
3.857339E-1	1.226996E-6
3.837391E-1	1.219154E-6
3.817154E-1	1.211447E-6
3.797202E-1	1.203438E-6
3.777216E-1	1.195867E-6
3.757284E-1	1.188439E-6
3.737374E-1	1.180609E-6
3.717414E-1	1.172832E-6
3.697122E-1	1.165350E-6
3.677164E-1	1.157531E-6
3.657249E-1	1.150072E-6
3.637313E-1	1.142524E-6
3.616660E-1	1.134267E-6
3.596733E-1	1.126802E-6
3.576794E-1	1.119361E-6
3.556876E-1	1.111723E-6
3.536925E-1	1.104105E-6
3.516614E-1	1.096406E-6
3.496653E-1	1.088983E-6
3.476777E-1	1.081550E-6
3.456807E-1	1.074199E-6
3.436848E-1	1.066770E-6
3.416892E-1	1.059391E-6
3.396589E-1	1.051632E-6
3.376648E-1	1.044069E-6
3.356384E-1	1.036522E-6
3.336107E-1	1.029005E-6
3.316236E-1	1.021800E-6
3.296264E-1	1.014219E-6
3.276302E-1	1.006867E-6
3.256689E-1	9.997702E-7
3.236762E-1	9.922642E-7
3.216478E-1	9.847040E-7
3.196560E-1	9.773677E-7
3.176571E-1	9.701077E-7
3.156646E-1	9.628956E-7
3.136725E-1	9.555062E-7
3.116104E-1	9.480923E-7
3.096122E-1	9.406453E-7
3.076160E-1	9.333664E-7
3.056239E-1	9.260073E-7
3.035973E-1	9.186815E-7
3.015959E-1	9.112773E-7
2.996044E-1	9.040589E-7
2.976094E-1	8.969575E-7
2.956159E-1	8.897829E-7
2.936193E-1	8.826156E-7
2.915892E-1	8.753312E-7
2.895967E-1	8.681930E-7
2.876033E-1	8.608716E-7
2.855383E-1	8.534221E-7
2.835451E-1	8.465103E-7
2.815524E-1	8.392705E-7
2.795568E-1	8.322425E-7
2.775599E-1	8.252360E-7
2.755683E-1	8.180566E-7
2.735392E-1	8.108855E-7
2.715379E-1	8.038236E-7
2.695456E-1	7.967179E-7
2.675528E-1	7.898139E-7
2.655582E-1	7.827815E-7
2.635630E-1	7.758448E-7
2.615046E-1	7.686094E-7
2.595095E-1	7.616291E-7
2.575136E-1	7.546427E-7
2.554858E-1	7.474890E-7
2.534940E-1	7.405057E-7
2.515022E-1	7.335925E-7
2.495041E-1	7.266674E-7
2.475123E-1	7.197382E-7
2.455177E-1	7.127488E-7
2.434866E-1	7.058443E-7
2.414944E-1	6.990604E-7
2.394967E-1	6.923166E-7
2.375043E-1	6.854449E-7
2.354401E-1	6.781659E-7
2.334445E-1	6.715744E-7
2.314505E-1	6.645068E-7
2.294576E-1	6.579672E-7
2.274643E-1	6.513358E-7
2.254364E-1	6.444209E-7
2.234382E-1	6.376013E-7
2.214476E-1	6.309643E-7
2.194517E-1	6.243573E-7
2.174529E-1	6.175646E-7
2.154615E-1	6.108461E-7
2.134328E-1	6.041702E-7
2.114074E-1	5.973698E-7
2.094109E-1	5.907476E-7
2.073824E-1	5.839736E-7
2.053845E-1	5.773691E-7
2.033872E-1	5.707736E-7
2.013980E-1	5.642498E-7
1.994020E-1	5.577322E-7
1.974064E-1	5.510399E-7
1.953812E-1	5.444678E-7
1.933835E-1	5.379412E-7
1.913946E-1	5.314120E-7
1.893972E-1	5.249888E-7
1.874003E-1	5.186307E-7
1.853421E-1	5.119355E-7
1.833491E-1	5.055612E-7
1.813531E-1	4.991533E-7
1.793589E-1	4.927334E-7
1.773296E-1	4.862633E-7
1.753367E-1	4.799041E-7
1.733419E-1	4.735584E-7
1.713465E-1	4.673051E-7
1.693519E-1	4.609705E-7
1.673592E-1	4.547412E-7
1.653273E-1	4.482766E-7
1.633289E-1	4.420657E-7
1.613015E-1	4.357038E-7
1.592741E-1	4.294173E-7
1.572824E-1	4.232239E-7
1.552854E-1	4.170584E-7
1.532929E-1	4.109234E-7
1.512981E-1	4.047661E-7
1.493006E-1	3.986392E-7
1.472751E-1	3.924432E-7
1.452792E-1	3.864056E-7
1.432846E-1	3.803300E-7
1.412916E-1	3.742676E-7
1.392948E-1	3.682473E-7
1.372976E-1	3.623112E-7
1.352326E-1	3.560506E-7
1.332396E-1	3.501474E-7
1.312486E-1	3.442183E-7
1.292178E-1	3.381626E-7
1.272226E-1	3.322586E-7
1.252271E-1	3.263371E-7
1.232346E-1	3.204860E-7
1.212404E-1	3.146388E-7
1.192457E-1	3.088472E-7
1.172191E-1	3.029334E-7
1.152215E-1	2.971710E-7
1.132330E-1	2.914704E-7
1.111631E-1	2.855522E-7
1.091732E-1	2.798902E-7
1.071752E-1	2.741734E-7
1.051859E-1	2.685113E-7
1.031884E-1	2.629460E-7
1.011968E-1	2.573050E-7
9.916628E-2	2.515821E-7
9.717361E-2	2.460163E-7
9.517723E-2	2.404346E-7
9.317812E-2	2.349054E-7
9.118766E-2	2.294187E-7
8.919232E-2	2.239338E-7
8.716722E-2	2.183987E-7
8.513471E-2	2.128859E-7
8.314316E-2	2.074514E-7
8.111504E-2	2.019396E-7
7.911941E-2	1.965534E-7
7.712403E-2	1.912352E-7
7.513110E-2	1.858998E-7
7.313689E-2	1.806304E-7
7.114217E-2	1.753547E-7
6.911293E-2	1.700097E-7
6.711486E-2	1.647785E-7
6.512215E-2	1.595651E-7
6.313062E-2	1.543903E-7
6.106471E-2	1.490425E-7
5.907179E-2	1.439178E-7
5.707618E-2	1.387817E-7
5.508342E-2	1.336931E-7
5.308814E-2	1.286224E-7
5.106177E-2	1.234653E-7
4.906783E-2	1.184588E-7
4.706822E-2	1.134252E-7
4.508140E-2	1.084676E-7
4.308371E-2	1.034883E-7
4.108843E-2	9.854438E-8
3.906175E-2	9.353194E-8
3.706852E-2	8.861589E-8
3.503913E-2	8.367670E-8
3.300541E-2	7.868552E-8
3.101808E-2	7.384935E-8
2.902059E-2	6.901957E-8
2.702702E-2	6.418915E-8
2.502782E-2	5.939267E-8
2.303165E-2	5.460929E-8
2.100660E-2	4.975557E-8
1.901425E-2	4.499595E-8
1.702206E-2	4.025297E-8
1.502337E-2	3.551893E-8
1.302682E-2	3.080889E-8
1.096508E-2	2.592516E-8
8.970810E-3	2.124541E-8
6.973612E-3	1.653081E-8
4.983526E-3	1.188165E-8
2.955017E-3	7.110530E-9
9.591538E-4	2.471464E-9
-1.030314E-3	-2.227666E-9
-3.023648E-3	-6.842206E-9
-5.020744E-3	-1.147609E-8
-7.046567E-3	-1.621190E-8
-9.039635E-3	-2.084099E-8
-1.104043E-2	-2.548883E-8
-1.303350E-2	-3.011218E-8
-1.509309E-2	-3.491094E-8
-1.708701E-2	-3.953825E-8
-1.908904E-2	-4.419283E-8
-2.107970E-2	-4.883865E-8
-2.307578E-2	-5.347032E-8
-2.510268E-2	-5.817959E-8
-2.709921E-2	-6.283961E-8
-2.909535E-2	-6.749782E-8
-3.108748E-2	-7.216426E-8
-3.308570E-2	-7.682808E-8
-3.508039E-2	-8.151105E-8
-3.707890E-2	-8.619960E-8
-3.913894E-2	-9.106025E-8
-4.113280E-2	-9.575827E-8
-4.312154E-2	-1.004560E-7
-4.515753E-2	-1.052679E-7
-4.715253E-2	-1.100334E-7
-4.914633E-2	-1.147958E-7
-5.113976E-2	-1.195232E-7
-5.313586E-2	-1.242857E-7
-5.513230E-2	-1.290767E-7
-5.715736E-2	-1.339446E-7
-5.915066E-2	-1.387714E-7
-6.114715E-2	-1.435734E-7
-6.321000E-2	-1.485993E-7
-6.520562E-2	-1.534335E-7
-6.719811E-2	-1.582964E-7
-6.919467E-2	-1.631513E-7
-7.119350E-2	-1.680512E-7
-7.318804E-2	-1.730158E-7
-7.521633E-2	-1.780078E-7
-7.720526E-2	-1.829598E-7
-7.920779E-2	-1.879434E-7
-8.120070E-2	-1.929289E-7
-8.319394E-2	-1.979289E-7
-8.518696E-2	-2.029388E-7
-8.718674E-2	-2.079829E-7
-8.924655E-2	-2.131813E-7
-9.124115E-2	-2.182260E-7
-9.323458E-2	-2.233366E-7
-9.526401E-2	-2.284987E-7
-9.725960E-2	-2.336038E-7
-9.925510E-2	-2.387750E-7
-1.012508E-1	-2.439521E-7
-1.032457E-1	-2.491426E-7
-1.052431E-1	-2.542928E-7
-1.072721E-1	-2.595962E-7
-1.092616E-1	-2.647959E-7
-1.112573E-1	-2.700122E-7
-1.133202E-1	-2.754292E-7
-1.153174E-1	-2.806913E-7
-1.173102E-1	-2.859980E-7
-1.193051E-1	-2.913191E-7
-1.212975E-1	-2.966464E-7
-1.232958E-1	-3.019797E-7
-1.253233E-1	-3.074021E-7
-1.273160E-1	-3.128355E-7
-1.293103E-1	-3.182055E-7
-1.313065E-1	-3.236617E-7
-1.333062E-1	-3.291127E-7
-1.353000E-1	-3.345450E-7
-1.372949E-1	-3.399743E-7
-1.393601E-1	-3.456244E-7
-1.413563E-1	-3.511327E-7
-1.433476E-1	-3.566280E-7
-1.453753E-1	-3.622715E-7
-1.473737E-1	-3.677758E-7
-1.493693E-1	-3.734225E-7
-1.513615E-1	-3.789444E-7
-1.533578E-1	-3.845785E-7
-1.553534E-1	-3.901671E-7
-1.573847E-1	-3.958796E-7
