Voltage (V)	Current (A)
-5.000777E-1	-1.555972E-6
-4.980815E-1	-1.548432E-6
-4.960555E-1	-1.540217E-6
-4.940606E-1	-1.533015E-6
-4.920650E-1	-1.525380E-6
-4.900702E-1	-1.517669E-6
-4.880767E-1	-1.510098E-6
-4.860168E-1	-1.502407E-6
-4.840183E-1	-1.494928E-6
-4.820238E-1	-1.486979E-6
-4.800310E-1	-1.479693E-6
-4.780339E-1	-1.472098E-6
-4.760043E-1	-1.464308E-6
-4.740121E-1	-1.456634E-6
-4.720173E-1	-1.449199E-6
-4.700249E-1	-1.441750E-6
-4.680300E-1	-1.434199E-6
-4.660334E-1	-1.426687E-6
-4.640048E-1	-1.418989E-6
-4.619790E-1	-1.411286E-6
-4.599835E-1	-1.403940E-6
-4.579547E-1	-1.396218E-6
-4.559615E-1	-1.388874E-6
-4.539683E-1	-1.381532E-6
-4.519737E-1	-1.373989E-6
-4.499764E-1	-1.366477E-6
-4.479800E-1	-1.358932E-6
-4.459869E-1	-1.351546E-6
-4.439570E-1	-1.344101E-6
-4.419639E-1	-1.336720E-6
-4.399671E-1	-1.329303E-6
-4.379745E-1	-1.321963E-6
-4.359120E-1	-1.314475E-6
-4.339179E-1	-1.306956E-6
-4.319210E-1	-1.299613E-6
-4.299261E-1	-1.292399E-6
-4.279327E-1	-1.285247E-6
-4.259048E-1	-1.277489E-6
-4.239078E-1	-1.270246E-6
-4.219117E-1	-1.263153E-6
-4.199184E-1	-1.255831E-6
-4.179273E-1	-1.248556E-6
-4.159306E-1	-1.241106E-6
-4.139010E-1	-1.233666E-6
-4.118712E-1	-1.226447E-6
-4.098771E-1	-1.219269E-6
-4.078497E-1	-1.211779E-6
-4.058530E-1	-1.204563E-6
-4.038596E-1	-1.197325E-6
-4.018660E-1	-1.190252E-6
-3.998727E-1	-1.183064E-6
-3.978759E-1	-1.175591E-6
-3.958802E-1	-1.168347E-6
-3.938513E-1	-1.161269E-6
-3.918619E-1	-1.154187E-6
-3.898628E-1	-1.146984E-6
-3.878698E-1	-1.139941E-6
-3.858083E-1	-1.132581E-6
-3.838157E-1	-1.125488E-6
-3.818182E-1	-1.118585E-6
-3.798254E-1	-1.111324E-6
-3.778310E-1	-1.104228E-6
-3.758018E-1	-1.096734E-6
-3.738076E-1	-1.089896E-6
-3.718104E-1	-1.082834E-6
-3.698169E-1	-1.075661E-6
-3.678193E-1	-1.068735E-6
-3.658296E-1	-1.061680E-6
-3.637997E-1	-1.054527E-6
-3.617690E-1	-1.047628E-6
-3.597743E-1	-1.040751E-6
-3.577819E-1	-1.033749E-6
-3.557543E-1	-1.026683E-6
-3.537574E-1	-1.019545E-6
-3.517642E-1	-1.012693E-6
-3.497710E-1	-1.005667E-6
-3.478180E-1	-9.988808E-7
-3.458184E-1	-9.917986E-7
-3.437919E-1	-9.848102E-7
-3.417950E-1	-9.781036E-7
-3.398015E-1	-9.710640E-7
-3.378077E-1	-9.642408E-7
-3.357441E-1	-9.572198E-7
-3.337499E-1	-9.502855E-7
-3.317564E-1	-9.435142E-7
-3.297633E-1	-9.367411E-7
-3.277653E-1	-9.299038E-7
-3.257369E-1	-9.229066E-7
-3.237444E-1	-9.161629E-7
-3.217480E-1	-9.093463E-7
-3.197526E-1	-9.027026E-7
-3.177582E-1	-8.961470E-7
-3.157658E-1	-8.893163E-7
-3.137380E-1	-8.824869E-7
-3.117082E-1	-8.756260E-7
-3.097095E-1	-8.689729E-7
-3.077144E-1	-8.621888E-7
-3.056886E-1	-8.555128E-7
-3.036913E-1	-8.486814E-7
-3.016947E-1	-8.419610E-7
-2.996980E-1	-8.353601E-7
-2.977076E-1	-8.289139E-7
-2.957121E-1	-8.222162E-7
-2.936822E-1	-8.154240E-7
-2.916863E-1	-8.087998E-7
-2.896925E-1	-8.021154E-7
-2.876969E-1	-7.956467E-7
-2.856334E-1	-7.889738E-7
-2.836375E-1	-7.823514E-7
-2.816453E-1	-7.759955E-7
-2.796493E-1	-7.693456E-7
-2.776537E-1	-7.628414E-7
-2.756242E-1	-7.564038E-7
-2.736277E-1	-7.500048E-7
-2.716344E-1	-7.434576E-7
-2.696396E-1	-7.369688E-7
-2.676418E-1	-7.304614E-7
-2.656506E-1	-7.241329E-7
-2.636224E-1	-7.176336E-7
-2.615945E-1	-7.111908E-7
-2.595969E-1	-7.046225E-7
-2.576031E-1	-6.982055E-7
-2.555755E-1	-6.918615E-7
-2.535799E-1	-6.854713E-7
-2.515855E-1	-6.791544E-7
-2.495903E-1	-6.727993E-7
-2.475961E-1	-6.664475E-7
-2.456039E-1	-6.600673E-7
-2.435731E-1	-6.536861E-7
-2.415765E-1	-6.474813E-7
-2.395824E-1	-6.412482E-7
-2.375874E-1	-6.349707E-7
-2.355255E-1	-6.285551E-7
-2.335265E-1	-6.221935E-7
-2.315316E-1	-6.159788E-7
-2.295373E-1	-6.098290E-7
-2.275467E-1	-6.036910E-7
-2.255169E-1	-5.974415E-7
-2.235223E-1	-5.913300E-7
-2.215260E-1	-5.851718E-7
-2.195316E-1	-5.790656E-7
-2.175367E-1	-5.730093E-7
-2.155413E-1	-5.669319E-7
-2.135437E-1	-5.608330E-7
-2.114858E-1	-5.545519E-7
-2.094887E-1	-5.484612E-7
-2.074918E-1	-5.425550E-7
-2.054618E-1	-5.363381E-7
-2.034673E-1	-5.303418E-7
-2.014759E-1	-5.243635E-7
-1.994749E-1	-5.183095E-7
-1.974843E-1	-5.124480E-7
-1.954890E-1	-5.064890E-7
-1.934622E-1	-5.004535E-7
-1.914690E-1	-4.945773E-7
-1.894701E-1	-4.887096E-7
-1.874794E-1	-4.828156E-7
-1.854141E-1	-4.766981E-7
-1.834200E-1	-4.708584E-7
-1.814235E-1	-4.650345E-7
-1.794302E-1	-4.592371E-7
-1.774332E-1	-4.533709E-7
-1.754074E-1	-4.475638E-7
-1.734138E-1	-4.417485E-7
-1.714162E-1	-4.360059E-7
-1.694220E-1	-4.302628E-7
-1.674271E-1	-4.245104E-7
-1.654290E-1	-4.188048E-7
-1.634340E-1	-4.131688E-7
-1.613723E-1	-4.073119E-7
-1.593803E-1	-4.016797E-7
-1.573875E-1	-3.960650E-7
-1.553535E-1	-3.903537E-7
-1.533581E-1	-3.846742E-7
-1.513627E-1	-3.790534E-7
-1.493711E-1	-3.734029E-7
-1.473747E-1	-3.678537E-7
-1.453758E-1	-3.622971E-7
-1.433502E-1	-3.567435E-7
-1.413568E-1	-3.511902E-7
-1.393601E-1	-3.456295E-7
-1.373646E-1	-3.401709E-7
-1.353000E-1	-3.345492E-7
-1.333065E-1	-3.290902E-7
-1.313082E-1	-3.236941E-7
-1.293115E-1	-3.182478E-7
-1.273198E-1	-3.128035E-7
-1.253223E-1	-3.074407E-7
-1.232969E-1	-3.019894E-7
-1.212988E-1	-2.966279E-7
-1.193071E-1	-2.913316E-7
-1.173101E-1	-2.860058E-7
-1.153206E-1	-2.807202E-7
-1.133225E-1	-2.754515E-7
-1.112609E-1	-2.700422E-7
-1.092644E-1	-2.648174E-7
-1.072741E-1	-2.596226E-7
-1.052448E-1	-2.542988E-7
-1.032455E-1	-2.490855E-7
-1.012541E-1	-2.438871E-7
-9.925672E-2	-2.387426E-7
-9.726004E-2	-2.336500E-7
-9.526519E-2	-2.285144E-7
-9.323615E-2	-2.233348E-7
-9.124298E-2	-2.182773E-7
-8.924961E-2	-2.132391E-7
-8.725381E-2	-2.081747E-7
-8.518752E-2	-2.029289E-7
-8.319417E-2	-1.979230E-7
-8.120095E-2	-1.929175E-7
-7.920834E-2	-1.879789E-7
-7.720587E-2	-1.829688E-7
-7.521684E-2	-1.780332E-7
-7.318921E-2	-1.730087E-7
-7.119333E-2	-1.680649E-7
-6.919546E-2	-1.632110E-7
-6.719875E-2	-1.583147E-7
-6.520632E-2	-1.534108E-7
-6.321074E-2	-1.485719E-7
-6.114713E-2	-1.435643E-7
-5.915206E-2	-1.387250E-7
-5.715841E-2	-1.339519E-7
-5.513267E-2	-1.290580E-7
-5.313652E-2	-1.242830E-7
-5.114285E-2	-1.195221E-7
-4.914712E-2	-1.147551E-7
